Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
Darwinzon Hernandez,2021,BOS,30.80%,52.70%,0.46,12.60%,-0.2,Reliever,No
Darwinzon Hernandez,2022,BOS,29.10%,48.80%,-14.39,2.30%,-0.5,Reliever,No
Daulton Jefferies,2021,OAK,23.20%,72.40%,4.83,6.90%,0.1,Reliever,No
Daulton Jefferies,2022,OAK,25.40%,58.10%,-8.75,11.60%,0.5,Reliever,No
Dauri Moreta,2021,CIN,19.30%,64.30%,-0.79,21.40%,0,Reliever,No
Dauri Moreta,2022,CIN,28.90%,61.90%,-2.04,16.30%,-0.4,Reliever,No
David Bednar,2021,PIT,30.80%,66.70%,17.18,24.50%,1.2,Reliever,No
David Bednar,2022,PIT,31.50%,60.00%,6.01,25.20%,1.5,Reliever,No
David Peterson,2021,NYM,27.40%,58.20%,-9.86,13.90%,0.3,Starter,No
David Peterson,2022,NYM,27.70%,52.20%,-0.72,17.20%,1.4,Starter,No
David Phelps,2021,TOR,29.60%,54.80%,3.81,26.20%,0.4,Reliever,No
David Phelps,2022,TOR,26.90%,59.90%,9.02,12.10%,0.7,Reliever,No
David Price,2021,LAD,26.70%,68.10%,-1.17,9.80%,0.7,Reliever,No
David Price,2022,LAD,27.00%,66.50%,4.75,16.80%,0.1,Reliever,No
David Robertson,2021,TBR,31.30%,66.00%,-1.39,24.00%,0.1,Reliever,No
David Robertson,2022,- - -,33.00%,65.90%,14.27,17.40%,0.7,Reliever,No
Dean Kremer,2021,BAL,23.60%,55.90%,-15.74,9.00%,-0.3,Starter,No
Dean Kremer,2022,BAL,25.20%,65.20%,12.95,10.40%,1.8,Starter,No
Dennis Santana,2021,- - -,27.00%,57.00%,-1.7,5.90%,0.1,Reliever,No
Dennis Santana,2022,TEX,28.90%,52.90%,-8.16,10.20%,0.7,Reliever,No
Derek Law,2021,MIN,28.80%,58.20%,-3.63,9.00%,0,Reliever,No
Derek Law,2022,- - -,27.80%,64.10%,-4.5,9.80%,-0.1,Reliever,No
Devin Smeltzer,2021,MIN,26.90%,52.90%,2.03,11.80%,0,Starter,No
Devin Smeltzer,2022,MIN,25.20%,60.60%,2.46,7.30%,-0.1,Starter,No
Devin Williams,2021,MIL,34.80%,58.80%,8.82,26.10%,1.4,Reliever,No
Devin Williams,2022,MIL,33.90%,57.90%,12.47,27.50%,2.2,Reliever,No
Diego Castillo,2021,- - -,32.10%,57.10%,6.03,24.90%,0.7,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-4.21,14.00%,0.3,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-4.21,14.00%,-0.1,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-4.21,-13.30%,0.3,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-4.21,-13.30%,-0.1,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-6.99,14.00%,0.3,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-6.99,14.00%,-0.1,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-6.99,-13.30%,0.3,Reliever,No
Diego Castillo,2022,SEA,27.80%,56.30%,-6.99,-13.30%,-0.1,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-4.21,14.00%,0.3,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-4.21,14.00%,-0.1,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-4.21,-13.30%,0.3,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-4.21,-13.30%,-0.1,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-6.99,14.00%,0.3,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-6.99,14.00%,-0.1,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-6.99,-13.30%,0.3,Reliever,No
Diego Castillo (PIT),2022,PIT,21.70%,13.30%,-6.99,-13.30%,-0.1,Reliever,No
Dillon Peters,2021,PIT,27.30%,74.40%,1.17,11.10%,0.5,Reliever,No
Dillon Peters,2022,PIT,24.60%,55.80%,-1.47,5.50%,-0.1,Reliever,No
Dillon Tate,2021,BAL,28.20%,62.00%,-4.48,9.10%,0.4,Reliever,No
Dillon Tate,2022,BAL,29.60%,64.70%,14.76,15.10%,0.5,Reliever,No
Dinelson Lamet,2021,SDP,30.90%,62.20%,0.82,16.70%,0.7,Reliever,No
Dinelson Lamet,2022,- - -,32.40%,60.40%,-10.05,17.40%,0.2,Reliever,No
Domingo Acevedo,2021,OAK,25.30%,63.60%,1.43,11.40%,-0.1,Reliever,No
Domingo Acevedo,2022,OAK,27.90%,59.00%,5.51,15.40%,0,Reliever,No
Domingo German,2021,NYY,30.00%,63.40%,1.02,17.30%,1.3,Starter,No
Domingo German,2022,NYY,28.50%,65.80%,1.35,13.10%,0.7,Starter,No
Domingo Tapia,2021,- - -,25.60%,49.60%,9.07,8.10%,0.5,Reliever,No
Domingo Tapia,2022,OAK,24.20%,56.70%,-9.78,-2.20%,-0.1,Reliever,No
Dominic Leone,2021,SFG,27.70%,59.40%,12.64,12.80%,0.9,Reliever,No
Dominic Leone,2022,SFG,28.60%,60.80%,-3.74,12.60%,0,Reliever,No
Drew Carlton,2021,DET,15.10%,52.60%,-0.87,-15.80%,-0.1,Reliever,No
Drew Carlton,2022,DET,23.30%,59.40%,-0.25,21.90%,0.1,Reliever,No
Drew Hutchison,2021,DET,21.50%,61.50%,1.4,-1.10%,0.1,Starter,No
Drew Hutchison,2022,DET,23.60%,60.30%,-7.23,5.60%,0.1,Starter,No
Drew Rasmussen,2021,- - -,29.00%,68.70%,10.59,15.60%,1.4,Starter,No
Drew Rasmussen,2022,TBR,25.90%,62.70%,15.14,16.10%,2.9,Starter,No
Drew Smith,2021,NYM,28.50%,66.10%,8.47,15.20%,0,Reliever,No
Drew Smith,2022,NYM,29.00%,57.20%,-1.91,20.30%,-0.1,Reliever,No
Drew Smyly,2021,ATL,28.10%,64.50%,-2.75,13.90%,0.3,Starter,Yes
Drew Smyly,2022,CHC,27.50%,68.50%,10.38,14.50%,1.3,Starter,Yes
Drew Steckenrider,2021,SEA,26.20%,63.70%,18.43,15.40%,1.3,Reliever,No
Drew Steckenrider,2022,SEA,21.30%,51.50%,-3.96,7.40%,0,Reliever,No
Duane Underwood Jr.,2021,PIT,27.90%,61.90%,-10.42,11.90%,0.2,Reliever,No
Duane Underwood Jr.,2022,PIT,26.70%,57.50%,-4.32,12.40%,0.9,Reliever,No
Dusten Knight,2021,BAL,29.60%,61.40%,-4.19,13.60%,0.1,Reliever,No
Dusten Knight,2022,TBR,27.10%,59.20%,-3.37,10.20%,-0.3,Reliever,No
Dustin May,2021,LAD,34.00%,63.40%,2.81,31.20%,0.5,Reliever,No
Dustin May,2022,LAD,28.70%,59.10%,-1.95,11.80%,0.3,Reliever,No
Dylan Bundy,2021,LAA,29.90%,57.40%,-16.57,12.60%,0.1,Starter,Yes
Dylan Bundy,2022,MIN,26.70%,67.60%,-13.02,11.10%,0.7,Starter,Yes
Dylan Cease,2021,CHW,30.30%,58.30%,10.81,22.30%,4.4,Starter,No
Dylan Cease,2022,CHW,29.90%,58.20%,33.75,19.90%,4.4,Starter,No
Dylan Coleman,2021,KCR,22.00%,44.00%,3.87,24.00%,0.2,Reliever,No
Dylan Coleman,2022,KCR,28.50%,54.30%,7.08,11.80%,0.4,Reliever,No
Dylan Floro,2021,MIA,27.00%,64.80%,4.84,13.70%,1.5,Reliever,No
Dylan Floro,2022,MIA,28.20%,64.10%,3.01,15.00%,0.7,Reliever,No
Dylan Lee,2021,ATL,34.50%,88.90%,-0.94,33.30%,0,Reliever,No
Dylan Lee,2022,ATL,31.60%,60.70%,6.86,24.40%,1.1,Reliever,No
Eduard Bazardo,2021,BOS,30.80%,58.30%,1.67,8.30%,0.1,Reliever,No
Eduard Bazardo,2022,BOS,26.70%,55.40%,2,10.80%,-0.2,Reliever,No
Eduardo Rodriguez,2021,BOS,28.10%,63.60%,-4.17,20.40%,3.9,Starter,Yes
Eduardo Rodriguez,2022,DET,23.80%,63.90%,-7.06,9.70%,0.6,Starter,Yes
Edward Cabrera,2021,MIA,26.10%,52.50%,-9.02,7.50%,-0.4,Starter,No
Edward Cabrera,2022,MIA,30.60%,56.00%,14.51,14.40%,0.3,Starter,No
Edwin Diaz,2021,NYM,30.80%,59.10%,0.74,25.70%,2,Reliever,No
Edwin Diaz,2022,NYM,42.10%,71.10%,20.37,42.60%,3,Reliever,No
Edwin Uceta,2021,LAD,29.60%,59.80%,-7.59,14.10%,0.1,Reliever,No
Edwin Uceta,2022,ARI,24.70%,57.50%,-4.14,8.20%,0,Reliever,No
Eli Morgan,2021,CLE,26.50%,67.50%,-3.99,15.60%,0.4,Reliever,No
Eli Morgan,2022,CLE,27.90%,70.30%,5.95,23.00%,0.6,Reliever,No
Elieser Hernandez,2021,MIA,28.90%,66.20%,-2.73,17.30%,0,Reliever,No
Elieser Hernandez,2022,MIA,26.40%,69.10%,-19.6,13.70%,-0.9,Reliever,No
Elvis Peguero,2021,LAA,17.20%,47.10%,-3.53,-17.60%,-0.1,Reliever,No
Elvis Peguero,2022,LAA,26.00%,54.50%,-8.75,9.10%,-0.2,Reliever,No
Emilio Pagan,2021,SDP,26.90%,59.70%,-6.27,19.40%,-0.4,Reliever,No
Emilio Pagan,2022,MIN,28.20%,63.90%,-5.93,21.20%,-0.1,Reliever,No
Emmanuel Clase,2021,CLE,30.30%,63.10%,15.45,20.80%,2.2,Reliever,No
Emmanuel Clase,2022,CLE,30.40%,64.60%,14.15,24.70%,2.4,Reliever,No
Enoli Paredes,2021,HOU,25.20%,34.00%,-6.25,-3.80%,-0.1,Reliever,No
Enoli Paredes,2022,HOU,24.60%,64.30%,0.33,-7.10%,0,Reliever,No
Enyel De Los Santos,2021,- - -,27.00%,64.70%,-16.38,17.30%,-0.1,Reliever,No
Enyel De Los Santos,2022,CLE,28.90%,65.60%,9.66,20.50%,1,Reliever,No
Erasmo Ramirez,2021,DET,24.50%,63.30%,-0.14,13.80%,0,Reliever,No
Erasmo Ramirez,2022,WSN,26.10%,64.80%,11.74,13.50%,0.4,Reliever,No
Eric Lauer,2021,MIL,26.20%,61.30%,12.89,15.50%,1.7,Starter,No
Eric Lauer,2022,MIL,27.40%,61.70%,6.97,14.80%,1.1,Starter,No
Erick Fedde,2021,WSN,25.10%,62.40%,-19.4,13.60%,1.2,Starter,No
Erick Fedde,2022,WSN,24.50%,61.40%,-18.37,6.30%,0.4,Starter,No
Erik Swanson,2021,SEA,25.50%,56.90%,1.23,17.40%,0.4,Reliever,No
Erik Swanson,2022,SEA,30.20%,65.00%,9.53,29.10%,1.7,Reliever,No
Evan Phillips,2021,- - -,27.50%,67.20%,-0.15,10.30%,0.1,Reliever,No
Evan Phillips,2022,LAD,32.70%,67.40%,23.72,26.60%,2.2,Reliever,No
Framber Valdez,2021,HOU,28.80%,54.20%,14.33,11.70%,1.9,Starter,No
Framber Valdez,2022,HOU,28.80%,59.30%,21.31,15.40%,4.4,Starter,No
Francisco Perez,2021,CLE,26.20%,42.90%,-0.17,7.10%,0.1,Reliever,No
Francisco Perez,2022,WSN,21.00%,60.40%,-4.14,-4.20%,-0.2,Reliever,No
Frankie Montas,2021,OAK,29.20%,65.20%,12.52,19.30%,4,Starter,No
Frankie Montas,2022,- - -,25.60%,60.70%,-4.76,16.30%,2,Starter,No
Freddy Peralta,2021,MIL,31.30%,61.20%,28.25,24.00%,4,Starter,No
Freddy Peralta,2022,MIL,29.60%,58.00%,7.02,18.60%,2,Starter,No
Gabe Speier,2021,KCR,29.50%,69.70%,0.26,15.20%,0.2,Reliever,No
Gabe Speier,2022,KCR,22.50%,45.50%,1.53,11.70%,0.1,Reliever,No
Garrett Cleavinger,2021,LAD,33.10%,54.80%,-5.86,10.70%,-0.3,Reliever,No
Garrett Cleavinger,2022,- - -,35.40%,57.60%,-0.14,27.20%,0.4,Reliever,No
Garrett Richards,2021,BOS,25.40%,59.30%,-8.75,8.90%,1,Reliever,Yes
Garrett Richards,2022,TEX,26.70%,58.90%,-6.32,12.40%,0.3,Reliever,Yes
Garrett Whitlock,2021,BOS,30.30%,64.40%,21.34,21.50%,1.6,Reliever,No
Garrett Whitlock,2022,BOS,30.40%,65.90%,7.63,21.50%,1.4,Reliever,No
Genesis Cabrera,2021,STL,25.90%,53.00%,-2.97,13.90%,1.2,Reliever,No
Genesis Cabrera,2022,STL,25.50%,63.90%,-6.67,6.20%,-0.8,Reliever,No
German Marquez,2021,COL,28.00%,57.80%,13.44,14.80%,3.5,Starter,No
German Marquez,2022,COL,25.70%,65.10%,-8.31,11.20%,1.4,Starter,No
Gerrit Cole,2021,NYY,32.10%,66.80%,27.04,27.80%,5.2,Starter,No
Gerrit Cole,2022,NYY,31.90%,61.30%,13.08,26.10%,3.3,Starter,No
Giovanny Gallegos,2021,STL,30.70%,61.60%,19.67,24.20%,2.2,Reliever,No
Giovanny Gallegos,2022,STL,31.80%,67.20%,4.68,23.40%,1.3,Reliever,No
Glenn Otto,2021,TEX,27.70%,73.00%,-11.93,18.00%,0.6,Starter,No
Glenn Otto,2022,TEX,25.50%,53.30%,-9.86,7.70%,0,Starter,No
Greg Holland,2021,KCR,27.50%,54.70%,-4.51,11.10%,-0.2,Reliever,No
Greg Holland,2022,TEX,30.00%,60.00%,-3.29,20.00%,-0.4,Reliever,No
Gregory Santos,2021,SFG,28.30%,53.80%,-4.42,7.70%,-0.5,Reliever,No
Gregory Santos,2022,SFG,23.90%,76.50%,0,-5.90%,0,Reliever,No
Gregory Soto,2021,DET,30.80%,58.70%,3.22,13.00%,0.4,Reliever,No
Gregory Soto,2022,DET,26.00%,56.70%,-3.58,9.90%,0.6,Reliever,No
Griffin Jax,2021,MIN,25.50%,59.20%,-18.94,10.00%,-0.8,Reliever,No
Griffin Jax,2022,MIN,32.00%,64.50%,2.22,20.00%,0.9,Reliever,No
Hansel Robles,2021,- - -,26.30%,55.60%,-0.05,13.10%,0.1,Reliever,No
Hansel Robles,2022,BOS,24.20%,53.20%,-5.47,6.30%,-0.7,Reliever,No
Hanser Alberto,2021,KCR,0.00%, ,0.34,0.00%,0,Reliever,No
Hanser Alberto,2022,LAD,12.50%,44.70%,0.42,-4.30%,-0.1,Reliever,No
Harold Castro,2021,DET,12.50%,45.50%,1.33,-27.30%,0,Reliever,No
Harold Castro,2022,DET,20.00%,66.70%,-0.1,0.00%,0,Reliever,No
Heath Hembree,2021,- - -,28.70%,63.80%,-3.73,24.30%,0.3,Reliever,No
Heath Hembree,2022,- - -,26.30%,56.10%,-9.73,0.00%,-0.7,Reliever,No
Hector Neris,2021,PHI,31.90%,59.70%,0.64,21.30%,0.5,Reliever,No
Hector Neris,2022,HOU,31.10%,59.30%,2.08,23.60%,1.6,Reliever,No
Hirokazu Sawamura,2021,BOS,27.50%,48.50%,7.54,12.40%,-0.2,Reliever,No
Hirokazu Sawamura,2022,BOS,25.40%,53.80%,-5.5,5.90%,0,Reliever,No
Hoby Milner,2021,MIL,31.80%,71.70%,-6.89,27.30%,-0.2,Reliever,No
Hoby Milner,2022,MIL,30.80%,56.60%,6.09,18.00%,0.7,Reliever,No
Huascar Ynoa,2021,ATL,30.60%,58.90%,4.51,20.20%,1.4,Reliever,No
Huascar Ynoa,2022,ATL,21.10%,54.10%,-5,5.40%,-0.2,Reliever,No
Humberto Castellanos,2021,ARI,26.00%,55.10%,-2.83,7.10%,0.1,Reliever,No
Humberto Castellanos,2022,ARI,25.80%,58.80%,-6.2,10.30%,0.1,Reliever,No
Hunter Harvey,2021,BAL,23.70%,58.30%,-0.61,8.30%,0.1,Reliever,No
Hunter Harvey,2022,WSN,28.40%,62.40%,5.99,21.00%,1,Reliever,No
Hunter Strickland,2021,- - -,27.80%,59.10%,12,14.90%,0.3,Reliever,No
Hunter Strickland,2022,CIN,26.20%,61.60%,-4.6,9.50%,0,Reliever,No
Hyun-Jin Ryu,2021,TOR,28.50%,63.90%,7.03,15.10%,2.5,Reliever,No
Hyun-Jin Ryu,2022,TOR,25.10%,57.50%,-2.84,10.60%,0.1,Reliever,No
Ian Anderson,2021,ATL,27.20%,58.70%,14.25,13.30%,1.8,Starter,No
Ian Anderson,2022,ATL,25.70%,56.80%,-2.59,8.70%,0.9,Starter,No
Ian Gibaut,2021,MIN,20.20%,64.30%,1.14,7.10%,-0.1,Reliever,No
Ian Gibaut,2022,- - -,29.00%,54.40%,-0.31,18.80%,0.6,Reliever,No
Ian Kennedy,2021,- - -,27.70%,67.50%,6.5,19.70%,0,Reliever,No
Ian Kennedy,2022,ARI,23.60%,66.40%,-8.43,9.50%,-0.9,Reliever,No
J.B. Wendelken,2021,- - -,25.20%,56.20%,-2.46,8.80%,0.2,Reliever,No
J.B. Wendelken,2022,ARI,23.00%,50.80%,-1.42,5.70%,-0.3,Reliever,No
J.P. Feyereisen,2021,- - -,27.70%,63.20%,3.9,8.50%,0.3,Reliever,No
J.P. Feyereisen,2022,TBR,29.90%,65.10%,10.65,23.30%,1,Reliever,No
JC Mejia,2021,CLE,25.10%,54.20%,-18.53,9.70%,-0.5,Reliever,No
JC Mejia,2022,MIL,25.40%,56.30%,-6.06,-25.00%,-0.1,Reliever,No
JT Brubaker,2021,PIT,28.60%,61.70%,-10.42,16.90%,0.4,Starter,No
JT Brubaker,2022,PIT,29.60%,63.90%,-14.38,14.40%,1.9,Starter,No
JT Chargois,2021,- - -,27.30%,53.70%,8.2,15.30%,0.3,Reliever,No
JT Chargois,2022,TBR,29.60%,67.40%,3.63,14.00%,-0.1,Reliever,No
Jace Peterson,2021,MIL,25.00%,54.50%,-0.98,9.10%,0,Reliever,No
Jace Peterson,2022,MIL,25.00%,100.00%,0.64,0.00%,0,Reliever,No
Jack Flaherty,2021,STL,28.20%,58.70%,2.99,18.30%,0.9,Reliever,No
Jack Flaherty,2022,STL,25.50%,54.50%,-1.2,6.60%,0,Reliever,No
Jack Mayfield,2021,SEA,33.30%,100.00%,0.74,0.00%,0,Reliever,No
Jack Mayfield,2022,LAA,30.80%,75.00%,0.43,0.00%,0,Reliever,No
Jackson Kowar,2021,KCR,25.50%,53.20%,-23.84,5.80%,-0.3,Reliever,No
Jackson Kowar,2022,KCR,28.00%,52.40%,-11.15,7.30%,-0.3,Reliever,No
Jacob Barnes,2021,- - -,26.80%,60.90%,-5.82,17.20%,-0.3,Reliever,No
Jacob Barnes,2022,- - -,22.20%,70.10%,-3.34,3.10%,-0.3,Reliever,No
Jacob deGrom,2021,NYM,35.80%,63.00%,29.66,41.70%,4.9,Reliever,No
Jacob deGrom,2022,NYM,35.40%,69.90%,8.59,39.30%,2.2,Reliever,No
Jaime Barria,2021,LAA,23.90%,60.00%,-0.98,6.40%,0.5,Reliever,No
Jaime Barria,2022,LAA,26.40%,68.40%,3.78,11.10%,0.1,Reliever,No
Jake Brentz,2021,KCR,29.40%,56.80%,1.72,14.00%,0.2,Reliever,No
Jake Brentz,2022,KCR,29.40%,44.70%,-10.76,-5.30%,-0.3,Reliever,No
Jake Cousins,2021,MIL,37.10%,60.80%,7.22,20.00%,0.2,Reliever,No
Jake Cousins,2022,MIL,33.70%,57.60%,1.07,22.00%,0.2,Reliever,No
Jake Diekman,2021,OAK,30.90%,59.20%,-4.69,18.70%,-0.1,Reliever,No
Jake Diekman,2022,- - -,30.40%,61.70%,-17.91,13.80%,-0.6,Reliever,No
Jake McGee,2021,SFG,25.40%,66.10%,4.91,20.10%,1.1,Reliever,No
Jake McGee,2022,- - -,22.30%,58.90%,-6.62,8.00%,-0.1,Reliever,No
Jake Odorizzi,2021,HOU,23.80%,56.70%,1.29,12.90%,1.1,Starter,No
Jake Odorizzi,2022,- - -,23.60%,54.30%,-7.29,11.30%,1.3,Starter,No
Jake Reed,2021,- - -,33.10%,58.10%,-1.31,18.60%,0.2,Reliever,No
Jake Reed,2022,- - -,29.30%,59.70%,-8.24,6.50%,0,Reliever,No
Jake Woodford,2021,STL,25.00%,58.40%,-2.82,8.50%,0.4,Reliever,No
Jake Woodford,2022,STL,23.80%,60.10%,10.89,6.90%,0.6,Reliever,No
Jakob Junis,2021,KCR,30.00%,56.50%,0.02,17.30%,0.5,Starter,No
Jakob Junis,2022,SFG,29.70%,66.90%,-0.49,15.30%,1.3,Starter,No
James Kaprielian,2021,OAK,28.40%,59.20%,5.41,16.30%,1.2,Starter,No
James Kaprielian,2022,OAK,24.90%,58.10%,-2.29,6.90%,0.3,Starter,No
James Karinchak,2021,CLE,29.50%,55.30%,0.43,19.60%,0.2,Reliever,No
James Karinchak,2022,CLE,32.80%,55.00%,7.38,25.60%,1,Reliever,No
James Norwood,2021,SDP,24.50%,78.30%,1.21,0.00%,0.1,Reliever,No
James Norwood,2022,PHI,22.70%,63.50%,-6.46,15.30%,0.1,Reliever,No
Jameson Taillon,2021,NYY,27.00%,62.70%,-1.4,15.90%,1.9,Starter,No
Jameson Taillon,2022,NYY,26.30%,63.60%,4.79,16.30%,2.3,Starter,No
Jandel Gustave,2021,MIL,24.10%,54.40%,0.31,10.10%,0,Reliever,No
Jandel Gustave,2022,MIL,26.20%,64.20%,-1.6,13.30%,0,Reliever,No
Janson Junk,2021,LAA,25.50%,64.80%,-3.74,11.30%,-0.1,Reliever,No
Janson Junk,2022,LAA,25.20%,62.20%,-2.23,21.60%,0.2,Reliever,No
Jarlin Garcia,2021,SFG,29.90%,60.60%,8.92,18.60%,0.4,Reliever,No
Jarlin Garcia,2022,SFG,27.90%,60.00%,-9.24,14.10%,-0.1,Reliever,No
Jason Adam,2021,CHC,27.10%,42.00%,-2.87,26.00%,0.1,Reliever,No
Jason Adam,2022,TBR,35.20%,64.10%,20.01,24.50%,1.3,Reliever,No
Jason Foley,2021,DET,23.20%,51.10%,2.22,2.20%,-0.1,Reliever,No
Jason Foley,2022,DET,24.80%,64.80%,-4.21,12.50%,0.8,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,0.27,5.60%,0.1,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,0.27,5.60%,-0.3,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,0.27,2.70%,0.1,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,0.27,2.70%,-0.3,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,-10.14,5.60%,0.1,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,-10.14,5.60%,-0.3,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,-10.14,2.70%,0.1,Reliever,No
Javy Guerra,2021,SDP,13.60%,55.60%,-10.14,2.70%,-0.3,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,0.27,5.60%,0.1,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,0.27,5.60%,-0.3,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,0.27,2.70%,0.1,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,0.27,2.70%,-0.3,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,-10.14,5.60%,0.1,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,-10.14,5.60%,-0.3,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,-10.14,2.70%,0.1,Reliever,No
Javy Guerra,2021,WSN,19.60%,48.60%,-10.14,2.70%,-0.3,Reliever,No
Javy Guerra,2022,- - -,22.70%,57.30%,-3.25,-1.20%,-0.3,Reliever,No
Jay Jackson,2021,SFG,30.40%,51.10%,2.76,17.80%,0.1,Reliever,No
Jay Jackson,2022,ATL,25.00%,40.00%,0.61,20.00%,0,Reliever,No
Jeff Hoffman,2021,CIN,27.40%,54.30%,-2.46,10.10%,0.2,Reliever,No
Jeff Hoffman,2022,CIN,25.80%,52.80%,0.7,11.20%,0.2,Reliever,No
Jeffrey Springs,2021,TBR,33.20%,63.70%,-0.23,27.40%,0.2,Starter,No
Jeffrey Springs,2022,TBR,29.80%,64.10%,18.71,20.60%,3,Starter,No
Jerad Eickhoff,2021,NYM,21.80%,62.50%,-14.88,2.90%,-0.7,Reliever,No
Jerad Eickhoff,2022,PIT,22.90%,63.00%,-8.42,11.10%,-0.2,Reliever,No
Jeremy Beasley,2021,TOR,27.30%,38.30%,-5.93,8.50%,-0.2,Reliever,No
Jeremy Beasley,2022,TOR,26.60%,65.60%,-2.43,21.90%,-0.1,Reliever,No
Jesse Chavez,2021,ATL,28.20%,64.70%,7.29,18.80%,1,Reliever,No
Jesse Chavez,2022,- - -,30.60%,67.10%,-3.59,18.50%,0.7,Reliever,No
Jesus Luzardo,2021,- - -,27.40%,58.40%,-25.33,11.40%,-0.2,Starter,No
Jesus Luzardo,2022,MIA,31.00%,65.30%,9.82,21.30%,2.2,Starter,No
Jesus Tinoco,2021,COL,21.90%,60.00%,-5.23,-10.00%,-0.3,Reliever,No
Jesus Tinoco,2022,TEX,29.10%,58.30%,3.69,9.50%,0,Reliever,No
Jeurys Familia,2021,NYM,29.30%,61.10%,-1.97,17.20%,0,Reliever,No
Jeurys Familia,2022,- - -,27.90%,51.00%,-14.24,9.30%,-0.3,Reliever,No
Jharel Cotton,2021,TEX,26.60%,62.80%,3.38,10.90%,0.4,Reliever,No
Jharel Cotton,2022,- - -,25.90%,58.00%,0.8,10.50%,-0.3,Reliever,No
Jhon Romero,2021,WSN,24.40%,41.20%,0.19,17.60%,0.1,Reliever,No
Jhon Romero,2022,MIN,27.80%,75.00%,-0.76,20.80%,0.1,Reliever,No
Jhonathan Diaz,2021,LAA,25.70%,52.50%,-0.03,3.40%,0.1,Reliever,No
Jhonathan Diaz,2022,LAA,22.90%,47.00%,1.45,1.50%,0.1,Reliever,No
Jhoulys Chacin,2021,COL,25.00%,54.60%,2.49,7.10%,0.2,Reliever,No
Jhoulys Chacin,2022,COL,25.60%,57.50%,-10.82,7.30%,-0.2,Reliever,No
Jimmy Herget,2021,- - -,33.80%,60.30%,-3.54,20.50%,0.3,Reliever,No
Jimmy Herget,2022,LAA,30.60%,62.40%,13.15,18.00%,1.6,Reliever,No
Jimmy Lambert,2021,CHW,19.90%,56.70%,-2.42,6.70%,-0.1,Reliever,No
Jimmy Lambert,2022,CHW,26.90%,61.80%,3.03,10.30%,0.3,Reliever,No
JoJo Romero,2021,PHI,25.10%,54.50%,-6.66,9.10%,-0.5,Reliever,No
JoJo Romero,2022,- - -,31.00%,61.20%,-0.28,10.40%,-0.2,Reliever,No
Joan Adon,2021,WSN,35.10%,62.50%,1.21,25.00%,0.1,Starter,No
Joan Adon,2022,WSN,23.30%,56.50%,-20.6,5.20%,0.1,Starter,No
Joe Barlow,2021,TEX,27.70%,57.70%,5.95,13.50%,0.4,Reliever,No
Joe Barlow,2022,TEX,28.70%,63.00%,-1.25,10.30%,-0.3,Reliever,No
Joe Jimenez,2021,DET,27.30%,58.60%,-7,10.50%,-0.2,Reliever,No
Joe Jimenez,2022,DET,30.50%,62.30%,-0.02,27.70%,1.4,Reliever,No
Joe Kelly,2021,LAD,33.80%,58.20%,7.64,19.20%,0.7,Reliever,No
Joe Kelly,2022,CHW,32.70%,53.50%,-6.13,17.60%,0.5,Reliever,No
Joe Mantiply,2021,ARI,32.40%,63.30%,-1.73,11.90%,0.7,Reliever,No
Joe Mantiply,2022,ARI,32.60%,63.00%,4.19,22.60%,1.2,Reliever,No
Joe Musgrove,2021,SDP,31.40%,60.80%,17.53,19.90%,3.4,Starter,No
Joe Musgrove,2022,SDP,30.80%,64.50%,19.68,19.20%,3.5,Starter,No
Joe Ryan,2021,MIN,29.40%,65.00%,1.52,25.00%,0.6,Starter,No
