Name,Team,F-Strike%
Chris Paddack,MIN,67.2
Chris Sale,BOS,60.0
Chris Stratton,PIT,63.925
Chris Stratton,STL,55.35
Christian Bethancourt,TBR,85.0
Christian Bethancourt,OAK,50.0
Cionel Perez,BAL,60.866666666666674
Clarke Schmidt,NYY,56.13333333333333
Clay Holmes,NYY,54.6
Clayton Kershaw,LAD,66.36666666666666
Cody Morris,CLE,63.0
Cody Poteet,MIA,56.0
Cody Sedlock,BAL,62.5
Cody Stashak,MIN,63.1
Cole Irvin,OAK,66.01666666666667
Cole Ragans,TEX,60.05
Cole Sands,MIN,56.575
Cole Sulser,MIA,63.279999999999994
Cole Waites,SFG,72.0
Colin Holderman,NYM,60.833333333333336
Colin Holderman,PIT,60.8
Colin Poche,TBR,54.75
Collin McHugh,ATL,64.91666666666667
Collin Snider,KCR,50.7
Collin Wiles,OAK,58.5
Conner Menez,CHC,20.0
Connor Brogdon,PHI,64.88333333333333
Connor Overton,CIN,63.86666666666667
Connor Sadzeck,MIL,69.2
Connor Seabold,BOS,61.26666666666667
Cooper Criswell,TBR,84.6
Corbin Burnes,MIL,57.416666666666664
Corbin Martin,ARI,58.699999999999996
Corey Dickerson,STL,66.7
Corey Kluber,TBR,67.68333333333334
Corey Knebel,PHI,56.620000000000005
Cory Abbott,WSN,52.475
Craig Kimbrel,LAD,63.63333333333333
Craig Stammen,SDP,59.260000000000005
Cristian Javier,HOU,55.13333333333333
Cristofer Ogando,TBR,64.6
Cristopher Sanchez,PHI,56.26666666666666
DL Hall,BAL,52.599999999999994
Dakota Hudson,STL,59.300000000000004
Dallas Keuchel,TEX,67.15
Dallas Keuchel,ARI,48.8
Dallas Keuchel,CHW,57.2
Damon Jones,PHI,38.5
Dane Dunning,TEX,59.38333333333333
Daniel Bard,COL,59.300000000000004
Daniel Castano,MIA,55.599999999999994
Daniel Duarte,CIN,78.6
Daniel Hudson,LAD,53.23333333333333
Daniel Lynch,KCR,58.28333333333333
Daniel Mengden,KCR,74.6
Daniel Norris,DET,61.8
Daniel Norris,CHC,54.175
Danny Coulombe,MIN,61.25
Danny Young,SEA,85.0
Danny Young,ATL,66.7
Dany Jimenez,OAK,62.85
Darick Hall,PHI,50.0
Darin Ruf,NYM,85.7
Darren O'Day,ATL,64.6
Darwinzon Hernandez,BOS,48.6
Daulton Jefferies,OAK,58.55
Dauri Moreta,CIN,59.28333333333333
David Bednar,PIT,59.879999999999995
David McKay,NYY,55.6
David McKay,- - -,60.9
David Peterson,NYM,51.35
David Phelps,TOR,60.550000000000004
David Price,LAD,63.18333333333334
David Robertson,PHI,63.5
David Robertson,CHC,67.95
Davis Martin,CHW,65.92
Dean Kremer,BAL,65.225
Dee Strange-Gordon,WSN,50.0
Dennis Santana,TEX,51.56666666666666
Denyi Reyes,BAL,61.900000000000006
Dereck Rodriguez,MIN,56.85
Derek Law,- - -,58.8
Derek Law,CIN,66.2
Derek Law,DET,57.1
Devin Smeltzer,MIN,60.25
Devin Williams,MIL,58.166666666666664
Diego Castillo,PIT,28.6
Diego Castillo,SEA,55.583333333333336
Dillon Peters,PIT,60.98
Dillon Tate,BAL,64.53333333333333
Dinelson Lamet,SDP,66.43333333333334
Dinelson Lamet,COL,54.4
Domingo Acevedo,OAK,58.550000000000004
Domingo German,NYY,64.63333333333333
Domingo Tapia,OAK,51.279999999999994
Dominic Leone,SFG,60.06666666666666
Donovan Walton,SFG,42.9
Drew Carlton,DET,55.75
Drew Hutchison,DET,62.5
Drew Rasmussen,TBR,63.43333333333334
Drew Smith,NYM,56.660000000000004
Drew Smyly,CHC,67.82000000000001
Drew Steckenrider,SEA,51.15
Drew VerHagen,STL,59.15
Drey Jameson,ARI,58.2
Duane Underwood Jr.,PIT,63.98333333333333
Dusten Knight,TBR,60.3
Dustin May,LAD,58.9
Dylan Bundy,MIN,67.63333333333334
Dylan Cease,CHW,58.13333333333333
Dylan Coleman,KCR,54.13333333333333
Dylan Floro,MIA,63.36
Dylan Lee,ATL,61.42
Easton McGee,TBR,57.1
Eduard Bazardo,BOS,55.4
Eduardo Rodriguez,DET,63.725
Edward Cabrera,MIA,55.86666666666667
Edwin Diaz,NYM,71.48333333333333
Edwin Uceta,ARI,57.42
Ehire Adrianza,WSN,25.0
Eli Morgan,CLE,69.55
Elieser Hernandez,MIA,69.11666666666666
Elvin Rodriguez,DET,51.339999999999996
Elvis Peguero,LAA,48.46666666666667
Emilio Pagan,MIN,61.88333333333333
Emmanuel Clase,CLE,63.199999999999996
Enoli Paredes,HOU,64.25
Enyel De Los Santos,CLE,68.51666666666667
Erasmo Ramirez,WSN,65.73333333333333
Eric Lauer,MIL,61.36666666666667
Eric Stout,PIT,58.166666666666664
Eric Stout,CHC,66.7
Erich Uelmen,CHC,59.699999999999996
Erick Fedde,WSN,61.416666666666664
Erik Swanson,SEA,63.63333333333333
Ernie Clement,CLE,55.0
Ethan Roberts,CHC,50.0
Ethan Small,MIL,46.099999999999994
Evan Lee,WSN,55.8
Evan Phillips,LAD,67.51666666666667
Felix Bautista,BAL,60.333333333333336
Fernando Cruz,CIN,56.3
Foster Griffin,KCR,63.35
Foster Griffin,TOR,25.0
Framber Valdez,HOU,58.68333333333334
Francisco Morales,PHI,66.8
Francisco Perez,WSN,61.46666666666667
Frank German,BOS,60.9
Frank Schwindel,CHC,72.2
Frankie Montas,OAK,59.675
Frankie Montas,NYY,57.7
Franmil Reyes,CHC,66.7
Freddy Peralta,MIL,57.85
Freddy Tarnok,ATL,100.0
Gabe Speier,KCR,43.53333333333333
Garrett Cleavinger,LAD,53.43333333333334
Garrett Cleavinger,TBR,57.8
Garrett Hill,DET,60.5
Garrett Richards,TEX,58.64
Garrett Stubbs,PHI,59.73333333333333
Garrett Whitlock,BOS,65.93333333333334
Gavin Hollowell,COL,46.9
Genesis Cabrera,STL,65.16
George Kirby,SEA,67.6
Gerardo Reyes,LAA,58.3
German Marquez,COL,64.96666666666667
Gerrit Cole,NYY,60.96666666666667
Giovanny Gallegos,STL,67.39999999999999
Glenn Otto,TEX,52.21666666666667
Graham Ashcraft,CIN,58.279999999999994
Greg Holland,TEX,60.0
Greg Weissert,NYY,52.0
Gregory Santos,SFG,77.5
Gregory Soto,DET,56.083333333333336
Griffin Jax,MIN,64.41666666666667
Hansel Robles,BOS,50.975
Hanser Alberto,LAD,48.975
Harold Castro,DET,66.25
Hayden Wesneski,CHC,62.9
Heath Hembree,PIT,56.666666666666664
Heath Hembree,LAD,55.0
Hector Neris,HOU,59.300000000000004
Hirokazu Sawamura,BOS,54.32000000000001
Hoby Milner,MIL,55.75
Huascar Brazoban,MIA,59.03333333333333
Huascar Ynoa,ATL,54.1
Humberto Castellanos,ARI,58.6
Hunter Brown,HOU,63.8
Hunter Dozier,KCR,83.3
Hunter Gaddis,CLE,49.6
Hunter Greene,CIN,63.800000000000004
Hunter Harvey,WSN,58.475
Hunter Strickland,CIN,61.13333333333333
Hyun-Jin Ryu,TOR,59.1
Ian Anderson,ATL,56.32000000000001
Ian Gibaut,CLE,50.0
Ian Gibaut,CIN,55.06666666666666
Ian Hamilton,MIN,54.5
Ian Kennedy,ARI,68.73333333333333
Ildemaro Vargas,WSN,100.0
J.B. Wendelken,ARI,48.025
J.P. Feyereisen,TBR,66.63333333333334
JC Mejia,MIL,56.3
JP Sears,NYY,63.85
JP Sears,OAK,64.7
JT Brubaker,PIT,63.85
JT Chargois,TBR,75.7
Jace Peterson,MIL,100.0
Jack Flaherty,STL,55.35
Jack Mayfield,LAA,75.0
Jackie Bradley Jr.,BOS,42.9
Jackson Kowar,KCR,55.96666666666667
Jackson Stephens,ATL,59.083333333333336
Jackson Tetreault,WSN,60.95
Jacob Barnes,NYY,75.0
Jacob Barnes,DET,69.83333333333333
Jacob deGrom,NYM,69.75
Jaime Barria,LAA,68.3
Jake Bird,COL,54.375
Jake Brentz,KCR,44.7
Jake Cousins,MIL,58.599999999999994
Jake Diekman,BOS,57.724999999999994
Jake Diekman,CHW,66.4
Jake Fishman,MIA,61.9
Jake Hager,ARI,79.15
Jake Lemoine,OAK,63.6
Jake McGee,WSN,73.3
Jake McGee,- - -,54.1
Jake McGee,SFG,59.46666666666667
Jake Odorizzi,ATL,48.45
Jake Odorizzi,HOU,58.06666666666666
Jake Reed,- - -,65.0
Jake Reed,BAL,63.0
Jake Reed,LAD,83.3
Jake Reed,NYM,47.2
Jake Walsh,STL,46.7
Jake Woodford,STL,59.94
Jakob Junis,SFG,68.71666666666667
Jalen Beeks,TBR,64.03333333333333
James Kaprielian,OAK,57.92
James Karinchak,CLE,54.43333333333334
James Naile,STL,73.875
James Norwood,PHI,62.866666666666674
Jameson Taillon,NYY,63.51666666666667
Jandel Gustave,MIL,65.15
Janson Junk,LAA,73.06666666666666
Jared Koenig,OAK,57.1
Jared Solomon,CIN,64.83333333333333
Jarlin Garcia,SFG,59.449999999999996
Jason Adam,TBR,63.78333333333333
Jason Alexander,MIL,63.7
Jason Foley,DET,64.13333333333334
Javier Assad,CHC,56.8
Javy Guerra,TBR,52.55
Javy Guerra,- - -,55.3
Jay Jackson,ATL,40.0
Jeff Brigham,MIA,62.03333333333334
Jeff Hoffman,CIN,52.8
Jeffrey Springs,TBR,63.800000000000004
Jerad Eickhoff,PIT,63.0
Jeremiah Estrada,CHC,73.2
Jeremy Beasley,TOR,67.1
Jermaine Palacios,MIN,33.3
Jesse Chavez,LAA,60.0
Jesse Chavez,ATL,69.675
Jesse Chavez,- - -,64.3
Jesus Cruz,ATL,63.2
Jesus Luzardo,MIA,65.75
Jesus Tinoco,TEX,62.95
Jeurys Familia,BOS,53.15
Jeurys Familia,PHI,50.325
Jharel Cotton,MIN,56.04
Jharel Cotton,SFG,62.2
Jhoan Duran,MIN,63.28333333333333
Jhon Romero,MIN,75.0
Jhonathan Diaz,LAA,45.4
Jhoulys Chacin,COL,58.833333333333336
Jimmy Herget,LAA,62.2
Jimmy Lambert,CHW,62.1
Jimmy Yacabonis,TBR,75.0
Jimmy Yacabonis,MIA,61.0
JoJo Romero,STL,65.2
JoJo Romero,PHI,60.0
Joan Adon,WSN,55.225
Joe Barlow,TEX,65.3
Joe Jimenez,DET,63.050000000000004
Joe Kelly,CHW,55.4
Joe Mantiply,ARI,63.38333333333333
Joe Musgrove,SDP,64.5
Joe Ryan,MIN,64.5
Joe Smith,MIN,67.62
Joel Kuhnel,CIN,59.260000000000005
Joel Payamps,OAK,50.0
Joel Payamps,KCR,53.8
Joel Payamps,- - -,48.7
Joely Rodriguez,NYM,66.25
Joey Krehbiel,BAL,54.15
Joey Wentz,DET,57.3
Johan Oviedo,PIT,59.7
Johan Oviedo,STL,62.5
John Brebbia,SFG,68.7
John King,TEX,56.38333333333333
John Means,BAL,52.9
John Schreiber,BOS,53.333333333333336
Johnny Cueto,CHW,66.67999999999999
Jon Gray,TEX,65.45
Jon Heasley,KCR,56.160000000000004
Jonathan Hernandez,TEX,48.96666666666667
Jonathan Loaisiga,NYY,60.05999999999999
Jordan Hicks,STL,60.279999999999994
Jordan Holloway,MIA,72.7
Jordan Lyles,BAL,61.36666666666667
Jordan Montgomery,NYY,67.3
Jordan Montgomery,STL,62.400000000000006
Jordan Romano,TOR,68.64999999999999
Jordan Sheffield,COL,25.0
Jordan Weems,WSN,52.825
Jorge Alcala,MIN,60.0
Jorge Lopez,MIN,60.75
Jorge Lopez,BAL,62.775000000000006
Jose Alvarado,PHI,60.76666666666667
Jose Alvarez,SFG,45.23333333333333
Jose Berrios,TOR,66.08333333333333
Jose Butto,NYM,65.2
Jose Castillo,SDP,80.0
Jose Cisnero,DET,52.833333333333336
