Name,Team,F-Strike%
Ronel Blanco,HOU,62.5
Ronny Henriquez,MIN,54.0
Rony Garcia,DET,59.125
Ross Detwiler,CIN,55.900000000000006
Ross Stripling,TOR,70.13333333333334
Rowan Wick,CHC,59.26666666666667
Ryan Borucki,SEA,56.63333333333333
Ryan Borucki,TOR,53.7
Ryan Brasier,BOS,67.45
Ryan Burr,CHW,43.9
Ryan Castellani,OAK,72.7
Ryan Feltner,COL,60.88333333333333
Ryan Helsley,STL,62.6
Ryan Hendrix,CIN,48.53333333333333
Ryan McKenna,BAL,70.0
Ryan Pepiot,LAD,62.675
Ryan Pressly,HOU,66.73333333333333
Ryan Tepera,LAA,58.63333333333333
Ryan Thompson,TBR,58.720000000000006
Ryan Weathers,SDP,47.6
Ryan Weber,NYY,75.26666666666667
Ryan Yarbrough,TBR,69.36
Ryne Nelson,ARI,53.6
Ryne Stanek,HOU,59.81666666666666
Sam Clay,NYM,83.3
Sam Clay,WSN,53.35
Sam Coonrod,PHI,63.1
Sam Hentges,CLE,60.68333333333334
Sam Howard,PIT,75.0
Sam Moll,OAK,52.28333333333333
Sam Selman,OAK,56.86666666666667
Sammy Long,SFG,59.720000000000006
Sandy Alcantara,MIA,62.43333333333334
Sandy Leon,CLE,66.7
Scott Alexander,SFG,69.05000000000001
Scott Barlow,KCR,61.18333333333334
Scott Effross,CHC,66.0
Scott Effross,NYY,65.15
Sean Doolittle,WSN,76.5
Sean Hjelle,SFG,55.475
Sean Manaea,SDP,63.666666666666664
Sean Newcomb,CHC,56.1
Sean Newcomb,- - -,48.6
Sean Poppen,ARI,59.52
Sean Reid-Foley,NYM,65.9
Seranthony Dominguez,PHI,59.68333333333334
Sergio Romo,SEA,64.53333333333333
Sergio Romo,TOR,42.9
Seth Lugo,NYM,60.81666666666666
Seth Martinez,HOU,67.41666666666667
Shane Baz,TBR,58.8
Shane Bieber,CLE,66.25
Shane Greene,NYY,60.0
Shane Greene,LAD,87.5
Shane McClanahan,TBR,62.53333333333333
Shaun Anderson,TOR,85.7
Shawn Armstrong,TBR,62.92
Shawn Armstrong,MIA,52.9
Shelby Miller,SFG,70.0
Sheldon Neuse,OAK,47.76666666666667
Shohei Ohtani,LAA,60.949999999999996
Silvino Bracho,ATL,73.2
Simeon Woods Richardson,MIN,70.0
Sonny Gray,MIN,62.166666666666664
Spencer Howard,TEX,58.26666666666667
Spencer Patton,TEX,44.8
Spencer Strider,ATL,59.800000000000004
Spenser Watkins,BAL,65.78333333333333
Stephen Nogosek,NYM,63.160000000000004
Stephen Strasburg,WSN,60.9
Steve Cishek,WSN,59.833333333333336
Steven Brault,CHC,43.25
Steven Matz,STL,63.8
Steven Okert,MIA,54.75
Steven Wilson,SDP,59.96666666666667
T.J. McFarland,STL,53.660000000000004
T.J. Zeuch,CIN,59.4
Taijuan Walker,NYM,58.65
Tanner Banks,CHW,70.85000000000001
Tanner Houck,BOS,47.5
Tanner Rainey,WSN,56.775
Tanner Scott,MIA,54.46666666666667
Tanner Tully,CLE,49.96666666666667
Tarik Skubal,DET,65.88
Tayler Saucedo,TOR,53.3
Tayler Scott,SDP,55.55
Taylor Clarke,KCR,69.01666666666667
Taylor Hearn,TEX,64.5
Taylor Rogers,SDP,66.95
Taylor Rogers,MIL,71.95
Taylor Widener,ARI,64.725
Thomas Hatch,TOR,76.9
Thomas Szapucki,SFG,65.05
Thomas Szapucki,NYM,53.8
Tim Hill,SDP,54.23333333333334
Tim Mayza,TOR,63.93333333333334
Tommy Henry,ARI,58.7
Tommy Hunter,NYM,68.875
Tommy Kahnle,LAD,72.5
Tommy Milone,SEA,69.95
Tommy Nance,MIA,59.660000000000004
Tommy Romero,TBR,72.25
Tommy Romero,WSN,60.9
Tony Gonsolin,LAD,62.06666666666667
Tony Santillan,CIN,48.633333333333326
Touki Toussaint,LAA,43.93333333333334
Travis Lakins Sr.,BAL,53.1
Trent Thornton,TOR,66.58333333333333
Trevor Gott,MIL,55.43333333333334
Trevor Kelley,MIL,52.02
Trevor May,NYM,51.775
Trevor Megill,MIN,62.44
Trevor Richards,TOR,53.449999999999996
Trevor Rogers,MIA,61.96666666666667
Trevor Stephan,CLE,64.28333333333333
Trevor Williams,NYM,67.88333333333334
Triston McKenzie,CLE,62.333333333333336
Tucker Barnhart,DET,60.0
Tucker Davidson,LAA,50.349999999999994
Tucker Davidson,ATL,59.2
Ty Blach,COL,70.73333333333333
Tyler Alexander,DET,66.36
Tyler Anderson,LAD,65.06666666666666
Tyler Beede,SFG,51.4
Tyler Beede,- - -,70.3
Tyler Beede,PIT,53.675
Tyler Clippard,WSN,40.5
Tyler Cyr,PHI,33.3
Tyler Cyr,OAK,57.7
Tyler Danish,BOS,50.32
Tyler Duffey,MIN,58.55999999999999
Tyler Gilbert,ARI,56.125
Tyler Glasnow,TBR,73.1
Tyler Holton,ARI,66.875
Tyler Kinley,COL,56.633333333333326
Tyler Mahle,CIN,61.2
Tyler Mahle,MIN,55.45
Tyler Matzek,ATL,55.32000000000001
Tyler Rogers,SFG,64.93333333333334
Tyler Thornburg,ATL,57.35
Tyler Thornburg,MIN,52.5
Tyler Wells,BAL,61.1
Tylor Megill,NYM,59.775
Tyson Miller,TEX,57.349999999999994
Victor Arano,WSN,63.416666666666664
Victor Caratini,MIL,42.9
Vince Velasquez,CHW,61.800000000000004
Vinny Nittoli,PHI,37.5
Vladimir Gutierrez,CIN,44.13333333333333
Wade Miley,CHC,67.13333333333334
Walker Buehler,LAD,60.833333333333336
Wandy Peralta,NYY,59.21666666666667
Whit Merrifield,TOR,66.7
Wil Crowe,PIT,57.050000000000004
Wil Myers,SDP,60.23333333333333
Will Smith,ATL,62.6
Will Smith,HOU,72.15
Will Vest,DET,62.050000000000004
William Woods,ATL,37.5
Willians Astudillo,MIA,45.85
Wily Peralta,DET,57.660000000000004
Wyatt Mills,KCR,60.800000000000004
Wyatt Mills,SEA,48.1
Xzavion Curry,CLE,57.55
Yadier Molina,STL,48.55
Yency Almonte,LAD,63.580000000000005
Yennier Cano,BAL,66.7
Yennier Cano,MIN,55.26666666666667
Yerry De Los Santos,PIT,67.65
Yerry Rodriguez,TEX,75.0
Yimi Garcia,TOR,61.866666666666674
Yoan Lopez,NYM,56.839999999999996
Yohan Ramirez,SEA,55.0
Yohan Ramirez,PIT,57.75
Yohan Ramirez,CLE,63.6
Yolmer Sanchez,BOS,83.3
Yonny Chirinos,TBR,70.0
Yu Chang,TBR,45.5
Yu Darvish,SDP,63.6
Yunior Marte,SFG,61.31666666666666
Yusei Kikuchi,TOR,58.333333333333336
Zac Gallen,ARI,63.5
Zac Lowther,BAL,46.4
Zach Davies,ARI,55.739999999999995
Zach Eflin,PHI,69.425
Zach Jackson,OAK,51.879999999999995
Zach Logue,OAK,51.239999999999995
Zach Plesac,CLE,60.333333333333336
Zach Pop,MIA,62.333333333333336
Zach Pop,TOR,58.25
Zach Thompson,PIT,64.33333333333333
Zack Britton,NYY,33.3
Zack Greinke,KCR,65.06666666666666
Zack Kelly,BOS,72.8
Zack Littell,SFG,61.28333333333333
Zack Thompson,STL,55.125
Zack Weiss,LAA,48.2
Zack Wheeler,PHI,66.91666666666667
