Name,Team,Type,CSW%,F-Strike%,RE24,WAR,K-BB%,CSW%Diff,F-Strike%Diff,RE24Diff
Andres Munoz,SEA,Reliever,35.583333333333336,67.39999999999999,2.2066666666666666,0.3166666666666666,32.68333333333333,-0.0,-0.0,-0.0
Andrew Bellatti,PHI,Reliever,30.666666666666668,57.23333333333333,0.7400000000000001,0.1833333333333333,24.366666666666664,-0.0,-0.0,-0.0
Andrew Chafin,DET,Reliever,30.816666666666663,63.38333333333333,0.93,0.1166666666666666,21.916666666666668,-0.0,-0.0,-0.0
Andrew Heaney,LAD,Starter,31.1,64.62,0.0839999999999999,0.24,25.3,-0.0,-0.0,-0.0
Andrew Kittredge,TBR,Reliever,24.766666666666666,69.76666666666667,0.8833333333333333,-0.0666666666666666,12.0,-0.0,-0.0,-0.0
Andrew Knizner,STL,Reliever,9.1,,-0.65,0.0,0.0,-0.0,-0.0,-0.0
Andrew Nardi,MIA,Reliever,27.5,55.3,-6.245,-0.2,12.2,-0.0,,-0.0
Andrew Vasquez,SFG,Reliever,31.4,42.9,0.9,0.1,42.9,-0.0,-0.0,-0.0
Andrew Vasquez,TOR,Reliever,39.93333333333333,66.5,-0.3499999999999999,-0.0333333333333333,9.633333333333333,8.533333333333331,23.6,-1.25
Andrew Wantz,LAA,Reliever,29.98,58.74,1.612,0.0,16.6,-0.0,-0.0,-0.0
Aneurys Zabala,MIA,Reliever,33.95,45.85,0.195,0.0,16.65,-0.0,-0.0,-0.0
Angel De Jesus,DET,Reliever,25.1,70.39999999999999,0.69,-0.0333333333333333,3.9666666666666655,-0.0,-0.0,-0.0
Angel Rondon,STL,Reliever,19.8,50.0,2.5,0.1,5.0,-0.0,-0.0,-0.0
Angel Zerpa,KCR,Reliever,23.9,59.1,1.97,-0.1,0.0,-0.0,-0.0,-0.0
Anibal Sanchez,WSN,Starter,22.433333333333334,55.8,0.2899999999999998,-0.0333333333333333,5.933333333333333,-0.0,-0.0,-0.0
Anthony Banda,NYY,Reliever,25.1,54.15,-2.29,0.0,-37.5,-0.0,-0.0,-0.0
Anthony Banda,PIT,Reliever,28.33333333333333,51.16666666666666,-2.7066666666666666,0.0333333333333333,19.4,-2.3000000000000007,16.250000000000007,3.18
Anthony Banda,TOR,Reliever,22.8,70.4,0.89,0.0,14.8,-5.533333333333328,19.23333333333335,3.5966666666666667
Anthony Bass,MIA,Reliever,31.8,67.425,3.3275,0.35,19.9,-0.0,-0.0,-0.0
