Name,Team,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,NewTeamDeadline22,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
David Phelps,TOR,26.93333333,60.55,1.505,0.133333333,12.41666667,Reliever,No,0,0,0,0,0
David Price,LAD,26.06666667,63.18333333,0.793333333,0.016666667,14.1,Reliever,No,0,0,0,0,0
David Robertson,PHI,31.15,63.5,1.87,0.15,14.65,Reliever,Yes,0,0,0,0,0
David Robertson,CHC,34.5,67.95,2.63,0.125,19.825,Reliever,Yes,3.35,4.45,0.76,-0.025,5.175
Davis Martin,CHW,26.82,65.92,-1.032,0.12,11.66,Reliever,No,0,0,0,0,0
Dean Kremer,BAL,25.525,65.225,3.235,0.45,11.05,Starter,No,0,0,0,0,0
Dee Strange-Gordon,WSN,14.3,50,-2.47,-0.1,-37.5,Reliever,No,0,0,0,0,0
Dennis Santana,TEX,28.93333333,51.56666667,-1.36,0.15,10.68333333,Reliever,No,0,0,0,0,0
Denyi Reyes,BAL,21.15,61.9,0.77,0.05,4.55,Reliever,No,0,0,0,0,0
Dereck Rodriguez,MIN,24.35,56.85,-0.845,-0.1,0.7,Reliever,No,0,0,0,0,0
Derek Law,- - -,26.9,58.8,1.14,0.1,0,Reliever,Yes,0,0,0,0,0
Derek Law,CIN,28.2,66.2,-2.12,0,11.8,Reliever,Yes,0,-1.7,-4.67,-0.3,14.3
Derek Law,DET,26.9,57.1,-3.53,-0.2,14.3,Reliever,Yes,-1.3,-9.1,-1.41,-0.2,2.5
Devin Smeltzer,MIN,24.6,60.25,0.615,0.025,5.85,Starter,No,0,0,0,0,0
Devin Williams,MIL,33.96666667,58.16666667,2.078333333,0.35,27.48333333,Reliever,No,0,0,0,0,0
Diego Castillo,SEA,27.8,55.58333333,-0.701666667,0.05,14.45,Reliever,Yes,0,0,0,0,0
Diego Castillo (PIT),PIT,22.05,28.6,-3.495,-0.05,-13.4,Reliever,No,0,0,0,0,0
Dillon Peters,PIT,25.42,60.98,-0.292,0,3.86,Reliever,No,0,0,0,0,0
Dillon Tate,BAL,29.65,64.53333333,2.461666667,0.083333333,15.78333333,Reliever,No,0,0,0,0,0
Dinelson Lamet,SDP,30.83333333,66.43333333,-3.686666667,-0.033333333,7.266666667,Reliever,Yes,0,0,0,0,0
Dinelson Lamet,COL,32.9,54.4,0.505,0.15,21.1,Reliever,Yes,2.066666667,-12.03333333,4.191666667,0.183333333,13.83333333
Domingo Acevedo,OAK,28.11666667,58.55,0.916666667,-0.016666667,15.78333333,Reliever,No,0,0,0,0,0
Domingo German,NYY,27.9,64.63333333,0.446666667,0.266666667,13.66666667,Starter,No,0,0,0,0,0
Domingo Tapia,OAK,22.2,51.28,-1.956,-0.02,-3.36,Reliever,No,0,0,0,0,0
Dominic Leone,SFG,28.45,60.06666667,-0.625,0.016666667,12.85,Reliever,No,0,0,0,0,0
Donovan Walton,SFG,23.8,42.9,-2.53,-0.1,-14.3,Reliever,No,0,0,0,0,0
Drew Carlton,DET,25.4,55.75,-0.125,0,19.9,Reliever,No,0,0,0,0,0
Drew Hutchison,DET,23.18333333,62.5,-1.205,0.033333333,4.3,Starter,No,0,0,0,0,0
Drew Rasmussen,TBR,25.98333333,63.43333333,2.525,0.483333333,14.98333333,Starter,No,0,0,0,0,0
Drew Smith,NYM,28.96,56.66,-0.384,-0.02,21.44,Reliever,No,0,0,0,0,0
Drew Smyly,CHC,27.28,67.82,2.076,0.28,14.42,Starter,No,0,0,0,0,0
Drew Steckenrider,SEA,21.25,51.15,-1.98,0,7.4,Reliever,No,0,0,0,0,0
Drew VerHagen,STL,26.3,59.15,-1.93,-0.175,4.525,Reliever,No,0,0,0,0,0
Drey Jameson,ARI,27.6,58.2,7.05,0.5,17.3,Reliever,No,0,0,0,0,0
Duane Underwood Jr.,PIT,23.98333333,63.98333333,-0.72,0.15,10.71666667,Reliever,No,0,0,0,0,0
Dusten Knight,TBR,27.475,60.3,-0.8425,-0.025,11.175,Reliever,No,0,0,0,0,0
Dustin May,LAD,29.3,58.9,-0.975,0.15,15.1,Reliever,No,0,0,0,0,0
Dylan Bundy,MIN,26.63333333,67.63333333,-2.168333333,0.116666667,11.41666667,Starter,No,0,0,0,0,0
Dylan Cease,CHW,29.88333333,58.13333333,5.625,0.75,20.1,Starter,No,0,0,0,0,0
Dylan Coleman,KCR,28.61666667,54.13333333,1.18,0.066666667,12.28333333,Reliever,No,0,0,0,0,0
Dylan Floro,MIA,27.54,63.36,0.602,0.14,13.66,Reliever,No,0,0,0,0,0
Dylan Lee,ATL,31.52,61.42,1.372,0.22,23.58,Reliever,No,0,0,0,0,0
Easton McGee,TBR,21.7,57.1,0.41,0,7.1,Reliever,No,0,0,0,0,0
Eduard Bazardo,BOS,26.7,55.4,2,-0.2,10.8,Reliever,No,0,0,0,0,0
Eduardo Rodriguez,DET,23.3,63.725,-1.765,0.15,8.425,Starter,No,0,0,0,0,0
Edward Cabrera,MIA,30.56666667,55.86666667,4.836666667,0.133333333,13.73333333,Starter,No,0,0,0,0,0
Edwin Diaz,NYM,42.96666667,71.48333333,3.395,0.5,43.21666667,Reliever,No,0,0,0,0,0
Edwin Uceta,ARI,24.38,57.42,-0.828,-0.02,4.84,Reliever,No,0,0,0,0,0
Ehire Adrianza,WSN,25,25,0.52,0,0,Reliever,No,0,0,0,0,0
Eli Morgan,CLE,27.96666667,69.55,0.99,0.133333333,23.05,Reliever,No,0,0,0,0,0
Elieser Hernandez,MIA,26.4,69.11666667,-3.265,-0.1,13.73333333,Reliever,No,0,0,0,0,0
Elvin Rodriguez,DET,22.66,51.34,-3.864,-0.18,6.7,Reliever,No,0,0,0,0,0
Elvis Peguero,LAA,24.16666667,48.46666667,-2.916666667,-0.066666667,-1.666666667,Reliever,No,0,0,0,0,0
Emilio Pagan,MIN,28.38333333,61.88333333,-0.986666667,-0.05,20.53333333,Reliever,No,0,0,0,0,0
Emmanuel Clase,CLE,30.5,63.2,2.356666667,0.433333333,24.36666667,Reliever,No,0,0,0,0,0
Enoli Paredes,HOU,24.25,64.25,0.17,0,-7.15,Reliever,No,0,0,0,0,0
Enyel De Los Santos,CLE,29.76666667,68.51666667,1.61,0.15,21.73333333,Reliever,No,0,0,0,0,0
Erasmo Ramirez,WSN,26.28333333,65.73333333,1.956666667,0.066666667,13.88333333,Reliever,No,0,0,0,0,0
Eric Lauer,MIL,27.6,61.36666667,1.16,0.2,15.71666667,Starter,No,0,0,0,0,0
Eric Stout,PIT,30,58.16666667,-2.47,-0.033333333,11.46666667,Reliever,Yes,0,0,0,0,0
Eric Stout,CHC,30.5,66.7,-0.2,0,33.3,Reliever,Yes,0.5,8.533333333,2.27,0.033333333,21.83333333
Erich Uelmen,CHC,28.1,59.7,-1.103333333,-0.066666667,10.76666667,Reliever,No,0,0,0,0,0
Erick Fedde,WSN,24.73333333,61.41666667,-3.063333333,0.083333333,8.1,Starter,No,0,0,0,0,0
Erik Swanson,SEA,30,63.63333333,1.59,0.3,29.8,Reliever,No,0,0,0,0,0
Ernie Clement,CLE,17.05,55,-1.53,-0.05,0,Reliever,No,0,0,0,0,0
Ethan Roberts,CHC,19.2,50,-6.2,-0.3,7.9,Reliever,No,0,0,0,0,0
Ethan Small,MIL,27.2,46.1,-1.22,-0.05,-2.8,Reliever,No,0,0,0,0,0
Evan Lee,WSN,21.2,55.8,-1.92,0,0,Reliever,No,0,0,0,0,0
Evan Phillips,LAD,33.15,67.51666667,3.953333333,0.4,26.7,Reliever,No,0,0,0,0,0
Felix Bautista,BAL,30.01666667,60.33333333,2.926666667,0.216666667,24.65,Reliever,No,0,0,0,0,0
Fernando Cruz,CIN,30,56.3,0.71,0.3,18.8,Reliever,No,0,0,0,0,0
Foster Griffin,KCR,29.85,63.35,-2.515,-0.05,-4.45,Reliever,Yes,0,0,0,0,0
Foster Griffin,TOR,29.6,25,0.85,0,12.5,Reliever,Yes,-0.25,-38.35,3.365,0.05,16.95
Framber Valdez,HOU,28.85,58.68333333,3.553333333,0.75,14.66666667,Starter,No,0,0,0,0,0
Francisco Morales,PHI,25.75,66.8,-1.32,-0.05,-14.55,Reliever,No,0,0,0,0,0
Francisco Perez,WSN,23.1,61.46666667,-1.376666667,-0.066666667,1.033333333,Reliever,No,0,0,0,0,0
Frank German,BOS,19,60.9,-4.82,-0.2,0,Reliever,No,0,0,0,0,0
Frank Schwindel,CHC,14.3,72.2,-4.51,-0.2,-5.6,Reliever,No,0,0,0,0,0
Frankie Montas,OAK,24.8,59.675,1.1275,0.5,18.375,Starter,Yes,0,0,0,0,0
Frankie Montas,NYY,25.3,57.7,-4.64,0.05,9.25,Starter,Yes,0.5,-1.975,-5.7675,-0.45,-9.125
Franmil Reyes,CHC,40,66.7,0.42,0,33.3,Reliever,No,0,0,0,0,0
Freddy Peralta,MIL,29.25,57.85,1.755,0.5,19.775,Starter,No,0,0,0,0,0
Freddy Tarnok,ATL,60,100,-0.46,0,33.3,Reliever,No,0,0,0,0,0
Gabe Speier,KCR,20.73333333,43.53333333,0.51,0.033333333,8.666666667,Reliever,No,0,0,0,0,0
Garrett Cleavinger,LAD,31.86666667,53.43333333,-1.483333333,-0.066666667,28.3,Reliever,Yes,0,0,0,0,0
Garrett Cleavinger,TBR,36.95,57.8,2.155,0.2,30.85,Reliever,Yes,5.083333333,4.366666667,3.638333333,0.266666667,2.55
Garrett Hill,DET,25.03333333,60.5,-0.59,-0.1,4.866666667,Reliever,No,0,0,0,0,0
Garrett Richards,TEX,26.26,58.64,-1.266,0.06,12.92,Reliever,No,0,0,0,0,0
Garrett Stubbs,PHI,18.76666667,59.73333333,-1.753333333,-0.066666667,1.4,Reliever,No,0,0,0,0,0
Garrett Whitlock,BOS,30.98333333,65.93333333,1.27,0.216666667,22.53333333,Reliever,No,0,0,0,0,0
Gavin Hollowell,COL,27.3,46.9,-2.12,0,12.5,Reliever,No,0,0,0,0,0
Genesis Cabrera,STL,25.56,65.16,-1.334,-0.14,6.38,Reliever,No,0,0,0,0,0
George Kirby,SEA,26.14,67.6,0.64,0.68,20.62,Starter,No,0,0,0,0,0
Gerardo Reyes,LAA,31.9,58.3,-0.06,-0.1,-25,Reliever,No,0,0,0,0,0
German Marquez,COL,25.68333333,64.96666667,-1.385,0.233333333,11.21666667,Starter,No,0,0,0,0,0
Gerrit Cole,NYY,31.81666667,60.96666667,2.181666667,0.566666667,25.76666667,Starter,No,0,0,0,0,0
Giovanny Gallegos,STL,31.88333333,67.4,0.778333333,0.233333333,22.58333333,Reliever,No,0,0,0,0,0
Glenn Otto,TEX,25.98333333,52.21666667,-1.643333333,0,6.633333333,Starter,No,0,0,0,0,0
Graham Ashcraft,CIN,22.78,58.28,-0.934,0.28,6.72,Starter,No,0,0,0,0,0
Greg Holland,TEX,30,60,-3.29,-0.4,20,Reliever,No,0,0,0,0,0
Greg Weissert,NYY,29.05,52,-0.345,-0.05,13.65,Reliever,No,0,0,0,0,0
Gregory Santos,SFG,25.15,77.5,0,0,1.65,Reliever,No,0,0,0,0,0
Gregory Soto,DET,26.45,56.08333333,-0.595,0.1,10.53333333,Reliever,No,0,0,0,0,0
Griffin Jax,MIN,31.8,64.41666667,0.371666667,0.15,20.58333333,Reliever,No,0,0,0,0,0
Hansel Robles,BOS,23.15,50.975,-1.365,-0.125,0.7,Reliever,No,0,0,0,0,0
Hanser Alberto,LAD,16,48.975,0.1025,-0.05,-3.175,Reliever,No,0,0,0,0,0
Harold Castro,DET,18.85,66.25,-0.05,0,0,Reliever,No,0,0,0,0,0
Hayden Wesneski,CHC,27.2,62.9,7.15,0.7,19.7,Reliever,No,0,0,0,0,0
Heath Hembree,LAD,26.4,55,-1.7,-0.05,12.1,Reliever,Yes,0,0,0,0,0
Heath Hembree,PIT,27,56.66666667,-2.11,-0.233333333,-4.833333333,Reliever,Yes,0.6,1.666666667,-0.41,-0.183333333,-16.93333333
Hector Neris,HOU,31.06666667,59.3,0.348333333,0.283333333,23.41666667,Reliever,No,0,0,0,0,0
Hirokazu Sawamura,BOS,25.32,54.32,-1.1,0,7.12,Reliever,No,0,0,0,0,0
Hoby Milner,MIL,30.5,55.75,1.013333333,0.116666667,17.41666667,Reliever,No,0,0,0,0,0
Huascar Brazoban,MIA,31.93333333,59.03333333,0.37,0,17.2,Reliever,No,0,0,0,0,0
Huascar Ynoa,ATL,21.1,54.1,-5,-0.2,5.4,Reliever,No,0,0,0,0,0
Humberto Castellanos,ARI,25.6,58.6,-3.1,0.05,8.4,Reliever,No,0,0,0,0,0
Hunter Brown,HOU,31.4,63.8,7.46,0.6,18.8,Reliever,No,0,0,0,0,0
Hunter Dozier,KCR,21.7,83.3,-1.5,-0.1,-16.7,Reliever,No,0,0,0,0,0
Hunter Gaddis,CLE,21.75,49.6,-5.955,-0.3,4.75,Reliever,No,0,0,0,0,0
Hunter Greene,CIN,29.01666667,63.8,0.72,0.316666667,24.01666667,Starter,No,0,0,0,0,0
Hunter Harvey,WSN,28.95,58.475,1.4975,0.25,23.025,Reliever,No,0,0,0,0,0
Hunter Strickland,CIN,26.08333333,61.13333333,-0.765,-0.016666667,9.133333333,Reliever,No,0,0,0,0,0
Hyun-Jin Ryu,TOR,26.26666667,59.1,-0.946666667,0.033333333,13.9,Reliever,No,0,0,0,0,0
Ian Anderson,ATL,25.84,56.32,-0.52,0.2,8.06,Starter,No,0,0,0,0,0
Ian Gibaut,CLE,28.6,50,0.57,0,0,Reliever,Yes,0,0,0,0,0
Ian Gibaut,CIN,28.83333333,55.06666667,-0.293333333,0.233333333,19.53333333,Reliever,Yes,0.233333333,5.066666667,-0.863333333,0.233333333,19.53333333
Ian Hamilton,MIN,19,54.5,-0.09,-0.1,-9.1,Reliever,No,0,0,0,0,0
Ian Kennedy,ARI,24.83333333,68.73333333,-1.405,-0.1,10.8,Reliever,No,0,0,0,0,0
Ildemaro Vargas,WSN,0,100,0.5,0,0,Reliever,No,0,0,0,0,0
J.B. Wendelken,ARI,21.1,48.025,-0.355,-0.05,-0.025,Reliever,No,0,0,0,0,0
J.P. Feyereisen,TBR,29.03333333,66.63333333,3.55,0.333333333,13.16666667,Reliever,No,0,0,0,0,0
JC Mejia,MIL,25.4,56.3,-6.06,-0.1,-25,Reliever,No,0,0,0,0,0
JP Sears,OAK,25.5,64.7,-1.335,0.1,8,Reliever,Yes,0,0,0,0,0
JP Sears,NYY,30.9,63.85,1.51,0.1,10.75,Reliever,Yes,5.4,-0.85,2.845,0,2.75
JT Brubaker,PIT,29.78333333,63.85,-2.398333333,0.333333333,14.33333333,Starter,No,0,0,0,0,0
JT Chargois,TBR,32.63333333,75.7,1.21,0,24.76666667,Reliever,No,0,0,0,0,0
Jace Peterson,MIL,25,100,0.64,0,0,Reliever,No,0,0,0,0,0
Jack Flaherty,STL,24.8,55.35,-0.6,0,2.05,Reliever,No,0,0,0,0,0
Jack Mayfield,LAA,30.8,75,0.43,0,0,Reliever,No,0,0,0,0,0
Jackie Bradley Jr.,BOS,13.3,42.9,-0.48,0,-28.6,Reliever,No,0,0,0,0,0
Jackson Kowar,KCR,29.86666667,55.96666667,-3.716666667,-0.1,10.23333333,Reliever,No,0,0,0,0,0
Jackson Stephens,ATL,25.83333333,59.08333333,-0.973333333,0.083333333,10.51666667,Reliever,No,0,0,0,0,0
Jackson Tetreault,WSN,21.9,60.95,-2.44,-0.05,-7.5,Reliever,No,0,0,0,0,0
Jacob Barnes,NYY,32,75,0.71,0,25,Reliever,Yes,0,0,0,0,0
Jacob Barnes,DET,19.9,69.83333333,-1.353333333,-0.066666667,0.133333333,Reliever,Yes,-12.1,-5.166666667,-2.063333333,-0.066666667,-24.86666667
Jacob deGrom,NYM,35.4,69.75,4.295,1.1,39.2,Reliever,No,0,0,0,0,0
Jaime Barria,LAA,26.35,68.3,0.633333333,0.016666667,12.06666667,Reliever,No,0,0,0,0,0
Jake Bird,COL,27.925,54.375,-1.7425,-0.075,10.375,Reliever,No,0,0,0,0,0
Jake Brentz,KCR,29.4,44.7,-10.76,-0.3,-5.3,Reliever,No,0,0,0,0,0
Jake Cousins,MIL,32.4,58.6,0.535,0.1,22.45,Reliever,No,0,0,0,0,0
Jake Diekman,BOS,30.275,57.725,-1.69,-0.125,12.075,Reliever,Yes,0,0,0,0,0
Jake Diekman,CHW,30.4,66.4,-5.575,-0.1,16.3,Reliever,Yes,0.125,8.675,-3.885,0.025,4.225
Jake Fishman,MIA,29.16666667,61.9,0.486666667,0.033333333,11.53333333,Reliever,No,0,0,0,0,0
Jake Hager,ARI,20.85,79.15,-0.36,0,8.35,Reliever,No,0,0,0,0,0
Jake Lemoine,OAK,27.15,63.6,-3.245,-0.2,8.15,Reliever,No,0,0,0,0,0
Jake McGee,WSN,16.1,73.3,-0.9,0,-13.3,Reliever,Yes,0,0,0,0,0
Jake McGee,- - -,21.95,54.1,-0.99,-0.1,11,Reliever,Yes,6.1,-13.83333333,-0.346666667,0,20.23333333
Jake McGee,SFG,22.2,59.46666667,-1.246666667,0,6.933333333,Reliever,Yes,0.25,5.366666667,-0.256666667,0.1,-4.066666667
Jake Odorizzi,ATL,23.85,48.45,-4.125,0.05,10.55,Starter,Yes,0,0,0,0,0
Jake Odorizzi,HOU,23.03333333,58.06666667,0.32,0.4,10.7,Starter,Yes,-0.816666667,9.616666667,4.445,0.35,0.15
Jake Reed,- - -,34.7,65,0.93,0.1,15,Reliever,Yes,0,0,0,0,0
Jake Reed,BAL,30.1,63,-5.35,0.1,14.8,Reliever,Yes,-6.8,-17.8,-3.27,-0.25,-22.7
Jake Reed,LAD,14.3,83.3,0.86,0,0,Reliever,Yes,-2.2,-15.8,3.01,-0.25,-22.5
Jake Reed,NYM,27.9,47.2,-2.34,-0.15,-7.7,Reliever,Yes,13.6,-36.1,-3.2,-0.15,-7.7
Jake Walsh,STL,24.6,46.7,-1.06,0,20,Reliever,No,0,0,0,0,0
Jake Woodford,STL,23.36,59.94,2.176,0.12,6.1,Reliever,No,0,0,0,0,0
Jakob Junis,SFG,30.36666667,68.71666667,-0.08,0.233333333,17.15,Starter,No,0,0,0,0,0
Jalen Beeks,TBR,28.4,64.03333333,0.941666667,0.116666667,19.25,Reliever,No,0,0,0,0,0
James Kaprielian,OAK,25,57.92,-0.458,0.1,7.26,Starter,No,0,0,0,0,0
James Karinchak,CLE,33.26666667,54.43333333,2.456666667,0.333333333,26.7,Reliever,No,0,0,0,0,0
James Naile,STL,32.575,73.875,0.0725,-0.025,5.2,Reliever,No,0,0,0,0,0
James Norwood,PHI,22.36666667,62.86666667,-2.153333333,0.033333333,16.3,Reliever,No,0,0,0,0,0
Jameson Taillon,NYY,26.26666667,63.51666667,0.796666667,0.4,16.45,Starter,No,0,0,0,0,0
Jandel Gustave,MIL,27.875,65.15,-0.4,0.025,15.525,Reliever,No,0,0,0,0,0
Janson Junk,LAA,25.66666667,73.06666667,-0.743333333,0.066666667,20,Reliever,No,0,0,0,0,0
Jared Koenig,OAK,23.925,57.1,-1.8575,-0.025,3.1,Reliever,No,0,0,0,0,0
Jared Solomon,CIN,31.63333333,64.83333333,-1.253333333,-0.066666667,25.33333333,Reliever,No,0,0,0,0,0
Jarlin Garcia,SFG,27.7,59.45,-1.54,-0.05,12.35,Reliever,No,0,0,0,0,0
Jason Adam,TBR,35.25,63.78333333,3.336666667,0.183333333,24.16666667,Reliever,No,0,0,0,0,0
Jason Alexander,MIL,26.425,63.7,-2.7325,-0.05,7.425,Reliever,No,0,0,0,0,0
Jason Foley,DET,24.63333333,64.13333333,-0.701666667,0.133333333,11.38333333,Reliever,No,0,0,0,0,0
Javier Assad,CHC,23.75,56.8,1.585,0.2,2.35,Reliever,No,0,0,0,0,0
Javy Guerra,TBR,25.65,52.55,0.98,0,-12.95,Reliever,Yes,0,0,0,0,0
Javy Guerra,- - -,21.7,55.3,-5.22,-0.2,0,Reliever,Yes,-3.95,2.75,-6.2,-0.2,12.95
Jay Jackson,ATL,25,40,0.61,0,20,Reliever,No,0,0,0,0,0
Jeff Brigham,MIA,29.76666667,62.03333333,1.81,0.033333333,17.66666667,Reliever,No,0,0,0,0,0
Jeff Hoffman,CIN,25.975,52.8,0.175,0.05,11.3,Reliever,No,0,0,0,0,0
Jeffrey Springs,TBR,29.81666667,63.8,3.12,0.5,20.6,Starter,No,0,0,0,0,0
Jerad Eickhoff,PIT,22.9,63,-8.42,-0.2,11.1,Reliever,No,0,0,0,0,0
Jeremiah Estrada,CHC,26.15,73.2,-0.07,0,22,Reliever,No,0,0,0,0,0
Jeremy Beasley,TOR,27.65,67.1,-1.215,-0.05,21.15,Reliever,No,0,0,0,0,0
Jermaine Palacios,MIN,25,33.3,0.73,0,33.3,Reliever,No,0,0,0,0,0
Jesse Chavez,LAA,26.3,60,-7.64,-0.1,12,Reliever,Yes,0,0,0,0,0
Jesse Chavez,ATL,32.275,69.675,0.5125,0.15,19.525,Reliever,Yes,2.9,4.3,9.65,0.3,9.4
Jesse Chavez,- - -,29.2,64.3,2.01,0.2,21.4,Reliever,Yes,-3.075,-5.375,1.4975,0.05,1.875
Jesus Cruz,ATL,23.05,63.2,-0.725,-0.1,13.95,Reliever,No,0,0,0,0,0
Jesus Luzardo,MIA,31.35,65.75,2.455,0.55,20.55,Starter,No,0,0,0,0,0
Jesus Tinoco,TEX,29.55,62.95,1.845,0,13.75,Reliever,No,0,0,0,0,0
Jeurys Familia,BOS,22.75,53.15,-1.02,-0.05,-1.25,Reliever,Yes,0,0,0,0,0
Jeurys Familia,PHI,29.275,50.325,-3.05,-0.05,11.475,Reliever,Yes,6.525,-2.825,-2.03,0,12.725
Jharel Cotton,MIN,29.12,56.04,0.374,-0.1,10.54,Reliever,Yes,0,0,0,0,0
Jharel Cotton,SFG,26.4,62.2,-1.07,0.2,10.8,Reliever,Yes,-2.72,6.16,-1.444,0.3,0.26
Jhoan Duran,MIN,32.7,63.28333333,2.976666667,0.25,27.56666667,Reliever,No,0,0,0,0,0
Jhon Romero,MIN,27.8,75,-0.76,0.1,20.8,Reliever,No,0,0,0,0,0
Jhonathan Diaz,LAA,22.25,45.4,0.725,0.05,1.85,Reliever,No,0,0,0,0,0
Jhoulys Chacin,COL,26.36666667,58.83333333,-1.803333333,-0.016666667,5.8,Reliever,No,0,0,0,0,0
Jimmy Herget,LAA,30.5,62.2,2.63,0.32,18.16,Reliever,No,0,0,0,0,0
Jimmy Lambert,CHW,26.86,62.1,0.606,0.06,10.32,Reliever,No,0,0,0,0,0
Jimmy Yacabonis,TBR,28.7,75,-2.6,-0.05,-1.25,Reliever,Yes,0,0,0,0,0
Jimmy Yacabonis,MIA,36.75,61,-1.615,-0.1,19,Reliever,Yes,8.05,-14,0.985,-0.05,20.25
JoJo Romero,STL,33.8,65.2,0.885,-0.05,21.2,Reliever,Yes,0,0,0,0,0
JoJo Romero,PHI,20.6,60,-2.05,-0.1,0,Reliever,Yes,-13.2,-5.2,-2.935,-0.05,-21.2
Joan Adon,WSN,23.175,55.225,-5.15,0.05,6.325,Starter,No,0,0,0,0,0
Joe Barlow,TEX,28.85,65.3,-0.21,-0.033333333,8.883333333,Reliever,No,0,0,0,0,0
Joe Jimenez,DET,30.91666667,63.05,-0.005,0.25,27.25,Reliever,No,0,0,0,0,0
Joe Kelly,CHW,34.08,55.4,-1.228,0.12,18.2,Reliever,No,0,0,0,0,0
Joe Mantiply,ARI,32.58333333,63.38333333,0.698333333,0.166666667,22.03333333,Reliever,No,0,0,0,0,0
Joe Musgrove,SDP,30.93333333,64.5,3.28,0.583333333,19.16666667,Starter,No,0,0,0,0,0
Joe Ryan,MIN,27.13333333,64.5,1.198333333,0.366666667,16.65,Starter,No,0,0,0,0,0
Joe Smith,MIN,26.66,67.62,-0.442,-0.12,14.24,Reliever,No,0,0,0,0,0
Joel Kuhnel,CIN,27.48,59.26,-2.122,0.06,17.24,Reliever,No,0,0,0,0,0
Joel Payamps,OAK,24.6,50,-2.29,-0.1,13.9,Reliever,Yes,0,0,0,0,0
Joel Payamps,KCR,24.55,53.8,-0.9375,0,6.525,Reliever,Yes,-5,-1.3,5.02,0.3,-1.1
Joel Payamps,- - -,19.6,48.7,2.73,0.2,12.8,Reliever,Yes,-4.95,-5.1,3.6675,0.2,6.275
Joely Rodriguez,NYM,31.93333333,66.25,-0.061666667,0.066666667,13.46666667,Reliever,No,0,0,0,0,0
Joey Krehbiel,BAL,26.83333333,54.15,-0.501666667,-0.016666667,13.96666667,Reliever,No,0,0,0,0,0
Joey Wentz,DET,23.65,57.3,1.31,0.25,10.35,Reliever,No,0,0,0,0,0
Johan Oviedo,PIT,24.9,59.7,4.35,0.6,9,Reliever,Yes,0,0,0,0,0
Johan Oviedo,STL,31,62.5,0.525,0.05,19.45,Reliever,Yes,6.1,2.8,-3.825,-0.55,10.45
John Brebbia,SFG,26.23333333,68.7,0.663333333,0.133333333,12.91666667,Reliever,No,0,0,0,0,0
John King,TEX,25.08333333,56.38333333,-0.565,-0.016666667,6.95,Reliever,No,0,0,0,0,0
John Means,BAL,22.2,52.9,0.44,0.3,14.7,Reliever,No,0,0,0,0,0
John Schreiber,BOS,29.98333333,53.33333333,2.028333333,0.3,20.58333333,Reliever,No,0,0,0,0,0
Johnny Cueto,CHW,23.24,66.68,1.388,0.5,10.38,Starter,No,0,0,0,0,0
Jon Gray,TEX,28.73333333,65.45,-0.38,0.333333333,17.31666667,Starter,No,0,0,0,0,0
Jon Heasley,KCR,22.56,56.16,-3.496,-0.1,5,Starter,No,0,0,0,0,0
Jonathan Hernandez,TEX,27.5,48.96666667,-0.59,0,8.766666667,Reliever,No,0,0,0,0,0
Jonathan Loaisiga,NYY,26.98,60.06,0.516,0.06,9.44,Reliever,No,0,0,0,0,0
Jordan Hicks,STL,27.58,60.28,1.124,0.06,11.36,Reliever,No,0,0,0,0,0
Jordan Holloway,MIA,29.8,72.7,0.39,0,9.1,Reliever,No,0,0,0,0,0
Jordan Lyles,BAL,26.4,61.36666667,-1.36,0.25,11.7,Starter,No,0,0,0,0,0
Jordan Montgomery,NYY,29.825,67.3,1.09,0.325,15.45,Starter,Yes,0,0,0,0,0
Jordan Montgomery,STL,26.15,62.4,1.64,0.7,19.05,Starter,Yes,-3.675,-4.9,0.55,0.375,3.6
Jordan Romano,TOR,30.4,68.65,1.851666667,0.283333333,19.41666667,Reliever,No,0,0,0,0,0
Jordan Sheffield,COL,18.8,25,0.545,0,-12.5,Reliever,No,0,0,0,0,0
Jordan Weems,WSN,24.08,52.825,-1.524,5.55E-18,24.6,Reliever,No,0,0,0,0,0
Jorge Alcala,MIN,30,60,1.17,0,0,Reliever,No,0,0,0,0,0
Jorge Lopez,MIN,29.05,60.75,-0.56,0,4.95,Reliever,Yes,0,0,0,0,0
Jorge Lopez,BAL,30.125,62.775,2.1775,0.25,18.8,Reliever,Yes,1.075,2.025,2.7375,0.25,13.85
Jose Alvarado,PHI,32.26666667,60.76666667,0.691666667,0.3,26.06666667,Reliever,No,0,0,0,0,0
Jose Alvarez,SFG,27.5,45.23333333,-1.95,-0.133333333,13.1,Reliever,No,0,0,0,0,0
Jose Berrios,TOR,27.68333333,66.08333333,-2.98,0.216666667,13.56666667,Starter,No,0,0,0,0,0
Jose Butto,NYM,24.5,65.2,-4.99,-0.1,13,Reliever,No,0,0,0,0,0
Jose Castillo,SDP,25,80,-0.54,0,0,Reliever,No,0,0,0,0,0
Jose Cisnero,DET,25.9,52.83333333,2.033333333,0.033333333,0.766666667,Reliever,No,0,0,0,0,0
Jose Cuas,KCR,29.46,55.32,-0.076,-0.02,10.94,Reliever,No,0,0,0,0,0
Jose Leclerc,TEX,29.2,66.825,1.0925,0.2,14.575,Reliever,No,0,0,0,0,0
