Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
Adonis Medina,2022.0,NYM,24.9,62.7,-7.55,10.0,0.0,Reliever,Yes,-2.8000000000000007,21.0,-8.15,-0.1,4.4
Adrian Houser,2021.0,MIL,23.3,58.8,15.2,6.8,1.5,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Houser,2022.0,MIL,23.4,57.6,-13.7,4.8,1.0,Starter,No,0.09999999999999787,-1.1999999999999957,-28.9,-0.5,-2.0
Adrian Martinez,2022.0,OAK,27.0,59.5,-14.95,13.1,-0.3,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Morejon,2021.0,SDP,30.0,55.0,0.15,5.0,-0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Morejon,2022.0,SDP,23.9,61.0,2.36,13.5,0.2,Reliever,No,-6.100000000000001,6.0,2.21,0.4,8.5
Adrian Sampson,2021.0,CHC,22.2,54.5,2.65,13.8,-0.2,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Sampson,2022.0,CHC,23.6,57.7,11.54,10.7,1.5,Starter,No,1.4000000000000021,3.200000000000003,8.889999999999999,1.7,-3.1000000000000014
Akeem Bostick,2021.0,NYM,28.6,75.0,0.44,-25.0,0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Albert Abreu,2021.0,NYY,27.7,57.1,-4.47,10.3,-0.6,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Albert Abreu,2022.0,- - -,27.7,56.4,-3.1,9.3,-0.1,Reliever,No,-0.0,-0.7000000000000028,1.3699999999999997,0.5,-1.0
Albert Almora Jr.,2021.0,NYM,17.9,33.3,-3.62,-16.7,-0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Albert Pujols,2022.0,STL,18.5,42.9,-3.54,-14.3,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alberto Baldonado,2021.0,WSN,24.7,61.2,-2.39,10.2,-0.2,,,-0.0,-0.0,-0.0,-0.0,-0.0
Alcides Escobar,2022.0,WSN,16.7,50.0,-1.2,-10.0,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alec Bettinger,2021.0,MIL,19.6,56.9,-9.91,3.9,-0.2,,,-0.0,-0.0,-0.0,-0.0,-0.0
Alec Mills,2021.0,CHC,25.8,65.2,-7.73,10.3,1.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alec Mills,2022.0,CHC,24.8,69.0,-12.14,9.5,-0.6,Reliever,No,-1.0,3.799999999999997,-4.41,-1.6,-0.8000000000000007
Alejo Lopez,2022.0,CIN,19.2,90.0,-0.32,0.0,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alek Manoah,2021.0,TOR,28.2,57.3,13.58,19.0,2.0,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alek Manoah,2022.0,TOR,27.5,61.7,40.24,16.4,4.1,Starter,No,-0.6999999999999993,4.400000000000006,26.660000000000004,2.0999999999999996,-2.6000000000000014
Alex Blandino,2021.0,CIN,20.8,61.1,-2.17,-16.7,-0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Claudio,2021.0,LAA,27.8,56.8,-8.02,10.1,-0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Claudio,2022.0,NYM,18.0,38.5,1.36,0.0,0.0,Reliever,No,-9.8,-18.299999999999997,9.379999999999999,0.2,-10.1
Alex Cobb,2021.0,LAA,30.0,61.3,3.68,16.5,2.5,Starter,Yes,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Cobb,2022.0,SFG,29.4,64.5,0.37,17.1,3.7,Starter,Yes,-0.6000000000000014,3.200000000000003,-3.31,1.2000000000000002,0.6000000000000014
Alex Colome,2021.0,MIN,27.4,54.8,-9.61,12.1,0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Colome,2022.0,COL,22.2,53.0,-9.35,4.7,-0.1,Reliever,No,-5.199999999999999,-1.7999999999999972,0.2599999999999998,-0.2,-7.3999999999999995
Alex Faedo,2022.0,DET,26.1,60.7,-6.91,7.8,0.3,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Lange,2021.0,DET,29.1,63.0,-5.19,14.2,0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Lange,2022.0,DET,34.4,54.6,-5.03,18.8,0.7,Reliever,No,5.299999999999997,-8.399999999999999,0.16000000000000014,0.6,4.600000000000001
Alex McRae,2021.0,CHW,26.5,80.0,0.08,0.0,0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Reyes,2021.0,STL,29.7,53.6,0.84,13.6,0.2,,,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Vesia,2021.0,LAD,32.0,50.9,3.53,19.9,0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Vesia,2022.0,LAD,30.6,60.4,12.42,24.2,1.5,Reliever,No,-1.3999999999999986,9.5,8.89,1.3,4.300000000000001
Alex Wood,2021.0,SFG,32.3,64.6,6.93,19.3,2.5,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Wood,2022.0,SFG,28.9,63.4,-12.3,18.2,1.7,Starter,No,-3.3999999999999986,-1.1999999999999957,-19.23,-0.8,-1.1000000000000014
Alex Young,2021.0,- - -,27.0,55.7,-20.0,6.5,-1.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Young,2022.0,- - -,29.2,62.1,1.69,8.6,0.4,Reliever,No,2.1999999999999993,6.399999999999999,21.69,1.4,2.0999999999999996
Alexander Wells,2021.0,BAL,26.7,60.4,-9.51,5.1,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Alexander Wells,2022.0,BAL,31.8,75.0,0.34,37.5,-0.1,Reliever,No,5.100000000000001,14.600000000000001,9.85,-0.0,32.4
Alexis Diaz,2022.0,CIN,30.6,60.4,15.57,19.6,1.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Amir Garrett,2021.0,CIN,33.1,60.0,-9.93,14.9,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Amir Garrett,2022.0,KCR,27.7,58.7,3.99,8.7,0.5,Reliever,No,-5.400000000000002,-1.2999999999999972,13.92,0.5,-6.200000000000001
Anderson Espinoza,2022.0,CHC,23.2,38.8,0.1,3.5,-0.5,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anderson Severino,2022.0,CHW,31.6,47.1,-1.48,14.7,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andre Jackson,2021.0,LAD,26.6,62.0,2.53,8.0,0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andre Jackson,2022.0,LAD,25.0,59.5,0.94,11.9,0.2,Reliever,No,-1.6000000000000014,-2.5,-1.5899999999999999,0.1,3.9000000000000004
Andre Pallante,2022.0,STL,24.5,60.0,8.03,7.2,0.6,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andre Scrubb,2021.0,HOU,29.4,48.8,-0.09,8.1,-0.3,,,-0.0,-0.0,-0.0,-0.0,-0.0
Andrelton Simmons,2022.0,CHC,16.0,55.6,-4.45,-11.1,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andres Machado,2021.0,WSN,25.8,53.2,-1.14,9.7,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andres Machado,2022.0,WSN,26.1,60.9,1.8,7.7,-0.1,Reliever,No,0.3000000000000007,7.699999999999996,2.94,-0.1,-1.9999999999999991
Andres Munoz,2021.0,SEA,35.3,50.0,-0.1,-25.0,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andres Munoz,2022.0,SEA,35.6,68.1,13.24,32.7,1.9,Reliever,No,0.30000000000000426,18.099999999999994,13.34,1.9,57.7
Andrew Albers,2021.0,MIN,22.7,62.9,-6.97,3.4,-0.6,,,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Bellatti,2021.0,MIA,24.1,63.2,-1.96,10.5,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Bellatti,2022.0,PHI,30.4,55.7,4.44,23.0,1.0,Reliever,No,6.299999999999997,-7.5,6.4,1.0,12.5
Andrew Chafin,2021.0,- - -,28.2,62.4,17.07,16.9,1.4,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Chafin,2022.0,DET,30.0,63.4,5.59,19.8,0.9,Reliever,No,1.8000000000000007,1.0,-11.48,-0.4999999999999999,2.900000000000002
Andrew Heaney,2021.0,- - -,28.5,67.0,-13.76,19.5,1.1,Starter,Yes,-0.0,-0.0,-0.0,-0.0,-0.0
