Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Miguel Castro,0.11,0.12,0.01,0.090909091
Miguel Diaz,0.16,0.07,-0.09,-0.5625
Mike Minor,0.16,0.08,-0.08,-0.5
Nick Nelson,0.08,0.11,0.03,0.375
Nick Wittgren,0.17,0.05,-0.12,-0.705882353
Noe Ramirez,0.12,0.12,0,0
Oliver Perez,0.17,0,-0.17,0
Packy Naughton,-0.02,0.17,0.19,9.5
Patrick Murphy,0.15,-0.12,-0.27,-1.8
Phil Bickford,0.19,0.22,0.03,0.157894737
Phil Maton,0.18,0.17,-0.01,-0.055555556
Rafael Montero,0.11,0.19,0.08,0.727272727
Ralph Garza,0.12,0.01,-0.11,-0.916666667
Raynel Espinal,-0.13,0.19,0.32,2.461538462
Rich Hill,0.14,0.14,0,0
Riley O'Brien,-0.11,0,0.11,0
Robbie Ray,0.25,0.19,-0.06,-0.24
Robert Gsellman,0.08,0.09,0.01,0.125
Ross Detwiler,0.18,0.15,-0.03,-0.166666667
Ryan Castellani,-0.12,0.09,0.21,1.75
Ryan Tepera,0.23,0.12,-0.11,-0.47826087
Ryan Weber,0.09,0.05,-0.04,-0.444444444
Sam Selman,0.06,0.17,0.11,1.833333333
Sandy Leon,0.04,0,-0.04,0
Scott Alexander,0.06,0.14,0.08,1.333333333
Sean Doolittle,0.14,0.35,0.21,1.5
Sean Manaea,0.2,0.16,-0.04,-0.2
Sean Poppen,0.16,0.08,-0.08,-0.5
Shaun Anderson,0.06,0,-0.06,0
Shelby Miller,-0.05,0.37,0.42,8.4
Sonny Gray,0.18,0.17,-0.01,-0.055555556
Spencer Howard,0.11,0.1,-0.01,-0.090909091
Steve Cishek,0.08,0.16,0.08,1
Steven Brault,0.06,0.08,0.02,0.333333333
Steven Matz,0.16,0.21,0.05,0.3125
T.J. Zeuch,-0.01,-0.03,-0.02,-2
Tanner Scott,0.13,0.15,0.02,0.153846154
Taylor Clarke,0.13,0.2,0.07,0.538461538
Tommy Milone,0.22,-0.01,-0.23,-1.045454545
Tommy Nance,0.13,0.18,0.05,0.384615385
Touki Toussaint,0.12,0.07,-0.05,-0.416666667
Trevor Megill,0.19,0.16,-0.03,-0.157894737
Trevor Richards,0.22,0.17,-0.05,-0.227272727
Trevor Williams,0.15,0.16,0.01,0.066666667
Tyler Anderson,0.14,0.15,0.01,0.071428571
Tyler Clippard,0.09,0,-0.09,0
Vince Velasquez,0.13,0.14,0.01,0.076923077
Vinny Nittoli,-0.17,0,0.17,0
Wade Miley,0.11,0.09,-0.02,-0.181818182
