Name,Team,CSW%
Chris Mazza,TBR,20.7
Chris Owings,BAL,20.0
Chris Paddack,MIN,26.65
Chris Sale,BOS,32.4
Chris Stratton,PIT,28.2
Chris Stratton,STL,26.05
Christian Bethancourt,OAK,8.3
Christian Bethancourt,TBR,30.95
Cionel Perez,BAL,28.05
Clarke Schmidt,NYY,29.53333333333333
Clay Holmes,NYY,30.366666666666664
Clayton Kershaw,LAD,29.516666666666666
Cody Morris,CLE,25.2
Cody Poteet,MIA,26.166666666666668
Cody Sedlock,BAL,28.2
Cody Stashak,MIN,30.35
Cole Irvin,OAK,25.45
Cole Ragans,TEX,22.25
Cole Sands,MIN,25.5
Cole Sulser,MIA,28.7
Cole Waites,SFG,22.1
Colin Holderman,NYM,28.46666666666667
Colin Holderman,PIT,17.8
Colin Poche,TBR,25.233333333333334
Collin McHugh,ATL,28.900000000000002
Collin Snider,KCR,25.16
Collin Wiles,OAK,27.9
Conner Menez,CHC,20.8
Connor Brogdon,PHI,29.833333333333332
Connor Overton,CIN,24.900000000000002
Connor Sadzeck,MIL,22.9
Connor Seabold,BOS,26.133333333333336
Cooper Criswell,TBR,37.8
Corbin Burnes,MIL,32.31666666666667
Corbin Martin,ARI,24.933333333333334
Corey Dickerson,STL,11.1
Corey Kluber,TBR,29.666666666666668
Corey Knebel,PHI,26.68
Cory Abbott,WSN,27.174999999999997
Craig Kimbrel,LAD,29.933333333333334
Craig Stammen,SDP,28.18
Cristian Javier,HOU,28.2
Cristofer Ogando,TBR,28.25
Cristopher Sanchez,PHI,25.75
DL Hall,BAL,29.450000000000003
Dakota Hudson,STL,22.933333333333334
Dallas Keuchel,ARI,25.35
Dallas Keuchel,CHW,23.1
Dallas Keuchel,TEX,26.75
Damon Jones,PHI,26.7
Dane Dunning,TEX,27.71666666666667
Daniel Bard,COL,31.183333333333334
Daniel Castano,MIA,20.225
Daniel Duarte,CIN,16.9
Daniel Hudson,LAD,27.766666666666666
Daniel Lynch,KCR,25.0
Daniel Mengden,KCR,29.549999999999997
Daniel Norris,CHC,31.25
Daniel Norris,DET,30.4
Danny Coulombe,MIN,24.3
Danny Young,ATL,33.3
Danny Young,SEA,42.7
Dany Jimenez,OAK,33.5
Darick Hall,PHI,33.3
Darin Ruf,NYM,14.3
Darren O'Day,ATL,26.3
Darwinzon Hernandez,BOS,28.75
Daulton Jefferies,OAK,25.5
Dauri Moreta,CIN,28.416666666666668
David Bednar,PIT,31.560000000000002
David McKay,NYY,28.6
David McKay,- - -,20.4
David Peterson,NYM,27.8
David Phelps,TOR,26.933333333333334
David Price,LAD,26.066666666666666
David Robertson,CHC,34.5
David Robertson,PHI,31.15
Davis Martin,CHW,26.82
Dean Kremer,BAL,25.525
Dee Strange-Gordon,WSN,14.3
Dennis Santana,TEX,28.933333333333334
Denyi Reyes,BAL,21.15
Dereck Rodriguez,MIN,24.35
Derek Law,- - -,26.9
Derek Law,CIN,28.2
Derek Law,DET,26.9
Devin Smeltzer,MIN,24.6
