Name,PreviousF-Strike%,ActualF-Strike%,Difference,DifferenceRate
Ryan Weber,0.64,0.76,0.12,0.1875
Sam Selman,0.56,0.6,0.04,0.071428571
Sandy Leon,0.65,0.67,0.02,0.030769231
Scott Alexander,0.58,0.67,0.09,0.155172414
Sean Doolittle,0.65,0.77,0.12,0.184615385
Sean Manaea,0.67,0.64,-0.03,-0.044776119
Sean Poppen,0.61,0.61,0,0
Shaun Anderson,0.56,0.86,0.3,0.535714286
Shelby Miller,0.48,0.7,0.22,0.458333333
Sonny Gray,0.59,0.61,0.02,0.033898305
Spencer Howard,0.62,0.58,-0.04,-0.064516129
Steve Cishek,0.56,0.6,0.04,0.071428571
Steven Brault,0.51,0.44,-0.07,-0.137254902
Steven Matz,0.59,0.64,0.05,0.084745763
T.J. Zeuch,0.7,0.59,-0.11,-0.157142857
Tanner Scott,0.55,0.55,0,0
Taylor Clarke,0.63,0.67,0.04,0.063492063
Tommy Milone,0.69,0.7,0.01,0.014492754
Tommy Nance,0.57,0.58,0.01,0.01754386
Touki Toussaint,0.58,0.45,-0.13,-0.224137931
Trevor Megill,0.57,0.63,0.06,0.105263158
Trevor Richards,0.57,0.53,-0.04,-0.070175439
Trevor Williams,0.68,0.68,0,0
Tyler Anderson,0.69,0.66,-0.03,-0.043478261
Tyler Clippard,0.53,0.39,-0.14,-0.264150943
Vince Velasquez,0.61,0.62,0.01,0.016393443
Vinny Nittoli,0.33,0.38,0.05,0.151515152
Wade Miley,0.58,0.66,0.08,0.137931034
Wandy Peralta,0.64,0.59,-0.05,-0.078125
Will Vest,0.65,0.62,-0.03,-0.046153846
Willians Astudillo,0.38,0.43,0.05,0.131578947
Yency Almonte,0.55,0.61,0.06,0.109090909
Yimi Garcia,0.59,0.62,0.03,0.050847458
Yoan Lopez,0.64,0.57,-0.07,-0.109375
Yusei Kikuchi,0.63,0.57,-0.06,-0.095238095
Zach Davies,0.52,0.56,0.04,0.076923077
Zach Thompson,0.61,0.63,0.02,0.032786885
Zack Greinke,0.66,0.65,-0.01,-0.015151515
