#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Joe Musgrove,SDP,34.0,31.4%,62.3%,47.7%,55.8%,88.4%,78.3%,52.7%,23.8,5,2022-08-01
32,Tyler Anderson,LAD,37.1,31.3%,65.2%,49.7%,61.0%,85.3%,78.4%,54.4%,22.7,5,2022-08-01
33,Jordan Lyles,BAL,34.0,31.3%,67.0%,48.3%,62.1%,91.4%,81.4%,47.6%,22.2,5,2022-08-01
34,Edward Cabrera,MIA,28.1,31.1%,59.6%,43.0%,46.4%,84.3%,68.3%,41.7%,22.3,5,2022-08-01
35,Lance Lynn,CHW,36.2,30.8%,71.7%,52.4%,52.5%,80.5%,72.8%,53.0%,23.3,5,2022-08-01
36,Johnny Cueto,CHW,35.2,30.7%,67.4%,49.7%,77.3%,90.3%,86.5%,51.7%,21.5,5,2022-08-01
37,Alex Cobb,SFG,29.0,30.4%,60.4%,45.3%,50.0%,88.7%,75.7%,49.8%,23.8,5,2022-08-01
38,Luis Castillo,SEA,31.2,30.4%,69.9%,51.4%,48.0%,79.7%,71.0%,53.3%,22.1,5,2022-08-01
39,Tyler Alexander,DET,30.2,30.2%,70.5%,51.9%,83.8%,86.6%,85.8%,54.0%,23.4,5,2022-08-01
40,Dean Kremer,BAL,32.0,30.2%,64.9%,49.1%,57.4%,89.8%,80.7%,54.5%,21.4,5,2022-08-01
41,Mike Minor,CIN,33.0,30.2%,66.8%,49.5%,67.5%,89.8%,83.3%,52.7%,21.4,5,2022-08-01
42,Jordan Montgomery,STL,30.2,30.1%,70.4%,49.8%,69.0%,83.0%,78.7%,48.9%,26.0,5,2022-08-01
43,Dylan Cease,CHW,30.1,30.0%,68.6%,46.8%,45.0%,78.9%,66.7%,43.7%,22.5,5,2022-08-01
44,Lucas Giolito,CHW,31.2,29.9%,70.6%,49.8%,63.5%,83.9%,77.6%,48.9%,24.3,5,2022-08-01
45,Chris Bassitt,NYM,33.1,29.7%,64.0%,48.9%,66.2%,84.3%,79.4%,55.9%,23.0,5,2022-08-01
46,Jesus Luzardo,MIA,36.1,29.2%,72.0%,49.0%,48.8%,82.5%,71.7%,46.3%,19.7,5,2022-08-01
47,Jose Quintana,STL,29.1,29.1%,71.4%,48.7%,65.4%,90.9%,82.7%,46.3%,23.2,5,2022-08-01
48,Merrill Kelly,ARI,32.1,29.0%,65.0%,48.2%,66.2%,85.6%,80.2%,53.4%,22.0,5,2022-08-01
49,Alek Manoah,TOR,29.2,29.0%,66.4%,47.1%,58.9%,87.3%,78.4%,48.6%,27.0,5,2022-08-01
50,Kyle Gibson,PHI,31.1,29.0%,66.1%,46.7%,57.3%,92.9%,81.4%,47.7%,25.5,5,2022-08-01
51,Spenser Watkins,BAL,30.2,28.9%,62.8%,46.6%,66.7%,88.7%,82.2%,52.3%,20.0,5,2022-08-01
52,German Marquez,COL,31.0,28.9%,72.1%,52.1%,59.7%,86.1%,79.3%,53.7%,20.2,5,2022-08-01
53,Matt Manning,DET,32.1,28.9%,66.7%,49.5%,62.7%,83.9%,78.3%,54.6%,21.5,5,2022-08-01
54,Jameson Taillon,NYY,31.2,28.7%,66.1%,46.6%,59.7%,92.6%,82.0%,47.8%,22.4,5,2022-08-01
55,Nick Pivetta,BOS,28.2,28.6%,68.1%,48.4%,59.2%,82.8%,75.8%,50.0%,21.3,5,2022-08-01
56,Nick Lodolo,CIN,28.2,28.6%,59.6%,43.8%,51.8%,83.9%,73.2%,49.0%,21.7,5,2022-08-01
57,Gerrit Cole,NYY,39.1,28.3%,67.3%,47.9%,53.9%,85.4%,76.1%,50.1%,23.0,5,2022-08-01
58,Luis Garcia,HOU,29.0,28.1%,65.9%,47.1%,61.5%,81.7%,75.7%,50.1%,24.7,5,2022-08-01
59,Noah Syndergaard,PHI,30.2,28.0%,71.1%,51.3%,69.6%,90.4%,85.2%,54.0%,23.9,5,2022-08-01
60,Framber Valdez,HOU,35.1,27.9%,61.3%,45.8%,46.2%,86.7%,75.3%,53.8%,21.7,5,2022-08-01
