#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Aaron Nola,PHI,35.0,39.1%,66.8%,53.5%,57.6%,84.6%,75.1%,51.8%,24.5,4,2022-07-01
2,Braxton Garrett,MIA,30.0,39.1%,60.5%,49.8%,48.8%,90.8%,74.3%,50.0%,22.2,4,2022-07-01
3,Jose Berrios,TOR,36.0,38.1%,61.5%,49.5%,62.6%,89.6%,78.9%,48.5%,20.8,4,2022-07-01
4,Kutter Crawford,BOS,28.0,37.3%,62.6%,50.6%,65.3%,83.6%,77.2%,52.6%,21.8,4,2022-07-01
5,Sandy Alcantara,MIA,34.0,37.3%,68.8%,53.0%,58.9%,88.1%,77.9%,50.1%,21.2,4,2022-07-01
6,Shane McClanahan,TBR,30.2,36.9%,62.9%,50.6%,45.6%,75.8%,65.4%,52.5%,20.2,4,2022-07-01
7,Carlos Carrasco,NYM,30.0,36.7%,70.4%,52.0%,47.9%,88.0%,72.5%,45.4%,21.9,4,2022-07-01
8,Kyle Wright,ATL,30.2,36.1%,61.1%,50.3%,46.4%,87.0%,74.4%,56.9%,21.1,4,2022-07-01
9,Jose Urquidy,HOU,33.0,35.9%,68.1%,53.5%,66.3%,90.5%,83.2%,54.7%,21.1,4,2022-07-01
10,Tyler Anderson,LAD,32.1,35.8%,65.5%,51.1%,59.3%,85.3%,76.4%,51.3%,22.8,4,2022-07-01
11,Cole Irvin,OAK,34.0,35.3%,67.1%,52.1%,77.5%,88.1%,84.7%,52.8%,18.7,4,2022-07-01
12,Alek Manoah,TOR,31.1,35.1%,72.8%,53.6%,51.8%,87.6%,75.6%,48.9%,24.6,4,2022-07-01
13,Tony Gonsolin,LAD,30.2,34.8%,67.2%,52.5%,53.4%,82.9%,74.1%,54.6%,24.1,4,2022-07-01
14,Dylan Bundy,MIN,24.1,34.5%,68.6%,53.4%,58.6%,87.5%,79.2%,55.6%,21.1,4,2022-07-01
15,German Marquez,COL,31.2,34.5%,65.7%,50.6%,54.3%,90.9%,78.9%,51.6%,19.5,4,2022-07-01
16,Zack Wheeler,PHI,32.2,34.4%,71.8%,53.5%,72.6%,85.8%,81.6%,51.1%,23.0,4,2022-07-01
17,Jordan Montgomery,NYY,29.1,34.4%,68.4%,51.5%,56.5%,79.5%,71.9%,50.3%,27.6,4,2022-07-01
18,Patrick Sandoval,LAA,24.2,34.1%,69.3%,50.2%,58.1%,77.6%,70.4%,45.7%,26.2,4,2022-07-01
19,Nestor Cortes,NYY,27.2,33.7%,66.1%,50.6%,62.9%,82.7%,76.4%,52.2%,20.7,4,2022-07-01
20,Jake Odorizzi,HOU,28.1,33.6%,73.4%,54.9%,66.2%,86.4%,80.6%,53.3%,23.1,4,2022-07-01
21,Jon Gray,TEX,30.1,33.6%,64.0%,49.0%,55.6%,80.4%,72.0%,50.6%,24.6,4,2022-07-01
22,Gerrit Cole,NYY,38.0,33.4%,63.6%,47.5%,58.0%,79.7%,71.6%,46.7%,24.7,4,2022-07-01
23,Clayton Kershaw,LAD,32.1,33.3%,66.8%,49.3%,48.2%,88.7%,74.4%,47.6%,21.3,4,2022-07-01
24,Shohei Ohtani,LAA,25.1,33.3%,63.8%,50.6%,28.1%,74.1%,61.0%,56.7%,26.1,4,2022-07-01
25,Yu Darvish,SDP,34.0,33.2%,62.0%,49.8%,60.3%,82.8%,76.4%,57.7%,24.9,4,2022-07-01
26,Max Scherzer,NYM,32.1,33.2%,65.5%,50.9%,47.1%,73.7%,65.8%,54.7%,21.9,4,2022-07-01
27,Luis Castillo,CIN,28.0,33.0%,66.8%,51.1%,62.5%,82.6%,76.5%,53.5%,21.7,4,2022-07-01
28,Logan Gilbert,SEA,28.1,32.9%,71.1%,53.6%,54.9%,85.2%,76.7%,54.2%,21.1,4,2022-07-01
29,Jose Quintana,PIT,27.0,32.7%,65.7%,47.4%,60.0%,94.6%,81.4%,44.7%,23.8,4,2022-07-01
30,Corey Kluber,TBR,32.0,32.5%,65.3%,51.2%,61.2%,83.6%,77.5%,56.8%,23.6,4,2022-07-01
