#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
61,Kyle Gibson,PHI,27.1,27.1%,66.2%,47.7%,67.9%,89.5%,83.7%,52.7%,24.1,4,2022-07-01
62,Lucas Giolito,CHW,27.0,26.7%,63.3%,46.4%,53.6%,89.7%,80.1%,53.8%,23.1,4,2022-07-01
63,Andre Pallante,STL,26.1,26.6%,67.5%,48.2%,62.1%,89.0%,82.0%,52.7%,23.0,4,2022-07-01
64,Chris Bassitt,NYM,25.1,26.5%,67.5%,48.5%,50.0%,80.1%,72.5%,53.6%,24.7,4,2022-07-01
65,Sonny Gray,MIN,24.1,26.5%,59.0%,42.0%,66.7%,86.1%,79.7%,47.6%,24.5,4,2022-07-01
66,Chris Flexen,SEA,27.2,26.2%,75.6%,48.8%,60.9%,91.6%,82.6%,45.7%,21.9,4,2022-07-01
67,Madison Bumgarner,ARI,31.0,26.2%,69.9%,49.6%,73.8%,91.0%,86.7%,53.6%,22.2,4,2022-07-01
68,Miles Mikolas,STL,37.2,26.1%,67.4%,49.1%,71.2%,88.4%,84.3%,55.8%,19.5,4,2022-07-01
69,Sean Manaea,SDP,25.0,25.9%,67.6%,47.7%,62.7%,89.7%,82.7%,52.3%,19.2,4,2022-07-01
70,Eric Lauer,MIL,27.1,25.6%,60.3%,42.9%,67.2%,83.9%,78.9%,49.7%,21.7,4,2022-07-01
71,Zach Thompson,PIT,27.0,25.6%,69.2%,47.6%,67.9%,90.3%,84.4%,50.6%,24.8,4,2022-07-01
72,Brady Singer,KCR,30.2,25.2%,53.3%,40.0%,47.5%,82.0%,71.7%,52.7%,19.3,4,2022-07-01
73,Austin Gomber,COL,27.1,24.7%,65.2%,44.9%,55.6%,89.0%,79.8%,49.9%,20.6,4,2022-07-01
74,Kyle Freeland,COL,29.0,24.7%,67.7%,45.0%,52.4%,87.1%,77.1%,47.3%,23.6,4,2022-07-01
75,Kris Bubic,KCR,35.2,24.5%,65.3%,45.8%,50.0%,86.0%,76.8%,52.2%,21.3,4,2022-07-01
76,Adam Wainwright,STL,32.1,24.2%,56.9%,40.6%,63.5%,89.2%,81.5%,50.0%,21.3,4,2022-07-01
77,Glenn Otto,TEX,29.2,24.1%,62.4%,43.5%,58.2%,91.8%,82.6%,50.6%,24.5,4,2022-07-01
78,Corbin Burnes,MIL,31.1,24.0%,67.6%,44.8%,39.4%,77.5%,66.8%,47.6%,26.1,4,2022-07-01
79,Framber Valdez,HOU,33.2,23.4%,62.9%,44.6%,32.7%,81.9%,69.9%,53.6%,21.4,4,2022-07-01
80,Jordan Lyles,BAL,32.2,23.2%,61.0%,41.9%,57.4%,90.9%,81.5%,49.5%,22.4,4,2022-07-01
