#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Kyle Hendricks,CHC,27.2,38.7%,61.0%,49.3%,58.1%,89.3%,76.4%,47.4%,21.2,3,2022-06-01
2,Aaron Nola,PHI,43.0,38.0%,64.7%,51.9%,63.4%,85.5%,77.7%,52.0%,26.2,3,2022-06-01
3,Alex Wood,SFG,30.1,37.3%,59.3%,48.1%,65.3%,86.3%,78.0%,49.1%,20.0,3,2022-06-01
4,JT Brubaker,PIT,34.1,36.8%,62.2%,49.6%,48.6%,92.1%,76.0%,50.1%,20.5,3,2022-06-01
5,Carlos Rodon,SFG,36.0,36.8%,66.1%,51.7%,59.2%,79.1%,72.1%,50.8%,23.1,3,2022-06-01
6,Jose Quintana,PIT,30.0,36.5%,69.5%,50.7%,56.0%,84.1%,72.6%,43.0%,23.9,3,2022-06-01
7,Zac Gallen,ARI,25.2,36.1%,57.8%,45.7%,64.6%,90.2%,78.9%,44.2%,24.9,3,2022-06-01
8,Max Fried,ATL,33.1,35.9%,65.1%,50.2%,53.8%,88.9%,76.1%,49.0%,23.4,3,2022-06-01
9,Ross Stripling,TOR,28.1,35.7%,68.9%,52.7%,67.6%,88.2%,81.4%,51.2%,21.7,3,2022-06-01
10,Julio Urias,LAD,28.2,35.4%,68.5%,52.8%,48.0%,80.7%,70.3%,52.6%,24.3,3,2022-06-01
11,Pablo Lopez,MIA,28.2,35.0%,69.7%,50.0%,58.7%,85.7%,75.0%,43.3%,25.2,3,2022-06-01
12,Carlos Carrasco,NYM,29.2,34.8%,67.9%,49.6%,58.3%,86.2%,75.4%,44.8%,23.1,3,2022-06-01
13,Patrick Corbin,WSN,27.1,34.5%,61.2%,48.3%,58.2%,90.7%,79.5%,51.7%,23.5,3,2022-06-01
14,Logan Webb,SFG,30.1,33.8%,56.6%,43.7%,61.5%,85.5%,75.0%,43.5%,20.4,3,2022-06-01
15,Yu Darvish,SDP,35.2,33.8%,62.0%,48.8%,56.3%,83.3%,74.6%,53.3%,24.3,3,2022-06-01
16,Triston McKenzie,CLE,29.1,33.6%,74.3%,53.0%,51.9%,86.2%,74.8%,47.7%,22.2,3,2022-06-01
17,Shane Bieber,CLE,37.1,33.6%,60.7%,48.4%,31.0%,86.3%,68.8%,54.5%,20.2,3,2022-06-01
18,Luis Garcia,HOU,27.2,33.5%,72.3%,51.6%,40.7%,82.5%,68.1%,46.8%,24.9,3,2022-06-01
19,Marco Gonzales,SEA,31.0,33.5%,64.2%,47.2%,75.3%,84.8%,81.1%,44.7%,21.1,3,2022-06-01
20,Corbin Burnes,MIL,28.2,33.4%,59.7%,45.2%,46.9%,79.0%,65.8%,44.6%,25.8,3,2022-06-01
21,Dane Dunning,TEX,33.2,33.4%,63.2%,46.1%,62.6%,92.1%,79.8%,42.6%,21.6,3,2022-06-01
22,Taijuan Walker,NYM,37.2,33.3%,66.8%,49.2%,64.7%,85.4%,78.0%,47.5%,20.8,3,2022-06-01
23,Tyler Anderson,LAD,28.1,33.3%,68.3%,51.7%,57.5%,91.0%,80.8%,52.6%,22.9,3,2022-06-01
24,Zach Plesac,CLE,30.0,33.3%,70.7%,51.4%,62.2%,85.8%,77.9%,48.2%,22.3,3,2022-06-01
25,Jose Berrios,TOR,28.2,33.2%,68.6%,52.2%,53.1%,91.5%,80.2%,53.6%,20.7,3,2022-06-01
26,Tarik Skubal,DET,32.1,33.1%,65.3%,49.2%,47.4%,87.8%,74.2%,50.1%,21.6,3,2022-06-01
27,Sandy Alcantara,MIA,47.2,32.8%,65.1%,50.3%,66.0%,86.9%,80.7%,54.3%,20.7,3,2022-06-01
28,Jeffrey Springs,TBR,26.2,32.8%,65.2%,48.8%,52.6%,82.4%,72.3%,49.5%,25.1,3,2022-06-01
29,Robbie Ray,SEA,37.0,32.4%,69.9%,49.1%,53.4%,85.5%,73.8%,44.6%,22.9,3,2022-06-01
30,Gerrit Cole,NYY,29.2,32.4%,67.1%,49.5%,53.2%,83.6%,73.5%,49.3%,22.7,3,2022-06-01
