#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Carlos Carrasco,NYM,30.0,42.3%,68.8%,55.1%,63.4%,86.7%,77.5%,48.6%,22.4,2,2022-05-01
2,Kevin Gausman,TOR,36.1,40.6%,73.3%,57.3%,58.1%,82.7%,74.2%,51.0%,24.1,2,2022-05-01
3,Logan Webb,SFG,31.0,38.5%,59.7%,48.5%,56.8%,91.7%,77.1%,47.2%,20.7,2,2022-05-01
4,Julio Urias,LAD,35.0,37.0%,67.8%,54.0%,56.3%,88.3%,78.4%,55.0%,23.4,2,2022-05-01
5,Corbin Burnes,MIL,39.0,36.8%,66.1%,49.1%,38.6%,86.6%,65.6%,41.8%,26.2,2,2022-05-01
6,Tyler Anderson,LAD,32.0,36.5%,70.9%,54.9%,53.4%,80.4%,72.0%,53.5%,22.1,2,2022-05-01
7,Zac Gallen,ARI,35.1,36.4%,60.0%,46.9%,67.8%,90.2%,80.6%,44.7%,24.0,2,2022-05-01
8,Miles Mikolas,STL,31.0,35.8%,66.9%,53.0%,70.7%,88.4%,83.1%,55.4%,21.2,2,2022-05-01
9,Alex Cobb,SFG,28.1,35.7%,59.6%,46.6%,63.7%,85.0%,76.1%,45.5%,22.9,2,2022-05-01
10,Frankie Montas,OAK,35.0,35.4%,75.3%,55.0%,58.9%,83.6%,75.5%,49.1%,24.5,2,2022-05-01
11,Robbie Ray,SEA,30.1,35.4%,74.5%,54.6%,36.8%,75.8%,63.0%,49.3%,23.8,2,2022-05-01
12,Tyler Wells,BAL,30.2,35.1%,69.3%,53.5%,58.9%,86.4%,78.1%,54.0%,24.3,2,2022-05-01
13,Zack Wheeler,PHI,32.2,34.0%,68.0%,52.7%,50.0%,79.5%,71.0%,55.0%,23.1,2,2022-05-01
14,Jordan Montgomery,NYY,33.1,33.9%,68.0%,50.1%,50.0%,85.6%,73.0%,47.6%,22.7,2,2022-05-01
15,Gerrit Cole,NYY,33.2,33.8%,69.2%,51.4%,50.6%,75.0%,66.9%,49.7%,21.8,2,2022-05-01
16,Max Fried,ATL,37.0,33.7%,66.7%,49.4%,49.0%,85.9%,72.7%,47.7%,24.6,2,2022-05-01
17,Framber Valdez,HOU,43.0,33.3%,65.2%,51.3%,57.8%,92.1%,82.3%,56.3%,22.8,2,2022-05-01
18,Sandy Alcantara,MIA,42.1,33.2%,71.8%,52.5%,50.5%,81.5%,71.7%,49.9%,20.5,2,2022-05-01
19,Charlie Morton,ATL,31.1,33.2%,63.2%,48.1%,55.1%,92.9%,79.8%,49.8%,23.0,2,2022-05-01
20,Bruce Zimmermann,BAL,32.1,33.2%,64.6%,50.3%,70.3%,90.2%,84.2%,54.6%,23.1,2,2022-05-01
21,Patrick Corbin,WSN,34.2,33.1%,67.5%,50.5%,64.4%,89.5%,81.3%,50.5%,24.1,2,2022-05-01
22,Nathan Eovaldi,BOS,28.2,33.0%,68.0%,52.6%,56.9%,82.4%,75.3%,55.9%,22.4,2,2022-05-01
23,Zack Greinke,KCR,29.2,33.0%,59.9%,45.4%,76.3%,88.1%,83.5%,46.2%,23.2,2,2022-05-01
24,Alek Manoah,TOR,31.0,32.9%,69.0%,52.3%,64.7%,79.6%,75.3%,53.9%,24.6,2,2022-05-01
25,Jose Quintana,PIT,27.0,32.8%,64.4%,46.7%,63.0%,84.8%,76.2%,44.0%,22.9,2,2022-05-01
26,Tarik Skubal,DET,31.0,32.5%,68.0%,51.8%,56.7%,83.7%,76.0%,54.2%,20.6,2,2022-05-01
27,Michael Lorenzen,LAA,32.2,32.5%,66.8%,50.3%,64.9%,89.1%,81.6%,52.0%,19.9,2,2022-05-01
28,Jameson Taillon,NYY,31.1,32.4%,73.3%,53.6%,63.6%,88.3%,81.1%,52.0%,21.2,2,2022-05-01
29,Joe Musgrove,SDP,33.0,32.1%,60.9%,46.3%,48.1%,89.9%,75.1%,49.1%,22.3,2,2022-05-01
30,Carlos Rodon,SFG,27.0,31.9%,66.3%,50.6%,58.0%,84.8%,77.1%,54.4%,24.0,2,2022-05-01
