#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Jacob deGrom,NYM,36.1,40.8%,72.9%,56.7%,40.0%,73.1%,61.1%,49.5%,20.5,5,2022-08-01
2,Julio Urias,LAD,30.0,40.7%,73.5%,58.3%,60.2%,85.8%,77.5%,53.5%,26.1,5,2022-08-01
3,Drew Rasmussen,TBR,34.1,39.4%,68.2%,53.9%,53.8%,85.9%,74.2%,50.3%,24.6,5,2022-08-01
4,Justin Verlander,HOU,28.0,39.1%,70.1%,53.4%,66.7%,86.0%,78.4%,46.2%,24.6,5,2022-08-01
5,Corey Kluber,TBR,29.2,37.9%,66.8%,53.9%,55.6%,84.1%,75.1%,55.3%,21.4,5,2022-08-01
6,Triston McKenzie,CLE,38.2,37.8%,69.9%,54.4%,54.3%,83.6%,73.7%,51.6%,22.4,5,2022-08-01
7,Kevin Gausman,TOR,36.2,37.5%,72.3%,56.0%,56.7%,80.8%,73.3%,53.3%,25.6,5,2022-08-01
8,Kyle Wright,ATL,32.0,37.4%,65.1%,52.2%,54.1%,89.9%,78.0%,53.6%,22.0,5,2022-08-01
9,Shane Bieber,CLE,33.1,36.9%,63.3%,50.8%,44.6%,89.3%,74.0%,52.7%,21.2,5,2022-08-01
10,Max Scherzer,NYM,40.2,36.3%,70.2%,53.5%,49.1%,86.3%,73.9%,50.7%,21.3,5,2022-08-01
11,Aaron Nola,PHI,32.0,36.2%,59.8%,48.8%,57.5%,83.6%,74.6%,53.5%,26.1,5,2022-08-01
12,Cristian Javier,HOU,32.0,35.9%,69.0%,52.9%,57.0%,83.6%,74.8%,51.4%,23.2,5,2022-08-01
13,Jose Urquidy,HOU,31.2,35.8%,70.5%,53.2%,62.1%,87.8%,79.2%,50.1%,21.1,5,2022-08-01
14,Zac Gallen,ARI,40.0,35.2%,57.6%,45.9%,60.4%,86.8%,76.2%,47.8%,22.7,5,2022-08-01
15,Sandy Alcantara,MIA,36.1,35.1%,67.9%,54.2%,66.2%,82.4%,78.0%,58.1%,20.5,5,2022-08-01
16,Marco Gonzales,SEA,33.2,34.6%,66.2%,51.1%,77.5%,86.0%,83.3%,52.2%,20.6,5,2022-08-01
17,Robbie Ray,SEA,33.0,34.6%,62.8%,46.8%,54.4%,83.1%,71.0%,43.1%,22.3,5,2022-08-01
18,Patrick Sandoval,LAA,32.1,34.5%,63.1%,49.7%,55.3%,81.5%,73.0%,53.1%,25.6,5,2022-08-01
19,Charlie Morton,ATL,30.1,34.4%,57.9%,46.1%,50.0%,79.9%,68.6%,49.6%,22.8,5,2022-08-01
20,Blake Snell,SDP,32.0,34.2%,69.3%,51.7%,52.9%,80.0%,71.0%,49.8%,24.6,5,2022-08-01
21,Jeffrey Springs,TBR,27.2,34.0%,65.5%,50.0%,54.2%,82.6%,73.1%,50.9%,24.8,5,2022-08-01
22,Logan Webb,SFG,35.0,33.9%,59.4%,46.7%,59.4%,88.8%,78.2%,50.3%,21.2,5,2022-08-01
23,Joe Ryan,MIN,32.2,33.6%,73.2%,54.5%,58.4%,79.4%,73.3%,52.9%,23.3,5,2022-08-01
24,Cole Irvin,OAK,38.1,32.9%,71.1%,54.0%,65.9%,84.0%,79.1%,55.3%,19.4,5,2022-08-01
25,Brandon Woodruff,MIL,30.0,32.9%,68.3%,52.2%,64.8%,83.1%,77.8%,54.5%,23.3,5,2022-08-01
26,Alex Wood,SFG,30.0,32.7%,68.3%,50.5%,55.8%,83.2%,74.3%,49.9%,21.5,5,2022-08-01
27,Domingo German,NYY,34.2,32.6%,65.3%,50.6%,57.5%,91.6%,81.7%,55.0%,21.9,5,2022-08-01
28,Yu Darvish,SDP,33.1,32.4%,65.9%,51.8%,55.7%,84.6%,77.0%,57.8%,25.2,5,2022-08-01
29,George Kirby,SEA,29.1,32.0%,70.8%,54.2%,72.4%,85.9%,82.5%,57.0%,22.8,5,2022-08-01
30,Drew Smyly,CHC,30.0,31.9%,68.4%,52.9%,60.4%,83.8%,77.8%,57.5%,20.3,5,2022-08-01
