#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,Year,YearDate
324,Jesus Luzardo,- - -,95.1,28.4%,68.6%,46.7%,50.0%,82.3%,71.6%,45.7%,21.4,2021.0,2021-01-01
325,Caleb Thielbar,MIN,64.0,28.3%,66.0%,49.2%,56.4%,82.9%,76.1%,55.3%,24.0,2021.0,2021-01-01
326,Jacob Barnes,- - -,28.2,28.3%,67.4%,46.8%,56.5%,81.3%,73.4%,47.4%,27.8,2021.0,2021-01-01
327,Edwin Uceta,LAD,20.1,28.3%,67.4%,47.9%,52.9%,84.4%,75.1%,50.1%,23.5,2021.0,2021-01-01
328,Mitch White,LAD,46.2,28.3%,66.0%,48.6%,57.0%,87.4%,79.2%,53.7%,23.5,2021.0,2021-01-01
329,Richard Rodriguez,- - -,64.1,28.3%,70.8%,52.5%,63.5%,86.9%,81.5%,57.0%,21.5,2021.0,2021-01-01
330,Pete Fairbanks,TBR,42.2,28.3%,64.5%,46.5%,56.9%,78.9%,72.2%,50.3%,28.4,2021.0,2021-01-01
331,A.J. Cole,TOR,8.0,28.3%,68.9%,50.0%,60.0%,81.0%,75.4%,53.5%,27.4,2021.0,2021-01-01
332,Ashton Goudeau,- - -,34.1,28.3%,66.5%,45.6%,65.9%,90.6%,82.2%,45.2%,22.8,2021.0,2021-01-01
333,Cole Irvin,OAK,178.1,28.3%,69.1%,51.6%,71.4%,86.1%,82.7%,57.2%,21.4,2021.0,2021-01-01
334,Anthony Kay,TOR,33.2,28.3%,68.4%,47.6%,55.8%,86.0%,76.7%,48.2%,24.2,2021.0,2021-01-01
335,Jerad Eickhoff,NYM,19.2,28.3%,71.1%,49.0%,63.5%,91.9%,83.4%,48.5%,21.9,2021.0,2021-01-01
336,Joe Barlow,TEX,29.0,28.3%,69.4%,49.2%,58.7%,82.6%,75.9%,51.0%,27.3,2021.0,2021-01-01
337,Kodi Whitley,STL,25.1,28.2%,75.9%,51.9%,59.6%,75.5%,71.2%,49.6%,22.6,2021.0,2021-01-01
338,Jake Latz,TEX,4.2,28.2%,73.3%,52.4%,45.5%,90.9%,79.5%,53.6%,17.8,2021.0,2021-01-01
339,Zach Plesac,CLE,142.2,28.2%,70.8%,50.9%,59.8%,84.1%,77.8%,53.2%,23.2,2021.0,2021-01-01
340,Zack Wheeler,PHI,213.1,28.2%,69.4%,51.4%,53.3%,83.1%,76.0%,56.4%,23.6,2021.0,2021-01-01
341,Alek Manoah,TOR,111.2,28.2%,66.5%,47.9%,54.2%,80.8%,73.2%,51.3%,24.7,2021.0,2021-01-01
342,T.J. McFarland,STL,38.2,28.1%,71.5%,48.6%,65.8%,91.3%,83.5%,47.3%,23.6,2021.0,2021-01-01
343,Kyle Muller,ATL,36.2,28.1%,64.3%,44.8%,44.7%,83.5%,70.3%,45.9%,20.7,2021.0,2021-01-01
344,Zack Britton,NYY,18.1,28.1%,66.4%,43.4%,55.6%,92.9%,78.4%,40.0%,26.8,2021.0,2021-01-01
345,Yu Darvish,SDP,166.1,28.1%,63.2%,47.4%,51.0%,83.0%,74.4%,54.9%,27.2,2021.0,2021-01-01
346,Evan Phillips,- - -,13.1,28.1%,68.2%,52.5%,51.9%,86.1%,78.9%,60.7%,26.1,2021.0,2021-01-01
347,Darien Nunez,LAD,7.2,28.1%,71.4%,49.6%,66.7%,66.7%,66.7%,49.6%,23.2,2021.0,2021-01-01
348,Archie Bradley,PHI,51.0,28.1%,65.6%,47.0%,73.4%,89.8%,85.0%,50.5%,22.0,2021.0,2021-01-01
349,Jimmie Sherfy,- - -,15.0,28.1%,54.3%,41.3%,65.6%,84.1%,77.9%,50.4%,23.0,2021.0,2021-01-01
350,Michael Kopech,CHW,69.1,28.1%,62.0%,46.5%,51.4%,76.9%,69.9%,54.5%,24.8,2021.0,2021-01-01
351,Tanner Houck,BOS,69.0,28.1%,65.8%,46.7%,44.8%,82.6%,71.1%,49.4%,21.7,2021.0,2021-01-01
352,Nick Pivetta,BOS,155.0,28.0%,66.0%,47.9%,58.5%,85.6%,78.0%,52.4%,21.7,2021.0,2021-01-01
353,Pedro Baez,HOU,4.1,28.0%,73.5%,54.2%,71.4%,76.0%,75.0%,57.6%,26.0,2021.0,2021-01-01
354,Brusdar Graterol,LAD,33.1,28.0%,65.6%,51.2%,55.4%,91.5%,84.0%,61.8%,21.6,2021.0,2021-01-01
355,Jhonathan Diaz,LAA,13.0,28.0%,64.7%,46.4%,60.6%,88.3%,80.0%,50.2%,23.3,2021.0,2021-01-01
356,Thomas Hatch,TOR,9.1,28.0%,72.6%,47.6%,53.8%,92.5%,79.7%,44.0%,26.0,2021.0,2021-01-01
357,Noe Ramirez,- - -,36.0,27.9%,62.5%,46.3%,63.2%,84.9%,78.7%,53.0%,26.5,2021.0,2021-01-01
358,Reynaldo Lopez,CHW,57.2,27.9%,66.9%,48.8%,59.0%,83.9%,77.3%,53.5%,22.7,2021.0,2021-01-01
359,Dallas Keuchel,CHW,162.0,27.9%,63.6%,44.0%,65.3%,88.3%,80.3%,45.0%,21.8,2021.0,2021-01-01
360,Tanner Scott,BAL,54.0,27.9%,62.6%,43.5%,29.1%,83.5%,64.4%,45.1%,23.1,2021.0,2021-01-01
361,Jake Petricka,LAA,6.0,27.8%,55.4%,39.3%,54.5%,83.9%,71.7%,41.5%,25.2,2021.0,2021-01-01
362,Miles Mikolas,STL,44.2,27.8%,62.9%,48.7%,72.5%,87.5%,84.1%,59.4%,20.7,2021.0,2021-01-01
363,John Brebbia,SFG,18.1,27.8%,73.4%,53.6%,75.0%,81.2%,79.8%,56.6%,24.7,2021.0,2021-01-01
364,Stephen Ridings,NYY,5.0,27.8%,63.2%,45.9%,30.0%,70.8%,58.8%,51.4%,28.3,2021.0,2021-01-01
365,Spencer Strider,ATL,2.1,27.8%,95.0%,63.2%,80.0%,78.9%,79.2%,52.6%,19.2,2021.0,2021-01-01
366,Tanner Rainey,WSN,31.2,27.8%,67.2%,47.6%,42.0%,75.8%,66.0%,50.2%,25.5,2021.0,2021-01-01
367,Demarcus Evans,TEX,26.1,27.7%,70.9%,46.7%,55.6%,82.8%,73.8%,44.1%,24.5,2021.0,2021-01-01
368,Robert Gsellman,NYM,28.2,27.7%,69.3%,49.6%,66.1%,85.3%,80.2%,52.7%,22.2,2021.0,2021-01-01
369,Griffin Canning,LAA,62.2,27.7%,70.1%,49.2%,50.7%,79.9%,71.8%,50.6%,23.7,2021.0,2021-01-01
370,Ryan Meisinger,CHC,7.1,27.7%,69.2%,45.9%,43.5%,86.7%,72.1%,43.9%,23.4,2021.0,2021-01-01
371,Brent Suter,MIL,73.1,27.7%,69.1%,48.4%,59.8%,90.3%,81.6%,50.0%,19.3,2021.0,2021-01-01
372,Alex Claudio,LAA,32.2,27.7%,62.5%,42.6%,61.3%,84.7%,76.0%,42.8%,24.4,2021.0,2021-01-01
373,Jose Suarez,LAA,98.1,27.7%,65.9%,46.8%,58.4%,83.3%,76.0%,50.1%,27.2,2021.0,2021-01-01
374,Darren O'Day,NYY,10.2,27.7%,66.3%,47.1%,50.0%,82.5%,73.0%,50.3%,27.3,2021.0,2021-01-01
375,Matt Andriese,- - -,48.1,27.6%,67.2%,48.0%,62.6%,86.4%,79.8%,51.3%,27.3,2021.0,2021-01-01
376,David Hess,- - -,20.0,27.6%,70.6%,49.5%,64.0%,85.6%,79.7%,50.8%,22.4,2021.0,2021-01-01
377,Mike Mayers,LAA,75.0,27.6%,67.1%,47.9%,57.8%,78.6%,72.8%,51.4%,24.9,2021.0,2021-01-01
378,Luis Garcia,STL,33.1,27.6%,66.1%,49.1%,36.1%,80.5%,69.5%,55.9%,24.8,2021.0,2021-01-01
379,Nick Vincent,MIN,12.2,27.6%,76.0%,53.0%,45.8%,87.7%,77.3%,52.5%,26.4,2021.0,2021-01-01
380,Sam Howard,PIT,45.0,27.6%,63.1%,44.4%,47.6%,72.5%,64.4%,47.3%,26.1,2021.0,2021-01-01
381,Jeremy Beasley,TOR,9.1,27.5%,70.8%,47.0%,46.7%,69.8%,62.4%,44.9%,22.7,2021.0,2021-01-01
382,Justin Dunn,SEA,50.1,27.5%,64.4%,46.7%,64.3%,85.2%,79.3%,52.0%,24.8,2021.0,2021-01-01
383,Daniel Lynch,KCR,68.0,27.5%,68.6%,47.4%,48.9%,87.7%,76.1%,48.3%,21.5,2021.0,2021-01-01
384,Anthony DeSclafani,SFG,167.2,27.5%,67.0%,48.7%,55.8%,85.0%,77.4%,53.7%,22.9,2021.0,2021-01-01
385,Heath Hembree,- - -,58.0,27.5%,66.6%,48.2%,55.3%,81.0%,74.1%,52.9%,28.2,2021.0,2021-01-01
386,Jake Odorizzi,HOU,104.2,27.5%,69.7%,48.9%,64.4%,86.4%,80.3%,50.7%,25.1,2021.0,2021-01-01
387,Shawn Morimando,MIA,10.1,27.5%,63.9%,47.2%,64.0%,89.9%,83.0%,54.3%,21.2,2021.0,2021-01-01
388,Austin Warren,LAA,20.1,27.5%,63.4%,45.4%,40.5%,87.6%,73.4%,50.0%,23.1,2021.0,2021-01-01
389,Max Fried,ATL,165.2,27.4%,66.1%,48.3%,52.0%,86.2%,77.3%,54.0%,23.5,2021.0,2021-01-01
390,Sam Hentges,CLE,68.2,27.4%,64.4%,45.2%,50.0%,89.7%,77.2%,47.9%,22.1,2021.0,2021-01-01
391,Elieser Hernandez,MIA,51.2,27.4%,68.1%,51.2%,52.7%,85.6%,78.3%,58.6%,23.4,2021.0,2021-01-01
392,Sean Manaea,OAK,179.1,27.4%,69.3%,51.4%,57.1%,81.8%,76.1%,57.3%,21.4,2021.0,2021-01-01
393,Deivi Garcia,NYY,8.1,27.4%,63.8%,43.8%,65.2%,77.3%,73.1%,45.1%,22.4,2021.0,2021-01-01
394,Dennis Santana,- - -,54.2,27.4%,68.9%,46.2%,48.5%,86.3%,74.0%,45.3%,27.3,2021.0,2021-01-01
395,Hoby Milner,MIL,21.2,27.3%,59.9%,46.6%,43.2%,88.5%,77.6%,59.0%,20.1,2021.0,2021-01-01
396,Spencer Turnbull,DET,50.0,27.3%,67.6%,49.2%,56.7%,85.2%,78.0%,54.2%,22.5,2021.0,2021-01-01
397,Tanner Roark,TOR,7.0,27.3%,63.1%,45.0%,72.2%,90.2%,84.7%,49.6%,23.3,2021.0,2021-01-01
398,Jason Adam,CHC,10.2,27.3%,62.9%,43.1%,42.4%,80.3%,67.0%,44.5%,25.3,2021.0,2021-01-01
399,Adrian Sampson,CHC,35.1,27.3%,71.3%,49.5%,61.3%,88.4%,81.0%,50.4%,24.7,2021.0,2021-01-01
400,Daniel Ponce de Leon,STL,33.1,27.3%,67.4%,46.6%,69.9%,85.4%,80.7%,48.1%,24.3,2021.0,2021-01-01
401,Steven Brault,PIT,27.2,27.2%,71.0%,48.4%,60.0%,89.5%,80.9%,48.4%,22.9,2021.0,2021-01-01
402,Joe Kelly,LAD,44.0,27.2%,55.1%,41.9%,42.4%,85.4%,72.1%,52.5%,30.0,2021.0,2021-01-01
403,JT Brubaker,PIT,124.1,27.2%,65.8%,47.0%,44.1%,86.1%,74.3%,51.4%,22.3,2021.0,2021-01-01
404,Dillon Tate,BAL,67.2,27.2%,60.8%,45.4%,63.1%,84.8%,78.9%,54.1%,22.2,2021.0,2021-01-01
405,Braxton Garrett,MIA,34.0,27.2%,62.0%,44.2%,59.5%,87.4%,78.7%,48.8%,23.6,2021.0,2021-01-01
406,Nick Nelson,NYY,14.1,27.2%,64.9%,44.4%,52.0%,82.0%,72.0%,45.6%,24.6,2021.0,2021-01-01
407,Jharel Cotton,TEX,30.2,27.2%,69.6%,48.8%,61.1%,81.3%,75.8%,51.0%,22.8,2021.0,2021-01-01
408,Jose Alvarez,SFG,64.2,27.2%,63.5%,47.1%,62.2%,87.0%,80.5%,54.8%,23.7,2021.0,2021-01-01
409,Juan Minaya,MIN,40.0,27.1%,74.2%,48.4%,58.2%,85.5%,77.1%,45.2%,22.3,2021.0,2021-01-01
410,Anthony Bass,MIA,61.1,27.1%,61.3%,45.0%,44.4%,85.7%,73.8%,52.3%,24.4,2021.0,2021-01-01
411,Alex Reyes,STL,72.1,27.1%,62.8%,43.6%,41.2%,80.2%,67.2%,46.3%,25.1,2021.0,2021-01-01
412,T.J. Zeuch,TOR,15.0,27.1%,69.0%,47.9%,76.9%,87.8%,84.7%,49.7%,23.1,2021.0,2021-01-01
413,Aaron Bummer,CHW,56.1,27.1%,57.3%,42.3%,35.2%,84.7%,69.0%,50.4%,25.4,2021.0,2021-01-01
414,Charlie Morton,ATL,185.2,27.1%,62.0%,45.7%,45.8%,83.5%,73.0%,53.2%,22.0,2021.0,2021-01-01
415,Aaron Loup,NYM,56.2,27.1%,62.5%,46.5%,52.0%,83.9%,75.5%,54.7%,23.8,2021.0,2021-01-01
416,Lance Lynn,CHW,157.0,27.0%,71.3%,50.1%,54.6%,83.0%,75.7%,52.1%,25.6,2021.0,2021-01-01
417,Jay Jackson,SFG,21.2,27.0%,62.1%,44.5%,45.3%,81.8%,70.7%,49.9%,27.3,2021.0,2021-01-01
418,Trevor Megill,CHC,23.2,27.0%,65.1%,46.4%,52.4%,87.3%,77.3%,50.8%,24.8,2021.0,2021-01-01
419,Adonis Medina,PHI,7.2,27.0%,52.4%,38.7%,60.0%,87.9%,77.4%,46.0%,20.8,2021.0,2021-01-01
420,Shohei Ohtani,LAA,130.1,27.0%,66.2%,47.9%,45.1%,83.2%,73.2%,53.4%,26.1,2021.0,2021-01-01
421,Madison Bumgarner,ARI,146.1,27.0%,64.9%,48.6%,61.3%,86.2%,80.3%,57.0%,23.1,2021.0,2021-01-01
422,Matt Wisler,- - -,48.2,27.0%,58.1%,43.6%,46.5%,77.5%,68.5%,53.4%,23.1,2021.0,2021-01-01
423,Austin Gomber,COL,115.1,27.0%,63.4%,46.1%,50.2%,85.1%,75.4%,52.5%,22.0,2021.0,2021-01-01
424,Jose Quijada,LAA,25.2,27.0%,63.8%,44.9%,49.3%,80.0%,70.5%,48.7%,26.2,2021.0,2021-01-01
425,Spencer Patton,TEX,42.1,26.9%,64.5%,45.7%,61.1%,81.5%,75.5%,49.9%,23.3,2021.0,2021-01-01
426,Griffin Jax,MIN,82.0,26.9%,67.7%,48.1%,63.3%,86.2%,80.0%,52.0%,21.9,2021.0,2021-01-01
427,Louis Head,TBR,35.0,26.9%,71.7%,50.9%,45.6%,84.3%,74.8%,53.7%,23.5,2021.0,2021-01-01
428,Taylor Clarke,ARI,43.1,26.9%,73.0%,50.9%,68.0%,82.9%,79.2%,52.1%,27.1,2021.0,2021-01-01
429,Junior Fernandez,STL,20.2,26.9%,72.5%,47.6%,61.1%,76.0%,71.4%,45.4%,26.6,2021.0,2021-01-01
430,Framber Valdez,HOU,134.2,26.8%,56.9%,42.1%,46.9%,88.4%,75.3%,50.6%,22.0,2021.0,2021-01-01
431,Hunter Strickland,- - -,58.2,26.8%,69.8%,48.9%,60.9%,80.4%,75.2%,51.4%,29.4,2021.0,2021-01-01
432,Sam Selman,- - -,25.0,26.8%,68.1%,47.6%,80.3%,84.0%,83.0%,50.2%,23.5,2021.0,2021-01-01
433,Gabe Speier,KCR,7.2,26.8%,60.9%,47.6%,45.5%,87.2%,78.0%,61.0%,24.9,2021.0,2021-01-01
434,Steven Okert,MIA,36.0,26.8%,66.1%,47.1%,53.8%,78.0%,71.4%,51.6%,22.6,2021.0,2021-01-01
435,Keone Kela,SDP,10.2,26.8%,54.8%,41.3%,57.7%,87.7%,78.3%,51.7%,21.6,2021.0,2021-01-01
436,Cody Stashak,MIN,15.2,26.8%,77.1%,49.7%,40.0%,75.9%,65.4%,45.5%,26.6,2021.0,2021-01-01
437,Glenn Otto,TEX,23.1,26.8%,66.8%,50.4%,61.2%,87.6%,81.9%,59.2%,26.1,2021.0,2021-01-01
438,Zach Davies,CHC,148.0,26.8%,61.0%,42.9%,61.1%,87.6%,78.8%,47.1%,21.8,2021.0,2021-01-01
439,Kyle Finnegan,WSN,66.0,26.8%,65.0%,47.4%,57.7%,84.2%,77.3%,53.9%,30.4,2021.0,2021-01-01
440,Tyler Mahle,CIN,180.0,26.7%,62.1%,45.1%,57.3%,81.6%,74.7%,51.8%,23.1,2021.0,2021-01-01
441,Buck Farmer,DET,35.1,26.7%,65.9%,44.9%,62.5%,82.0%,75.8%,46.4%,25.1,2021.0,2021-01-01
442,Shawn Armstrong,- - -,36.0,26.7%,69.8%,49.8%,55.3%,78.5%,72.7%,53.6%,23.8,2021.0,2021-01-01
443,Bryan Shaw,CLE,77.1,26.7%,70.9%,48.0%,54.2%,86.0%,76.8%,48.3%,24.7,2021.0,2021-01-01
444,Drew Hutchison,DET,21.1,26.7%,70.6%,47.8%,51.1%,89.6%,78.4%,48.1%,23.0,2021.0,2021-01-01
445,Jakob Junis,KCR,39.1,26.7%,59.5%,44.8%,54.7%,84.5%,76.5%,55.2%,19.5,2021.0,2021-01-01
446,J.A. Happ,- - -,152.1,26.7%,69.1%,47.6%,67.3%,89.2%,83.0%,49.4%,22.6,2021.0,2021-01-01
447,Drew Rasmussen,- - -,76.0,26.7%,65.4%,47.1%,59.6%,82.9%,76.7%,52.9%,23.0,2021.0,2021-01-01
448,David Paulino,PHI,2.0,26.7%,70.6%,50.0%,100.0%,91.7%,93.8%,53.1%,18.9,2021.0,2021-01-01
449,Andre Jackson,LAD,11.2,26.7%,73.4%,48.7%,57.1%,78.3%,72.2%,47.2%,23.1,2021.0,2021-01-01
450,Spenser Watkins,BAL,54.2,26.7%,64.2%,45.8%,68.8%,90.8%,84.5%,51.1%,21.5,2021.0,2021-01-01
451,Adam Cimber,- - -,71.2,26.7%,67.6%,50.6%,70.8%,83.7%,80.9%,58.6%,23.5,2021.0,2021-01-01
452,Sonny Gray,CIN,135.1,26.6%,59.2%,42.9%,51.3%,86.1%,75.3%,49.8%,23.4,2021.0,2021-01-01
453,Jose Urena,DET,100.2,26.6%,67.2%,46.3%,64.7%,87.1%,80.5%,48.5%,21.9,2021.0,2021-01-01
454,Tyler Duffey,MIN,62.1,26.6%,61.5%,43.4%,57.2%,87.5%,77.9%,48.2%,23.0,2021.0,2021-01-01
455,Chris Mazza,TBR,27.1,26.6%,69.8%,50.1%,44.0%,82.8%,73.4%,54.5%,23.4,2021.0,2021-01-01
456,Merrill Kelly,ARI,158.0,26.6%,65.7%,48.5%,58.8%,89.1%,81.8%,56.0%,23.8,2021.0,2021-01-01
457,Blake Snell,SDP,128.2,26.6%,64.0%,44.2%,43.9%,83.3%,70.8%,47.1%,24.5,2021.0,2021-01-01
458,Garrett Crochet,CHW,54.1,26.6%,60.0%,44.5%,51.3%,80.6%,72.5%,53.6%,21.8,2021.0,2021-01-01
459,Chris Flexen,SEA,179.2,26.6%,69.7%,49.6%,65.6%,88.4%,82.7%,53.3%,23.3,2021.0,2021-01-01
460,Tyler Chatwood,- - -,32.0,26.6%,59.8%,40.9%,47.2%,86.3%,71.9%,43.3%,23.1,2021.0,2021-01-01
461,Nick Margevicius,SEA,12.0,26.6%,65.4%,46.1%,76.5%,87.1%,84.0%,50.4%,22.0,2021.0,2021-01-01
462,Wyatt Mills,SEA,12.2,26.5%,56.4%,41.7%,70.0%,87.9%,82.3%,50.9%,25.1,2021.0,2021-01-01
463,Tyler Matzek,ATL,63.0,26.5%,70.4%,48.4%,52.8%,80.5%,72.9%,49.8%,27.0,2021.0,2021-01-01
464,Rowan Wick,CHC,23.0,26.5%,56.5%,41.5%,43.4%,85.0%,71.7%,50.0%,23.0,2021.0,2021-01-01
465,Lance McCullers Jr.,HOU,162.1,26.5%,56.7%,41.5%,43.3%,85.5%,71.9%,49.6%,23.6,2021.0,2021-01-01
466,Andrew Wantz,LAA,27.1,26.5%,67.9%,47.8%,51.6%,79.9%,72.3%,51.6%,22.4,2021.0,2021-01-01
467,Chase De Jong,PIT,43.2,26.5%,66.9%,46.8%,54.9%,89.3%,79.6%,50.3%,24.9,2021.0,2021-01-01
468,Kyle Freeland,COL,120.2,26.5%,63.5%,45.3%,59.2%,89.8%,81.1%,51.0%,24.1,2021.0,2021-01-01
469,Bryan Abreu,HOU,36.0,26.4%,68.7%,45.3%,43.6%,83.4%,70.5%,44.6%,24.5,2021.0,2021-01-01
470,Sean Guenther,MIA,20.1,26.4%,66.1%,46.9%,60.9%,90.2%,82.2%,51.7%,23.1,2021.0,2021-01-01
471,Sam Coonrod,PHI,42.1,26.4%,68.3%,49.6%,66.7%,80.3%,77.1%,55.3%,24.9,2021.0,2021-01-01
472,Kevin Ginkel,ARI,28.1,26.4%,64.0%,44.8%,48.0%,88.5%,76.3%,48.9%,23.3,2021.0,2021-01-01
473,Anthony Bender,MIA,61.1,26.4%,52.5%,40.5%,39.0%,85.1%,71.3%,54.1%,24.8,2021.0,2021-01-01
474,Gregory Soto,DET,63.2,26.4%,62.9%,44.9%,42.9%,82.0%,70.7%,50.8%,24.9,2021.0,2021-01-01
475,Jovani Moran,MIN,8.0,26.4%,78.9%,49.4%,45.8%,75.0%,66.3%,43.8%,23.9,2021.0,2021-01-01
476,Hyeon-jong Yang,TEX,35.1,26.4%,73.0%,49.7%,65.4%,87.0%,81.3%,50.0%,23.4,2021.0,2021-01-01
477,Michael Feliz,- - -,20.0,26.3%,66.5%,48.4%,47.7%,83.0%,74.3%,54.9%,22.8,2021.0,2021-01-01
478,Yusmeiro Petit,OAK,78.0,26.3%,74.0%,51.6%,73.9%,82.1%,80.1%,53.0%,24.5,2021.0,2021-01-01
479,Nick Ramirez,SDP,20.1,26.3%,68.5%,48.1%,55.0%,89.2%,80.1%,51.6%,22.3,2021.0,2021-01-01
480,Zac Gallen,ARI,121.1,26.3%,61.1%,43.8%,59.6%,87.5%,79.2%,50.1%,24.5,2021.0,2021-01-01
481,Connor Seabold,BOS,3.0,26.3%,58.3%,44.2%,100.0%,92.9%,94.7%,55.8%,26.2,2021.0,2021-01-01
482,Dylan Bundy,LAA,90.2,26.3%,60.0%,44.4%,55.4%,87.3%,78.6%,53.6%,21.2,2021.0,2021-01-01
483,Mark Melancon,SDP,64.2,26.3%,62.6%,45.3%,56.8%,89.6%,80.5%,52.3%,28.6,2021.0,2021-01-01
484,John Means,BAL,146.2,26.3%,69.4%,50.3%,67.9%,78.9%,76.3%,55.7%,20.4,2021.0,2021-01-01
485,David Peterson,NYM,66.2,26.3%,65.7%,46.2%,54.8%,84.4%,76.1%,50.4%,21.5,2021.0,2021-01-01
486,Ryan Borucki,TOR,23.2,26.3%,57.0%,42.2%,42.6%,85.5%,72.6%,51.9%,23.0,2021.0,2021-01-01
487,Kyle Zimmer,KCR,54.0,26.3%,63.2%,43.5%,58.0%,85.1%,76.4%,46.6%,25.3,2021.0,2021-01-01
488,Miguel Castro,NYM,70.1,26.3%,59.4%,41.6%,56.6%,77.8%,70.6%,46.3%,22.4,2021.0,2021-01-01
489,Logan Gilbert,SEA,119.1,26.2%,72.1%,50.7%,57.3%,81.1%,75.3%,53.4%,22.4,2021.0,2021-01-01
490,Albert Abreu,NYY,36.2,26.2%,65.4%,44.2%,59.3%,81.9%,74.6%,46.0%,24.8,2021.0,2021-01-01
491,Luis Patino,TBR,77.1,26.2%,72.5%,51.1%,55.4%,84.6%,77.6%,53.6%,22.0,2021.0,2021-01-01
492,Jimmy Nelson,LAD,29.0,26.2%,57.4%,41.5%,38.6%,76.2%,64.1%,48.9%,25.7,2021.0,2021-01-01
493,Austin Voth,WSN,57.1,26.2%,68.7%,47.9%,55.7%,83.8%,76.3%,51.0%,25.5,2021.0,2021-01-01
494,Stephen Gonsalves,BOS,4.1,26.2%,77.5%,51.2%,45.5%,83.9%,73.8%,48.8%,23.9,2021.0,2021-01-01
495,Carson Fulmer,CIN,25.2,26.2%,63.3%,41.7%,47.1%,86.6%,72.2%,42.0%,23.2,2021.0,2021-01-01
496,JT Chargois,- - -,53.2,26.1%,66.8%,45.6%,51.7%,84.4%,74.6%,47.9%,27.4,2021.0,2021-01-01
497,Matt Harvey,BAL,127.2,26.1%,65.0%,47.8%,64.3%,89.2%,83.2%,55.7%,22.3,2021.0,2021-01-01
498,Randy Dobnak,MIN,50.2,26.1%,67.8%,46.9%,56.0%,95.0%,84.1%,49.9%,21.7,2021.0,2021-01-01
499,Daniel Norris,- - -,57.0,26.1%,66.4%,45.1%,46.3%,87.1%,74.7%,47.3%,24.9,2021.0,2021-01-01
500,Miguel Aguilar,ARI,7.0,26.1%,69.0%,50.0%,66.7%,92.5%,86.5%,55.8%,24.1,2021.0,2021-01-01
501,Hans Crouse,PHI,7.0,26.1%,74.2%,48.9%,44.4%,87.0%,75.0%,47.3%,27.3,2021.0,2021-01-01
502,Derek Holland,DET,49.2,26.1%,63.9%,47.1%,57.7%,84.1%,77.6%,55.4%,21.7,2021.0,2021-01-01
503,Phil Bickford,- - -,51.1,26.1%,68.0%,50.4%,41.2%,82.0%,73.1%,58.0%,27.4,2021.0,2021-01-01
504,Michael King,NYY,63.1,26.1%,65.2%,46.9%,65.9%,80.6%,76.7%,53.2%,24.1,2021.0,2021-01-01
505,Junior Guerra,LAA,65.1,26.0%,63.7%,43.2%,54.6%,84.2%,74.5%,45.5%,26.9,2021.0,2021-01-01
506,James Hoyt,LAA,8.0,26.0%,58.1%,41.2%,20.0%,84.0%,62.7%,47.3%,26.5,2021.0,2021-01-01
507,Yimi Garcia,- - -,57.2,26.0%,67.9%,50.3%,65.0%,77.4%,74.7%,58.1%,26.0,2021.0,2021-01-01
508,Adrian Houser,MIL,142.1,26.0%,62.5%,43.7%,66.8%,91.3%,83.7%,48.3%,22.0,2021.0,2021-01-01
509,Chris Rodriguez,LAA,29.2,26.0%,56.9%,41.6%,52.3%,86.2%,75.7%,50.5%,23.3,2021.0,2021-01-01
510,Ryan Weber,- - -,9.2,26.0%,61.4%,44.4%,55.0%,86.3%,77.5%,51.9%,20.4,2021.0,2021-01-01
511,Brad Brach,CIN,30.0,26.0%,65.5%,44.2%,60.5%,77.7%,72.3%,46.1%,22.7,2021.0,2021-01-01
512,Reymin Guduan,OAK,14.1,26.0%,68.0%,48.9%,44.4%,96.5%,83.9%,54.6%,24.0,2021.0,2021-01-01
513,Tylor Megill,NYM,89.2,26.0%,69.6%,49.7%,56.0%,81.6%,75.5%,54.4%,23.9,2021.0,2021-01-01
514,Cal Quantrill,CLE,149.2,26.0%,66.9%,46.6%,66.7%,84.8%,79.8%,50.5%,23.0,2021.0,2021-01-01
515,Sean Poppen,- - -,22.2,25.9%,53.4%,40.9%,45.8%,89.8%,77.1%,54.4%,22.7,2021.0,2021-01-01
516,Logan Allen,CLE,50.1,25.9%,65.1%,44.5%,69.7%,87.0%,81.7%,47.5%,24.1,2021.0,2021-01-01
517,Mitch Keller,PIT,100.2,25.9%,64.2%,45.7%,63.1%,89.0%,81.9%,51.6%,22.5,2021.0,2021-01-01
518,Robert Dugger,SEA,25.2,25.9%,64.3%,46.0%,56.1%,83.9%,76.4%,52.3%,23.4,2021.0,2021-01-01
519,Justin Wilson,- - -,34.0,25.9%,64.4%,46.7%,75.0%,83.8%,81.6%,54.0%,24.6,2021.0,2021-01-01
520,Sean Newcomb,ATL,32.1,25.9%,65.7%,45.1%,58.0%,83.7%,76.1%,48.3%,21.5,2021.0,2021-01-01
521,Carlos Hernandez,KCR,85.2,25.9%,69.2%,47.2%,56.9%,84.3%,76.7%,49.3%,24.3,2021.0,2021-01-01
522,German Marquez,COL,180.0,25.9%,65.9%,47.0%,42.6%,85.2%,74.1%,52.8%,21.2,2021.0,2021-01-01
523,Julian Merryweather,TOR,13.0,25.8%,64.1%,48.4%,52.2%,85.4%,78.1%,59.0%,24.9,2021.0,2021-01-01
