#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
61,Adam Wainwright,STL,32.0,27.6%,62.1%,46.1%,68.8%,88.0%,82.7%,53.7%,21.4,3,6
62,Brady Singer,KCR,28.2,27.6%,58.6%,44.8%,59.3%,90.2%,81.7%,55.5%,19.3,3,6
63,Martin Perez,TEX,30.0,27.4%,62.7%,44.9%,69.1%,90.8%,84.2%,49.6%,24.0,3,6
64,Sean Manaea,SDP,29.0,27.1%,68.0%,49.5%,63.8%,81.3%,76.9%,54.8%,21.1,3,6
65,German Marquez,COL,34.0,26.9%,63.9%,45.1%,54.1%,92.4%,80.7%,49.2%,19.5,3,6
66,Luis Castillo,CIN,30.1,26.7%,63.3%,46.3%,55.9%,79.0%,72.8%,53.6%,22.5,3,6
67,Alek Manoah,TOR,38.2,26.4%,61.4%,45.6%,63.8%,88.1%,81.7%,54.8%,25.0,3,6
68,Jordan Lyles,BAL,28.2,26.4%,65.8%,45.2%,53.0%,88.7%,77.8%,47.7%,20.7,3,6
69,Kyle Freeland,COL,33.0,26.4%,69.0%,47.1%,63.5%,89.7%,82.2%,48.6%,23.6,3,6
70,Adrian Houser,MIL,30.0,26.1%,65.7%,44.3%,71.1%,94.5%,87.0%,46.0%,21.9,3,6
71,Miles Mikolas,STL,34.0,26.1%,57.8%,43.7%,58.3%,86.7%,79.2%,55.5%,19.6,3,6
72,Tyler Wells,BAL,26.0,26.0%,72.3%,51.3%,69.6%,87.7%,83.5%,54.6%,24.7,3,6
73,Nick Pivetta,BOS,40.0,25.7%,64.9%,47.2%,64.8%,85.3%,80.3%,54.9%,22.8,3,6
74,Rich Hill,BOS,27.0,25.7%,60.5%,45.7%,60.9%,83.7%,78.2%,57.6%,20.6,3,6
75,Chris Bassitt,NYM,30.2,25.6%,63.7%,47.1%,65.5%,85.3%,80.6%,56.4%,24.0,3,6
76,Beau Brieske,DET,27.1,25.5%,73.2%,51.0%,78.4%,81.1%,80.5%,53.6%,24.7,3,6
77,Kyle Wright,ATL,38.1,25.1%,64.6%,46.9%,56.3%,82.3%,76.0%,55.2%,21.4,3,6
78,Dakota Hudson,STL,35.1,25.1%,62.3%,44.3%,63.2%,89.4%,82.3%,51.6%,21.6,3,6
79,Tony Gonsolin,LAD,29.0,24.8%,70.4%,48.6%,50.0%,81.5%,73.8%,52.3%,23.8,3,6
80,Chris Flexen,SEA,33.0,24.6%,70.8%,46.7%,65.7%,89.1%,82.7%,47.8%,23.4,3,6
81,Charlie Morton,ATL,30.2,24.4%,64.5%,45.1%,40.7%,79.6%,69.5%,51.7%,21.4,3,6
82,Rony Garcia,DET,25.1,24.4%,65.4%,45.6%,70.8%,85.5%,81.7%,51.7%,19.0,3,6
83,Logan Gilbert,SEA,35.2,24.3%,73.0%,50.8%,56.9%,85.1%,79.0%,54.6%,20.6,3,6
84,Paul Blackburn,OAK,26.1,23.9%,59.7%,42.2%,62.3%,89.2%,81.8%,51.2%,26.1,3,6
85,Ranger Suarez,PHI,31.0,23.8%,66.8%,44.1%,68.3%,92.1%,85.3%,47.3%,22.0,3,6
86,Chad Kuhl,COL,29.1,23.7%,69.0%,46.4%,59.6%,87.4%,80.4%,50.1%,21.7,3,6
87,Jason Alexander,MIL,30.2,23.0%,60.3%,41.2%,78.6%,90.7%,87.2%,48.7%,20.8,3,6
88,Madison Bumgarner,ARI,31.0,22.8%,68.1%,47.4%,69.4%,85.9%,82.3%,54.3%,22.3,3,6
89,Andre Pallante,STL,30.1,20.7%,68.9%,46.3%,55.8%,89.5%,82.4%,53.0%,24.0,3,6
