#,Name,Team,IP,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,Year,YearDate
78,Manny Banuelos,- - -,41.0,109,85.6,114.7,7.2,4,3.7%,40,36.7%,4.39,3.70,2022.0,2022-01-01
79,Parker Mushinski,HOU,7.1,18,85.6,102.3,8.8,1,5.6%,4,22.2%,3.68,4.05,2022.0,2022-01-01
80,Sergio Romo,- - -,18.0,59,85.6,108.1,23.4,7,11.9%,15,25.4%,7.50,5.31,2022.0,2022-01-01
81,Darren O'Day,ATL,21.2,57,85.6,107.8,18.6,3,5.3%,19,33.3%,4.15,2.70,2022.0,2022-01-01
82,Chris Bassitt,NYM,181.2,516,85.7,111.4,10.8,34,6.6%,169,32.8%,3.42,3.46,2022.0,2022-01-01
83,Adbert Alzolay,CHC,13.1,30,85.7,109.0,16.7,3,10.0%,7,23.3%,3.38,2.22,2022.0,2022-01-01
84,Brent Suter,MIL,66.2,194,85.7,113.9,12.9,11,5.7%,59,30.4%,3.78,3.72,2022.0,2022-01-01
85,Penn Murfee,SEA,69.1,176,85.7,112.2,19.5,9,5.1%,53,30.1%,2.99,2.64,2022.0,2022-01-01
86,Jose Cisnero,DET,25.0,62,85.7,106.2,12.2,0,0.0%,17,27.4%,1.08,3.91,2022.0,2022-01-01
87,Jordan Holloway,MIA,2.2,8,85.7,99.9,4.2,0,0.0%,1,12.5%,3.38,1.82,2022.0,2022-01-01
88,Zack Wheeler,PHI,153.0,403,85.7,113.6,11.5,31,7.7%,139,34.5%,2.82,3.10,2022.0,2022-01-01
89,Corey Dickerson,STL,1.0,5,85.8,102.8,24.7,0,0.0%,1,20.0%,0.00,8.48,2022.0,2022-01-01
90,Jose Cuas,KCR,37.2,116,85.8,112.1,5.2,4,3.4%,40,34.5%,3.58,4.34,2022.0,2022-01-01
91,Victor Arano,WSN,42.0,127,85.8,113.2,6.4,7,5.5%,45,35.4%,4.50,3.62,2022.0,2022-01-01
92,Jeremiah Estrada,CHC,5.2,14,85.9,108.6,15.9,1,7.1%,5,35.7%,3.18,4.25,2022.0,2022-01-01
93,Joe Kelly,CHW,37.0,91,85.9,106.1,-0.7,3,3.3%,29,31.9%,6.08,3.15,2022.0,2022-01-01
94,Justin Grimm,OAK,15.1,51,85.9,107.8,12.0,5,9.8%,14,27.5%,4.11,5.14,2022.0,2022-01-01
95,Camilo Doval,SFG,67.2,173,85.9,110.3,-0.8,8,4.6%,63,36.4%,2.53,2.90,2022.0,2022-01-01
96,Reiver Sanmartin,CIN,57.0,180,86.0,111.0,4.6,13,7.2%,64,35.6%,6.32,3.89,2022.0,2022-01-01
97,Caleb Smith,ARI,70.0,197,86.0,114.8,24.1,13,6.6%,59,29.9%,4.11,3.86,2022.0,2022-01-01
98,Kyle Tyler,SDP,4.0,11,86.0,110.4,-1.9,1,9.1%,3,27.3%,0.00,3.39,2022.0,2022-01-01
99,Colin Poche,TBR,58.2,158,86.0,110.8,22.3,14,8.9%,49,31.0%,3.99,3.51,2022.0,2022-01-01
100,Blake Taylor,HOU,16.0,55,86.1,106.7,8.2,3,5.5%,17,30.9%,3.94,4.31,2022.0,2022-01-01
101,Evan Phillips,LAD,63.0,138,86.1,109.8,15.0,6,4.3%,43,31.2%,1.14,2.18,2022.0,2022-01-01
102,Mason Thompson,WSN,24.2,76,86.1,110.8,12.2,3,3.9%,25,32.9%,2.92,3.72,2022.0,2022-01-01
103,Alex Lange,DET,63.1,153,86.1,109.9,4.9,8,5.2%,54,35.3%,3.69,3.29,2022.0,2022-01-01
104,Luis Ortiz,PIT,16.0,42,86.1,106.5,12.0,1,2.4%,13,31.0%,4.50,2.96,2022.0,2022-01-01
105,Tanner Scott,MIA,62.2,149,86.1,111.6,7.6,8,5.4%,49,32.9%,4.31,4.17,2022.0,2022-01-01
106,Dereck Rodriguez,MIN,7.2,26,86.2,105.7,9.1,2,7.7%,11,42.3%,3.52,6.25,2022.0,2022-01-01
107,Cam Alldred,PIT,1.0,3,86.2,90.5,15.2,0,0.0%,0,0.0%,0.00,0.76,2022.0,2022-01-01
108,Justin Bruihl,LAD,23.2,78,86.2,110.3,15.2,5,6.4%,19,24.4%,3.80,3.72,2022.0,2022-01-01
109,Kyle Crick,CHW,15.2,34,86.2,103.6,14.0,1,2.9%,8,23.5%,4.02,4.37,2022.0,2022-01-01
110,Andres Munoz,SEA,65.0,133,86.2,112.3,7.2,7,5.3%,48,36.1%,2.49,1.84,2022.0,2022-01-01
111,Michael King,NYY,51.0,117,86.2,109.5,8.4,8,6.8%,42,35.9%,2.29,2.83,2022.0,2022-01-01
112,Max Fried,ATL,185.1,527,86.2,112.7,7.6,21,4.0%,168,31.9%,2.48,2.85,2022.0,2022-01-01
113,Michael Plassmeyer,PHI,7.1,21,86.3,104.6,13.6,2,9.5%,7,33.3%,3.68,5.35,2022.0,2022-01-01
114,Rafael Montero,HOU,68.1,172,86.3,109.9,7.9,5,2.9%,56,32.6%,2.37,2.70,2022.0,2022-01-01
115,Genesis Cabrera,STL,44.2,138,86.3,112.6,12.2,10,7.2%,43,31.2%,4.63,4.94,2022.0,2022-01-01
116,Emmanuel Clase,CLE,72.2,183,86.3,109.5,0.3,4,2.2%,59,32.2%,1.36,1.97,2022.0,2022-01-01
117,Paul Sewald,SEA,64.0,149,86.3,112.3,20.6,14,9.4%,50,33.6%,2.67,2.64,2022.0,2022-01-01
118,Brad Boxberger,MIL,64.0,171,86.4,110.2,19.1,11,6.4%,58,33.9%,2.95,3.44,2022.0,2022-01-01
119,Kenny Rosenberg,LAA,10.2,33,86.4,108.5,22.1,1,3.0%,11,33.3%,4.22,3.97,2022.0,2022-01-01
120,Joe Musgrove,SDP,181.0,500,86.4,111.2,11.7,30,6.0%,162,32.4%,2.93,3.27,2022.0,2022-01-01
121,Diego Castillo,SEA,54.1,145,86.4,114.4,9.0,11,7.6%,43,29.7%,3.64,2.96,2022.0,2022-01-01
122,Reyes Moronta,- - -,37.2,103,86.4,111.3,23.4,7,6.8%,36,35.0%,4.30,3.27,2022.0,2022-01-01
123,Scott Barlow,KCR,74.1,188,86.4,113.5,11.6,13,6.9%,56,29.8%,2.18,2.96,2022.0,2022-01-01
124,Dylan Coleman,KCR,68.0,175,86.4,108.7,12.5,12,6.9%,64,36.6%,2.78,3.78,2022.0,2022-01-01
125,Casey Lawrence,TOR,18.0,63,86.5,114.0,11.3,8,12.7%,23,36.5%,7.50,5.78,2022.0,2022-01-01
