#,Name,Team,IP,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,Year,YearDate
202,Matt Gage,TOR,13.0,31,87.3,107.7,14.5,2,6.5%,10,32.3%,1.38,3.05,2022.0,2022-01-01
203,Steve Cishek,WSN,66.1,173,87.3,114.2,15.0,15,8.7%,64,37.0%,4.21,4.56,2022.0,2022-01-01
204,Damon Jones,PHI,4.2,13,87.3,104.5,21.6,0,0.0%,5,38.5%,9.64,5.28,2022.0,2022-01-01
205,Connor Seabold,BOS,18.1,68,87.3,109.3,22.4,7,10.3%,23,33.8%,11.29,5.60,2022.0,2022-01-01
206,Raisel Iglesias,- - -,62.0,151,87.3,112.5,17.5,16,10.6%,51,33.8%,2.47,3.10,2022.0,2022-01-01
207,Colin Holderman,- - -,28.1,76,87.3,107.1,18.0,5,6.6%,25,32.9%,3.81,3.59,2022.0,2022-01-01
208,Franmil Reyes,CHC,1.0,1,87.3,87.3,-20.7,0,0.0%,0,0.0%,0.00,3.08,2022.0,2022-01-01
209,Johan Oviedo,- - -,56.0,162,87.3,111.4,10.6,10,6.2%,61,37.7%,3.21,3.17,2022.0,2022-01-01
210,Jorge Lopez,- - -,71.0,188,87.3,110.8,1.7,9,4.8%,62,33.0%,2.54,3.31,2022.0,2022-01-01
211,Eduard Bazardo,BOS,16.1,48,87.4,111.1,15.6,3,6.3%,15,31.3%,2.76,3.94,2022.0,2022-01-01
212,Connor Brogdon,PHI,44.0,126,87.4,115.0,18.8,8,6.3%,37,29.4%,3.27,3.17,2022.0,2022-01-01
213,Zach Davies,ARI,134.1,414,87.4,112.7,13.0,33,8.0%,142,34.3%,4.09,4.56,2022.0,2022-01-01
214,Collin Wiles,OAK,9.2,29,87.4,104.3,4.7,2,6.9%,8,27.6%,4.66,3.64,2022.0,2022-01-01
215,Ray Kerr,SDP,5.0,14,87.4,111.1,19.7,3,21.4%,7,50.0%,9.00,12.35,2022.0,2022-01-01
216,Phillips Valdez,BOS,16.1,46,87.4,109.5,8.3,2,4.3%,15,32.6%,4.41,4.17,2022.0,2022-01-01
217,Dylan Floro,MIA,53.2,157,87.4,112.3,8.6,8,5.1%,51,32.5%,3.02,3.05,2022.0,2022-01-01
218,Patrick Murphy,WSN,5.2,22,87.4,110.2,4.8,2,9.1%,6,27.3%,6.35,5.60,2022.0,2022-01-01
219,Shawn Armstrong,- - -,61.2,182,87.4,115.3,10.6,14,7.7%,61,33.5%,4.38,3.27,2022.0,2022-01-01
220,Ryan Tepera,LAA,57.1,163,87.4,111.7,16.1,9,5.5%,45,27.6%,3.61,3.24,2022.0,2022-01-01
221,Josiah Gray,WSN,148.2,421,87.4,111.4,19.7,45,10.7%,155,36.8%,5.02,4.25,2022.0,2022-01-01
222,Ty Blach,COL,44.1,151,87.4,110.0,13.6,9,6.0%,56,37.1%,5.89,4.08,2022.0,2022-01-01
223,Dusten Knight,TBR,11.0,36,87.4,107.4,16.7,6,16.7%,14,38.9%,5.73,5.28,2022.0,2022-01-01
224,Jerad Eickhoff,PIT,4.1,19,87.4,108.1,9.6,2,10.5%,7,36.8%,20.77,8.54,2022.0,2022-01-01
225,Jackson Kowar,KCR,15.2,54,87.5,110.4,9.5,4,7.4%,25,46.3%,9.77,6.37,2022.0,2022-01-01
226,Aroldis Chapman,NYY,36.1,88,87.5,109.2,16.6,6,6.8%,30,34.1%,4.46,4.46,2022.0,2022-01-01
227,Matt Wisler,TBR,44.0,127,87.5,118.8,27.3,15,11.8%,39,30.7%,2.25,3.24,2022.0,2022-01-01
228,Trevor Stephan,CLE,63.2,163,87.5,111.6,10.2,5,3.1%,56,34.4%,2.69,2.34,2022.0,2022-01-01
229,Andrew Chafin,DET,57.1,154,87.5,115.4,11.0,13,8.4%,52,33.8%,2.83,2.92,2022.0,2022-01-01
230,Eduardo Rodriguez,DET,91.0,283,87.5,111.3,12.6,20,7.1%,102,36.0%,4.05,4.20,2022.0,2022-01-01
231,Alek Manoah,TOR,196.2,540,87.5,114.9,16.9,29,5.4%,170,31.5%,2.24,3.31,2022.0,2022-01-01
232,Jeffrey Springs,TBR,135.1,373,87.5,114.6,14.9,22,5.9%,139,37.3%,2.46,3.27,2022.0,2022-01-01
233,Ranger Suarez,PHI,155.1,473,87.5,114.0,5.1,32,6.8%,164,34.7%,3.65,3.78,2022.0,2022-01-01
234,Kyle Hendricks,CHC,84.1,263,87.5,111.9,16.5,26,9.9%,102,38.8%,4.80,5.07,2022.0,2022-01-01
235,Matt Strahm,BOS,44.2,119,87.5,110.0,18.3,9,7.6%,40,33.6%,3.83,3.34,2022.0,2022-01-01
236,Adam Kolarek,OAK,17.2,59,87.5,110.8,0.5,3,5.1%,23,39.0%,4.58,4.71,2022.0,2022-01-01
237,Luis Gil,NYY,4.0,12,87.5,107.3,15.0,0,0.0%,5,41.7%,9.00,3.49,2022.0,2022-01-01
238,Cole Ragans,TEX,40.0,131,87.5,110.2,18.2,9,6.9%,43,32.8%,4.95,4.78,2022.0,2022-01-01
239,Javier Assad,CHC,37.2,116,87.5,113.0,17.8,6,5.2%,39,33.6%,3.11,4.49,2022.0,2022-01-01
240,Wil Crowe,PIT,76.0,223,87.6,118.0,10.0,11,4.9%,73,32.7%,4.38,4.20,2022.0,2022-01-01
241,Keynan Middleton,ARI,17.0,50,87.6,113.8,20.3,6,12.0%,19,38.0%,5.29,5.67,2022.0,2022-01-01
242,Cal Quantrill,CLE,186.1,585,87.6,114.9,13.8,44,7.5%,208,35.6%,3.38,4.31,2022.0,2022-01-01
243,Tommy Milone,SEA,16.2,57,87.6,106.2,23.4,4,7.0%,12,21.1%,5.40,5.45,2022.0,2022-01-01
244,Anthony Bass,- - -,70.1,182,87.6,112.2,14.3,11,6.0%,61,33.5%,1.54,3.03,2022.0,2022-01-01
245,Nick Nelson,PHI,68.2,197,87.6,111.4,15.1,7,3.6%,64,32.5%,4.85,3.64,2022.0,2022-01-01
246,Sam Moll,OAK,43.1,116,87.6,110.0,9.5,6,5.2%,41,35.3%,2.91,2.96,2022.0,2022-01-01
247,Steven Wilson,SDP,53.0,138,87.6,113.7,26.0,10,7.2%,49,35.5%,3.06,2.83,2022.0,2022-01-01
248,Frankie Montas,- - -,144.1,417,87.6,115.8,11.2,33,7.9%,141,33.8%,4.05,4.02,2022.0,2022-01-01
249,Mychal Givens,- - -,61.1,159,87.6,112.6,11.9,13,8.2%,60,37.7%,3.38,3.70,2022.0,2022-01-01
250,Albert Abreu,- - -,38.2,109,87.6,111.6,2.9,6,5.5%,39,35.8%,3.26,4.40,2022.0,2022-01-01
251,Spencer Patton,TEX,7.0,19,87.6,111.7,11.6,1,5.3%,7,36.8%,3.86,3.41,2022.0,2022-01-01
252,Shane McClanahan,TBR,166.1,406,87.6,116.2,8.3,26,6.4%,132,32.5%,2.54,2.79,2022.0,2022-01-01
253,Aaron Nola,PHI,205.0,534,87.7,112.0,12.5,38,7.1%,169,31.6%,3.25,2.74,2022.0,2022-01-01
254,Matt Moore,TEX,74.0,182,87.7,110.5,15.2,8,4.4%,57,31.3%,1.95,2.83,2022.0,2022-01-01
255,Carl Edwards Jr.,WSN,62.0,174,87.7,111.0,12.2,8,4.6%,62,35.6%,2.76,3.31,2022.0,2022-01-01
256,Gavin Hollowell,COL,7.0,20,87.7,101.0,26.5,1,5.0%,9,45.0%,7.71,2.81,2022.0,2022-01-01
257,Xzavion Curry,CLE,9.1,37,87.7,105.5,19.4,1,2.7%,12,32.4%,5.79,6.66,2022.0,2022-01-01
258,Josh Hader,- - -,50.0,113,87.7,113.2,16.4,13,11.5%,41,36.3%,5.22,3.51,2022.0,2022-01-01
259,Lance McCullers Jr.,HOU,47.2,123,87.7,111.3,8.0,6,4.9%,39,31.7%,2.27,3.57,2022.0,2022-01-01
260,Nabil Crismatt,SDP,67.1,191,87.7,115.1,7.8,10,5.2%,69,36.1%,2.94,3.49,2022.0,2022-01-01
261,Daniel Bard,COL,60.1,148,87.7,113.8,7.0,7,4.7%,56,37.8%,1.79,2.49,2022.0,2022-01-01
262,Johnny Cueto,CHW,158.1,510,87.7,115.2,13.3,37,7.3%,183,35.9%,3.35,4.02,2022.0,2022-01-01
263,Nick Vespi,BAL,26.1,75,87.7,110.5,10.0,8,10.7%,30,40.0%,4.10,5.49,2022.0,2022-01-01
264,Noe Ramirez,ARI,50.0,135,87.8,111.9,14.8,12,8.9%,49,36.3%,5.22,4.17,2022.0,2022-01-01
265,Trevor Williams,NYM,89.2,261,87.8,111.2,18.2,20,7.7%,96,36.8%,3.21,3.67,2022.0,2022-01-01
266,Miles Mikolas,STL,202.1,607,87.8,113.6,11.0,42,6.9%,217,35.7%,3.29,3.89,2022.0,2022-01-01
267,Fernando Cruz,CIN,14.2,33,87.8,108.5,11.8,1,3.0%,10,30.3%,1.23,3.34,2022.0,2022-01-01
268,Zac Gallen,ARI,184.0,463,87.8,111.3,10.8,36,7.8%,167,36.1%,2.54,3.17,2022.0,2022-01-01
269,Jesus Tinoco,TEX,20.2,55,87.8,112.8,13.3,3,5.5%,21,38.2%,2.18,3.51,2022.0,2022-01-01
270,Justin Lawrence,COL,42.2,120,87.8,109.2,5.9,5,4.2%,47,39.2%,5.70,3.54,2022.0,2022-01-01
271,Max Scherzer,NYM,145.1,357,87.8,113.2,21.3,30,8.4%,121,33.9%,2.29,2.87,2022.0,2022-01-01
272,Adam Wainwright,STL,191.2,599,87.8,112.3,11.0,39,6.5%,218,36.4%,3.71,4.53,2022.0,2022-01-01
273,Justin Verlander,HOU,175.0,446,87.8,110.9,16.9,28,6.3%,155,34.8%,1.75,2.66,2022.0,2022-01-01
274,Keegan Akin,BAL,81.2,231,87.8,113.9,7.9,15,6.5%,85,36.8%,3.20,3.62,2022.0,2022-01-01
275,Duane Underwood Jr.,PIT,57.1,172,87.8,113.3,7.3,6,3.5%,62,36.0%,4.40,4.11,2022.0,2022-01-01
276,Andrew Wantz,LAA,50.1,129,87.8,112.8,21.6,14,10.9%,45,34.9%,3.22,3.89,2022.0,2022-01-01
277,Eli Morgan,CLE,66.2,169,87.8,112.0,19.5,15,8.9%,59,34.9%,3.38,2.90,2022.0,2022-01-01
278,Yohan Ramirez,- - -,37.1,109,87.8,113.6,8.7,8,7.3%,42,38.5%,4.58,4.71,2022.0,2022-01-01
279,Ryan Thompson,TBR,42.2,129,87.8,110.7,6.8,6,4.7%,47,36.4%,3.80,3.05,2022.0,2022-01-01
280,John Brebbia,SFG,68.0,215,87.8,111.3,17.1,14,6.5%,83,38.6%,3.18,3.49,2022.0,2022-01-01
281,Will Vest,DET,63.0,184,87.8,109.2,5.8,13,7.1%,81,44.0%,4.00,4.02,2022.0,2022-01-01
282,Kirby Snead,OAK,44.2,151,87.8,109.5,11.4,10,6.6%,58,38.4%,5.84,4.43,2022.0,2022-01-01
283,Jake Odorizzi,- - -,106.1,329,87.8,112.0,19.8,24,7.3%,108,32.8%,4.40,4.11,2022.0,2022-01-01
284,Sandy Alcantara,MIA,228.2,620,87.8,114.8,5.5,32,5.2%,239,38.5%,2.28,2.92,2022.0,2022-01-01
285,Mitch White,- - -,99.0,324,87.9,113.9,14.7,18,5.6%,110,34.0%,5.45,4.14,2022.0,2022-01-01
286,Dane Dunning,TEX,153.1,461,87.9,114.4,5.4,41,8.9%,175,38.0%,4.46,4.49,2022.0,2022-01-01
287,Pablo Lopez,MIA,180.0,501,87.9,115.0,11.0,45,9.0%,176,35.1%,3.75,3.75,2022.0,2022-01-01
288,Cristopher Sanchez,PHI,40.0,121,87.9,112.5,4.9,8,6.6%,45,37.2%,5.63,4.31,2022.0,2022-01-01
289,Matt Peacock,- - -,10.0,36,87.9,111.6,2.0,2,5.6%,13,36.1%,5.40,3.70,2022.0,2022-01-01
290,Nestor Cortes,NYY,158.1,412,87.9,113.7,19.2,22,5.3%,142,34.5%,2.44,2.70,2022.0,2022-01-01
291,Mitch Keller,PIT,159.0,477,87.9,112.7,7.8,34,7.1%,178,37.3%,3.91,4.23,2022.0,2022-01-01
292,Lucas Sims,CIN,6.2,19,87.9,107.9,7.4,1,5.3%,5,26.3%,9.45,4.94,2022.0,2022-01-01
293,Cody Stashak,MIN,16.1,50,87.9,108.0,23.7,2,4.0%,22,44.0%,3.86,2.83,2022.0,2022-01-01
294,Jhon Romero,MIN,5.0,17,87.9,104.0,1.9,0,0.0%,7,41.2%,3.60,2.59,2022.0,2022-01-01
295,Michel Baez,SDP,2.0,5,87.9,111.0,12.4,0,0.0%,2,40.0%,0.00,1.22,2022.0,2022-01-01
296,J.B. Wendelken,ARI,29.0,86,87.9,112.1,13.4,6,7.0%,28,32.6%,5.28,6.33,2022.0,2022-01-01
297,Sam Coonrod,PHI,12.2,36,87.9,107.3,13.1,1,2.8%,11,30.6%,7.82,4.05,2022.0,2022-01-01
298,Walker Buehler,LAD,65.0,197,87.9,113.8,7.2,13,6.6%,82,41.6%,4.02,4.28,2022.0,2022-01-01
299,Roenis Elias,SEA,7.2,24,87.9,109.4,12.6,1,4.2%,7,29.2%,3.52,2.68,2022.0,2022-01-01
300,Adrian Sampson,CHC,104.1,326,87.9,115.2,13.6,22,6.7%,117,35.9%,3.11,4.40,2022.0,2022-01-01
301,Cody Morris,CLE,23.2,65,88.0,113.9,16.4,8,12.3%,24,36.9%,2.28,4.94,2022.0,2022-01-01
302,Austin Pruitt,OAK,55.1,176,88.0,112.4,12.9,17,9.7%,60,34.1%,4.23,3.94,2022.0,2022-01-01
303,Jon Gray,TEX,127.1,342,88.0,116.5,11.1,21,6.1%,130,38.0%,3.96,3.59,2022.0,2022-01-01
304,Aaron Loup,LAA,58.2,178,88.0,111.3,6.5,10,5.6%,61,34.3%,3.84,4.34,2022.0,2022-01-01
305,Chad Smith,COL,18.0,45,88.0,111.2,4.8,3,6.7%,17,37.8%,7.50,3.91,2022.0,2022-01-01
306,Sam Selman,OAK,18.1,51,88.0,108.4,17.2,4,7.8%,19,37.3%,4.91,3.64,2022.0,2022-01-01
307,Daniel Mengden,KCR,7.0,23,88.0,109.5,12.1,3,13.0%,8,34.8%,5.14,5.38,2022.0,2022-01-01
308,Spencer Strider,ATL,131.2,278,88.0,111.4,14.1,17,6.1%,100,36.0%,2.67,2.39,2022.0,2022-01-01
309,Gabe Speier,KCR,19.1,58,88.0,109.7,14.9,2,3.4%,19,32.8%,2.33,2.76,2022.0,2022-01-01
310,Jake Woodford,STL,48.1,152,88.0,117.7,9.4,8,5.3%,55,36.2%,2.23,4.00,2022.0,2022-01-01
311,Brayan Bello,BOS,57.1,184,88.0,112.2,5.3,10,5.4%,69,37.5%,4.71,3.80,2022.0,2022-01-01
312,Kyle Muller,ATL,12.1,39,88.0,107.1,16.2,3,7.7%,11,28.2%,8.03,5.49,2022.0,2022-01-01
313,Zack Littell,SFG,44.1,137,88.0,110.1,13.7,11,8.0%,51,37.2%,5.08,3.64,2022.0,2022-01-01
314,Francisco Morales,PHI,5.0,11,88.0,110.8,5.2,1,9.1%,3,27.3%,7.20,7.59,2022.0,2022-01-01
315,Sonny Gray,MIN,119.2,329,88.1,111.3,12.1,18,5.5%,129,39.2%,3.08,3.67,2022.0,2022-01-01
316,Ryan Borucki,- - -,25.1,77,88.1,111.4,8.1,8,10.4%,35,45.5%,5.68,5.90,2022.0,2022-01-01
317,Tanner Banks,CHW,53.0,149,88.1,116.7,9.6,11,7.4%,61,40.9%,3.06,4.08,2022.0,2022-01-01
318,Peter Strzelecki,MIL,35.0,92,88.1,112.6,16.5,7,7.6%,35,38.0%,2.83,3.39,2022.0,2022-01-01
319,Griffin Jax,MIN,72.1,189,88.1,110.8,10.6,13,6.9%,70,37.0%,3.36,3.17,2022.0,2022-01-01
320,Gerardo Reyes,LAA,2.0,9,88.1,101.3,36.0,0,0.0%,3,33.3%,4.50,5.04,2022.0,2022-01-01
321,Jose Quijada,LAA,40.2,94,88.1,109.0,22.2,10,10.6%,36,38.3%,3.98,2.87,2022.0,2022-01-01
322,Josh VanMeter,PIT,3.0,25,88.1,106.2,16.8,6,24.0%,11,44.0%,39.00,34.95,2022.0,2022-01-01
323,Jimmy Herget,LAA,69.0,185,88.1,109.1,15.0,12,6.5%,67,36.2%,2.48,2.92,2022.0,2022-01-01
324,Michael Lorenzen,LAA,97.2,278,88.1,115.0,9.7,19,6.8%,103,37.1%,4.24,3.91,2022.0,2022-01-01
325,Kendall Graveman,CHW,65.0,190,88.1,111.1,6.0,8,4.2%,66,34.7%,3.18,3.51,2022.0,2022-01-01
326,Austin Gomber,COL,124.2,398,88.1,110.2,12.4,34,8.5%,142,35.7%,5.56,4.59,2022.0,2022-01-01
327,Ryan Weathers,SDP,3.2,14,88.1,102.4,16.4,0,0.0%,5,35.7%,9.82,3.80,2022.0,2022-01-01
328,Matt Foster,CHW,45.0,134,88.2,114.6,20.4,8,6.0%,45,33.6%,4.40,4.20,2022.0,2022-01-01
329,Jose Urena,- - -,97.0,325,88.2,114.5,7.3,22,6.8%,125,38.5%,5.01,4.94,2022.0,2022-01-01
330,Chris Martin,- - -,56.0,145,88.2,113.2,12.5,12,8.3%,60,41.4%,3.05,2.55,2022.0,2022-01-01
331,Michael Wacha,BOS,127.1,376,88.2,112.7,12.8,36,9.6%,133,35.4%,3.32,4.56,2022.0,2022-01-01
332,Taylor Widener,ARI,17.1,60,88.2,110.6,21.0,4,6.7%,23,38.3%,3.63,4.02,2022.0,2022-01-01
333,Mike Clevinger,SDP,114.1,349,88.2,111.1,18.8,33,9.5%,135,38.7%,4.33,4.65,2022.0,2022-01-01
334,Marcos Diplan,BAL,5.2,14,88.2,102.9,12.0,0,0.0%,6,42.9%,1.59,4.37,2022.0,2022-01-01
335,Garrett Cleavinger,- - -,23.0,52,88.2,113.2,15.2,4,7.7%,21,40.4%,3.91,3.29,2022.0,2022-01-01
336,Martin Perez,TEX,196.1,577,88.2,112.0,8.2,25,4.3%,199,34.5%,2.89,3.59,2022.0,2022-01-01
337,Mike Minor,CIN,98.0,332,88.2,112.5,19.1,28,8.4%,116,34.9%,6.06,4.59,2022.0,2022-01-01
338,Paul Blackburn,OAK,111.1,343,88.2,113.9,9.0,24,7.0%,139,40.5%,4.28,4.14,2022.0,2022-01-01
339,Tim Hill,SDP,48.0,156,88.2,111.3,1.6,2,1.3%,53,34.0%,3.56,3.08,2022.0,2022-01-01
340,Bryce Elder,ATL,54.0,154,88.2,112.8,8.8,9,5.8%,53,34.4%,3.17,4.25,2022.0,2022-01-01
341,Zach Pop,- - -,39.0,126,88.2,110.0,1.3,7,5.6%,57,45.2%,2.77,3.36,2022.0,2022-01-01
342,Rich Hill,BOS,124.1,376,88.2,110.8,14.9,31,8.2%,128,34.0%,4.27,4.08,2022.0,2022-01-01
343,Buck Farmer,CIN,47.0,119,88.2,109.5,14.4,6,5.0%,46,38.7%,3.83,3.51,2022.0,2022-01-01
344,Jhoan Duran,MIN,67.2,157,88.2,112.2,-1.1,7,4.5%,55,35.0%,1.86,2.22,2022.0,2022-01-01
345,Joe Ryan,MIN,147.0,396,88.2,113.0,24.2,34,8.6%,140,35.4%,3.55,3.57,2022.0,2022-01-01
346,Michael Fulmer,- - -,63.2,182,88.3,110.0,16.8,8,4.4%,67,36.8%,3.39,3.78,2022.0,2022-01-01
347,Zack Weiss,LAA,13.1,30,88.3,106.8,22.4,3,10.0%,11,36.7%,3.38,2.41,2022.0,2022-01-01
348,Daniel Hudson,LAD,24.1,60,88.3,110.6,8.3,2,3.3%,22,36.7%,2.22,2.74,2022.0,2022-01-01
349,A.J. Minter,ATL,70.0,159,88.3,112.2,18.0,14,8.8%,54,34.0%,2.06,2.39,2022.0,2022-01-01
350,Rob Zastryzny,- - -,4.0,12,88.3,109.0,16.0,1,8.3%,3,25.0%,6.75,1.90,2022.0,2022-01-01
351,Zach Thompson,PIT,121.2,404,88.3,111.1,11.3,26,6.4%,160,39.6%,5.18,5.14,2022.0,2022-01-01
352,Tyler Wells,BAL,103.2,317,88.3,113.5,19.1,25,7.9%,123,38.8%,4.25,3.78,2022.0,2022-01-01
353,Jaime Barria,LAA,79.1,240,88.3,112.3,16.3,24,10.0%,86,35.8%,2.61,4.11,2022.0,2022-01-01
354,Drew VerHagen,STL,21.2,73,88.3,109.1,18.1,7,9.6%,25,34.2%,6.65,6.29,2022.0,2022-01-01
355,Miguel Castro,NYY,29.0,81,88.3,116.2,10.9,9,11.1%,26,32.1%,4.03,4.87,2022.0,2022-01-01
356,Andrew Bellatti,PHI,54.1,126,88.3,110.4,20.2,16,12.7%,45,35.7%,3.31,3.64,2022.0,2022-01-01
357,Amir Garrett,KCR,45.1,110,88.3,117.8,17.8,7,6.4%,33,30.0%,4.96,3.62,2022.0,2022-01-01
358,Austin Voth,- - -,101.2,318,88.4,112.8,16.6,27,8.5%,118,37.1%,4.34,4.40,2022.0,2022-01-01
359,Lance Lynn,CHW,121.2,359,88.4,113.8,14.2,24,6.7%,139,38.7%,3.99,3.62,2022.0,2022-01-01
360,Luis Garcia,HOU,157.1,438,88.4,116.1,17.1,34,7.8%,159,36.3%,3.72,3.59,2022.0,2022-01-01
361,Robert Suarez,SDP,47.2,105,88.4,106.5,12.3,9,8.6%,36,34.3%,2.27,3.27,2022.0,2022-01-01
362,Cristian Javier,HOU,148.2,333,88.4,113.8,25.4,24,7.2%,111,33.3%,2.54,2.43,2022.0,2022-01-01
363,David Phelps,TOR,63.2,173,88.4,111.9,16.1,9,5.2%,60,34.7%,2.83,3.91,2022.0,2022-01-01
364,Andrew Kittredge,TBR,20.0,59,88.4,107.5,11.5,5,8.5%,21,35.6%,3.15,2.94,2022.0,2022-01-01
365,Chase De Jong,PIT,71.2,199,88.4,111.3,20.3,17,8.5%,78,39.2%,2.64,3.89,2022.0,2022-01-01
366,Steven Matz,STL,48.0,141,88.4,111.9,13.9,13,9.2%,51,36.2%,5.25,3.64,2022.0,2022-01-01
367,Trevor Rogers,MIA,107.0,321,88.4,113.8,12.1,24,7.5%,120,37.4%,5.47,4.84,2022.0,2022-01-01
368,Dean Kremer,BAL,125.1,386,88.4,113.0,14.7,28,7.3%,150,38.9%,3.23,4.46,2022.0,2022-01-01
369,James Kaprielian,OAK,134.0,415,88.4,117.7,16.9,33,8.0%,149,35.9%,4.23,4.65,2022.0,2022-01-01
370,Seth Lugo,NYM,65.0,182,88.5,109.0,10.9,15,8.2%,59,32.4%,3.60,3.46,2022.0,2022-01-01
371,Carlos Carrasco,NYM,152.0,444,88.5,116.6,9.7,31,7.0%,175,39.4%,3.97,4.08,2022.0,2022-01-01
372,Lucas Gilbreath,COL,43.0,108,88.5,110.3,13.5,3,2.8%,44,40.7%,4.19,4.17,2022.0,2022-01-01
373,Rowan Wick,CHC,64.0,195,88.5,111.1,11.6,20,10.3%,78,40.0%,4.22,5.35,2022.0,2022-01-01
374,Jameson Taillon,NYY,177.1,540,88.5,115.1,14.5,45,8.3%,193,35.7%,3.91,4.20,2022.0,2022-01-01
375,Anibal Sanchez,WSN,69.1,207,88.5,111.0,18.8,16,7.7%,77,37.2%,4.28,4.65,2022.0,2022-01-01
376,Kyle Gibson,PHI,167.2,517,88.5,112.9,10.6,39,7.5%,193,37.3%,5.05,4.46,2022.0,2022-01-01
377,Yu Darvish,SDP,194.2,525,88.5,111.3,17.0,47,9.0%,194,37.0%,3.10,3.49,2022.0,2022-01-01
378,Jordan Montgomery,- - -,178.1,522,88.5,114.6,9.8,37,7.1%,195,37.4%,3.48,4.00,2022.0,2022-01-01
379,John Means,BAL,8.0,25,88.5,109.7,17.2,1,4.0%,10,40.0%,3.38,4.37,2022.0,2022-01-01
380,Anthony Castro,CLE,13.1,43,88.5,110.7,9.1,6,14.0%,18,41.9%,7.43,9.24,2022.0,2022-01-01
381,Janson Junk,LAA,8.1,23,88.5,106.1,-0.1,1,4.3%,8,34.8%,6.48,3.24,2022.0,2022-01-01
382,Kyle Nelson,ARI,37.0,104,88.5,111.8,13.7,8,7.7%,40,38.5%,2.19,4.02,2022.0,2022-01-01
383,Corey Knebel,PHI,44.2,123,88.5,112.8,15.0,7,5.7%,48,39.0%,3.43,3.80,2022.0,2022-01-01
384,Merrill Kelly,ARI,200.1,564,88.5,111.7,14.0,47,8.3%,205,36.3%,3.37,3.62,2022.0,2022-01-01
385,Tommy Nance,MIA,43.2,114,88.5,109.0,9.2,5,4.4%,41,36.0%,4.33,3.94,2022.0,2022-01-01
386,Jordan Sheffield,COL,2.0,5,88.5,106.4,10.8,0,0.0%,3,60.0%,0.00,6.41,2022.0,2022-01-01
387,Taylor Rogers,- - -,64.1,160,88.6,110.5,12.7,14,8.8%,65,40.6%,4.76,4.11,2022.0,2022-01-01
388,Ronny Henriquez,MIN,11.2,36,88.6,107.1,8.0,3,8.3%,12,33.3%,2.31,3.03,2022.0,2022-01-01
389,Jordan Lyles,BAL,179.0,570,88.6,118.8,15.3,59,10.4%,217,38.1%,4.42,4.94,2022.0,2022-01-01
390,Dylan Lee,ATL,50.2,132,88.6,111.4,18.1,7,5.3%,50,37.9%,2.13,2.57,2022.0,2022-01-01
391,Jharel Cotton,- - -,43.0,120,88.6,111.8,23.9,9,7.5%,37,30.8%,3.56,3.83,2022.0,2022-01-01
392,Shane Greene,- - -,3.0,10,88.6,105.4,30.7,1,10.0%,4,40.0%,6.00,5.56,2022.0,2022-01-01
393,Josh Rogers,WSN,26.1,90,88.6,110.9,21.7,8,8.9%,35,38.9%,5.13,5.01,2022.0,2022-01-01
394,Sammy Long,SFG,42.1,133,88.6,110.5,15.5,9,6.8%,48,36.1%,3.61,4.28,2022.0,2022-01-01
395,Joe Jimenez,DET,56.2,141,88.6,111.3,20.0,11,7.8%,56,39.7%,3.49,2.90,2022.0,2022-01-01
396,Tim Mayza,TOR,48.2,136,88.6,118.3,0.2,10,7.4%,53,39.0%,3.14,4.17,2022.0,2022-01-01
397,Aaron Civale,CLE,97.0,280,88.6,114.0,13.5,21,7.5%,112,40.0%,4.92,3.80,2022.0,2022-01-01
398,Michael Feliz,BOS,3.1,7,88.6,107.0,-2.8,1,14.3%,3,42.9%,2.70,7.31,2022.0,2022-01-01
399,Donovan Walton,SFG,1.0,6,88.6,102.9,10.0,1,16.7%,2,33.3%,27.00,17.71,2022.0,2022-01-01
400,Tyler Thornburg,- - -,19.0,61,88.6,109.8,21.3,1,1.6%,22,36.1%,3.32,3.10,2022.0,2022-01-01
401,David Robertson,- - -,63.2,145,88.6,109.6,12.8,11,7.6%,55,37.9%,2.40,3.05,2022.0,2022-01-01
402,Alex Wood,SFG,130.2,382,88.6,112.1,8.5,27,7.1%,150,39.3%,5.10,4.00,2022.0,2022-01-01
403,Brock Burke,TEX,82.1,212,88.6,114.6,13.2,15,7.1%,83,39.2%,1.97,3.31,2022.0,2022-01-01
404,Chad Green,NYY,15.0,41,88.7,104.9,25.0,2,4.9%,18,43.9%,3.00,3.24,2022.0,2022-01-01
405,Ehire Adrianza,WSN,1.0,2,88.7,89.5,42.7,0,0.0%,0,0.0%,0.00,1.35,2022.0,2022-01-01
406,Adrian Houser,MIL,102.2,337,88.7,113.8,10.3,19,5.6%,140,41.5%,4.73,4.94,2022.0,2022-01-01
407,Yennier Cano,- - -,18.0,59,88.7,110.0,5.6,3,5.1%,20,33.9%,11.50,5.11,2022.0,2022-01-01
408,Brandon Woodruff,MIL,153.1,383,88.7,118.4,16.8,27,7.0%,141,36.8%,3.05,3.15,2022.0,2022-01-01
409,Chris Paddack,MIN,22.1,70,88.7,106.4,10.1,4,5.7%,29,41.4%,4.03,3.10,2022.0,2022-01-01
410,Brandon Bielak,HOU,12.1,35,88.7,111.0,10.9,4,11.4%,14,40.0%,3.65,4.25,2022.0,2022-01-01
