#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
31,Zack Wheeler,PHI,.338,1.32,19.8%,45.7%,34.6%,7.1%,3.6%,18,4.96,144,327,471,44.4%,21.0%,34.6%,19.8%,50.6%,29.6%,2,2022-05-01
32,Jakob Junis,SFG,.222,1.31,21.2%,44.7%,34.1%,6.9%,13.8%,19,6.33,144,252,396,40.0%,36.5%,23.5%,11.8%,57.6%,30.6%,2,2022-05-01
33,Tarik Skubal,DET,.264,1.31,18.9%,45.9%,35.1%,15.4%,7.7%,12,3.48,135,315,450,32.4%,41.9%,25.7%,14.9%,52.7%,32.4%,2,2022-05-01
34,Chris Bassitt,NYM,.289,1.29,16.3%,47.1%,36.5%,10.5%,18.4%,22,5.66,210,382,592,43.3%,34.6%,22.1%,27.9%,47.1%,25.0%,2,2022-05-01
35,Nathan Eovaldi,BOS,.278,1.21,16.1%,46.0%,37.9%,6.1%,27.3%,13,4.08,139,308,447,43.2%,36.4%,20.5%,9.1%,44.3%,46.6%,2,2022-05-01
36,Gerrit Cole,NYY,.296,1.19,19.0%,44.0%,36.9%,12.9%,9.7%,16,4.28,166,357,523,42.9%,32.1%,25.0%,17.9%,54.8%,27.4%,2,2022-05-01
37,Erick Fedde,WSN,.302,1.18,18.2%,44.3%,37.5%,12.1%,9.1%,23,7.14,203,317,520,38.2%,37.1%,24.7%,18.0%,49.4%,32.6%,2,2022-05-01
38,Kyle Freeland,COL,.321,1.18,22.0%,42.2%,35.8%,10.3%,7.7%,15,4.01,198,340,538,38.5%,40.4%,21.1%,21.1%,49.5%,29.4%,2,2022-05-01
39,Marco Gonzales,SEA,.258,1.15,17.6%,44.0%,38.4%,10.4%,12.5%,14,3.44,206,366,572,40.5%,36.5%,23.0%,20.6%,50.8%,28.6%,2,2022-05-01
40,Adam Wainwright,STL,.189,1.14,15.1%,45.2%,39.8%,0.0%,8.1%,30,8.44,162,336,498,43.0%,32.3%,24.7%,10.8%,66.7%,22.6%,2,2022-05-01
41,Alek Manoah,TOR,.276,1.13,27.3%,38.6%,34.1%,16.7%,10.0%,9,2.61,142,307,449,53.3%,23.3%,23.3%,23.3%,55.6%,21.1%,2,2022-05-01
42,Corbin Burnes,MIL,.258,1.13,15.3%,44.9%,39.8%,7.7%,12.8%,17,3.92,206,387,593,44.9%,31.6%,23.5%,16.3%,52.0%,31.6%,2,2022-05-01
43,Yusei Kikuchi,TOR,.250,1.12,15.4%,44.6%,40.0%,11.5%,3.8%,11,3.71,157,273,430,44.6%,40.0%,15.4%,13.8%,43.1%,43.1%,2,2022-05-01
44,Joe Musgrove,SDP,.273,1.11,17.8%,43.3%,38.9%,11.4%,5.7%,9,2.45,175,320,495,37.8%,33.3%,28.9%,20.0%,55.6%,24.4%,2,2022-05-01
45,Carlos Rodon,SFG,.359,1.11,26.3%,38.8%,35.0%,7.1%,10.7%,7,2.33,162,312,474,45.7%,23.5%,30.9%,16.0%,61.7%,22.2%,2,2022-05-01
46,Aaron Nola,PHI,.275,1.09,20.2%,41.7%,38.1%,0.0%,12.5%,21,5.73,180,335,515,48.8%,31.0%,20.2%,13.1%,48.8%,38.1%,2,2022-05-01
47,Ian Anderson,ATL,.276,1.09,23.3%,40.0%,36.7%,15.2%,9.1%,14,4.45,177,302,479,54.4%,30.0%,15.6%,15.6%,53.3%,31.1%,2,2022-05-01
48,Zack Greinke,KCR,.317,1.07,17.3%,42.7%,40.0%,13.6%,13.6%,18,5.46,195,351,546,38.2%,31.8%,30.0%,20.9%,50.9%,28.2%,2,2022-05-01
49,Humberto Castellanos,ARI,.301,1.06,27.3%,37.4%,35.4%,8.6%,20.0%,20,5.93,182,330,512,47.5%,30.3%,22.2%,16.2%,47.5%,36.4%,2,2022-05-01
50,Zach Plesac,CLE,.287,1.03,25.0%,38.0%,37.0%,5.9%,14.7%,9,2.89,145,310,455,50.0%,30.4%,19.6%,13.0%,55.4%,31.5%,2,2022-05-01
51,Logan Gilbert,SEA,.258,1.03,24.0%,38.5%,37.5%,11.1%,11.1%,18,4.42,202,395,597,42.3%,39.2%,18.6%,16.5%,45.4%,38.1%,2,2022-05-01
52,Zach Davies,ARI,.264,1.03,21.1%,40.0%,38.9%,13.5%,13.5%,15,4.50,201,335,536,44.8%,34.4%,20.8%,17.7%,51.0%,31.3%,2,2022-05-01
