#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Year,YearDate
1,Joan Adon,WSN,.500,8.00,18.2%,72.7%,9.1%,0.0%,100.0%,5,8.44,37,57,94,54.5%,18.2%,27.3%,9.1%,45.5%,45.5%,2021.0,2021-01-01
2,Aaron Bummer,CHW,.298,6.00,11.2%,76.1%,12.7%,11.8%,17.6%,23,3.67,367,595,962,30.6%,40.3%,29.1%,27.6%,44.0%,28.4%,2021.0,2021-01-01
3,Cooper Criswell,LAA,.600,6.00,30.0%,60.0%,10.0%,0.0%,0.0%,0,0.00,15,26,41,40.0%,50.0%,10.0%,0.0%,60.0%,40.0%,2021.0,2021-01-01
4,Jace Fry,CHW,.450,5.00,14.3%,71.4%,14.3%,0.0%,33.3%,4,5.40,61,75,136,42.9%,28.6%,28.6%,19.0%,52.4%,28.6%,2021.0,2021-01-01
5,Framber Valdez,HOU,.268,4.73,14.9%,70.3%,14.9%,3.6%,21.4%,86,5.75,816,1274,2090,45.8%,35.2%,19.0%,14.8%,54.0%,31.2%,2021.0,2021-01-01
6,Richard Bleier,MIA,.280,4.40,19.6%,65.5%,14.9%,8.0%,16.0%,23,3.57,177,508,685,46.5%,31.4%,22.1%,22.1%,47.7%,30.2%,2021.0,2021-01-01
7,Tanner Anderson,PIT,.278,4.33,11.1%,72.2%,16.7%,0.0%,0.0%,0,0.00,19,45,64,44.4%,44.4%,11.1%,16.7%,44.4%,38.9%,2021.0,2021-01-01
8,Jordan Hicks,STL,.208,4.25,12.5%,70.8%,16.7%,0.0%,0.0%,2,1.80,96,111,207,41.7%,25.0%,33.3%,20.8%,58.3%,20.8%,2021.0,2021-01-01
9,Adam Kolarek,OAK,.333,4.17,18.4%,65.8%,15.8%,16.7%,33.3%,4,4.00,71,119,190,29.3%,46.3%,24.4%,12.2%,63.4%,24.4%,2021.0,2021-01-01
10,Pedro Strop,CHC,.400,4.00,20.0%,80.0%,0.0%,0.0%,0.0%,2,9.00,20,25,45,80.0%,0.0%,20.0%,20.0%,60.0%,20.0%,2021.0,2021-01-01
11,Jace Peterson,MIL,.500,4.00,37.5%,50.0%,12.5%,0.0%,0.0%,0,0.00,17,23,40,37.5%,50.0%,12.5%,37.5%,50.0%,12.5%,2021.0,2021-01-01
12,Colten Brewer,BOS,.800,4.00,20.0%,80.0%,0.0%,0.0%,0.0%,1,9.00,18,12,30,20.0%,60.0%,20.0%,20.0%,20.0%,60.0%,2021.0,2021-01-01
13,Pat Valaika,BAL,.000,4.00,0.0%,80.0%,20.0%,0.0%,0.0%,2,13.50,1,6,7,60.0%,20.0%,20.0%,0.0%,80.0%,20.0%,2021.0,2021-01-01
14,Clay Holmes,- - -,.273,3.84,13.4%,68.7%,17.9%,9.4%,15.6%,29,3.73,409,715,1124,39.8%,33.7%,26.5%,28.7%,49.7%,21.5%,2021.0,2021-01-01
15,Emmanuel Clase,CLE,.262,3.74,14.4%,67.6%,18.1%,2.9%,5.9%,19,2.45,335,722,1057,39.7%,34.4%,25.9%,13.8%,62.4%,23.8%,2021.0,2021-01-01
16,Conner Menez,SFG,.333,3.71,25.0%,59.1%,15.9%,28.6%,28.6%,3,1.93,79,168,247,50.0%,29.5%,20.5%,11.4%,61.4%,27.3%,2021.0,2021-01-01
17,Zack Britton,NYY,.313,3.40,12.0%,68.0%,20.0%,10.0%,20.0%,9,4.42,145,192,337,38.0%,34.0%,28.0%,26.0%,50.0%,24.0%,2021.0,2021-01-01
18,Kyle Ryan,CHC,.311,3.38,25.5%,57.4%,17.0%,0.0%,37.5%,7,4.73,93,132,225,41.7%,39.6%,18.8%,14.6%,47.9%,37.5%,2021.0,2021-01-01
19,John Nogowski,PIT,.500,3.33,18.8%,62.5%,18.8%,0.0%,0.0%,2,6.00,5,30,35,56.3%,18.8%,25.0%,12.5%,43.8%,43.8%,2021.0,2021-01-01
20,Logan Webb,SFG,.309,3.29,20.6%,60.9%,18.5%,5.6%,12.5%,93,5.64,773,1441,2214,39.3%,36.5%,24.1%,19.0%,54.8%,26.1%,2021.0,2021-01-01
21,Brusdar Graterol,LAD,.311,3.16,23.3%,58.3%,18.4%,26.3%,10.5%,15,4.05,161,361,522,29.8%,40.4%,29.8%,29.8%,48.1%,22.1%,2021.0,2021-01-01
22,Mark Melancon,SDP,.284,3.06,25.1%,56.4%,18.4%,6.1%,12.1%,15,2.09,377,676,1053,39.4%,39.4%,21.1%,23.3%,50.6%,26.1%,2021.0,2021-01-01
23,Brett Phillips,TBR,.400,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,0,0.00,11,12,23,40.0%,40.0%,20.0%,20.0%,80.0%,0.0%,2021.0,2021-01-01
24,Andrew Vasquez,LAD,.333,3.00,0.0%,100.0%,0.0%,0.0%,0.0%,2,10.80,7,20,27,0.0%,100.0%,0.0%,33.3%,66.7%,0.0%,2021.0,2021-01-01
25,Clarke Schmidt,NYY,.400,3.00,20.0%,60.0%,20.0%,0.0%,20.0%,2,2.84,52,91,143,50.0%,30.8%,19.2%,11.5%,65.4%,23.1%,2021.0,2021-01-01
26,John Schreiber,BOS,.571,3.00,42.9%,42.9%,14.3%,0.0%,0.0%,3,9.00,21,35,56,42.9%,14.3%,42.9%,14.3%,42.9%,42.9%,2021.0,2021-01-01
27,Oliver Ortega,LAA,.355,3.00,0.0%,75.0%,25.0%,12.5%,12.5%,7,6.75,52,87,139,43.8%,40.6%,15.6%,12.5%,34.4%,53.1%,2021.0,2021-01-01
28,Nicklaus Snyder,TEX,.273,3.00,27.3%,54.5%,18.2%,0.0%,0.0%,0,0.00,24,35,59,45.5%,27.3%,27.3%,0.0%,54.5%,45.5%,2021.0,2021-01-01
29,Sam Clay,WSN,.342,2.97,19.6%,60.1%,20.3%,3.2%,12.9%,9,1.80,310,493,803,34.6%,36.6%,28.8%,12.4%,54.2%,33.3%,2021.0,2021-01-01
30,John King,TEX,.284,2.96,23.7%,57.0%,19.3%,7.7%,11.5%,30,5.87,230,466,696,42.3%,28.5%,29.2%,15.3%,60.6%,24.1%,2021.0,2021-01-01
31,T.J. McFarland,STL,.261,2.88,14.2%,63.7%,22.1%,4.0%,12.0%,34,7.91,190,322,512,45.6%,31.6%,22.8%,12.3%,50.9%,36.8%,2021.0,2021-01-01
32,Wyatt Mills,SEA,.409,2.88,31.1%,51.1%,17.8%,12.5%,12.5%,8,5.68,88,142,230,31.1%,40.0%,28.9%,31.1%,44.4%,24.4%,2021.0,2021-01-01
33,Cristopher Sanchez,PHI,.395,2.88,13.9%,63.9%,22.2%,25.0%,12.5%,6,4.26,74,137,211,33.3%,33.3%,33.3%,20.5%,51.3%,28.2%,2021.0,2021-01-01
34,Dustin May,LAD,.255,2.80,24.0%,56.0%,20.0%,0.0%,40.0%,22,8.61,124,244,368,41.2%,37.3%,21.6%,21.6%,49.0%,29.4%,2021.0,2021-01-01
35,Adrian Houser,MIL,.259,2.79,19.9%,59.0%,21.1%,9.2%,13.8%,81,5.12,927,1425,2352,35.7%,43.1%,21.2%,20.7%,54.8%,24.5%,2021.0,2021-01-01
36,Justin Lawrence,COL,.420,2.78,29.2%,52.1%,18.8%,11.1%,0.0%,9,4.86,151,175,326,34.0%,46.0%,20.0%,10.0%,52.0%,38.0%,2021.0,2021-01-01
37,Brett Anderson,MIL,.294,2.77,21.7%,57.5%,20.8%,3.1%,16.9%,51,4.78,619,889,1508,47.4%,34.9%,17.8%,11.8%,50.5%,37.7%,2021.0,2021-01-01
38,Joely Rodriguez,- - -,.355,2.76,20.4%,58.4%,21.2%,17.2%,13.8%,20,3.88,274,501,775,37.1%,37.9%,25.0%,16.4%,54.3%,29.3%,2021.0,2021-01-01
39,Joe Kelly,LAD,.227,2.75,19.6%,58.9%,21.4%,8.3%,12.5%,16,3.27,255,457,712,39.8%,40.7%,19.5%,23.0%,54.9%,22.1%,2021.0,2021-01-01
40,Scott Alexander,LAD,.250,2.75,16.7%,61.1%,22.2%,16.7%,16.7%,1,0.59,94,165,259,37.0%,33.3%,29.6%,22.2%,44.4%,33.3%,2021.0,2021-01-01
41,Adonis Medina,PHI,.391,2.75,34.8%,47.8%,17.4%,100.0%,0.0%,2,2.35,58,79,137,43.5%,34.8%,21.7%,34.8%,43.5%,21.7%,2021.0,2021-01-01
42,Victor Gonzalez,LAD,.299,2.70,23.7%,55.7%,20.6%,10.0%,15.0%,9,2.29,208,349,557,43.0%,35.0%,22.0%,23.0%,52.0%,25.0%,2021.0,2021-01-01
43,Brandon Kintzler,PHI,.369,2.67,20.0%,58.2%,21.8%,4.2%,29.2%,12,3.64,182,328,510,47.3%,38.2%,14.5%,11.8%,53.6%,34.5%,2021.0,2021-01-01
44,Adrian Morejon,SDP,.231,2.67,26.7%,53.3%,20.0%,0.0%,66.7%,1,1.93,29,51,80,40.0%,33.3%,26.7%,26.7%,33.3%,40.0%,2021.0,2021-01-01
45,Jose Alvarado,PHI,.298,2.64,20.9%,57.4%,21.7%,3.6%,17.9%,41,6.63,426,619,1045,34.9%,39.5%,25.6%,20.2%,45.7%,34.1%,2021.0,2021-01-01
46,Tayler Saucedo,TOR,.273,2.61,16.7%,60.3%,23.1%,22.2%,5.6%,19,6.66,174,258,432,44.9%,42.3%,12.8%,24.4%,44.9%,30.8%,2021.0,2021-01-01
47,Jonathan Loaisiga,NYY,.276,2.60,15.6%,60.9%,23.4%,22.2%,6.7%,41,5.22,348,737,1085,38.5%,34.9%,26.7%,25.1%,56.4%,18.5%,2021.0,2021-01-01
48,Tim Mayza,TOR,.263,2.58,18.4%,58.8%,22.8%,16.1%,16.1%,35,5.94,307,534,841,37.7%,39.1%,23.2%,21.0%,60.1%,18.8%,2021.0,2021-01-01
49,Matt Peacock,ARI,.320,2.57,17.8%,59.2%,23.0%,7.1%,18.6%,51,5.32,496,827,1323,41.7%,36.2%,22.1%,14.0%,54.4%,31.6%,2021.0,2021-01-01
50,Wandy Peralta,- - -,.291,2.51,19.1%,57.9%,23.0%,14.3%,17.1%,16,2.82,291,517,808,42.9%,33.1%,24.0%,20.1%,50.6%,29.2%,2021.0,2021-01-01
51,Randy Dobnak,MIN,.311,2.51,22.6%,55.4%,22.0%,12.2%,26.8%,29,5.15,281,484,765,36.4%,39.6%,24.1%,13.9%,55.1%,31.0%,2021.0,2021-01-01
52,DJ Johnson,- - -,.111,2.50,22.2%,55.6%,22.2%,0.0%,50.0%,1,2.08,26,46,72,60.0%,40.0%,0.0%,10.0%,50.0%,40.0%,2021.0,2021-01-01
53,Jovani Moran,MIN,.429,2.50,30.0%,50.0%,20.0%,0.0%,0.0%,2,2.25,67,95,162,33.3%,33.3%,33.3%,23.8%,66.7%,9.5%,2021.0,2021-01-01
54,Aaron Ashby,MIL,.273,2.45,13.8%,61.3%,25.0%,0.0%,20.0%,20,5.68,182,350,532,42.0%,30.9%,27.2%,18.5%,55.6%,25.9%,2021.0,2021-01-01
55,A.J. Puk,OAK,.415,2.44,26.2%,52.4%,21.4%,22.2%,11.1%,6,4.05,92,151,243,31.0%,52.4%,16.7%,14.3%,45.2%,40.5%,2021.0,2021-01-01
56,Casey Sadler,SEA,.188,2.44,11.3%,62.9%,25.8%,24.0%,4.0%,13,2.90,202,379,581,54.6%,29.9%,15.5%,22.7%,51.5%,25.8%,2021.0,2021-01-01
57,Dakota Hudson,STL,.269,2.43,7.7%,65.4%,26.9%,0.0%,0.0%,8,8.31,48,83,131,46.2%,38.5%,15.4%,15.4%,65.4%,19.2%,2021.0,2021-01-01
58,Tyler Chatwood,- - -,.300,2.41,29.3%,50.0%,20.7%,5.9%,11.8%,16,4.50,253,338,591,43.9%,37.8%,18.3%,13.4%,53.7%,32.9%,2021.0,2021-01-01
59,Eric Yardley,MIL,.309,2.41,17.1%,58.6%,24.3%,0.0%,17.6%,6,2.89,132,183,315,36.6%,35.2%,28.2%,33.8%,35.2%,31.0%,2021.0,2021-01-01
60,Aaron Northcraft,SDP,.200,2.40,19.0%,57.1%,23.8%,20.0%,20.0%,11,12.38,55,74,129,38.1%,52.4%,9.5%,23.8%,47.6%,28.6%,2021.0,2021-01-01
61,Nivaldo Rodriguez,HOU,.105,2.40,19.0%,57.1%,23.8%,0.0%,40.0%,1,1.23,54,60,114,42.9%,42.9%,14.3%,28.6%,23.8%,47.6%,2021.0,2021-01-01
62,Aaron Slegers,LAA,.363,2.38,17.8%,57.9%,24.3%,7.7%,23.1%,11,3.19,210,360,570,51.9%,35.2%,13.0%,14.8%,51.9%,33.3%,2021.0,2021-01-01
63,Tommy Nance,CHC,.263,2.37,20.0%,56.3%,23.8%,0.0%,26.3%,26,8.16,159,297,456,30.9%,43.2%,25.9%,17.3%,46.9%,35.8%,2021.0,2021-01-01
64,Dillon Tate,BAL,.269,2.37,15.0%,59.7%,25.2%,7.7%,13.5%,23,3.06,369,673,1042,41.3%,36.5%,22.1%,23.6%,50.5%,26.0%,2021.0,2021-01-01
65,Kendall Graveman,- - -,.246,2.35,21.8%,54.9%,23.3%,6.5%,9.7%,21,3.38,325,546,871,38.3%,37.6%,24.1%,18.0%,52.6%,29.3%,2021.0,2021-01-01
66,Chris Rodriguez,LAA,.326,2.35,22.1%,54.7%,23.3%,5.0%,0.0%,15,4.55,193,312,505,52.3%,32.6%,15.1%,9.3%,68.6%,22.1%,2021.0,2021-01-01
67,Brett Martin,TEX,.305,2.34,18.1%,57.4%,24.5%,6.0%,10.0%,32,4.62,287,631,918,36.1%,39.4%,24.5%,14.4%,54.3%,31.3%,2021.0,2021-01-01
68,Anthony Gose,CLE,.154,2.33,16.7%,58.3%,25.0%,0.0%,0.0%,1,1.35,38,77,115,30.8%,30.8%,38.5%,30.8%,46.2%,23.1%,2021.0,2021-01-01
69,Matt Strahm,SDP,.484,2.33,31.0%,48.3%,20.7%,0.0%,0.0%,0,0.00,36,100,136,38.7%,35.5%,25.8%,12.9%,61.3%,25.8%,2021.0,2021-01-01
70,Evan Phillips,- - -,.250,2.33,26.8%,51.2%,22.0%,11.1%,11.1%,7,4.73,75,169,244,36.6%,34.1%,29.3%,12.2%,61.0%,26.8%,2021.0,2021-01-01
71,Zach Pop,MIA,.319,2.33,17.7%,57.6%,24.7%,5.1%,7.7%,35,5.76,357,579,936,44.2%,35.0%,20.9%,20.2%,49.1%,30.7%,2021.0,2021-01-01
72,Alex Claudio,LAA,.320,2.30,25.5%,52.0%,22.5%,4.3%,26.1%,14,3.86,232,355,587,48.5%,32.0%,19.4%,12.6%,58.3%,29.1%,2021.0,2021-01-01
73,Luis Castillo,CIN,.318,2.30,18.8%,56.6%,24.6%,7.9%,15.0%,80,3.84,1146,2018,3164,39.7%,35.7%,24.6%,16.4%,56.1%,27.4%,2021.0,2021-01-01
74,Ranger Suarez,PHI,.257,2.29,15.0%,59.2%,25.8%,7.2%,5.8%,47,3.99,595,1019,1614,36.3%,41.4%,22.3%,16.5%,57.5%,26.0%,2021.0,2021-01-01
75,Packy Naughton,LAA,.308,2.28,26.3%,51.3%,22.5%,11.1%,16.7%,4,1.59,149,234,383,37.0%,45.7%,17.3%,16.0%,48.1%,35.8%,2021.0,2021-01-01
76,Phillips Valdez,BOS,.277,2.28,16.7%,57.9%,25.4%,3.4%,13.8%,19,4.28,273,411,684,48.3%,32.8%,19.0%,12.9%,55.2%,31.9%,2021.0,2021-01-01
77,Alex Cobb,LAA,.315,2.25,23.0%,53.3%,23.7%,1.6%,8.2%,74,7.14,577,1002,1579,47.1%,30.5%,22.4%,19.7%,50.2%,30.1%,2021.0,2021-01-01
78,Tim Hill,SDP,.261,2.22,12.1%,60.6%,27.3%,8.9%,20.0%,36,5.43,330,631,961,27.6%,40.6%,31.8%,20.6%,49.4%,30.0%,2021.0,2021-01-01
79,Josh Fleming,TBR,.293,2.22,19.2%,55.7%,25.1%,7.0%,12.8%,65,5.61,578,1051,1629,40.4%,37.8%,21.8%,17.2%,54.2%,28.7%,2021.0,2021-01-01
80,Tyler Rogers,SFG,.278,2.22,16.4%,57.6%,26.0%,12.3%,7.7%,42,4.67,339,790,1129,34.0%,37.9%,28.1%,25.7%,53.8%,20.6%,2021.0,2021-01-01
81,Sean Poppen,- - -,.414,2.19,29.2%,48.6%,22.2%,12.5%,12.5%,17,6.75,146,260,406,25.0%,47.2%,27.8%,22.2%,43.1%,34.7%,2021.0,2021-01-01
82,Brett de Geus,- - -,.354,2.18,23.9%,52.1%,23.9%,0.0%,15.4%,27,4.86,359,552,911,34.1%,41.5%,24.4%,11.6%,54.3%,34.1%,2021.0,2021-01-01
83,Dallas Keuchel,CHW,.307,2.18,20.0%,54.9%,25.2%,7.1%,17.9%,117,6.50,1064,1662,2726,47.7%,34.2%,18.1%,17.6%,49.8%,32.6%,2021.0,2021-01-01
84,Ryan Borucki,TOR,.217,2.17,10.9%,60.9%,28.1%,11.1%,27.8%,7,2.66,141,228,369,44.6%,40.0%,15.4%,13.8%,56.9%,29.2%,2021.0,2021-01-01
85,Ryan Weber,- - -,.370,2.13,21.9%,53.1%,25.0%,0.0%,62.5%,6,5.59,56,104,160,50.0%,31.3%,18.8%,15.6%,43.8%,40.6%,2021.0,2021-01-01
86,Sam Coonrod,PHI,.316,2.13,16.0%,57.1%,26.9%,9.4%,15.6%,9,1.91,246,466,712,28.6%,44.5%,26.9%,21.0%,53.8%,25.2%,2021.0,2021-01-01
87,Jason Foley,DET,.233,2.13,19.4%,54.8%,25.8%,0.0%,12.5%,12,10.45,88,110,198,41.9%,41.9%,16.1%,6.5%,41.9%,51.6%,2021.0,2021-01-01
88,JoJo Romero,PHI,.296,2.13,19.4%,54.8%,25.8%,0.0%,50.0%,3,3.00,60,111,171,32.3%,45.2%,22.6%,9.7%,58.1%,32.3%,2021.0,2021-01-01
89,Ryan Burr,CHW,.269,2.12,16.1%,57.0%,26.9%,8.0%,12.0%,25,6.14,236,357,593,47.9%,30.2%,21.9%,12.5%,53.1%,34.4%,2021.0,2021-01-01
90,Lance McCullers Jr.,HOU,.273,2.09,16.5%,56.4%,27.0%,5.4%,11.7%,100,5.54,1077,1711,2788,38.3%,34.6%,27.1%,13.8%,56.4%,29.8%,2021.0,2021-01-01
91,Spencer Turnbull,DET,.254,2.08,15.2%,57.2%,27.5%,15.8%,5.3%,30,5.40,276,499,775,45.0%,35.7%,19.3%,18.6%,60.0%,21.4%,2021.0,2021-01-01
92,Junior Fernandez,STL,.354,2.07,34.8%,43.9%,21.2%,7.1%,14.3%,12,5.23,154,218,372,41.8%,34.3%,23.9%,7.5%,67.2%,25.4%,2021.0,2021-01-01
93,Trevor Cahill,PIT,.330,2.06,18.1%,55.2%,26.7%,9.7%,12.9%,14,3.41,256,409,665,52.9%,31.9%,15.1%,16.8%,58.0%,25.2%,2021.0,2021-01-01
94,Archie Bradley,PHI,.299,2.05,17.1%,55.7%,27.2%,18.6%,11.6%,52,9.18,340,581,921,34.0%,35.8%,30.2%,20.8%,46.5%,32.7%,2021.0,2021-01-01
95,Dane Dunning,TEX,.338,2.04,19.7%,53.9%,26.4%,11.0%,14.3%,47,3.59,671,1238,1909,39.2%,35.2%,25.6%,16.4%,47.0%,36.6%,2021.0,2021-01-01
96,Oliver Perez,CLE,.385,2.00,7.7%,61.5%,30.8%,0.0%,0.0%,4,9.82,15,41,56,38.5%,23.1%,38.5%,38.5%,23.1%,38.5%,2021.0,2021-01-01
97,Marwin Gonzalez,BOS,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,0,0.00,5,6,11,66.7%,33.3%,0.0%,0.0%,100.0%,0.0%,2021.0,2021-01-01
98,Dellin Betances,NYM,.000,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,1,9.00,12,9,21,50.0%,50.0%,0.0%,0.0%,50.0%,50.0%,2021.0,2021-01-01
99,Blaine Hardy,MIL,.600,2.00,25.0%,50.0%,25.0%,100.0%,0.0%,0,0.00,15,16,31,20.0%,80.0%,0.0%,40.0%,60.0%,0.0%,2021.0,2021-01-01
100,Ryan Pressly,HOU,.296,2.00,16.8%,55.5%,27.7%,9.3%,9.3%,21,2.95,296,660,956,38.5%,39.1%,22.4%,12.2%,53.2%,34.6%,2021.0,2021-01-01
101,Zac Rosscup,COL,.333,2.00,14.3%,57.1%,28.6%,0.0%,50.0%,0,0.00,18,30,48,71.4%,28.6%,0.0%,14.3%,42.9%,42.9%,2021.0,2021-01-01
102,Jesse Biddle,ATL,.310,2.00,14.3%,57.1%,28.6%,0.0%,12.5%,7,5.91,80,106,186,43.3%,36.7%,20.0%,10.0%,66.7%,23.3%,2021.0,2021-01-01
103,Josh Osich,CIN,.262,2.00,15.2%,56.5%,28.3%,7.7%,30.8%,8,5.02,88,143,231,37.0%,30.4%,32.6%,21.7%,39.1%,39.1%,2021.0,2021-01-01
104,Kevin Quackenbush,LAD,1.000,2.00,33.3%,66.7%,0.0%,0.0%,0.0%,0,0.00,7,13,20,33.3%,0.0%,66.7%,33.3%,33.3%,33.3%,2021.0,2021-01-01
105,Brandon Brennan,BOS,.375,2.00,25.0%,50.0%,25.0%,0.0%,0.0%,2,6.00,19,23,42,62.5%,25.0%,12.5%,12.5%,62.5%,25.0%,2021.0,2021-01-01
106,Willians Astudillo,MIN,.000,2.00,14.3%,57.1%,28.6%,50.0%,25.0%,0,0.00,25,26,51,50.0%,28.6%,21.4%,21.4%,57.1%,21.4%,2021.0,2021-01-01
107,Yefry Ramirez,LAD,.000,2.00,33.3%,66.7%,0.0%,0.0%,0.0%,1,4.50,7,16,23,66.7%,33.3%,0.0%,0.0%,66.7%,33.3%,2021.0,2021-01-01
108,Tanner Scott,BAL,.318,2.00,23.4%,51.1%,25.5%,11.4%,17.1%,27,4.50,417,615,1032,34.1%,41.3%,24.6%,17.4%,51.4%,31.2%,2021.0,2021-01-01
109,Danny Mendick,CHW,.333,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,0,0.00,3,12,15,33.3%,33.3%,33.3%,0.0%,66.7%,33.3%,2021.0,2021-01-01
110,Richard Lovelady,KCR,.255,2.00,15.1%,56.6%,28.3%,13.3%,20.0%,16,6.97,106,209,315,33.3%,50.0%,16.7%,14.8%,53.7%,31.5%,2021.0,2021-01-01
111,Kyle Dohy,PHI,.333,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,0,0.00,10,10,20,66.7%,0.0%,33.3%,0.0%,66.7%,33.3%,2021.0,2021-01-01
112,Peter Solomon,HOU,.270,2.00,18.9%,54.1%,27.0%,20.0%,0.0%,4,2.57,98,129,227,35.1%,37.8%,27.0%,18.9%,45.9%,35.1%,2021.0,2021-01-01
113,Aaron Fletcher,SEA,.375,2.00,29.4%,47.1%,23.5%,0.0%,25.0%,1,2.45,29,57,86,41.2%,47.1%,11.8%,5.9%,52.9%,41.2%,2021.0,2021-01-01
114,Angel Zerpa,KCR,.200,2.00,35.7%,42.9%,21.4%,0.0%,0.0%,1,1.80,24,44,68,33.3%,26.7%,40.0%,13.3%,80.0%,6.7%,2021.0,2021-01-01
115,German Marquez,COL,.293,1.96,22.1%,51.6%,26.3%,6.1%,15.9%,109,5.45,1012,1776,2788,40.5%,38.0%,21.5%,16.4%,48.1%,35.4%,2021.0,2021-01-01
116,Rafael Montero,- - -,.350,1.93,16.5%,55.1%,28.5%,11.1%,8.9%,27,4.93,309,563,872,44.1%,33.5%,22.4%,19.3%,55.9%,24.8%,2021.0,2021-01-01
117,Marcus Stroman,NYM,.286,1.92,22.8%,50.8%,26.4%,4.5%,12.8%,78,3.92,950,1791,2741,39.7%,34.2%,26.1%,15.4%,49.9%,34.7%,2021.0,2021-01-01
118,Sandy Alcantara,MIA,.270,1.92,18.9%,53.3%,27.7%,5.7%,13.3%,73,3.19,994,2101,3095,42.4%,34.9%,22.7%,19.3%,51.4%,29.3%,2021.0,2021-01-01
119,Kohl Stewart,CHC,.349,1.92,20.5%,52.3%,27.3%,8.3%,16.7%,9,5.93,101,136,237,35.6%,31.1%,33.3%,13.3%,60.0%,26.7%,2021.0,2021-01-01
120,Ryan Brasier,BOS,.286,1.91,13.5%,56.8%,29.7%,0.0%,18.2%,7,5.25,68,129,197,35.1%,48.6%,16.2%,13.5%,62.2%,24.3%,2021.0,2021-01-01
121,Antonio Senzatela,COL,.324,1.91,22.0%,51.2%,26.8%,7.2%,8.7%,76,4.37,853,1552,2405,34.0%,38.2%,27.9%,12.4%,51.3%,36.3%,2021.0,2021-01-01
122,Andrew Kittredge,TBR,.267,1.90,18.4%,53.5%,28.1%,9.6%,13.5%,33,4.14,291,691,982,44.9%,31.0%,24.1%,17.6%,54.5%,27.8%,2021.0,2021-01-01
123,Alex Wood,SFG,.305,1.90,22.5%,50.8%,26.7%,5.0%,14.0%,73,4.74,718,1477,2195,39.7%,33.9%,26.5%,16.4%,54.0%,29.6%,2021.0,2021-01-01
124,Aaron Loup,NYM,.257,1.89,23.0%,50.4%,26.6%,0.0%,2.7%,32,5.08,281,552,833,31.9%,38.3%,29.8%,17.0%,58.2%,24.8%,2021.0,2021-01-01
125,Alex Colome,MIN,.305,1.88,17.7%,53.7%,28.6%,3.4%,13.8%,36,4.98,396,706,1102,42.9%,37.6%,19.5%,13.7%,56.6%,29.8%,2021.0,2021-01-01
126,Craig Stammen,SDP,.272,1.88,15.8%,54.9%,29.2%,6.8%,17.6%,42,4.28,455,853,1308,43.8%,32.4%,23.8%,15.6%,53.5%,30.9%,2021.0,2021-01-01
127,Jose Urena,DET,.319,1.87,20.2%,52.0%,27.8%,7.4%,14.7%,40,3.58,658,1037,1695,46.1%,36.2%,17.8%,9.9%,51.3%,38.8%,2021.0,2021-01-01
128,Max Fried,ATL,.278,1.87,20.5%,51.8%,27.7%,7.3%,12.1%,117,6.36,875,1683,2558,37.5%,38.2%,24.3%,20.0%,54.0%,26.0%,2021.0,2021-01-01
129,Adam Cimber,- - -,.281,1.87,17.5%,53.8%,28.8%,16.4%,3.3%,44,5.53,335,687,1022,33.5%,41.5%,25.0%,24.5%,44.3%,31.1%,2021.0,2021-01-01
130,Lewis Thorpe,MIN,.235,1.87,18.9%,52.8%,28.3%,20.0%,13.3%,3,1.76,87,164,251,54.7%,30.2%,15.1%,20.8%,43.4%,35.8%,2021.0,2021-01-01
131,Jeurys Familia,NYM,.311,1.86,21.7%,51.0%,27.4%,11.6%,23.3%,41,6.22,362,655,1017,36.9%,40.6%,22.5%,19.4%,51.9%,28.8%,2021.0,2021-01-01
132,Joey Krehbiel,- - -,.190,1.86,9.1%,59.1%,31.8%,14.3%,14.3%,2,2.16,55,78,133,45.5%,31.8%,22.7%,13.6%,54.5%,31.8%,2021.0,2021-01-01
133,Cody Reed,TBR,.259,1.86,25.9%,48.1%,25.9%,0.0%,14.3%,1,0.93,66,82,148,25.0%,42.9%,32.1%,10.7%,60.7%,28.6%,2021.0,2021-01-01
134,Patrick Murphy,- - -,.341,1.86,29.4%,45.9%,24.7%,14.3%,14.3%,11,3.54,187,299,486,35.3%,34.1%,30.6%,22.4%,44.7%,32.9%,2021.0,2021-01-01
135,Dillon Maples,CHC,.203,1.83,22.7%,50.0%,27.3%,5.6%,11.1%,15,4.31,255,310,565,27.3%,45.5%,27.3%,21.2%,56.1%,22.7%,2021.0,2021-01-01
136,Ramon Rosso,PHI,.348,1.83,32.0%,44.0%,24.0%,16.7%,33.3%,8,9.00,47,97,144,36.0%,48.0%,16.0%,8.0%,48.0%,44.0%,2021.0,2021-01-01
137,Alec Mills,CHC,.324,1.83,20.7%,51.3%,28.0%,8.4%,15.0%,62,4.69,691,1245,1936,48.3%,33.2%,18.5%,16.7%,54.0%,29.3%,2021.0,2021-01-01
