#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
1,Framber Valdez,HOU,.302,4.75,19.8%,66.3%,14.0%,0.0%,8.3%,16,4.28,195,312,507,39.1%,44.8%,16.1%,13.8%,64.4%,21.8%,4,7
2,Alex Cobb,SFG,.276,3.37,20.2%,61.5%,18.3%,5.3%,5.3%,8,2.00,206,351,557,48.1%,33.0%,18.9%,17.0%,64.2%,18.9%,4,7
3,Andre Pallante,STL,.413,2.88,21.4%,58.3%,20.2%,0.0%,23.5%,14,4.78,163,298,461,39.3%,22.6%,38.1%,20.2%,48.8%,31.0%,4,7
4,Logan Webb,SFG,.265,2.39,16.7%,58.8%,24.6%,14.3%,10.7%,22,5.17,207,373,580,45.7%,36.2%,18.1%,20.7%,50.0%,29.3%,4,7
5,Brad Keller,KCR,.265,2.18,16.7%,57.1%,26.2%,4.5%,4.5%,12,3.77,178,282,460,39.3%,36.9%,23.8%,14.3%,69.0%,16.7%,4,7
6,Jose Urena,COL,.319,2.04,24.7%,50.5%,24.7%,4.3%,8.7%,4,1.33,174,271,445,47.3%,34.4%,18.3%,17.2%,50.5%,32.3%,4,7
7,Kyle Wright,ATL,.272,2.04,20.8%,53.1%,26.0%,8.0%,20.0%,27,7.92,129,314,443,49.5%,29.9%,20.6%,16.5%,51.5%,32.0%,4,7
8,German Marquez,COL,.261,1.96,26.0%,49.0%,25.0%,8.3%,16.7%,15,4.26,168,318,486,36.5%,40.6%,22.9%,7.3%,52.1%,40.6%,4,7
9,Carlos Carrasco,NYM,.338,1.91,20.0%,52.5%,27.5%,0.0%,4.5%,15,4.50,165,304,469,42.5%,33.8%,23.8%,12.5%,51.3%,36.3%,4,7
10,Jose Quintana,PIT,.329,1.87,19.5%,52.4%,28.0%,0.0%,0.0%,11,3.67,160,283,443,41.5%,34.1%,24.4%,9.8%,58.5%,31.7%,4,7
11,Sandy Alcantara,MIA,.256,1.79,16.3%,53.8%,30.0%,0.0%,8.3%,10,2.65,162,349,511,31.3%,50.0%,18.8%,13.8%,53.8%,32.5%,4,7
12,Chris Bassitt,NYM,.268,1.76,20.5%,50.7%,28.8%,4.8%,9.5%,12,4.26,128,262,390,38.4%,31.5%,30.1%,21.9%,53.4%,24.7%,4,7
13,Robbie Ray,SEA,.362,1.72,24.6%,47.7%,27.7%,11.1%,38.9%,6,2.16,154,300,454,41.5%,35.4%,23.1%,13.8%,46.2%,40.0%,4,7
14,Pablo Lopez,MIA,.304,1.71,19.8%,50.6%,29.6%,12.5%,12.5%,6,1.74,196,341,537,41.5%,32.9%,25.6%,17.1%,59.8%,23.2%,4,7
15,Martin Perez,TEX,.229,1.68,14.8%,53.4%,31.8%,10.7%,17.9%,30,8.53,192,305,497,37.5%,38.6%,23.9%,23.9%,55.7%,20.5%,4,7
16,Mitch Keller,PIT,.310,1.67,25.6%,46.5%,27.9%,16.7%,16.7%,5,1.45,159,286,445,36.4%,37.5%,26.1%,11.4%,53.4%,35.2%,4,7
17,Shane McClanahan,TBR,.221,1.59,18.6%,50.0%,31.4%,13.6%,13.6%,16,4.70,143,308,451,45.1%,31.0%,23.9%,16.9%,62.0%,21.1%,4,7
18,Patrick Sandoval,LAA,.451,1.56,36.1%,38.9%,25.0%,0.0%,5.6%,2,0.73,170,293,463,43.1%,36.1%,20.8%,11.1%,52.8%,36.1%,4,7
19,Clayton Kershaw,LAD,.256,1.55,14.9%,51.7%,33.3%,6.9%,3.4%,21,5.85,150,325,475,47.1%,36.8%,16.1%,21.8%,47.1%,31.0%,4,7
20,Zach Thompson,PIT,.326,1.55,24.5%,45.9%,29.6%,10.3%,10.3%,1,0.33,167,276,443,41.8%,35.7%,22.4%,16.3%,45.9%,37.8%,4,7
21,Kyle Freeland,COL,.298,1.50,23.5%,45.9%,30.6%,11.5%,15.4%,15,4.66,194,290,484,47.7%,37.5%,14.8%,17.0%,51.1%,31.8%,4,7
22,Brady Singer,KCR,.333,1.45,23.4%,45.3%,31.3%,15.0%,10.0%,14,4.11,190,305,495,33.8%,33.8%,32.3%,10.8%,52.3%,36.9%,4,7
23,Glenn Otto,TEX,.282,1.44,12.4%,51.7%,36.0%,12.5%,15.6%,16,4.85,175,287,462,48.9%,26.7%,24.4%,15.6%,55.6%,28.9%,4,7
24,Johnny Cueto,CHW,.262,1.41,9.2%,53.2%,37.6%,14.6%,7.3%,24,6.35,182,320,502,47.3%,35.5%,17.3%,19.1%,54.5%,26.4%,4,7
25,Adam Wainwright,STL,.231,1.41,20.6%,46.4%,33.0%,12.5%,18.8%,15,4.18,191,329,520,47.4%,33.0%,19.6%,13.4%,46.4%,40.2%,4,7
26,Miles Mikolas,STL,.239,1.38,19.5%,46.6%,33.9%,10.0%,15.0%,25,5.97,199,373,572,44.9%,33.1%,22.0%,16.1%,54.2%,29.7%,4,7
27,Max Fried,ATL,.310,1.36,17.9%,47.3%,34.8%,15.4%,0.0%,21,4.97,208,368,576,33.6%,38.1%,28.3%,26.5%,56.6%,16.8%,4,7
28,Zac Gallen,ARI,.219,1.35,19.7%,46.1%,34.2%,3.8%,11.5%,21,6.37,168,300,468,43.4%,30.3%,26.3%,11.8%,55.3%,32.9%,4,7
29,Luis Castillo,CIN,.217,1.33,22.2%,44.4%,33.3%,16.7%,12.5%,10,3.21,138,279,417,47.2%,27.8%,25.0%,20.8%,55.6%,23.6%,4,7
30,Reid Detmers,LAA,.265,1.31,24.5%,42.9%,32.7%,12.5%,0.0%,15,5.63,141,240,381,32.7%,32.7%,34.7%,20.4%,44.9%,34.7%,4,7
