#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
61,Alek Manoah,TOR,.196,0.74,13.8%,36.7%,49.5%,18.5%,3.7%,20,4.39,206,393,599,44.0%,29.4%,26.6%,21.1%,55.0%,23.9%,6,9
62,Tyler Alexander,DET,.276,0.69,21.0%,32.4%,46.7%,10.2%,14.3%,13,3.55,166,335,501,38.1%,33.3%,28.6%,18.1%,42.9%,39.0%,6,9
63,Robbie Ray,SEA,.326,0.68,18.4%,33.0%,48.5%,10.0%,16.0%,11,2.97,191,369,560,37.9%,29.1%,33.0%,16.5%,48.5%,35.0%,6,9
64,Ross Stripling,TOR,.235,0.67,20.0%,32.0%,48.0%,16.7%,8.3%,30,8.10,147,336,483,39.2%,28.4%,32.4%,14.7%,56.9%,28.4%,6,9
65,Yu Darvish,SDP,.200,0.46,16.0%,26.6%,57.4%,9.3%,9.3%,28,6.46,181,404,585,38.9%,37.9%,23.2%,13.7%,49.5%,36.8%,6,9
