#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
1,Joe Ryan,MIN,32.2,66.8%, , , ,10.7%,16.9%,5.7%, , , , ,5,2022-08-01
2,Gerrit Cole,NYY,39.1,60.1%, , , ,7.3%,20.7%,11.9%, , , , ,5,2022-08-01
3,Cristian Javier,HOU,32.0,58.5%, , , ,2.6%,31.7%,7.1%, , , , ,5,2022-08-01
4,Blake Snell,SDP,32.0,57.6%, , , ,2.7%,23.4%,16.3%, , , , ,5,2022-08-01
5,James Kaprielian,OAK,29.0,57.4%, , ,1.3%,9.1%,15.7%,16.6%, , , , ,5,2022-08-01
6,Carlos Rodon,SFG,28.1,57.0%, , , ,3.4%,32.8%,6.8%, , , , ,5,2022-08-01
7,Tommy Henry,ARI,31.2,56.6%, , , ,10.0%,18.6%,14.8%, , , , ,5,2022-08-01
8,Freddy Peralta,MIL,29.2,54.5%, , , ,11.4%,14.5%,19.6%, , , , ,5,2022-08-01
9,Julio Urias,LAD,30.0,54.0%, , , ,18.5%, ,27.5%, , , , ,5,2022-08-01
10,Justin Verlander,HOU,28.0,53.2%, , , ,2.3%,23.1%,21.5%, , , , ,5,2022-08-01
11,Triston McKenzie,CLE,38.2,52.3%, , , , ,22.0%,25.8%, , , , ,5,2022-08-01
12,Kris Bubic,KCR,31.0,51.8%, , , ,25.9%, ,22.4%, , , , ,5,2022-08-01
13,Lucas Giolito,CHW,31.2,50.4%, , , ,25.4%,21.2%,3.1%, , , , ,5,2022-08-01
14,Kevin Gausman,TOR,36.2,49.2%, ,40.0%, , ,10.8%, , , , , ,5,2022-08-01
15,Mike Clevinger,SDP,32.0,49.2%,14.3%, ,11.5%,5.1%,17.4%,2.6%, , , , ,5,2022-08-01
16,Lance Lynn,CHW,36.2,48.3%,28.0%, ,9.8%,3.3%,10.7%, , , , , ,5,2022-08-01
17,Matt Manning,DET,32.1,47.7%, , ,10.4%,5.9%,25.0%,11.0%, , , , ,5,2022-08-01
18,Jacob deGrom,NYM,36.1,46.8%, , , ,5.4%,44.3%,3.5%, , , , ,5,2022-08-01
19,Jose Urquidy,HOU,31.2,45.8%, , , ,17.0%,19.3%,17.9%, , , , ,5,2022-08-01
20,Nick Pivetta,BOS,28.2,45.6%, ,1.4%, , ,26.4%,26.6%, , , , ,5,2022-08-01
21,Max Scherzer,NYM,40.2,45.5%,8.8%, , ,11.1%,26.0%,8.6%, , , , ,5,2022-08-01
22,Adam Oller,OAK,29.2,45.4%,23.7%, ,0.7%,14.5%,15.7%, , , , , ,5,2022-08-01
23,Daniel Lynch,KCR,32.0,45.0%, , ,3.2%,14.8%,30.6%,6.3%, , , , ,5,2022-08-01
24,Eric Lauer,MIL,30.0,44.5%,26.3%, , ,3.0%,12.8%,13.4%, , , , ,5,2022-08-01
25,Brandon Woodruff,MIL,30.0,43.4%, , ,17.7%,12.6%,6.5%,19.8%, , , , ,5,2022-08-01
26,Drew Rasmussen,TBR,34.1,43.4%,28.6%, ,2.7%, ,17.7%,7.6%, , , , ,5,2022-08-01
27,Zac Gallen,ARI,40.0,43.0%,16.5%, , ,11.3%,6.2%,23.1%, , , , ,5,2022-08-01
28,Jeffrey Springs,TBR,27.2,42.4%, , , ,32.4%,25.2%, , , , , ,5,2022-08-01
29,Luis Garcia,HOU,29.0,40.6%,30.0%, ,0.6%,9.5%,8.4%,10.8%, , , , ,5,2022-08-01
30,Dylan Cease,CHW,30.1,40.5%, ,0.8%, , ,43.9%,14.8%, , , , ,5,2022-08-01
