#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
31,Walker Buehler,LAD,24.2,35.3%,21.5%, ,7.2%,8.8%,13.5%,13.8%, , , , ,1,2022-04-01
32,Zack Greinke,KCR,22.0,35.1%, , ,4.5%,17.9%,20.5%,22.0%, , , , ,1,2022-04-01
33,Aaron Nola,PHI,27.2,34.6%,7.4%, ,15.3%,17.2%, ,25.5%, , , , ,1,2022-04-01
34,Max Fried,ATL,24.0,32.8%, , ,11.3%,11.0%,21.2%,23.5%, , , , ,1,2022-04-01
35,Yu Darvish,SDP,26.1,32.6%,1.4%,9.5%,4.4%,0.2%,44.3%,7.6%, , , , ,1,2022-04-01
36,Sandy Alcantara,MIA,25.1,32.5%, , ,23.1%,20.7%,23.7%, , , , , ,1,2022-04-01
37,Tarik Skubal,DET,20.2,30.1%, , ,22.0%,12.8%,25.5%,9.6%, , , , ,1,2022-04-01
38,Merrill Kelly,ARI,28.1,30.1%,19.3%, ,14.2%,21.7%, ,14.5%, , , ,0.2%,1,2022-04-01
39,Kyle Hendricks,CHC,24.2,26.0%, , ,34.7%,29.4%, ,10.0%, , , , ,1,2022-04-01
40,Kyle Wright,ATL,24.0,25.8%, , ,19.7%,15.6%,5.3%,33.6%, , , , ,1,2022-04-01
41,Madison Bumgarner,ARI,23.0,25.6%,51.1%, ,0.8%,7.8%, ,14.4%,0.3%, , , ,1,2022-04-01
42,Frankie Montas,OAK,29.2,25.0%, ,30.9%,21.1%, ,23.0%, , , , , ,1,2022-04-01
43,Cole Irvin,OAK,27.2,24.1%,10.0%, ,28.5%,18.8%,14.4%,4.2%, , , , ,1,2022-04-01
44,Joe Musgrove,SDP,25.0,23.4%,13.5%, ,7.9%,11.7%,30.4%,13.2%, , , , ,1,2022-04-01
45,Chris Bassitt,NYM,24.0,19.9%,18.8%, ,25.4%,5.0%,20.7%,10.2%, , , , ,1,2022-04-01
46,Miles Mikolas,STL,29.2,17.9%, , ,24.8%,6.9%,29.5%,20.6%,0.2%, , , ,1,2022-04-01
47,Cal Quantrill,CLE,22.0,9.3%,40.8%, ,39.2%,8.2%, ,2.5%, , , , ,1,2022-04-01
48,Martin Perez,TEX,21.0,8.1%,18.1%, ,34.2%,24.8%, ,14.8%, , , , ,1,2022-04-01
49,Adam Wainwright,STL,27.0,7.5%,23.4%, ,28.0%,10.6%, ,30.5%, , , , ,1,2022-04-01
50,Chad Kuhl,COL,23.2,5.8%, , ,40.7%,5.4%,39.1%,9.0%, , , , ,1,2022-04-01
51,Kyle Gibson,PHI,27.2,5.4%,18.8%, ,42.0%,9.8%,21.8%,2.3%, , , , ,1,2022-04-01
52,Logan Webb,SFG,30.1,2.4%,0.2%, ,33.6%,35.9%,27.8%, , , , , ,1,2022-04-01
53,Sean Manaea,SDP,30.0, , , ,61.2%,23.7%,15.2%, , , , , ,1,2022-04-01
54,Corbin Burnes,MIL,25.2, ,60.1%, ,7.9%,7.9%,6.6%,17.6%, , , , ,1,2022-04-01
55,Dane Dunning,TEX,26.0, ,8.9%, ,38.6%,20.2%,32.2%, , , , , ,1,2022-04-01
