#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
61,Kyle Freeland,COL,29.0,20.9%,20.5%, ,21.9%,14.7%,22.1%, , , , , ,4,2022-07-01
62,Marco Gonzales,SEA,31.1,20.8%,16.7%, ,13.5%,34.3%, ,14.7%, , , , ,4,2022-07-01
63,Yu Darvish,SDP,34.0,18.3%,8.1%,6.0%,12.7%,1.0%,45.4%,8.7%, , , , ,4,2022-07-01
64,Kyle Gibson,PHI,27.1,18.0%,23.1%, ,22.8%,8.0%,18.5%,9.6%, , , , ,4,2022-07-01
65,Chris Bassitt,NYM,25.1,16.4%,12.3%, ,28.5%,6.4%,20.5%,15.9%, , , , ,4,2022-07-01
66,Adam Wainwright,STL,32.1,13.3%,24.0%, ,30.8%,3.8%,0.4%,27.7%, , , , ,4,2022-07-01
67,Johnny Cueto,CHW,34.0,12.5%,6.4%, ,27.1%,24.3%,24.9%,4.8%, , , , ,4,2022-07-01
68,Zach Thompson,PIT,27.0,12.0%,40.9%, ,22.3%,9.5%, ,15.3%, , , , ,4,2022-07-01
69,Patrick Sandoval,LAA,24.2,11.0%, , ,27.2%,29.3%,24.4%,8.2%, , , , ,4,2022-07-01
70,Jose Urena,COL,27.0,7.0%, , ,58.4%,16.0%,18.7%, , , , , ,4,2022-07-01
71,Martin Perez,TEX,31.2,4.8%,20.9%, ,35.6%,34.2%,2.4%,2.0%, , , , ,4,2022-07-01
72,Jordan Montgomery,NYY,29.1,4.6%,2.0%, ,49.5%,18.9%, ,24.9%, , , , ,4,2022-07-01
73,Aaron Ashby,MIL,25.2,4.4%, , ,32.9%,19.8%,29.2%,13.7%, , , , ,4,2022-07-01
74,Logan Webb,SFG,38.1,2.6%, , ,31.4%,33.4%,32.6%, , , , , ,4,2022-07-01
75,Framber Valdez,HOU,33.2,1.6%, , ,50.3%,3.7%,12.4%,32.0%, , , , ,4,2022-07-01
76,Corey Kluber,TBR,32.0,1.0%,32.1%, ,32.7%,7.8%,26.4%, , , , , ,4,2022-07-01
77,Brady Singer,KCR,30.2,0.2%, , ,54.9%,8.1%,36.8%, , , , , ,4,2022-07-01
78,Corbin Burnes,MIL,31.1,0.2%,54.7%, ,7.0%,12.4%,6.9%,18.9%, , , , ,4,2022-07-01
79,Alex Cobb,SFG,36.0,0.2%, ,45.2%,44.0%, , ,10.6%, , , , ,4,2022-07-01
80,Sean Manaea,SDP,25.0, , , ,64.9%,20.8%,14.3%, , , , , ,4,2022-07-01
