#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
61,Humberto Castellanos,ARI,30.1,6.3%, , ,35.4%,11.3%,28.1%,18.9%, , , , ,2,2022-05-01
62,Framber Valdez,HOU,43.0,4.4%, , ,49.8%,11.7%,7.6%,26.5%, , , , ,2,2022-05-01
63,Logan Webb,SFG,31.0,3.6%, , ,33.8%,30.1%,32.5%, , , , , ,2,2022-05-01
64,Alex Cobb,SFG,28.1,0.4%, ,38.9%,43.2%, , ,17.5%, , , , ,2,2022-05-01
65,Corbin Burnes,MIL,39.0,0.2%,52.6%, ,7.3%,6.6%,12.0%,21.4%, , , , ,2,2022-05-01
66,Zach Davies,ARI,30.0, ,9.3%, ,49.1%,33.4%, ,8.2%, , , , ,2,2022-05-01
67,Jakob Junis,SFG,27.0, ,0.3%, ,31.1%,13.9%,54.8%, , , , , ,2,2022-05-01
68,Erick Fedde,WSN,29.0, ,36.2%, ,35.2%,1.2%,27.5%, , , , , ,2,2022-05-01
69,Dane Dunning,TEX,28.1, ,4.9%, ,46.3%,22.5%,26.3%, , , , , ,2,2022-05-01
