#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
61,Kyle Wright,ATL,38.1,25.0%, , ,19.3%,20.2%,4.4%,31.1%, , , , ,3,6
62,German Marquez,COL,34.0,24.2%, , ,29.2%,3.5%,19.8%,23.3%, , , , ,3,6
63,Ranger Suarez,PHI,31.0,22.8%,4.4%, ,41.6%,18.8%,3.3%,9.0%, , , , ,3,6
64,Sandy Alcantara,MIA,47.2,21.0%, , ,25.3%,27.5%,26.2%, , , , , ,3,6
65,Kyle Hendricks,CHC,27.2,20.4%, , ,33.2%,33.4%, ,13.0%, , , , ,3,6
66,Joe Musgrove,SDP,34.0,20.0%,18.6%, ,9.3%,6.0%,23.9%,22.1%, , , , ,3,6
67,Cal Quantrill,CLE,31.0,18.5%,39.4%, ,29.0%,11.1%, ,2.0%, , , , ,3,6
68,Yu Darvish,SDP,35.2,18.5%,4.1%,5.1%,10.2%,2.2%,52.4%,6.9%,0.6%, , , ,3,6
69,Dakota Hudson,STL,35.1,18.2%,32.3%, ,32.3%,4.3%,12.9%, , , , , ,3,6
70,Marco Gonzales,SEA,31.0,17.7%,16.2%, ,20.0%,31.6%, ,14.6%, , , , ,3,6
71,Chris Bassitt,NYM,30.2,12.8%,15.0%, ,34.5%,5.5%,22.3%,9.9%, , , , ,3,6
72,Adrian Houser,MIL,30.0,12.6%, ,8.5%,53.4%, ,14.7%,10.6%, , , ,0.2%,3,6
73,Johnny Cueto,CHW,35.1,12.5%,5.0%, ,25.0%,26.4%,26.8%,4.4%, , , , ,3,6
74,Paul Blackburn,OAK,26.1,9.9%,20.4%, ,35.8%,8.8%,3.3%,21.8%, , , , ,3,6
75,Martin Perez,TEX,30.0,6.9%,27.0%, ,36.4%,26.8%, ,2.8%, , , , ,3,6
76,Jason Alexander,MIL,30.2,5.5%, , ,55.5%,16.0%,23.1%, , , , , ,3,6
77,Adam Wainwright,STL,32.0,4.8%,31.7%, ,29.7%,5.4%, ,28.3%, , , , ,3,6
78,Jordan Montgomery,NYY,32.0,4.4%,13.8%, ,38.5%,24.5%, ,18.8%, , , , ,3,6
79,JT Brubaker,PIT,34.1,3.3%, , ,42.4%,4.4%,33.1%,16.8%, , , , ,3,6
80,Logan Webb,SFG,30.1,3.0%, , ,28.4%,28.6%,40.0%, , , , , ,3,6
81,Chad Kuhl,COL,29.1,2.5%, , ,41.6%,9.3%,36.0%,10.4%,0.2%, , , ,3,6
82,Framber Valdez,HOU,32.0,1.1%, , ,56.2%,8.1%,7.1%,27.6%, , , , ,3,6
83,Corey Kluber,TBR,28.1,1.0%,34.0%, ,28.7%,11.1%,25.2%, , , , , ,3,6
84,Corbin Burnes,MIL,28.2,0.4%,57.1%, ,7.7%,6.8%,12.5%,15.3%, , , ,0.2%,3,6
85,Dane Dunning,TEX,33.2,0.2%,8.7%, ,39.1%,22.5%,29.5%, , , , , ,3,6
86,Zach Davies,ARI,31.2, ,6.0%, ,49.7%,36.7%,1.7%,6.0%, , , , ,3,6
87,Alex Wood,SFG,30.1, , , ,41.9%,23.2%,34.9%, , , , , ,3,6
88,Sean Manaea,SDP,29.0, , , ,64.7%,22.2%,13.1%, , , , , ,3,6
89,Brady Singer,KCR,28.2, , , ,56.6%,8.6%,34.8%, , , , , ,3,6
