#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
31,Luis Garcia,HOU,27.2,40.7%,32.3%, , ,11.2%,9.5%,6.4%, , , , ,3,6
32,Jose Quintana,PIT,30.0,40.6%,0.2%, ,9.9%,21.1%, ,28.2%, , , , ,3,6
33,Jeffrey Springs,TBR,26.2,40.1%, , , ,29.8%,30.1%, , , , , ,3,6
34,Zack Wheeler,PHI,29.2,39.7%, ,2.3%,14.2%,2.3%,27.4%,14.2%, , , , ,3,6
35,Pablo Lopez,MIA,28.2,38.6%,14.2%, ,7.5%,36.9%, ,2.8%, , , , ,3,6
36,Tyler Anderson,LAD,28.1,37.9%,17.1%, ,8.0%,34.0%, ,3.0%, , , , ,3,6
37,Madison Bumgarner,ARI,31.0,35.3%,35.3%, , ,12.3%, ,17.1%, , , , ,3,6
38,Shohei Ohtani,LAA,29.2,35.1%,4.1%,17.4%, , ,32.0%,11.4%, , , , ,3,6
39,Alek Manoah,TOR,38.2,35.0%, , ,30.5%,7.8%,26.7%, , , , , ,3,6
40,Shane Bieber,CLE,37.1,34.0%,10.2%, , ,3.5%,34.0%,18.4%, , , , ,3,6
41,Jordan Lyles,BAL,28.2,33.9%, , ,15.5%,13.8%,24.7%,12.1%, , , , ,3,6
42,Aaron Nola,PHI,43.0,33.8%,5.4%, ,20.0%,14.6%, ,26.2%, , , , ,3,6
43,Merrill Kelly,ARI,30.0,33.5%,11.7%, ,17.8%,22.6%, ,14.4%, , , , ,3,6
44,Rich Hill,BOS,27.0,33.2%,16.4%, ,1.9%,1.2%,7.8%,38.6%,0.7%, , ,0.2%,3,6
45,Carlos Carrasco,NYM,29.2,33.0%, , ,14.0%,21.4%,26.2%,5.4%, , , , ,3,6
46,Shane McClanahan,TBR,33.0,31.2%, , , ,27.8%,15.2%,25.9%, , , , ,3,6
47,Charlie Morton,ATL,30.2,31.1%, , ,14.6%,8.4%,10.8%,35.1%, , , , ,3,6
48,Jameson Taillon,NYY,33.1,31.0%,13.9%, ,11.4%,10.1%,18.5%,15.1%, , , , ,3,6
49,Frankie Montas,OAK,31.0,30.7%, ,21.2%,19.6%, ,28.5%, , , , , ,3,6
50,Ross Stripling,TOR,28.1,30.6%, , ,7.6%,25.0%,27.5%,9.3%, , , , ,3,6
51,Cole Irvin,OAK,35.1,29.8%,1.0%, ,27.9%,23.7%,11.3%,6.3%, , , , ,3,6
52,Jose Berrios,TOR,28.2,29.3%, , ,26.4%,11.5%,32.7%, , , , , ,3,6
53,Robbie Ray,SEA,37.0,28.7%, , ,30.5%,0.9%,35.2%,4.7%, , , , ,3,6
54,Kyle Freeland,COL,33.0,28.4%,22.2%, ,20.4%,14.8%,14.2%, , , , , ,3,6
55,Max Fried,ATL,33.1,28.3%, , ,16.7%,11.8%,25.4%,17.5%, , , ,0.2%,3,6
56,Luis Castillo,CIN,30.1,27.9%, , ,22.0%,25.0%,25.1%, , , , , ,3,6
57,Patrick Corbin,WSN,27.1,26.8%, , ,31.9%,6.1%,35.2%, , , , , ,3,6
58,Tarik Skubal,DET,32.1,26.6%, , ,19.7%,15.5%,31.3%,7.0%, , , , ,3,6
59,Taijuan Walker,NYM,37.2,26.4%,2.4%,32.9%,7.9%, ,23.8%,6.5%, , , , ,3,6
60,Miles Mikolas,STL,34.0,26.1%, , ,23.4%,5.0%,25.0%,20.1%,0.4%, , , ,3,6
