#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
1,Carlos Rodon,SFG,27.0,65.6%, , , , ,29.5%,4.9%, , , , ,2,5
2,Yusei Kikuchi,TOR,26.2,60.0%,0.2%, , ,10.2%,29.5%, , , , , ,2,5
3,Triston McKenzie,CLE,34.0,56.7%, , , , ,19.9%,23.4%, , , , ,2,5
4,Robbie Ray,SEA,30.1,54.0%, , , , ,45.2%,0.8%, , , , ,2,5
5,Logan Gilbert,SEA,36.2,53.1%, , , ,8.5%,27.1%,11.2%, , , , ,2,5
6,Tyler Mahle,CIN,31.1,50.7%,13.9%,26.5%, , ,8.3%,0.7%, , , , ,2,5
7,Kevin Gausman,TOR,36.1,50.5%, ,40.3%, , ,9.0%, , , , ,0.2%,2,5
8,Nick Pivetta,BOS,38.1,49.9%, ,3.8%, , ,16.9%,29.3%, , , , ,2,5
9,Ian Anderson,ATL,28.1,48.9%, , , ,28.0%, ,23.2%, , , , ,2,5
10,Gerrit Cole,NYY,33.2,48.4%,11.9%, , ,7.6%,25.2%,6.9%, , , , ,2,5
11,Dylan Cease,CHW,31.2,48.1%, ,5.0%, , ,32.0%,14.9%, , , , ,2,5
12,Lucas Giolito,CHW,28.1,47.7%, , , ,24.0%,24.2%,4.1%, , , , ,2,5
13,Justin Verlander,HOU,31.2,47.5%, , , ,2.2%,32.2%,18.1%, , , , ,2,5
14,Luis Severino,NYY,29.0,46.7%,4.6%, , ,26.3%,22.4%, , , , , ,2,5
15,Carlos Carrasco,NYM,30.0,46.3%, , ,5.1%,23.8%,20.1%,4.7%, , , , ,2,5
16,Zach Plesac,CLE,28.0,46.0%, , , ,21.2%,23.9%,8.8%, , , , ,2,5
17,Zac Gallen,ARI,35.1,45.4%,11.9%, ,0.2%,20.1%,5.8%,16.6%, , , , ,2,5
18,Josiah Gray,WSN,31.1,44.4%, , ,1.5%,2.4%,30.5%,21.2%, , , , ,2,5
19,Nathan Eovaldi,BOS,28.2,42.1%,7.4%,19.9%, , ,14.5%,16.1%, , , , ,2,5
20,Julio Urias,LAD,35.0,41.5%, , , ,20.8%, ,37.5%, , , ,0.2%,2,5
21,Shane McClanahan,TBR,31.1,40.9%, , , ,20.3%,14.9%,23.9%, , , , ,2,5
22,Zack Wheeler,PHI,32.2,40.6%, ,0.4%,16.6%,0.2%,32.7%,9.6%, , , , ,2,5
23,Alek Manoah,TOR,31.0,40.5%, , ,17.8%,10.9%,30.7%, , , , , ,2,5
24,Nestor Cortes,NYY,32.1,40.5%,40.3%, , ,3.8%,15.4%, , , , , ,2,5
25,Tyler Wells,BAL,30.2,38.5%, , , ,20.1%,35.4%,6.0%, , , , ,2,5
26,Shane Bieber,CLE,24.1,38.2%,1.3%, , ,4.2%,39.2%,17.1%, , , , ,2,5
27,Pablo Lopez,MIA,35.2,35.5%,14.8%, ,7.7%,38.0%, ,3.9%, , , , ,2,5
28,Charlie Morton,ATL,31.1,34.8%, , ,9.0%,11.0%,9.9%,35.2%, , , , ,2,5
29,Drew Rasmussen,TBR,28.2,34.1%,33.1%, , , ,30.8%,2.0%, , , , ,2,5
30,Kyle Hendricks,CHC,29.0,33.8%, , ,24.1%,28.8%, ,13.3%, , , , ,2,5
