#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
31,Cole Irvin,OAK,38.1,40.4%, , ,24.6%,12.4%,12.7%,9.9%, , , , ,5,8
32,Jameson Taillon,NYY,31.2,39.6%,7.4%, ,12.1%,7.6%,17.9%,15.4%, , , , ,5,8
33,Jose Quintana,STL,29.1,39.5%, , ,23.2%,10.4%, ,26.9%, , , , ,5,8
34,George Kirby,SEA,29.1,39.4%, , ,23.0%,6.9%,15.2%,15.2%, , , ,0.2%,5,8
35,Tyler Anderson,LAD,37.1,39.3%,24.5%, ,5.6%,30.4%, ,0.2%, , , , ,5,8
36,Mike Minor,CIN,33.0,38.1%, , ,0.7%,24.6%,22.2%,14.4%, , , , ,5,8
37,Spenser Watkins,BAL,30.2,37.9%,32.2%, , ,2.4%,17.5%,10.1%, , , , ,5,8
38,Austin Voth,BAL,28.0,37.6%,22.7%, , ,0.7%,6.8%,32.2%, , , , ,5,8
39,Kutter Crawford,BOS,29.2,36.7%,30.3%,7.1%, , ,6.9%,18.9%, , , , ,5,8
40,Alek Manoah,TOR,29.2,35.3%, , ,26.5%,8.8%,29.4%, , , , , ,5,8
41,Ryan Feltner,COL,30.0,34.9%, , ,19.5%,8.7%,25.1%,11.8%, , , , ,5,8
42,Miles Mikolas,STL,36.0,34.1%, , ,17.5%,2.1%,24.0%,22.1%,0.2%, , , ,5,8
43,Jordan Lyles,BAL,34.0,33.6%, , ,16.9%,5.2%,29.0%,15.3%, , , , ,5,8
44,Charlie Morton,ATL,30.1,33.5%, , ,8.9%,5.8%,9.7%,42.1%, , , , ,5,8
45,Aaron Nola,PHI,32.0,32.8%,8.8%, ,16.8%,14.1%, ,27.4%, , , , ,5,8
46,Jordan Montgomery,STL,30.2,31.8%, , ,29.9%,18.8%, ,19.5%, , , , ,5,8
47,Shane Bieber,CLE,33.1,31.7%,18.9%, , ,1.9%,29.6%,17.9%, , , , ,5,8
48,Dean Kremer,BAL,32.0,30.4%,31.8%, ,10.1%,13.5%, ,14.2%, , , , ,5,8
49,Merrill Kelly,ARI,32.1,30.4%,10.8%, ,31.4%,16.0%, ,11.4%, , , , ,5,8
50,Luis Castillo,SEA,31.2,30.2%, , ,30.8%,20.4%,18.5%, , , , , ,5,8
51,Robbie Ray,SEA,33.0,29.0%, , ,31.1%, ,38.9%,1.0%, , , , ,5,8
52,Domingo German,NYY,34.2,28.9%, , ,11.8%,23.3%, ,35.9%, , , , ,5,8
53,German Marquez,COL,31.0,28.1%, , ,28.7%,1.4%,16.2%,25.5%, , , , ,5,8
54,Joe Musgrove,SDP,34.0,27.8%,22.2%, ,6.6%,4.5%,19.5%,19.3%, , , ,0.2%,5,8
55,Sandy Alcantara,MIA,36.1,25.4%, , ,26.4%,24.8%,23.4%, , , , , ,5,8
56,Nick Lodolo,CIN,28.2,25.3%, , ,34.4%,7.3%, ,33.1%, , , , ,5,8
57,Tyler Alexander,DET,30.2,25.2%,28.8%, ,15.1%,18.0%,12.9%, , , , , ,5,8
58,Marco Gonzales,SEA,33.2,24.5%,22.3%, ,9.9%,25.8%, ,17.5%, , , , ,5,8
59,Johnny Cueto,CHW,35.2,24.0%,8.9%, ,23.8%,20.6%,18.0%,4.8%, , , , ,5,8
60,Jesus Luzardo,MIA,36.1,22.8%, , ,21.1%,29.7%,26.4%, , , , , ,5,8
