#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
1,Ken Waldichuk,OAK,34.2,56.5%, , , ,14.5%,21.2%,7.8%, , , , ,6,2022-09-01
2,Blake Snell,SDP,35.0,55.8%, , , ,4.4%,29.6%,10.2%, , , , ,6,2022-09-01
3,Nick Pivetta,BOS,32.1,55.6%, ,2.2%, , ,16.1%,26.1%, , , , ,6,2022-09-01
4,Triston McKenzie,CLE,38.2,52.0%, , , , ,25.9%,22.1%, , , , ,6,2022-09-01
5,Logan Gilbert,SEA,36.0,51.9%, , ,6.7%,6.5%,30.3%,4.6%, , , , ,6,2022-09-01
6,Gerrit Cole,NYY,36.0,50.3%, , , ,6.6%,27.6%,15.5%, , , , ,6,2022-09-01
7,Zac Gallen,ARI,38.1,49.9%,14.5%, , ,6.1%, ,29.5%, , , , ,6,2022-09-01
8,Julio Urias,LAD,35.1,49.3%, , , ,14.7%, ,35.9%, , , , ,6,2022-09-01
9,Lucas Giolito,CHW,33.2,49.0%, , , ,27.5%,19.4%,4.1%, , , , ,6,2022-09-01
10,Kevin Gausman,TOR,34.1,48.0%, ,32.3%, , ,19.7%, , , , , ,6,2022-09-01
11,Jon Heasley,KCR,33.1,48.0%, , , ,21.6%,13.3%,17.1%, , , , ,6,2022-09-01
12,Lance Lynn,CHW,37.1,47.8%,31.4%, ,8.7%,2.2%,9.6%,0.3%, , , , ,6,2022-09-01
13,Clayton Kershaw,LAD,41.0,44.0%, , , , ,39.0%,17.0%, , , , ,6,2022-09-01
14,Pablo Lopez,MIA,34.0,42.2%,4.1%, ,7.8%,34.3%, ,11.7%, , , , ,6,2022-09-01
15,Dylan Cease,CHW,37.0,40.6%, ,0.5%, , ,45.2%,13.7%, , , , ,6,2022-09-01
16,Robbie Ray,SEA,33.1,39.8%, , ,24.5%,1.8%,33.4%,0.5%, , , , ,6,2022-09-01
17,Jeffrey Springs,TBR,34.1,38.9%, , , ,38.7%,22.5%, , , , , ,6,2022-09-01
18,Jameson Taillon,NYY,36.2,37.5%,5.8%, ,11.1%,6.3%,22.5%,16.7%, , , , ,6,2022-09-01
19,Brandon Woodruff,MIL,44.2,37.5%, , ,19.3%,17.4%,15.3%,10.5%, , , , ,6,2022-09-01
20,Miles Mikolas,STL,34.0,37.4%, , ,17.9%,1.3%,19.2%,23.6%,0.6%, , , ,6,2022-09-01
21,Luis Castillo,SEA,33.2,36.6%,1.3%, ,23.3%,14.8%,24.0%, , , , , ,6,2022-09-01
22,Shane Bieber,CLE,48.0,35.1%,23.6%, , ,0.8%,22.7%,17.9%, , , , ,6,2022-09-01
23,Jose Quintana,STL,33.1,35.1%, , ,17.2%,14.8%, ,32.9%, , , , ,6,2022-09-01
24,Michael Wacha,BOS,32.1,33.9%,20.9%, ,7.2%,30.9%, ,7.0%, , , , ,6,2022-09-01
25,Rich Hill,BOS,34.2,33.7%,21.1%, ,2.2%,2.6%,10.9%,29.4%, , , , ,6,2022-09-01
26,Mitch Keller,PIT,35.0,33.0%, , ,22.1%,1.8%,23.9%,19.3%, , , , ,6,2022-09-01
27,Cole Irvin,OAK,33.1,32.9%, , ,21.9%,18.3%,21.3%,5.7%, , , , ,6,2022-09-01
28,Alek Manoah,TOR,41.0,32.4%, , ,33.6%,11.5%,22.5%, , , , , ,6,2022-09-01
29,Yu Darvish,SDP,39.0,32.3%,6.7%,4.8%,5.3%,1.7%,41.4%,6.8%,1.0%, , , ,6,2022-09-01
30,Charlie Morton,ATL,31.2,32.1%, , ,13.6%,10.6%,5.1%,38.5%, , , , ,6,2022-09-01
