#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
1,Spencer Strider,ATL,26.2,68.3%, , , ,6.3%,25.5%, , , , , ,4,2022-07-01
2,Carlos Rodon,SFG,37.0,62.0%, , , ,3.2%,29.4%,5.5%, , , , ,4,2022-07-01
3,Jose Urquidy,HOU,33.0,59.4%, , , ,14.5%,12.0%,14.1%, , , , ,4,2022-07-01
4,Joe Ryan,MIN,26.2,56.2%, , , ,18.3%,17.6%,7.9%, , , , ,4,2022-07-01
5,Blake Snell,SDP,25.2,55.3%, , , ,3.9%,20.5%,20.3%, , , , ,4,2022-07-01
6,Triston McKenzie,CLE,33.2,53.6%, , , , ,25.5%,20.9%, , , , ,4,2022-07-01
7,Kris Bubic,KCR,35.2,53.1%, , , ,25.5%, ,21.4%, , , , ,4,2022-07-01
8,Gerrit Cole,NYY,38.0,52.1%,1.9%, , ,10.0%,25.8%,10.2%, , , , ,4,2022-07-01
9,Julio Urias,LAD,28.0,52.0%, , , ,17.2%, ,30.8%, , , , ,4,2022-07-01
10,James Kaprielian,OAK,28.0,51.5%, , ,1.7%,9.5%,21.7%,15.6%, , , , ,4,2022-07-01
11,Zac Gallen,ARI,29.2,51.5%,12.0%, , ,15.8%,1.1%,19.7%, , , , ,4,2022-07-01
12,Logan Gilbert,SEA,28.1,50.4%, , , ,7.2%,24.4%,18.0%, , , , ,4,2022-07-01
13,Eric Lauer,MIL,27.1,50.1%,25.6%, , ,4.4%,3.2%,16.7%, , , , ,4,2022-07-01
14,Jake Odorizzi,HOU,28.1,49.3%,19.0%,13.1%,0.9%, ,11.9%,5.8%, , , , ,4,2022-07-01
15,Nestor Cortes,NYY,27.2,48.5%,24.1%, , ,5.7%,21.1%,0.5%, , , , ,4,2022-07-01
16,Dylan Bundy,MIN,24.1,47.1%, ,22.0%, , ,23.5%,7.4%, , , , ,4,2022-07-01
17,Max Scherzer,NYM,32.1,46.4%,6.0%, , ,10.9%,28.3%,8.4%, , , , ,4,2022-07-01
18,Jordan Lyles,BAL,32.2,46.2%, , ,8.4%,9.5%,24.0%,11.9%, , , , ,4,2022-07-01
19,Luis Castillo,CIN,28.0,46.0%, , ,12.2%,22.8%,18.9%, , , , , ,4,2022-07-01
20,Cole Irvin,OAK,34.0,45.3%, , ,19.2%,15.3%,9.9%,10.3%, , , , ,4,2022-07-01
21,Aaron Nola,PHI,35.0,45.1%,1.8%, ,7.8%,18.9%, ,26.4%, , , , ,4,2022-07-01
22,Tyler Anderson,LAD,32.1,44.6%,16.8%, ,4.7%,33.0%, ,0.9%, , , , ,4,2022-07-01
23,Zack Wheeler,PHI,32.2,43.9%, ,0.2%,16.8%,0.6%,25.9%,12.6%, , , , ,4,2022-07-01
24,Reid Detmers,LAA,24.0,43.8%, , , ,9.4%,31.2%,15.5%, , , , ,4,2022-07-01
25,Jon Gray,TEX,30.1,43.4%, , , ,10.2%,42.4%,3.9%, , , , ,4,2022-07-01
26,Lance Lynn,CHW,31.2,43.2%,29.6%, ,15.6%,6.1%,0.5%,5.0%, , , , ,4,2022-07-01
27,Lucas Giolito,CHW,27.0,42.9%, , , ,28.1%,28.4%,0.7%, , , , ,4,2022-07-01
28,Tyler Wells,BAL,25.0,42.5%, , , ,17.5%,34.2%,5.8%, , , , ,4,2022-07-01
29,Josiah Gray,WSN,26.2,42.0%, , , ,2.1%,27.7%,28.3%, , , , ,4,2022-07-01
30,Brad Keller,KCR,28.2,41.7%, , ,17.6%,2.2%,38.5%, , , , , ,4,2022-07-01
