#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,Year,YearDate
682,Javy Guerra,- - -,18.0,15.5%, , ,55.2%, ,29.4%, , , , , ,2022.0,2022-01-01
683,Zach Eflin,PHI,75.2,15.4%,13.9%, ,40.0%,6.0%,4.5%,20.1%, , , , ,2022.0,2022-01-01
684,Michael Fulmer,- - -,63.2,15.2%, , ,13.1%,6.0%,63.5%,2.1%, , , , ,2022.0,2022-01-01
685,Clarke Schmidt,NYY,57.2,15.2%, , ,23.6%,4.9%,38.0%,18.3%, , , , ,2022.0,2022-01-01
686,Cal Quantrill,CLE,186.1,15.1%,36.1%, ,32.8%,11.9%, ,4.2%, , , , ,2022.0,2022-01-01
687,Greg Weissert,NYY,11.1,15.1%, , ,38.2%,10.2%,36.6%, , , , , ,2022.0,2022-01-01
688,Noah Syndergaard,- - -,134.2,14.9%, , ,32.4%,19.6%,22.4%,10.8%, , , , ,2022.0,2022-01-01
689,Wade Miley,CHC,37.0,14.7%,42.4%, ,2.3%,31.3%,6.5%,2.8%, , , , ,2022.0,2022-01-01
690,Jerad Eickhoff,PIT,4.1,14.5%, ,8.4%,8.4%, ,44.6%,24.1%, , , , ,2022.0,2022-01-01
691,Tucker Barnhart,DET,1.0,14.3%, , , ,85.7%, , , , , , ,2022.0,2022-01-01
692,Tommy Nance,MIA,43.2,14.2%, , ,28.1%, ,18.2%,39.4%, , , , ,2022.0,2022-01-01
693,Giovanny Gallegos,STL,59.0,14.2%, , ,33.8%,4.9%,47.2%, , , , , ,2022.0,2022-01-01
694,Junior Fernandez,- - -,18.2,13.8%, , ,40.8%,10.5%,34.8%, , , , , ,2022.0,2022-01-01
695,Tayler Scott,SDP,12.0,13.7%, , ,28.2%,1.6%,56.5%, , , , , ,2022.0,2022-01-01
696,Ralph Garza,TBR,35.0,13.6%,8.9%, ,34.0%,18.1%,23.0%,2.3%, , , , ,2022.0,2022-01-01
697,Felix Bautista,BAL,65.2,13.5%, ,26.4%,47.8%, , ,12.3%, , , , ,2022.0,2022-01-01
698,Kirby Snead,OAK,44.2,13.3%, , ,42.3%,6.9%,37.4%, , , , , ,2022.0,2022-01-01
699,Yohan Ramirez,- - -,37.1,13.2%, , ,54.5%, ,32.4%, , , , , ,2022.0,2022-01-01
700,Josh Winckowski,BOS,70.1,12.9%,10.1%, ,38.7%,9.5%,28.8%, , , , , ,2022.0,2022-01-01
701,Chris Bassitt,NYM,181.2,12.8%,17.8%, ,33.6%,5.9%,16.1%,13.9%, , , , ,2022.0,2022-01-01
702,Cesar Valdez,LAA,1.0,12.5%, , , ,81.3%,6.3%, , , , , ,2022.0,2022-01-01
703,Jace Peterson,MIL,1.0,12.5%, , , , ,87.5%, , , , , ,2022.0,2022-01-01
704,Noah Davis,COL,1.0,12.5%, , ,25.0%,3.1%,53.1%,6.3%, , , , ,2022.0,2022-01-01
705,Kendall Graveman,CHW,65.0,12.5%, , ,42.6%,13.6%,28.0%,3.3%, , , , ,2022.0,2022-01-01
706,Daniel Castano,MIA,35.2,12.3%,40.2%, ,6.8%,12.3%,28.4%, , , , , ,2022.0,2022-01-01
707,Adam Ottavino,NYM,65.2,12.2%,5.4%, ,32.6%,7.2%,42.7%, , , , , ,2022.0,2022-01-01
708,Justus Sheffield,SEA,11.2,11.7%, , ,35.2%,17.9%,35.2%, , , , , ,2022.0,2022-01-01
709,Kyle Gibson,PHI,167.2,11.7%,21.8%, ,28.2%,10.7%,21.0%,6.6%, , , , ,2022.0,2022-01-01
710,Daulton Jefferies,OAK,39.1,11.6%,21.8%, ,33.4%,19.5%,13.6%, , , , ,0.2%,2022.0,2022-01-01
711,Jake Cousins,MIL,13.1,11.6%, , ,31.5%,0.7%,56.2%, , , , , ,2022.0,2022-01-01
712,Blake Treinen,LAD,5.0,11.6%,29.0%, ,31.9%, ,27.5%, , , , , ,2022.0,2022-01-01
713,Anthony DeSclafani,SFG,19.0,11.2%, , ,31.3%,5.8%,38.9%,12.8%, , , , ,2022.0,2022-01-01
714,Paul Blackburn,OAK,111.1,11.2%,19.5%,0.1%,34.6%,12.3%,4.5%,17.8%, , , , ,2022.0,2022-01-01
715,Victor Arano,WSN,42.0,11.2%, , ,41.9%, ,46.9%, , , , , ,2022.0,2022-01-01
716,Yency Almonte,LAD,35.1,11.2%, , ,34.8%,6.2%,47.9%, , , , , ,2022.0,2022-01-01
717,Pablo Reyes,MIL,1.0,11.1%, , , ,88.9%, , , , , , ,2022.0,2022-01-01
718,Humberto Castellanos,ARI,44.1,11.1%, , ,32.0%,10.4%,25.3%,21.3%, , , , ,2022.0,2022-01-01
719,Brusdar Graterol,LAD,49.2,10.9%,29.5%, ,42.3%, ,17.4%, , , , , ,2022.0,2022-01-01
720,Michael A. Taylor,KCR,2.0,10.8%, , , ,89.2%, , , , , , ,2022.0,2022-01-01
721,Scott Effross,- - -,56.2,10.8%, , ,34.2%,14.6%,40.2%, , , , ,0.1%,2022.0,2022-01-01
722,Duane Underwood Jr.,PIT,57.1,10.6%,27.9%, ,26.1%,22.0%, ,13.5%, , , , ,2022.0,2022-01-01
723,Anthony Bass,- - -,70.1,10.5%, ,3.6%,30.1%, ,55.8%, , , , , ,2022.0,2022-01-01
724,Ryan Thompson,TBR,42.2,10.5%,1.2%,1.6%,47.7%, ,39.0%, , , , , ,2022.0,2022-01-01
725,JC Mejia,MIL,2.1,10.2%, , ,54.2%, ,32.2%,3.4%, , , , ,2022.0,2022-01-01
726,Jorge Alcala,MIN,2.1,10.0%, , ,27.5%,7.5%,55.0%, , , , , ,2022.0,2022-01-01
727,A.J. Ladwig,MIA,3.1,9.8%, , ,36.6%,22.0%,26.8%,4.9%, , , , ,2022.0,2022-01-01
728,Bryce Elder,ATL,54.0,9.7%,8.8%, ,42.8%,12.0%,26.6%, , , , , ,2022.0,2022-01-01
729,Brett Martin,TEX,50.0,9.6%, , ,35.7%, ,18.1%,36.5%, , , , ,2022.0,2022-01-01
730,Jhoulys Chacin,COL,47.1,9.2%,27.7%, ,35.4%,2.5%,19.5%,5.7%, , , , ,2022.0,2022-01-01
731,Aaron Civale,CLE,97.0,9.1%,34.2%,1.3%,21.7%,2.3%,3.7%,27.5%, , , ,0.1%,2022.0,2022-01-01
732,Jake Lemoine,OAK,16.1,8.7%, ,7.4%,59.1%, ,24.8%, , , , , ,2022.0,2022-01-01
733,Adam Wainwright,STL,191.2,8.6%,25.6%, ,27.9%,6.0%,0.1%,31.8%, , , , ,2022.0,2022-01-01
734,Touki Toussaint,LAA,25.1,8.6%, ,20.2%,38.3%, , ,32.9%, , , , ,2022.0,2022-01-01
735,Jordan Holloway,MIA,2.2,8.3%, , ,14.6%, ,62.5%,14.6%, , , , ,2022.0,2022-01-01
736,Andrelton Simmons,CHC,1.0,8.0%, , , ,92.0%, , , , , , ,2022.0,2022-01-01
737,Jason Foley,DET,60.1,7.7%, , ,61.9%,6.9%,23.5%, , , , , ,2022.0,2022-01-01
738,Yu Chang,TBR,2.0,7.7%, , , ,92.3%, , , , , , ,2022.0,2022-01-01
739,Marcus Stroman,CHC,138.2,7.6%,11.4%, ,40.2%,11.8%,28.2%,0.7%, , , , ,2022.0,2022-01-01
740,Tyler Danish,BOS,40.1,7.5%,0.6%, ,36.4%,14.8%,40.5%,0.2%, , , , ,2022.0,2022-01-01
741,Dennis Santana,TEX,58.2,7.3%, , ,39.3%,13.0%,40.5%, , , , , ,2022.0,2022-01-01
742,Derek Law,- - -,19.2,7.1%,50.6%, ,14.8%,4.3%,11.1%,12.2%, , , , ,2022.0,2022-01-01
743,Jandel Gustave,MIL,28.0,7.1%, , ,56.4%, ,36.5%, , , , , ,2022.0,2022-01-01
744,Matt Wisler,TBR,44.0,7.1%, , ,1.3%,0.1%,91.5%, , , , , ,2022.0,2022-01-01
745,Martin Perez,TEX,196.1,6.5%,24.1%, ,36.9%,27.7%,1.4%,3.5%, , , , ,2022.0,2022-01-01
746,Jose Urena,- - -,97.0,6.4%, , ,53.1%,15.9%,24.5%, , , , , ,2022.0,2022-01-01
747,Cam Alldred,PIT,1.0,6.3%, , ,43.8%,12.5%,37.5%, , , , , ,2022.0,2022-01-01
748,Joely Rodriguez,NYM,50.1,6.1%, , ,49.3%,38.7%,5.9%, , , , , ,2022.0,2022-01-01
749,JT Brubaker,PIT,144.0,5.9%, , ,41.9%,5.1%,31.0%,16.0%, , , ,0.1%,2022.0,2022-01-01
750,Adam Kolarek,OAK,17.2,5.6%, , ,61.1%,16.9%,16.3%, , , , , ,2022.0,2022-01-01
751,Zack Britton,NYY,0.2,5.6%, , ,75.0%, ,19.4%, , , , , ,2022.0,2022-01-01
752,Diego Castillo,SEA,54.1,5.5%, , ,31.2%, ,63.3%, , , , , ,2022.0,2022-01-01
753,Dallas Keuchel,- - -,60.2,5.4%,16.4%, ,44.4%,26.1%,7.6%, , , , , ,2022.0,2022-01-01
754,Richard Bleier,MIA,50.2,5.2%,23.2%, ,48.7%,6.9%,16.0%, , , , , ,2022.0,2022-01-01
755,Jorge Lopez,- - -,71.0,4.8%, , ,50.1%,15.6%,10.7%,18.8%, , , ,0.1%,2022.0,2022-01-01
756,Tommy Hunter,NYM,22.1,4.6%,46.1%, ,35.0%,0.3%, ,14.0%, , , , ,2022.0,2022-01-01
757,Erasmo Ramirez,WSN,86.1,4.5%,45.9%, ,39.4%,3.4%,0.2%,6.6%, , , , ,2022.0,2022-01-01
758,Chris Mazza,TBR,5.1,4.4%,33.6%, ,25.5%,5.1%,31.4%, , , , , ,2022.0,2022-01-01
759,Kyle Crick,CHW,15.2,4.3%, , ,38.4%, ,57.3%, , , , , ,2022.0,2022-01-01
760,Jesus Tinoco,TEX,20.2,4.3%, , ,43.7%,0.9%,43.1%,8.0%, , , , ,2022.0,2022-01-01
761,Jason Alexander,MIL,71.2,4.2%, , ,56.9%,15.8%,23.1%, , , , , ,2022.0,2022-01-01
762,Tayler Saucedo,TOR,2.2,4.2%, , ,43.8%,10.4%,33.3%,8.3%, , , , ,2022.0,2022-01-01
763,Jose Alvarez,SFG,15.1,4.0%, , ,50.9%,35.2%,9.9%, , , , , ,2022.0,2022-01-01
764,James Naile,STL,9.0,4.0%,12.7%, ,50.0%,7.9%, ,25.4%, , , , ,2022.0,2022-01-01
765,Alex Young,- - -,26.2,3.8%,0.7%, ,23.6%,32.1%,24.5%,15.3%, , , , ,2022.0,2022-01-01
766,Chad Kuhl,COL,137.0,3.7%, , ,41.3%,6.9%,36.6%,11.5%,0.0%, , , ,2022.0,2022-01-01
767,Sergio Romo,- - -,18.0,3.6%, , ,32.8%,13.1%,50.4%, , , , , ,2022.0,2022-01-01
768,Mark Appel,PHI,10.1,3.4%, ,4.7%,71.8%, ,20.1%, , , , , ,2022.0,2022-01-01
769,Kohei Arihara,TEX,20.0,3.3%,25.4%,11.8%,24.6%,20.3%,14.4%,0.3%, , , , ,2022.0,2022-01-01
770,Logan Webb,SFG,192.1,3.1%,0.1%, ,33.1%,31.0%,32.7%, , , , , ,2022.0,2022-01-01
771,Jimmy Herget,LAA,69.0,3.0%, , ,28.3%,7.3%,34.3%,27.0%, , , , ,2022.0,2022-01-01
772,Mark Melancon,ARI,56.0,2.9%,62.5%,2.4%,0.2%, ,1.8%,30.1%, , , , ,2022.0,2022-01-01
773,Yennier Cano,- - -,18.0,2.8%, , ,39.8%,30.2%,27.2%, , , , , ,2022.0,2022-01-01
774,Colin Holderman,- - -,28.1,2.8%, , ,47.1%,1.2%,48.7%, , , , ,0.2%,2022.0,2022-01-01
775,Oliver Perez,ARI,4.0,2.7%, , ,60.3%, ,37.0%, , , , , ,2022.0,2022-01-01
776,Daniel Bard,COL,60.1,2.5%,0.9%, ,51.6%,2.5%,42.6%, , , , , ,2022.0,2022-01-01
777,Aaron Ashby,MIL,107.1,2.4%, , ,34.9%,20.7%,29.2%,12.7%, , , , ,2022.0,2022-01-01
778,JT Chargois,TBR,22.1,2.4%, , ,59.3%, ,38.3%, , , , , ,2022.0,2022-01-01
779,Tyler Rogers,SFG,75.2,2.2%, , ,51.7%, ,46.1%, , , , , ,2022.0,2022-01-01
780,Easton McGee,TBR,3.0,2.2%,13.0%, ,32.6%,6.5%,41.3%,4.3%, , , , ,2022.0,2022-01-01
781,Framber Valdez,HOU,201.1,2.1%, , ,50.9%,8.6%,10.4%,27.9%, , , , ,2022.0,2022-01-01
782,Jonathan Loaisiga,NYY,48.0,2.1%, , ,62.3%,15.3%,20.1%,0.3%, , , , ,2022.0,2022-01-01
783,Yonny Chirinos,TBR,7.0,2.0%, ,17.0%,57.0%, ,24.0%, , , , , ,2022.0,2022-01-01
784,Luis Garcia,SDP,61.0,2.0%, ,12.8%,53.1%, ,32.1%, , , , , ,2022.0,2022-01-01
785,Mason Thompson,WSN,24.2,1.9%, , ,72.6%,1.4%,24.1%, , , , , ,2022.0,2022-01-01
786,Alex Lange,DET,63.1,1.9%, , ,29.8%,19.5%, ,48.8%, , , , ,2022.0,2022-01-01
787,Bryan Hoeing,MIA,12.2,1.9%, , ,70.4%,9.0%,18.7%, , , , , ,2022.0,2022-01-01
788,Wandy Peralta,NYY,56.1,1.8%, , ,40.0%,42.5%,15.6%, , , , ,0.1%,2022.0,2022-01-01
789,Jose Alvarado,PHI,51.0,1.8%,42.6%, ,54.4%, , ,1.2%, , , , ,2022.0,2022-01-01
790,Lance McCullers Jr.,HOU,47.2,1.7%,5.9%, ,22.8%,17.4%,27.1%,25.0%, , , , ,2022.0,2022-01-01
791,Anthony Bender,MIA,19.1,1.5%, , ,59.9%,5.5%,33.2%, , , , , ,2022.0,2022-01-01
792,Robert Gsellman,CHC,15.1,1.4%, , ,55.1%,11.6%,28.5%,3.4%, , , , ,2022.0,2022-01-01
793,Joe Mantiply,ARI,60.0,1.3%, , ,42.5%,26.0%,30.2%, , , , , ,2022.0,2022-01-01
794,Corey Kluber,TBR,164.0,1.2%,34.5%, ,27.1%,10.2%,27.0%, , , , ,0.0%,2022.0,2022-01-01
795,Yerry De Los Santos,PIT,25.2,1.1%, , ,59.0%, ,39.9%, , , , , ,2022.0,2022-01-01
796,Jakob Junis,SFG,112.0,0.8%,0.1%, ,31.8%,15.9%,51.4%, , , , , ,2022.0,2022-01-01
797,Mauricio Llovera,SFG,16.1,0.7%, , ,43.8%, ,55.6%, , , , , ,2022.0,2022-01-01
798,Jake Reed,- - -,16.2,0.7%,6.2%, ,46.9%,2.3%,44.0%, , , , , ,2022.0,2022-01-01
799,Collin McHugh,ATL,69.1,0.6%,47.5%, ,0.2%, ,48.3%,2.4%,1.0%, , , ,2022.0,2022-01-01
800,Brooks Raley,TBR,53.2,0.6%,19.1%, ,22.6%,19.4%,38.1%,0.1%, , , ,0.1%,2022.0,2022-01-01
801,Joe Kelly,CHW,37.0,0.6%, , ,39.0%,8.5%,15.5%,36.4%, , , , ,2022.0,2022-01-01
802,Jesse Chavez,- - -,69.1,0.5%,58.2%, ,26.7%,12.9%, ,1.7%, , , , ,2022.0,2022-01-01
803,Andrew Kittredge,TBR,20.0,0.4%,13.7%, ,45.5%, ,40.3%, , , , , ,2022.0,2022-01-01
804,Garrett Whitlock,BOS,78.1,0.4%, , ,61.7%,19.8%,18.0%, , , , , ,2022.0,2022-01-01
805,Sean Hjelle,SFG,25.0,0.4%, , ,54.6%,6.5%,38.4%, , , , , ,2022.0,2022-01-01
806,T.J. Zeuch,CIN,10.2,0.4%,16.0%, ,43.6%,12.4%,27.6%, , , , , ,2022.0,2022-01-01
807,Corbin Burnes,MIL,202.0,0.4%,55.7%, ,6.6%,9.9%,9.1%,18.4%, , , ,0.0%,2022.0,2022-01-01
808,Josh Fleming,TBR,35.0,0.3%,15.3%, ,54.5%,19.0%, ,10.9%, , , , ,2022.0,2022-01-01
809,Justin Bruihl,LAD,23.2,0.3%,64.2%, ,15.5%, ,19.9%, , , , , ,2022.0,2022-01-01
810,Hoby Milner,MIL,64.2,0.3%, , ,46.7%,20.3%, ,32.7%, , , , ,2022.0,2022-01-01
811,Alex Cobb,SFG,149.2,0.2%, ,42.0%,42.5%, , ,15.3%, , , , ,2022.0,2022-01-01
812,Jonathan Hernandez,TEX,30.1,0.2%, , ,43.1%,20.5%,36.2%, , , , , ,2022.0,2022-01-01
813,Jose Cuas,KCR,37.2,0.1%, , ,62.1%,1.6%,36.1%, , , , , ,2022.0,2022-01-01
814,Tim Mayza,TOR,48.2,0.1%, , ,82.5%, ,17.4%, , , , , ,2022.0,2022-01-01
815,Clay Holmes,NYY,63.2,0.1%, , ,79.7%, ,19.7%, , , , ,0.5%,2022.0,2022-01-01
816,Jordan Hicks,STL,61.1,0.1%, ,0.1%,65.7%,2.6%,28.4%,3.1%, , , , ,2022.0,2022-01-01
817,Taylor Rogers,- - -,64.1,0.1%, , ,42.9%, ,57.1%, , , , , ,2022.0,2022-01-01
818,Brady Singer,KCR,153.1,0.1%, , ,54.3%,7.7%,38.0%, , , , , ,2022.0,2022-01-01
819,Alex Wood,SFG,130.2,0.0%, , ,45.5%,18.5%,36.0%, , , , , ,2022.0,2022-01-01
820,Dane Dunning,TEX,153.1,0.0%,12.0%, ,40.0%,20.1%,27.9%, , , , , ,2022.0,2022-01-01
821,Kenley Jansen,ATL,64.0, ,64.4%, ,22.5%, ,13.1%, , , , , ,2022.0,2022-01-01
822,T.J. McFarland,STL,32.2, , , ,62.8%,22.0%,15.2%, , , , , ,2022.0,2022-01-01
823,Craig Stammen,SDP,40.2, ,22.3%, ,55.1%,2.0%,12.0%,8.7%, , , , ,2022.0,2022-01-01
824,David Robertson,- - -,63.2, ,51.2%, , , ,21.6%,27.3%, , , , ,2022.0,2022-01-01
825,Lucas Luetge,NYY,57.1, ,54.6%, , , ,31.2%,14.2%, , , , ,2022.0,2022-01-01
826,Ryan Weber,NYY,10.2, , , ,55.9%,7.1%,34.6%,2.4%, , , , ,2022.0,2022-01-01
827,Aaron Loup,LAA,58.2, ,36.0%, ,48.7%,12.5%,2.8%, , , , , ,2022.0,2022-01-01
828,Scott Alexander,SFG,17.1, ,0.5%, ,71.5%,15.9%,12.1%, , , , , ,2022.0,2022-01-01
829,Shane Greene,- - -,3.0, ,30.0%, ,34.0%,2.0%,34.0%, , , , , ,2022.0,2022-01-01
830,Drew Smyly,CHC,106.1, ,19.2%, ,37.6%,0.2%, ,42.9%, , , , ,2022.0,2022-01-01
831,Alex Claudio,NYM,3.1, , , ,54.0%,24.0%,22.0%, , , , , ,2022.0,2022-01-01
832,Zach Davies,ARI,134.1, ,5.8%, ,54.1%,33.2%,1.0%,5.9%, , , , ,2022.0,2022-01-01
833,Steven Matz,STL,48.0, , , ,48.5%,29.0%,2.4%,20.1%, , , , ,2022.0,2022-01-01
834,Josh Hader,- - -,50.0, , , ,69.5%,2.2%,28.3%, , , , , ,2022.0,2022-01-01
835,Luis Perdomo,MIL,23.2, , , ,56.1%,16.1%,27.7%, , , , , ,2022.0,2022-01-01
836,Brett Phillips,TBR,4.0, , , , ,76.3%, ,23.7%, , , , ,2022.0,2022-01-01
837,Sam Moll,OAK,43.1, , , ,44.6%, ,55.4%, , , , , ,2022.0,2022-01-01
838,Justin Topa,MIL,7.1, , , ,68.8%,4.0%,27.2%, , , , , ,2022.0,2022-01-01
839,Jimmy Yacabonis,- - -,14.0, , , ,59.4%,3.1%,37.5%, , , , , ,2022.0,2022-01-01
840,Phillips Valdez,BOS,16.1, , , ,44.9%,46.0%,9.1%, , , , , ,2022.0,2022-01-01
841,Miguel Castro,NYY,29.0, , , ,36.4%,18.6%,44.1%, , , , ,1.0%,2022.0,2022-01-01
842,Sean Manaea,SDP,158.0, , , ,60.9%,24.6%,14.5%, , , , , ,2022.0,2022-01-01
843,Aaron Bummer,CHW,26.2, ,7.7%, ,63.9%,0.9%,27.6%, , , , , ,2022.0,2022-01-01
844,Sam Clay,- - -,5.1, , , ,74.0%,7.0%, ,19.0%, , , , ,2022.0,2022-01-01
845,Ryan Borucki,- - -,25.1, , , ,50.2%,11.1%,38.6%, , , , , ,2022.0,2022-01-01
846,Erick Fedde,WSN,127.0, ,27.9%, ,39.8%,3.6%,28.7%, , , , , ,2022.0,2022-01-01
847,Justin Lawrence,COL,42.2, , , ,55.3%, ,44.7%, , , , , ,2022.0,2022-01-01
848,Dillon Tate,BAL,73.2, , , ,51.4%,23.7%,24.8%, , , , ,0.1%,2022.0,2022-01-01
849,Danny Young,- - -,6.1, , , ,41.3%,2.4%,56.3%, , , , , ,2022.0,2022-01-01
850,Trevor Kelley,MIL,23.2, ,4.1%, ,63.9%,6.5%,25.4%, , , , , ,2022.0,2022-01-01
851,Andrew Vasquez,- - -,8.2, , , ,28.8%, ,71.2%, , , , , ,2022.0,2022-01-01
852,Sean Poppen,ARI,28.2, , , ,62.2%,3.4%,34.4%, , , , , ,2022.0,2022-01-01
853,Tyson Miller,TEX,10.2, ,44.7%, ,14.9%,5.3%,32.0%,3.1%, , , , ,2022.0,2022-01-01
854,Jake Fishman,MIA,11.0, , , ,60.2%, ,39.8%, , , , , ,2022.0,2022-01-01
855,Zach Pop,- - -,39.0, , , ,77.0%,0.2%,22.8%, , , , , ,2022.0,2022-01-01
856,Chad Smith,COL,18.0, , , ,66.5%,1.8%,31.8%, , , , , ,2022.0,2022-01-01
857,Matt Peacock,- - -,10.0, , , ,58.1%,4.1%,37.8%, , , , , ,2022.0,2022-01-01
858,Cristopher Sanchez,PHI,40.0, , , ,61.0%,20.1%,18.9%, , , , , ,2022.0,2022-01-01
859,Adrian Martinez,OAK,57.2, , , ,50.3%,27.6%,22.1%, , , , , ,2022.0,2022-01-01
860,Emmanuel Clase,CLE,72.2, ,62.0%, , , ,38.0%, , , , , ,2022.0,2022-01-01
861,Jake Bird,COL,47.2, ,25.1%, ,57.7%,2.0%, ,15.2%, , , , ,2022.0,2022-01-01
862,Bryce Montes de Oca,NYM,3.1, ,53.6%, ,23.8%, ,22.6%, , , , , ,2022.0,2022-01-01
863,Nicholas Padilla,CHC,1.2, ,61.5%, ,15.4%, ,23.1%, , , , , ,2022.0,2022-01-01
864,Brendon Little,CHC,0.2, , , ,68.2%, , ,31.8%, , , , ,2022.0,2022-01-01
865,Elvis Peguero,LAA,17.1, , , ,37.3%, ,62.7%, , , , , ,2022.0,2022-01-01
866,Camilo Doval,SFG,67.2, ,30.6%, ,25.8%, ,43.6%, , , , , ,2022.0,2022-01-01
867,John King,TEX,51.1, ,8.1%, ,52.3%,24.7%,14.8%, , , , , ,2022.0,2022-01-01
868,Aaron Fletcher,PIT,11.2, , , ,49.1%,27.7%,23.1%, , , , , ,2022.0,2022-01-01
869,Collin Snider,KCR,34.1, , , ,47.3%,1.8%,47.9%, , , , ,3.0%,2022.0,2022-01-01
870,Kyle Bradish,BAL,117.2, ,44.5%, ,4.3%,8.5%,29.8%,12.8%, , , , ,2022.0,2022-01-01
871,Cooper Criswell,TBR,3.1, ,11.1%, ,55.6%, ,33.3%, , , , , ,2022.0,2022-01-01
