#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,Year,YearDate
519,Paul Fry,- - -,13.0,33.2%, , ,16.8%, ,50.0%, , , , , ,2022.0,2022-01-01
520,Charlie Morton,ATL,172.0,33.2%, , ,10.8%,8.6%,9.4%,38.0%, , , , ,2022.0,2022-01-01
521,Jordan Lyles,BAL,179.0,32.8%, , ,16.5%,10.7%,26.6%,13.4%, , , , ,2022.0,2022-01-01
522,Luis Castillo,- - -,150.1,32.8%,0.3%, ,23.7%,22.2%,21.1%, , , , , ,2022.0,2022-01-01
523,Trevor Gott,MIL,45.2,32.7%, , ,22.1%,1.1%,33.8%,10.4%, , , , ,2022.0,2022-01-01
524,Tyler Holton,ARI,9.0,32.7%,17.6%, ,2.5%,32.7%, ,14.5%, , , , ,2022.0,2022-01-01
525,Sam Hentges,CLE,62.0,32.7%, , ,30.2%, ,16.0%,21.2%, , , , ,2022.0,2022-01-01
526,Ryan Pressly,HOU,48.1,32.5%, , , ,3.5%,36.9%,27.1%, , , , ,2022.0,2022-01-01
527,Kevin Herget,TBR,7.0,32.4%,30.6%, , ,36.9%, , , , , , ,2022.0,2022-01-01
528,Thomas Hatch,TOR,4.2,32.4%, , ,11.3%,15.5%,40.8%, , , , , ,2022.0,2022-01-01
529,Matthew Boyd,SEA,13.1,32.3%, , ,15.1%,18.8%,32.3%,1.6%, , , , ,2022.0,2022-01-01
530,Raisel Iglesias,- - -,62.0,32.2%, , ,17.9%,23.9%,26.0%, , , , , ,2022.0,2022-01-01
531,Madison Bumgarner,ARI,158.2,32.0%,36.5%, ,1.4%,11.3%, ,18.7%,0.0%, , , ,2022.0,2022-01-01
532,Max Fried,ATL,185.1,32.0%, , ,14.0%,13.8%,18.6%,21.5%, , , ,0.0%,2022.0,2022-01-01
533,Nick Wittgren,STL,29.0,32.0%,21.4%, ,12.7%,23.1%,10.8%, , , , , ,2022.0,2022-01-01
534,Connor Brogdon,PHI,44.0,32.0%,24.8%, , ,43.2%, , , , , , ,2022.0,2022-01-01
535,Steven Okert,MIA,51.1,31.9%, , , , ,68.1%, , , , , ,2022.0,2022-01-01
536,David Price,LAD,40.1,31.9%,18.1%, ,35.2%,10.6%, ,4.2%, , , , ,2022.0,2022-01-01
