#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
61,Patrick Corbin,WSN,27.1,-1.38, , , , ,-2.72,-2.21, , , ,0.92, , ,3,6
62,Logan Webb,SFG,30.1,-1.41, , , , ,0.50,1.47, , , ,1.90, , ,3,6
63,Triston McKenzie,CLE,29.1,-1.45, , , , , ,-5.78,1.69, , , , , ,3,6
64,Chris Flexen,SEA,33.0,-1.66, ,0.67, , , ,2.60,-0.21, , ,0.24, , ,3,6
65,Charlie Morton,ATL,30.2,-1.74, ,-0.60, , ,2.04, ,2.42, , ,-3.23, , ,3,6
66,German Marquez,COL,34.0,-1.77, , , , ,-0.17,-2.82, ,1.05, ,-0.16, , ,3,6
67,Kyle Hendricks,CHC,27.2,-2.02, , , , ,0.90, ,-0.06, , ,-0.92, , ,3,6
68,Jameson Taillon,NYY,33.1,-2.18, ,-0.02, , ,1.35,0.45,0.81, , ,-3.48, , ,3,6
69,Kyle Wright,ATL,38.1,-2.54, , , , ,2.05,-0.61,2.35, , ,1.78, , ,3,6
70,Madison Bumgarner,ARI,31.0,-2.59, ,-1.04, , , , ,0.29, , ,-0.72, , ,3,6
71,Luis Garcia,HOU,27.2,-2.63, ,2.54, , , ,3.79,2.78, , ,0.41, , ,3,6
72,Lucas Giolito,CHW,27.0,-2.65, , , , , ,-0.52,-7.27, , ,-2.98, , ,3,6
73,Adrian Houser,MIL,30.0,-2.72, , , , ,-0.45,2.27,-4.41, , ,-1.34, , ,3,6
74,Brady Singer,KCR,28.2,-3.19, , , , ,-1.08,-1.09, , , ,0.30, , ,3,6
75,Adam Wainwright,STL,32.0,-3.27, ,0.81, , ,-1.71, ,1.61, , ,-4.55, , ,3,6
76,Carlos Carrasco,NYM,29.2,-3.54, , , , ,0.12,-0.49,-1.49, , ,-1.82, , ,3,6
77,Ian Anderson,ATL,28.2,-3.60, , , , , , ,-1.35, , ,1.80, , ,3,6
78,Ranger Suarez,PHI,31.0,-3.88, ,0.58, , ,2.18,3.91,-1.03, , ,1.05, , ,3,6
79,Jose Berrios,TOR,28.2,-4.37, , , , ,0.54, ,-0.55, , ,2.01, , ,3,6
80,Jordan Montgomery,NYY,32.0,-5.06, ,-1.41, , ,2.47, ,-0.49, , ,0.16, , ,3,6
81,Paul Blackburn,OAK,26.1,-5.30, ,-2.93, , ,-1.39,5.50,-0.66, , ,2.31, , ,3,6
82,Cal Quantrill,CLE,31.0,-6.57, ,-0.73, , ,-1.03, ,-5.22, , ,-1.58, , ,3,6
83,JT Brubaker,PIT,34.1,-10.35, , , , ,-2.06,-0.70,0.66, , ,-4.70, , ,3,6
84,Zach Davies,ARI,31.2, , ,-5.14, , ,0.86,-0.56,-1.24, , ,2.60, , ,3,6
85,Alex Wood,SFG,30.1, , , , , ,0.49,-0.22, , , ,0.72, , ,3,6
86,Sean Manaea,SDP,29.0, , , , , ,0.32,4.86, , , ,-1.05, , ,3,6
87,Corbin Burnes,MIL,28.2, , ,1.01, , ,-2.09,0.45,-3.89, , ,2.09, , ,3,6
88,Dane Dunning,TEX,33.2, , ,-0.66, , ,-2.36,1.31, , , ,0.58, , ,3,6
89,Graham Ashcraft,CIN,33.0, , ,0.51, , ,-2.86,-0.65, , , ,-6.19, , ,3,6
