#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
1,Dean Kremer,BAL,28.0,3.47, ,1.69, , , , ,-3.72, , ,-2.47, , ,3,6
2,Martin Perez,TEX,30.0,3.36, ,0.64, , ,0.48, ,-11.08, , ,-3.33, , ,3,6
3,Joe Musgrove,SDP,34.0,2.88, ,1.90, , ,-1.01,-0.10,1.30, , ,1.02, , ,3,6
4,Miles Mikolas,STL,34.0,2.66, , , , ,0.16,1.81,1.73, , ,0.89, , ,3,6
5,Gerrit Cole,NYY,29.2,2.57, ,-4.91, , , ,1.12, ,1.13, ,-1.11, , ,3,6
6,Julio Urias,LAD,28.2,2.50, , , , ,2.91, ,1.63, , ,-3.33, , ,3,6
7,Aaron Nola,PHI,43.0,2.41, ,-0.44, , ,2.82, , ,1.78, ,-2.93, , ,3,6
8,Tyler Mahle,CIN,33.2,2.21, ,-1.33,-2.22, , ,-1.20, , , , , , ,3,6
9,Jon Gray,TEX,37.2,2.16, , , , , ,1.79,-5.37, , ,1.46, , ,3,6
10,Carlos Rodon,SFG,36.0,2.10, , , , , ,2.06,-0.94, , ,-3.25, , ,3,6
11,Justin Verlander,HOU,39.2,2.06, , , , , ,1.62,-0.21, , ,4.01, , ,3,6
12,Dakota Hudson,STL,35.1,2.03, , , , ,-1.26,1.32,0.67, , ,-0.45, , ,3,6
13,Marco Gonzales,SEA,31.0,1.99, ,0.60, , , , ,2.24, , ,-0.67, , ,3,6
14,Andre Pallante,STL,30.1,1.84, , , , ,-0.09,0.34,-1.15, , , , , ,3,6
15,Nick Pivetta,BOS,40.0,1.73, , , , , ,0.87, ,0.89, ,-16.91, , ,3,6
16,Zack Wheeler,PHI,29.2,1.65, , , , ,4.58,-1.62,-1.78, , ,-3.90, , ,3,6
17,Ross Stripling,TOR,28.1,1.53, , , , ,1.64,2.06, ,1.69, ,3.13, , ,3,6
18,Merrill Kelly,ARI,30.0,1.33, ,-0.65, , ,4.70, ,-0.69, , ,-0.53, , ,3,6
19,Sandy Alcantara,MIA,47.2,1.31, , , , ,3.70,-1.00,-3.60, , ,2.48, , ,3,6
20,Shohei Ohtani,LAA,29.2,1.21, ,-4.75,2.30, , ,1.62,1.28, , , , , ,3,6
21,Shane McClanahan,TBR,33.0,1.18, , , , , ,1.75,1.95, , ,3.23, , ,3,6
22,Tony Gonsolin,LAD,29.0,1.09, , ,3.14, , ,3.50,-2.70, , , , , ,3,6
23,Beau Brieske,DET,27.1,1.04, , , , ,-0.63,-0.76,5.10, , ,0.33, , ,3,6
24,Pablo Lopez,MIA,28.2,0.96, ,-4.54, , ,0.40, ,0.00, , ,-1.38, , ,3,6
25,Rony Garcia,DET,25.1,0.92, , , , ,0.16, ,-0.57, , ,-1.14, , ,3,6
26,Jose Quintana,PIT,30.0,0.73, , , , ,-2.87, ,-1.50, , ,-1.98, , ,3,6
27,Framber Valdez,HOU,32.0,0.71, ,3.15, , ,2.24, ,-1.00, , ,-0.89, , ,3,6
28,Zac Gallen,ARI,25.2,0.49, ,-4.34, , , ,11.40, ,0.51, ,-5.11, , ,3,6
29,Max Fried,ATL,33.1,0.43, , , , ,3.95,2.56,1.09, , ,2.32, , ,3,6
30,Jason Alexander,MIL,30.2,0.30, , , , ,-0.93,-0.54, , , ,-4.30, , ,3,6
