#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
1,Chris Bassitt,NYM,25.1,6.52, ,-0.53, , ,2.18,-4.07,1.84, , ,-2.30, , ,4,7
2,Miles Mikolas,STL,37.2,3.60, , , , ,4.03,-2.41,-0.66, , ,-20.56, , ,4,7
3,Cole Irvin,OAK,34.0,3.47, , , , ,3.38, ,1.53, , ,1.26, , ,4,7
4,Triston McKenzie,CLE,33.2,3.04, , , , , ,1.30,4.09, , , , , ,4,7
5,Luis Castillo,CIN,28.0,3.00, , , , ,0.08,0.05, , , ,0.01, , ,4,7
6,Johnny Cueto,CHW,34.0,2.60, ,-0.28, , ,-0.14,0.02,-5.82, , ,2.14, , ,4,7
7,Zack Wheeler,PHI,32.2,2.40, , , , ,1.40,1.57,-0.12, , ,-13.99, , ,4,7
8,Kyle Freeland,COL,29.0,2.29, , , , ,2.40,-4.09,1.61, , ,-5.65, , ,4,7
9,Reid Detmers,LAA,24.0,2.21, , , , ,1.66,3.26,1.04, , ,-0.30, , ,4,7
10,Spencer Strider,ATL,26.2,2.16, , , , , ,0.38, , , ,-1.87, , ,4,7
11,Sonny Gray,MIN,24.1,2.07, ,-0.50, , ,-5.15,-1.72,1.30, , , , , ,4,7
12,Robbie Ray,SEA,25.0,2.02, , , , ,-3.01,-0.37, ,-20.80, ,-3.20, , ,4,7
13,Aaron Nola,PHI,35.0,2.02, ,0.76, , ,2.18, , ,0.83, ,-1.85, , ,4,7
14,Max Fried,ATL,38.0,1.99, , , , ,-4.91,2.44,1.31, , ,2.24, , ,4,7
15,Jose Urquidy,HOU,33.0,1.95, , , , , ,1.10,0.51, , ,2.25, , ,4,7
16,Max Scherzer,NYM,32.1,1.77, ,2.49, , , ,2.16,-3.30, , ,2.23, , ,4,7
17,Carlos Rodon,SFG,37.0,1.75, , , , , ,0.18,3.84, , ,-0.97, , ,4,7
18,Clayton Kershaw,LAD,32.1,1.66, , , , ,-3.65,1.51,0.58, , ,19.63, , ,4,7
19,Julio Urias,LAD,28.0,1.61, , , , ,7.05, ,-0.93, , ,2.80, , ,4,7
20,Tyler Anderson,LAD,32.1,1.59, ,3.83, , ,9.58, ,-3.65, , ,0.92, , ,4,7
21,Jake Odorizzi,HOU,28.1,1.33, ,-0.09,-2.13, , ,0.41,0.73, , , , , ,4,7
22,Kyle Gibson,PHI,27.1,1.32, ,1.40, , ,1.10,-4.63,-1.88, , ,0.27, , ,4,7
23,Adam Wainwright,STL,32.1,1.31, ,-0.29, , ,-0.84, ,0.27, , ,6.76, , ,4,7
24,Lucas Giolito,CHW,27.0,1.31, , , , , ,-2.03,-0.80, , ,0.02, , ,4,7
25,Kutter Crawford,BOS,28.0,1.30, ,1.58, , , ,4.78,2.52, , ,-4.46, , ,4,7
26,Nestor Cortes,NYY,27.2,1.25, ,-0.11, , ,-1.19,2.15,0.17, , ,-5.39, , ,4,7
27,Yu Darvish,SDP,34.0,1.23, ,0.70,6.15, ,-1.18,0.02,-0.96,4.19, , , , ,4,7
28,Shane McClanahan,TBR,30.2,1.20, , , , , ,3.59,3.15, , ,0.89, , ,4,7
29,Merrill Kelly,ARI,41.1,1.11, ,4.00, , ,3.09,0.35,2.10, , ,0.73, , ,4,7
30,Corey Kluber,TBR,32.0,0.99, ,0.61, , ,-1.31, ,0.17, , ,-2.43, , ,4,7
