#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
61,Marcus Stroman,CHC,37.0,-8.20, ,2.47,0.59, ,0.59,1.55, , , , , , ,6,2022-09-01
62,Corbin Burnes,MIL,43.2,-12.47, ,1.34, , ,1.43,3.79,1.43, , ,-1.31, , ,6,2022-09-01
63,Cal Quantrill,CLE,37.1,-31.32, ,1.52, , ,-0.12, ,-3.86, , ,1.90, , ,6,2022-09-01
64,Lance McCullers Jr.,HOU,31.2, , ,1.35, , ,-2.58,3.10, ,1.59, ,-0.36, , ,6,2022-09-01
65,Brady Singer,KCR,31.2, , , , , ,1.44,0.38, , , ,-8.89, , ,6,2022-09-01
