#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
1,Paul Blackburn,OAK,34.1,5.41, ,0.48, , ,0.17,-7.06,4.12, , ,-5.47, , ,2,2022-05-01
2,Framber Valdez,HOU,43.0,4.72, ,2.26, , ,-0.23, ,3.38, , ,3.13, , ,2,2022-05-01
3,Martin Perez,TEX,42.1,3.35, ,4.42, , ,1.10, ,-10.10, , ,3.89, , ,2,2022-05-01
4,Dane Dunning,TEX,28.1,2.97, ,-4.11, , ,1.88,-2.19, , , ,-2.31, , ,2,2022-05-01
5,Michael Lorenzen,LAA,32.2,2.88, ,-1.44, , ,2.69,1.99, , , ,-0.54, , ,2,2022-05-01
6,Jose Quintana,PIT,27.0,2.67, , , , ,1.12, ,2.05, , ,-2.02, , ,2,2022-05-01
7,Nick Pivetta,BOS,38.1,2.57, , , , , ,2.91, ,0.27, ,-8.49, , ,2,2022-05-01
8,Nestor Cortes,NYY,32.1,2.51, ,1.39, , ,-7.07,1.52, , , ,5.29, , ,2,2022-05-01
9,Tarik Skubal,DET,31.0,2.38, , , , ,0.97,4.35, ,-11.74, ,1.70, , ,2,2022-05-01
10,Shane McClanahan,TBR,31.1,2.07, , , , , ,-0.62,2.57, , ,2.97, , ,2,2022-05-01
11,Zack Wheeler,PHI,32.2,2.03, , , , ,1.10,1.17,1.23, , ,-3.42, , ,2,2022-05-01
12,Jameson Taillon,NYY,31.1,1.93, ,-0.78, , ,-0.90,1.14,1.46, , ,7.18, , ,2,2022-05-01
13,Ian Anderson,ATL,28.1,1.74, , , , , , ,-0.21, , ,-3.64, , ,2,2022-05-01
14,Carlos Carrasco,NYM,30.0,1.73, , , , ,-4.93,-0.51,-4.52, , ,0.00, , ,2,2022-05-01
15,Triston McKenzie,CLE,34.0,1.72, , , , , ,1.82,0.79, , , , , ,2,2022-05-01
16,Luis Severino,NYY,29.0,1.53, ,-8.94, , , ,3.53, , , ,-1.67, , ,2,2022-05-01
17,Gerrit Cole,NYY,33.2,1.35, ,2.80, , , ,3.67, ,-5.03, ,-3.03, , ,2,2022-05-01
18,Frankie Montas,OAK,35.0,1.30, ,3.17,-0.37, ,2.95,1.19, , , , , , ,2,2022-05-01
19,Charlie Morton,ATL,31.1,1.24, ,1.49, , ,-0.14, ,-1.79, , ,0.68, , ,2,2022-05-01
20,Aaron Nola,PHI,33.0,1.22, ,-9.66, , ,2.34, , ,1.09, ,-0.75, , ,2,2022-05-01
21,Yusei Kikuchi,TOR,26.2,1.10, ,5.94, , , ,0.74, , , ,5.07, , ,2,2022-05-01
22,Kevin Gausman,TOR,36.1,1.01, , ,0.95, , ,-0.04, , , ,-7.96, , ,2,2022-05-01
23,Miles Mikolas,STL,31.0,0.85, , , , ,0.28,0.75,-0.31, , ,-4.54, , ,2,2022-05-01
24,Drew Rasmussen,TBR,28.2,0.85, ,1.45, , , ,-1.13,-0.28, , , , , ,2,2022-05-01
25,Dylan Cease,CHW,31.2,0.82, , , , ,3.27,2.73, ,-7.39, ,-5.94, , ,2,2022-05-01
26,Logan Webb,SFG,31.0,0.73, , , , ,-0.63,1.10, , , ,2.87, , ,2,2022-05-01
27,Julio Urias,LAD,35.0,0.70, , , , ,2.82, ,-0.71, , ,-2.59, , ,2,2022-05-01
28,Jordan Lyles,BAL,37.0,0.65, , , , ,0.26,-1.19,2.02, , ,0.98, , ,2,2022-05-01
29,Ranger Suarez,PHI,29.2,0.59, ,-8.32, , ,0.85,-5.14,-4.76, , ,-2.44, , ,2,2022-05-01
30,Logan Gilbert,SEA,36.2,0.40, , , , , ,0.25, ,0.82, ,2.01, , ,2,2022-05-01
