#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
31,Cole Irvin,OAK,27.2,0.35, ,-0.11, , ,1.34,-11.48,-0.09, , ,-0.71, , ,1,2022-04-01
32,Eric Lauer,MIL,23.1,-0.08, ,1.51, , , ,4.07,-0.96, , ,4.52, , ,1,2022-04-01
33,Miles Mikolas,STL,29.2,-0.11, , , , ,3.41,2.15,-0.71, , ,3.06, , ,1,2022-04-01
34,Madison Bumgarner,ARI,23.0,-0.11, ,1.58, , ,-31.28, ,-2.59, , ,7.88, , ,1,2022-04-01
35,Frankie Montas,OAK,29.2,-0.16, ,0.14,3.96, ,-1.82,1.91, , , , , , ,1,2022-04-01
36,Shane Bieber,CLE,29.1,-0.24, ,7.04, , , ,0.72, ,3.63, ,6.57, , ,1,2022-04-01
37,Luis Garcia,HOU,21.2,-0.36, ,-0.82, , , ,-5.47,5.74, , ,5.99, , ,1,2022-04-01
38,Chris Flexen,SEA,24.0,-0.39, ,3.17, , , ,4.89,-0.59, , ,-2.10, , ,1,2022-04-01
39,Adam Wainwright,STL,27.0,-0.62, ,-2.39, , ,0.21, ,0.66, , ,-1.67, , ,1,2022-04-01
40,Max Fried,ATL,24.0,-0.73, , , , ,7.44,1.58,1.70, , ,1.55, , ,1,2022-04-01
41,Gerrit Cole,NYY,24.0,-0.93, ,5.24, , , ,-1.25, ,0.89, ,2.09, , ,1,2022-04-01
42,Jesus Luzardo,MIA,20.1,-1.34, , , , ,0.13, ,2.13, , ,0.91, , ,1,2022-04-01
43,Walker Buehler,LAD,24.2,-1.68, ,1.13, , ,-3.10,1.61, ,4.39, ,4.59, , ,1,2022-04-01
44,Zach Plesac,CLE,21.1,-1.68, , , , ,-21.63,1.13,-0.47, , ,1.33, , ,1,2022-04-01
45,Joan Adon,WSN,23.1,-2.12, , , , ,4.50,3.99,-1.77, , ,0.38, , ,1,2022-04-01
46,Tarik Skubal,DET,20.2,-2.19, , , , ,0.87,2.40, ,0.87, ,1.42, , ,1,2022-04-01
47,Martin Perez,TEX,21.0,-2.29, ,2.02, , ,1.87, ,-1.49, , ,2.81, , ,1,2022-04-01
48,Jose Berrios,TOR,24.0,-2.72, , , , ,0.40, ,0.15, , ,-3.11, , ,1,2022-04-01
49,Shane McClanahan,TBR,27.0,-2.99, , , , , ,2.00,2.16, , ,5.17, , ,1,2022-04-01
50,German Marquez,COL,21.0,-3.32, , , , ,3.55,0.26, ,-2.67, ,3.45, , ,1,2022-04-01
51,Elieser Hernandez,MIA,20.1,-3.38, , , , , ,0.99, , , ,-0.45, , ,1,2022-04-01
52,Logan Webb,SFG,30.1,-5.29, , , , ,-1.21,-0.16, , , ,2.21, , ,1,2022-04-01
53,Sean Manaea,SDP,30.0, , , , , ,1.36,2.64,-4.55, , ,1.20, , ,1,2022-04-01
54,Corbin Burnes,MIL,25.2, , ,2.19, , ,-3.06,-3.79,5.06, , ,-0.18, , ,1,2022-04-01
55,Dane Dunning,TEX,26.0, , ,-0.24, , ,0.35,-0.54, , , ,-0.62, , ,1,2022-04-01
