#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
31,Yu Darvish,SDP,33.1,0.97, ,-1.33,1.74, ,-1.41,3.84,-0.59,4.96, , , , ,5,8
32,Kevin Gausman,TOR,36.2,0.95, , ,2.19, , ,-2.03, , , ,2.54, , ,5,8
33,Carlos Rodon,SFG,28.1,0.92, , , , , ,0.44,1.34, , ,1.14, , ,5,8
34,Dylan Cease,CHW,30.1,0.91, , , , , ,1.48, ,1.09, ,-0.28, , ,5,8
35,Matt Manning,DET,32.1,0.89, , , , ,3.16,-0.05,-1.74, , ,-11.34, , ,5,8
36,Lance Lynn,CHW,36.2,0.80, ,0.49, , ,4.20,-2.22,2.49, , ,-6.93, , ,5,8
37,Domingo German,NYY,34.2,0.79, , , , ,2.94, ,1.00, , ,2.01, , ,5,8
38,Gerrit Cole,NYY,39.1,0.77, ,-3.65, , , ,3.79, ,-2.23, ,-4.35, , ,5,8
39,Freddy Peralta,MIL,29.2,0.72, , , , , ,-0.64,3.44, , ,3.93, , ,5,8
40,Tyler Anderson,LAD,37.1,0.68, ,2.85, , ,1.10, ,-3.65, , ,0.32, , ,5,8
41,Logan Webb,SFG,35.0,0.59, , , , ,1.45,-2.54, , , ,0.64, , ,5,8
42,Marcus Stroman,CHC,34.0,0.44, ,-5.79,-1.13, ,0.88,0.63,-23.78, , , , , ,5,8
43,Aaron Nola,PHI,32.0,0.44, ,-1.00, , ,2.39, , ,1.65, ,-0.39, , ,5,8
44,Jeffrey Springs,TBR,27.2,0.38, , , , ,2.72,2.11, , , ,0.81, , ,5,8
45,Cristian Javier,HOU,32.0,0.38, , , , , ,3.55, ,-0.74, ,-5.64, , ,5,8
46,Jameson Taillon,NYY,31.2,0.36, ,4.04, , ,-3.86,-0.43,3.54, , ,-5.95, , ,5,8
47,Edward Cabrera,MIA,28.1,0.13, , , , ,1.86,2.04,3.36, , ,1.75, , ,5,8
48,Jesus Luzardo,MIA,36.1,0.11, , , , ,1.73, ,-0.28, , ,4.58, , ,5,8
49,Tyler Alexander,DET,30.2,0.00, ,-3.45, , ,1.23,0.98, , , ,0.45, , ,5,8
50,Mike Minor,CIN,33.0,-0.08, , , , ,5.99,-1.72, ,-3.19, ,0.74, , ,5,8
51,Charlie Morton,ATL,30.1,-0.15, ,-4.10, , ,-0.11, ,2.52, , ,1.67, , ,5,8
52,Tommy Henry,ARI,31.2,-0.17, , , , ,3.99,-0.73,0.00, , ,0.22, , ,5,8
53,Spenser Watkins,BAL,30.2,-0.23, ,-1.39, , , ,5.27,-1.63, , ,2.60, , ,5,8
54,Kyle Bradish,BAL,28.2,-0.31, , , , , ,-0.01,2.45, , ,3.23, , ,5,8
55,Adam Oller,OAK,29.2,-0.33, ,3.42, , , ,2.06,-3.25, , ,0.56, , ,5,8
56,Miles Mikolas,STL,36.0,-0.34, , , , ,-1.08,-2.88,0.41, , ,16.17, , ,5,8
57,Luis Garcia,HOU,29.0,-0.39, ,0.85, , ,12.42,-1.60,-0.65, , ,-4.43, , ,5,8
58,James Kaprielian,OAK,29.0,-0.45, , , , ,-2.24,-3.15,-0.85, , ,-5.79, , ,5,8
59,Lucas Giolito,CHW,31.2,-0.74, , , , , ,-0.93,0.01, , ,-0.76, , ,5,8
60,Brandon Woodruff,MIL,30.0,-0.79, , , , ,0.03,3.67,1.73, , ,-0.03, , ,5,8
