#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
61,Blake Snell,SDP,25.2,-0.99, , , , , ,2.01,1.58, , ,0.64, , ,4,7
62,Tyler Wells,BAL,25.0,-1.01, , , , , ,0.28,-0.63, , ,-2.80, , ,4,7
63,Brad Keller,KCR,28.2,-1.17, , , , ,1.41,2.17, , , ,-1.81, , ,4,7
64,Carlos Carrasco,NYM,30.0,-1.19, , , , ,0.71,4.65,1.24, , ,0.46, , ,4,7
65,German Marquez,COL,31.2,-1.44, , , , ,-0.01,-0.90, ,3.48, ,2.32, , ,4,7
66,Andre Pallante,STL,26.1,-1.73, , , , ,-3.33,2.39,-1.24, , ,5.53, , ,4,7
67,Austin Gomber,COL,27.1,-2.08, , , , , ,0.05, ,1.16, ,1.03, , ,4,7
68,Martin Perez,TEX,31.2,-2.24, ,1.50, , ,-1.16,7.05,4.72, , ,1.00, , ,4,7
69,Kyle Wright,ATL,30.2,-2.37, , , , ,2.43,-0.35,1.45, , ,-2.55, , ,4,7
70,Shohei Ohtani,LAA,25.1,-2.98, ,4.02,1.90, ,-3.65,2.23,-4.20, , , , , ,4,7
71,Josiah Gray,WSN,26.2,-2.99, , , , , ,1.15,-0.76, , ,-28.03, , ,4,7
72,Dylan Cease,CHW,35.2,-3.07, , , , , ,3.45, ,1.70, ,4.92, , ,4,7
73,Logan Webb,SFG,38.1,-3.58, , , , ,1.90,1.17, , , ,-0.02, , ,4,7
74,Jordan Montgomery,NYY,29.1,-5.24, ,-19.54, , ,1.06, ,-1.21, , ,0.21, , ,4,7
75,Aaron Ashby,MIL,25.2,-5.87, , , , ,-0.28,-0.34,-1.10, , ,-0.39, , ,4,7
76,Patrick Sandoval,LAA,24.2,-6.94, , , , ,1.17,0.28,-0.90, , ,-1.23, , ,4,7
77,Brady Singer,KCR,30.2,-8.10, , , , ,0.37,2.15, , , ,2.37, , ,4,7
78,Alex Cobb,SFG,36.0, , , ,1.22, ,1.31, , ,0.27, , , , ,4,7
79,Sean Manaea,SDP,25.0, , , , , ,-1.15,-6.56, , , ,-2.86, , ,4,7
80,Corbin Burnes,MIL,31.1, , ,1.50, , ,-4.85,3.37,2.03, , ,1.88, , ,4,7
