#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
1,Jose Quintana,STL,33.1,3.17, , , , ,3.43, ,2.82, , ,0.13, , ,6,9
2,Jesus Luzardo,MIA,35.0,2.29, , , , ,1.41, ,-0.56, , ,-0.50, , ,6,9
3,Triston McKenzie,CLE,38.2,2.27, , , , , ,-0.27,1.92, , , , , ,6,9
4,Hayden Wesneski,CHC,33.0,2.10, ,0.63, , ,0.58,1.12, , , ,-1.39, , ,6,9
5,Logan Gilbert,SEA,36.0,2.04, , , , ,-0.93,2.09, ,-8.13, ,0.32, , ,6,9
6,Zac Gallen,ARI,38.1,2.03, ,-0.60, , , , , ,1.38, ,4.04, , ,6,9
7,Lance Lynn,CHW,37.1,1.89, ,0.34, , ,-1.30,2.78,-5.74, , ,1.55, , ,6,9
8,Kyle Freeland,COL,32.2,1.77, , , , ,-3.21,0.82,0.39, , ,-3.38, , ,6,9
9,Alek Manoah,TOR,41.0,1.60, , , , ,2.73,1.89, , , ,-0.20, , ,6,9
10,Jose Urena,COL,33.1,1.58, , , , ,0.47,-0.21, , , ,-0.42, , ,6,9
11,Blake Snell,SDP,35.0,1.51, , , , , ,2.40,-0.77, , ,-2.05, , ,6,9
12,Luis Castillo,SEA,33.2,1.50, , , , ,0.92,2.46, , , ,-4.96, , ,6,9
13,Clayton Kershaw,LAD,41.0,1.43, , , , , ,2.27,3.01, , , , , ,6,9
14,Nick Lodolo,CIN,36.1,1.37, , , , ,-1.05, ,1.57, , ,0.27, , ,6,9
15,Framber Valdez,HOU,37.1,1.31, ,1.22, , ,-0.60, ,0.67, , ,2.16, , ,6,9
16,Brandon Woodruff,MIL,44.2,1.29, , , , ,1.42,2.25,-1.95, , ,1.44, , ,6,9
17,Adrian Sampson,CHC,38.2,1.24, ,3.82, , ,2.28,0.42, , , ,1.41, , ,6,9
18,Pablo Lopez,MIA,34.0,1.01, ,3.46, , ,2.30, ,1.04, , ,-1.62, , ,6,9
19,Yu Darvish,SDP,39.0,0.96, ,0.77,-0.76, ,5.91,2.20,7.32, , , , , ,6,9
20,Kevin Gausman,TOR,34.1,0.89, , ,-0.81, , ,0.11, , , ,-19.26, , ,6,9
21,Aaron Nola,PHI,34.1,0.76, ,5.06, , ,2.55, , ,0.11, ,2.10, , ,6,9
22,Dylan Cease,CHW,37.0,0.74, , , , , ,2.21, ,-0.08, ,-3.72, , ,6,9
23,Marco Gonzales,SEA,36.1,0.51, ,-1.96, , , , ,1.76, , ,-0.59, , ,6,9
24,Joe Musgrove,SDP,31.2,0.35, ,0.92, , ,-1.23,-0.59,-3.31, , ,2.70, , ,6,9
25,Luis Cessa,CIN,37.0,0.33, , , , ,2.34,-1.06, , , ,1.52, , ,6,9
26,Kyle Bradish,BAL,37.2,0.30, , , , ,-1.16,3.23,-1.41, , ,3.82, , ,6,9
27,Julio Urias,LAD,35.1,0.27, , , , ,-18.09, ,2.37, , ,2.69, , ,6,9
28,Johnny Cueto,CHW,34.2,0.20, ,-1.47, , ,2.88,1.35,-9.02, , ,-3.96, , ,6,9
29,Shane Bieber,CLE,48.0,0.18, ,0.92, , , ,3.21, ,2.39, ,-26.49, , ,6,9
30,Merrill Kelly,ARI,42.2,0.04, ,0.43, , ,-2.79,17.31,0.03, , ,-1.70, , ,6,9
