#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
61,Sandy Alcantara,MIA,36.1,-0.88, , , , ,2.75,-0.56,17.31, , ,2.36, , ,5,2022-08-01
62,Nick Lodolo,CIN,28.2,-0.99, , , , ,3.09, ,-0.50, , ,-2.56, , ,5,2022-08-01
63,Framber Valdez,HOU,35.1,-1.46, ,4.59, , ,0.64, ,1.89, , ,-0.95, , ,5,2022-08-01
64,Kyle Gibson,PHI,31.1,-1.58, ,3.15, , ,-1.38,3.53,-3.81, , ,0.13, , ,5,2022-08-01
65,Jordan Lyles,BAL,34.0,-1.73, ,-1.93, , ,-0.37,2.60,-1.20, , ,0.86, , ,5,2022-08-01
66,Marco Gonzales,SEA,33.2,-1.74, ,-0.64, , , , ,-1.48, , ,-0.82, , ,5,2022-08-01
67,Ryan Feltner,COL,30.0,-1.78, , , , ,-0.47,-1.44,-1.15, , ,-2.30, , ,5,2022-08-01
68,Nick Pivetta,BOS,28.2,-1.79, , , , , ,2.81, ,0.22, ,-0.70, , ,5,2022-08-01
69,Anibal Sanchez,WSN,30.2,-1.88, ,1.52, , ,2.73,-7.53,-5.07, , ,0.44, , ,5,2022-08-01
70,Adam Wainwright,STL,39.2,-1.90, ,2.87, , ,0.38, ,1.10, , ,-1.70, , ,5,2022-08-01
71,Kris Bubic,KCR,31.0,-3.18, , , , , , ,0.19, , ,-0.33, , ,5,2022-08-01
72,Brady Singer,KCR,37.0,-3.65, , , , ,0.48,0.76, , , ,1.65, , ,5,2022-08-01
73,Kutter Crawford,BOS,29.2,-4.46, ,-0.72, , , ,0.50,-3.59, , ,2.64, , ,5,2022-08-01
74,Corbin Burnes,MIL,33.2,-4.51, ,1.35, , ,-1.47,-6.91,-0.72, , ,-2.49, , ,5,2022-08-01
75,Noah Syndergaard,PHI,30.2,-4.81, , , , ,0.29,0.58,-1.08, , ,-0.53, , ,5,2022-08-01
76,Chris Bassitt,NYM,33.1,-6.21, ,2.62, , ,1.66,1.85,3.05, , ,-4.46, , ,5,2022-08-01
77,Kyle Wright,ATL,32.0,-6.49, , , , ,3.02,1.08,2.28, , ,3.11, , ,5,2022-08-01
78,Jose Urena,COL,29.0,-8.19, , , , ,-1.50,-0.25, , , ,-1.88, , ,5,2022-08-01
79,Corey Kluber,TBR,29.2,-20.28, ,1.20, , ,0.13, ,-4.22, , ,0.87, , ,5,2022-08-01
80,Alex Cobb,SFG,29.0, , , ,0.60, ,0.49, , ,-0.98, , , , ,5,2022-08-01
81,Drew Smyly,CHC,30.0, , ,3.81, , ,2.34, , ,0.47, , , , ,5,2022-08-01
82,Zach Davies,ARI,28.1, , ,-1.59, , ,-0.02,-4.02,1.57, , ,0.58, , ,5,2022-08-01
83,Alex Wood,SFG,30.0, , , , , ,-0.03,-1.23, , , ,-3.08, , ,5,2022-08-01
