#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
61,Noah Syndergaard,PHI,30.2,27.7%,72.5%,51.3%,70.2%,90.4%,85.2%,52.6%,23.9,5,8
62,Corbin Burnes,MIL,33.2,27.2%,61.5%,43.1%,47.1%,84.3%,71.7%,46.3%,25.2,5,8
63,Carlos Rodon,SFG,28.1,27.1%,69.1%,48.0%,57.4%,78.5%,72.5%,49.8%,23.4,5,8
64,Alex Cobb,SFG,29.0,27.0%,62.8%,45.3%,50.0%,86.2%,75.7%,51.3%,23.8,5,8
65,Adam Wainwright,STL,39.2,26.9%,57.7%,43.6%,72.4%,88.2%,83.8%,54.4%,22.9,5,8
66,Kyle Bradish,BAL,28.2,26.8%,68.0%,47.1%,63.5%,87.1%,80.3%,49.2%,25.0,5,8
67,Austin Voth,BAL,28.0,26.6%,65.9%,46.3%,57.9%,83.7%,76.3%,50.0%,25.1,5,8
68,Kutter Crawford,BOS,29.2,26.5%,64.8%,46.2%,54.0%,85.4%,76.7%,51.5%,24.7,5,8
69,Cal Quantrill,CLE,38.0,26.4%,66.8%,46.6%,64.0%,89.9%,82.6%,49.9%,20.0,5,8
70,Freddy Peralta,MIL,29.2,26.3%,62.5%,43.4%,62.1%,80.0%,74.3%,47.2%,21.4,5,8
71,Brady Singer,KCR,37.0,26.2%,61.2%,46.4%,64.6%,85.6%,80.6%,57.8%,20.3,5,8
72,Eric Lauer,MIL,30.0,25.8%,64.3%,46.3%,70.0%,86.0%,81.8%,53.3%,21.6,5,8
73,Daniel Lynch,KCR,32.0,25.7%,66.4%,46.5%,60.0%,84.6%,77.9%,51.0%,20.8,5,8
74,Martin Perez,TEX,34.0,25.6%,59.8%,43.0%,64.3%,88.7%,81.5%,50.7%,25.6,5,8
75,Miles Mikolas,STL,36.0,24.7%,65.6%,48.1%,61.7%,92.5%,85.7%,57.1%,20.0,5,8
76,Mike Clevinger,SDP,32.0,23.3%,68.3%,47.2%,58.3%,86.9%,80.2%,53.0%,25.2,5,8
77,Anibal Sanchez,WSN,30.2,22.8%,66.4%,43.4%,72.3%,87.1%,83.0%,47.3%,21.9,5,8
78,Tommy Henry,ARI,31.2,22.8%,71.7%,49.1%,57.1%,85.4%,79.3%,53.8%,23.0,5,8
79,James Kaprielian,OAK,29.0,22.7%,68.1%,46.6%,70.2%,87.9%,83.8%,52.6%,24.7,5,8
80,Zach Davies,ARI,28.1,21.1%,61.0%,40.1%,71.2%,91.9%,86.2%,47.5%,21.1,5,8
81,Marcus Stroman,CHC,34.0,21.1%,65.7%,44.3%,61.8%,88.2%,82.2%,52.0%,20.8,5,8
82,Ryan Feltner,COL,30.0,20.2%,61.4%,42.5%,58.3%,89.0%,82.3%,54.1%,21.7,5,8
83,Adam Oller,OAK,29.2,19.7%,73.4%,49.0%,67.5%,88.3%,84.5%,54.6%,22.0,5,8
