#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Kevin Gausman,TOR,36.1,42.3%,71.4%,57.3%,58.3%,83.4%,74.5%,51.7%,24.1,2,2022-05-01
2,Carlos Carrasco,NYM,30.0,41.0%,69.7%,55.1%,62.9%,86.4%,77.5%,49.3%,22.4,2,2022-05-01
3,Logan Webb,SFG,31.0,38.7%,58.4%,48.5%,56.0%,91.2%,77.1%,49.8%,20.7,2,2022-05-01
4,Corbin Burnes,MIL,39.0,37.2%,66.0%,49.1%,39.2%,87.0%,65.6%,41.1%,26.2,2,2022-05-01
5,Julio Urias,LAD,35.0,36.7%,67.9%,54.0%,55.7%,88.3%,78.4%,55.2%,23.4,2,2022-05-01
6,Tyler Anderson,LAD,32.0,36.2%,71.0%,54.9%,54.2%,79.9%,72.0%,53.7%,22.1,2,2022-05-01
7,Tyler Wells,BAL,30.2,35.6%,69.3%,53.8%,58.1%,86.4%,77.8%,54.0%,24.3,2,2022-05-01
8,Frankie Montas,OAK,35.0,35.6%,75.5%,55.0%,61.5%,82.5%,75.5%,48.8%,24.5,2,2022-05-01
9,Gerrit Cole,NYY,33.2,35.5%,67.4%,51.4%,50.5%,75.6%,66.9%,49.9%,21.8,2,2022-05-01
10,Zac Gallen,ARI,35.1,35.4%,61.2%,46.9%,67.0%,90.4%,80.6%,44.7%,24.0,2,2022-05-01
11,Alex Cobb,SFG,28.1,35.4%,59.8%,46.6%,61.1%,86.7%,76.1%,45.7%,22.9,2,2022-05-01
12,Miles Mikolas,STL,31.0,34.4%,67.5%,53.0%,68.8%,88.7%,83.1%,56.3%,21.2,2,2022-05-01
13,Max Fried,ATL,37.0,34.1%,65.7%,49.4%,47.1%,87.0%,72.7%,48.4%,24.6,2,2022-05-01
14,Zack Wheeler,PHI,32.2,34.1%,68.1%,52.7%,47.9%,80.6%,71.0%,54.6%,23.1,2,2022-05-01
15,Jordan Montgomery,NYY,33.1,34.0%,67.2%,50.1%,51.8%,84.4%,73.0%,48.4%,22.7,2,2022-05-01
16,Robbie Ray,SEA,30.1,33.7%,75.6%,54.6%,36.6%,74.9%,63.0%,49.9%,23.8,2,2022-05-01
17,Framber Valdez,HOU,43.0,33.5%,65.0%,51.3%,56.7%,92.5%,82.3%,56.5%,22.8,2,2022-05-01
18,Alek Manoah,TOR,31.0,33.3%,68.6%,52.3%,65.2%,79.5%,75.3%,53.9%,24.6,2,2022-05-01
19,Justin Verlander,HOU,31.2,33.2%,73.4%,54.2%,67.9%,85.1%,80.1%,52.1%,24.0,2,2022-05-01
20,Tarik Skubal,DET,31.0,33.0%,68.5%,51.8%,57.1%,84.0%,76.0%,52.9%,20.6,2,2022-05-01
21,Zack Greinke,KCR,29.2,33.0%,59.0%,45.4%,76.6%,87.7%,83.5%,47.8%,23.2,2,2022-05-01
22,Jose Quintana,PIT,27.0,32.9%,64.6%,46.7%,62.2%,85.5%,76.2%,43.5%,22.9,2,2022-05-01
23,Charlie Morton,ATL,31.1,32.6%,63.7%,48.1%,56.3%,91.8%,79.8%,50.0%,23.0,2,2022-05-01
24,Jameson Taillon,NYY,31.1,32.4%,73.9%,53.6%,62.7%,88.8%,81.1%,51.3%,21.2,2,2022-05-01
25,Michael Lorenzen,LAA,32.2,32.3%,67.9%,50.3%,68.4%,87.7%,81.6%,50.5%,19.9,2,2022-05-01
26,Sandy Alcantara,MIA,42.1,32.1%,71.6%,52.5%,51.0%,80.3%,71.7%,51.7%,20.5,2,2022-05-01
27,Joe Musgrove,SDP,33.0,32.0%,60.8%,46.3%,48.8%,89.3%,75.1%,49.5%,22.3,2,2022-05-01
28,Shane McClanahan,TBR,31.1,31.8%,66.8%,50.2%,48.6%,77.3%,68.7%,52.6%,20.2,2,2022-05-01
29,Drew Rasmussen,TBR,28.2,31.8%,70.5%,51.8%,60.0%,89.4%,80.7%,51.8%,23.6,2,2022-05-01
30,Patrick Corbin,WSN,34.2,31.5%,68.2%,50.5%,61.7%,89.8%,81.3%,51.6%,24.1,2,2022-05-01
