#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,Year,YearDate
318,Archie Bradley,PHI,51.0,28.2%,67.4%,47.1%,75.4%,89.0%,84.8%,48.3%,22.0,2021.0,2021-01-01
319,Jacob Barnes,- - -,28.2,28.1%,68.6%,46.8%,53.5%,82.9%,73.4%,46.3%,27.8,2021.0,2021-01-01
320,Dylan Cease,CHW,165.2,28.1%,66.9%,46.7%,48.0%,77.4%,68.2%,47.9%,23.6,2021.0,2021-01-01
321,Marco Gonzales,SEA,143.1,28.1%,66.3%,47.9%,65.3%,87.3%,81.1%,51.9%,22.3,2021.0,2021-01-01
322,Andrew Wantz,LAA,27.1,28.1%,66.5%,47.8%,48.5%,81.8%,72.3%,51.3%,22.4,2021.0,2021-01-01
323,Tucker Davidson,ATL,20.0,28.1%,68.8%,49.2%,39.0%,87.0%,73.8%,51.8%,22.2,2021.0,2021-01-01
324,Joakim Soria,- - -,37.1,28.1%,70.3%,50.9%,53.8%,82.2%,75.0%,54.0%,24.8,2021.0,2021-01-01
325,Tim Mayza,TOR,53.0,28.0%,62.4%,45.3%,48.3%,87.5%,75.4%,50.1%,22.0,2021.0,2021-01-01
326,Zack Wheeler,PHI,213.1,28.0%,70.5%,51.4%,52.6%,83.4%,75.9%,55.1%,23.6,2021.0,2021-01-01
327,Chris Mazza,TBR,27.1,28.0%,70.9%,50.1%,46.4%,83.4%,73.4%,51.6%,23.4,2021.0,2021-01-01
328,Corey Kluber,NYY,80.0,28.0%,66.3%,46.9%,42.1%,87.0%,73.4%,49.3%,23.8,2021.0,2021-01-01
329,Caleb Thielbar,MIN,64.0,28.0%,66.9%,49.2%,57.4%,82.6%,76.1%,54.4%,24.0,2021.0,2021-01-01
330,Paolo Espino,WSN,109.2,28.0%,61.5%,45.4%,63.1%,89.1%,81.4%,52.2%,22.0,2021.0,2021-01-01
331,Josh Taylor,BOS,47.2,28.0%,71.1%,49.4%,36.9%,80.7%,68.3%,49.8%,26.3,2021.0,2021-01-01
332,Tyler Kinley,COL,70.1,28.0%,73.0%,51.0%,47.4%,84.1%,74.3%,51.2%,28.3,2021.0,2021-01-01
333,Victor Gonzalez,LAD,35.1,27.9%,62.2%,44.3%,50.6%,85.5%,74.1%,47.9%,29.8,2021.0,2021-01-01
334,Mike Mayers,LAA,75.0,27.9%,68.2%,47.9%,58.6%,78.7%,72.8%,49.6%,24.9,2021.0,2021-01-01
335,Noe Ramirez,- - -,36.0,27.9%,63.0%,46.3%,63.6%,84.8%,78.7%,52.3%,26.5,2021.0,2021-01-01
336,John Brebbia,SFG,18.1,27.9%,74.6%,53.9%,75.6%,80.4%,79.3%,55.7%,24.7,2021.0,2021-01-01
337,Cody Stashak,MIN,15.2,27.9%,74.8%,49.7%,37.0%,77.6%,65.4%,46.4%,26.6,2021.0,2021-01-01
338,Jordan Lyles,TEX,180.0,27.9%,68.1%,47.9%,58.1%,86.3%,78.0%,49.7%,23.3,2021.0,2021-01-01
339,Alek Manoah,TOR,111.2,27.9%,67.4%,47.9%,54.3%,80.8%,73.2%,50.6%,24.7,2021.0,2021-01-01
340,Robert Gsellman,NYM,28.2,27.8%,69.8%,49.6%,64.9%,85.8%,80.2%,52.0%,22.2,2021.0,2021-01-01
341,Ashton Goudeau,- - -,34.1,27.8%,67.5%,45.6%,64.4%,91.3%,82.2%,44.9%,22.8,2021.0,2021-01-01
342,Seth Lugo,NYM,46.1,27.8%,64.6%,47.0%,45.4%,81.3%,71.1%,52.2%,23.2,2021.0,2021-01-01
343,Brent Suter,MIL,73.1,27.8%,69.4%,48.3%,59.3%,90.9%,81.7%,49.3%,19.3,2021.0,2021-01-01
344,Tommy Hunter,NYM,8.0,27.8%,69.1%,48.6%,73.3%,97.4%,90.6%,50.5%,22.1,2021.0,2021-01-01
345,Brandon Dickson,STL,2.0,27.8%,58.8%,42.9%,60.0%,90.0%,80.0%,48.6%,19.6,2021.0,2021-01-01
346,Heath Hembree,- - -,58.0,27.8%,66.9%,48.2%,55.9%,81.1%,74.1%,52.1%,28.2,2021.0,2021-01-01
347,Cole Irvin,OAK,178.1,27.8%,70.2%,51.6%,71.7%,86.0%,82.7%,56.3%,21.4,2021.0,2021-01-01
348,Connor Brogdon,PHI,57.2,27.7%,75.2%,52.5%,65.6%,77.7%,74.6%,52.3%,25.0,2021.0,2021-01-01
349,Tanner Houck,BOS,69.0,27.7%,66.7%,46.7%,46.0%,82.1%,71.1%,48.8%,21.7,2021.0,2021-01-01
350,Sam Howard,PIT,45.0,27.7%,63.0%,44.4%,46.4%,73.2%,64.4%,47.2%,26.1,2021.0,2021-01-01
351,Robert Stephenson,COL,46.0,27.7%,63.1%,46.4%,58.0%,80.9%,74.4%,52.9%,28.0,2021.0,2021-01-01
352,Nick Pivetta,BOS,155.0,27.7%,67.0%,47.9%,57.7%,85.8%,77.9%,51.4%,21.7,2021.0,2021-01-01
353,Jimmie Sherfy,- - -,15.0,27.7%,54.2%,41.3%,64.5%,84.4%,77.9%,51.3%,23.0,2021.0,2021-01-01
354,Thomas Hatch,TOR,9.1,27.7%,73.6%,47.6%,57.7%,92.5%,81.0%,43.4%,26.0,2021.0,2021-01-01
355,Daniel Hudson,- - -,51.2,27.6%,74.8%,52.1%,42.6%,78.9%,69.6%,51.9%,28.9,2021.0,2021-01-01
356,Miles Mikolas,STL,44.2,27.6%,63.2%,48.7%,70.0%,88.3%,84.1%,59.1%,20.7,2021.0,2021-01-01
357,Edwin Uceta,LAD,20.1,27.5%,67.8%,47.9%,49.0%,85.5%,75.1%,50.7%,23.5,2021.0,2021-01-01
358,Steven Okert,MIA,36.0,27.5%,66.3%,47.1%,57.3%,77.1%,71.4%,50.4%,22.6,2021.0,2021-01-01
359,Jhonathan Diaz,LAA,13.0,27.5%,65.8%,46.4%,63.6%,87.0%,80.0%,49.4%,23.3,2021.0,2021-01-01
360,Reid Detmers,LAA,20.2,27.5%,66.5%,47.8%,64.0%,80.2%,75.7%,52.0%,21.9,2021.0,2021-01-01
361,Derek Law,MIN,15.0,27.5%,70.5%,47.9%,42.9%,81.6%,70.0%,47.6%,22.1,2021.0,2021-01-01
362,Tanner Roark,TOR,7.0,27.4%,60.9%,45.0%,70.6%,90.5%,84.7%,52.7%,23.3,2021.0,2021-01-01
363,Reynaldo Lopez,CHW,57.2,27.4%,68.4%,49.0%,58.2%,83.7%,77.0%,52.6%,22.7,2021.0,2021-01-01
364,Alex Claudio,LAA,32.2,27.4%,62.4%,42.6%,59.3%,85.5%,76.0%,43.4%,24.4,2021.0,2021-01-01
365,Wade Miley,CIN,163.0,27.4%,70.1%,46.8%,68.0%,83.2%,78.3%,45.5%,17.8,2021.0,2021-01-01
366,Luis Garcia,STL,33.1,27.4%,67.5%,49.1%,38.1%,80.3%,69.5%,54.1%,24.8,2021.0,2021-01-01
367,Kyle McGowin,WSN,30.0,27.4%,63.8%,46.0%,55.1%,81.1%,73.5%,51.3%,24.8,2021.0,2021-01-01
368,Matt Andriese,- - -,48.1,27.3%,67.6%,48.0%,61.4%,86.8%,79.8%,51.2%,27.3,2021.0,2021-01-01
369,Dallas Keuchel,CHW,162.0,27.3%,64.1%,44.0%,65.1%,88.1%,80.3%,45.3%,21.8,2021.0,2021-01-01
370,A.J. Cole,TOR,8.0,27.3%,71.2%,50.0%,60.0%,81.0%,75.4%,51.8%,27.4,2021.0,2021-01-01
371,Brandon Brennan,BOS,3.0,27.3%,70.0%,47.6%,16.7%,85.7%,65.0%,47.6%,25.6,2021.0,2021-01-01
372,Anthony Castro,TOR,24.2,27.3%,63.4%,44.2%,47.0%,85.9%,73.1%,46.8%,25.3,2021.0,2021-01-01
373,Shane Baz,TBR,13.1,27.3%,70.9%,51.5%,54.2%,73.1%,68.6%,55.6%,24.9,2021.0,2021-01-01
374,Yu Darvish,SDP,166.1,27.2%,64.4%,47.4%,49.9%,83.2%,74.4%,54.2%,27.2,2021.0,2021-01-01
375,Spencer Patton,TEX,42.1,27.2%,65.4%,45.7%,61.6%,81.6%,75.5%,48.4%,23.3,2021.0,2021-01-01
376,Jesus Luzardo,- - -,95.1,27.2%,69.2%,46.7%,48.2%,82.2%,71.6%,46.6%,21.4,2021.0,2021-01-01
377,Zach Plesac,CLE,142.2,27.2%,71.7%,50.9%,58.9%,84.1%,77.8%,53.3%,23.2,2021.0,2021-01-01
378,Kyle Muller,ATL,36.2,27.1%,64.9%,44.8%,45.9%,82.0%,70.3%,46.7%,20.7,2021.0,2021-01-01
379,Jake Reed,- - -,10.0,27.1%,61.1%,46.3%,68.4%,74.5%,73.0%,56.3%,26.0,2021.0,2021-01-01
380,Anthony Kay,TOR,33.2,27.1%,68.5%,47.6%,52.8%,86.4%,76.7%,49.5%,24.2,2021.0,2021-01-01
381,Bruce Zimmermann,BAL,64.1,27.1%,66.2%,46.2%,58.2%,84.6%,76.7%,49.0%,23.1,2021.0,2021-01-01
382,Richard Rodriguez,- - -,64.1,27.1%,71.4%,52.5%,62.4%,86.8%,81.5%,57.4%,21.5,2021.0,2021-01-01
383,Tyler Matzek,ATL,63.0,27.1%,70.8%,48.4%,54.7%,80.2%,72.9%,48.8%,27.0,2021.0,2021-01-01
384,Max Fried,ATL,165.2,27.1%,67.0%,48.3%,52.2%,86.2%,77.3%,53.2%,23.5,2021.0,2021-01-01
385,Demarcus Evans,TEX,26.1,27.1%,73.1%,46.7%,56.8%,82.2%,73.8%,42.7%,24.5,2021.0,2021-01-01
386,Tanner Scott,BAL,54.0,27.1%,63.4%,43.5%,28.8%,82.8%,64.4%,45.3%,23.1,2021.0,2021-01-01
387,Jimmy Nelson,LAD,29.0,27.1%,56.4%,41.5%,37.5%,77.2%,64.1%,49.1%,25.7,2021.0,2021-01-01
388,Bailey Falter,PHI,33.2,27.1%,66.3%,48.2%,60.9%,83.8%,77.8%,53.8%,23.0,2021.0,2021-01-01
389,Ryan Weber,- - -,9.2,27.0%,59.3%,44.4%,55.0%,86.3%,77.5%,53.8%,20.4,2021.0,2021-01-01
390,Stephen Ridings,NYY,5.0,27.0%,64.9%,45.9%,30.0%,70.8%,58.8%,50.0%,28.3,2021.0,2021-01-01
391,Michael Feliz,- - -,20.0,27.0%,67.3%,48.4%,51.1%,82.6%,74.3%,53.0%,22.8,2021.0,2021-01-01
392,Daniel Lynch,KCR,68.0,27.0%,69.2%,47.4%,48.6%,87.6%,76.1%,48.2%,21.5,2021.0,2021-01-01
393,Justin Dunn,SEA,50.1,27.0%,65.0%,46.7%,62.8%,85.7%,79.3%,51.8%,24.8,2021.0,2021-01-01
394,Mac Sceroler,BAL,7.2,27.0%,72.3%,46.0%,41.9%,81.7%,68.1%,41.9%,26.7,2021.0,2021-01-01
395,T.J. Zeuch,TOR,15.0,27.0%,68.3%,47.9%,78.9%,86.9%,84.7%,50.7%,23.1,2021.0,2021-01-01
396,Griffin Canning,LAA,62.2,26.9%,71.7%,49.3%,51.4%,79.3%,71.6%,49.8%,23.7,2021.0,2021-01-01
397,Richard Lovelady,KCR,20.2,26.9%,61.6%,47.3%,31.4%,85.1%,72.5%,58.7%,22.3,2021.0,2021-01-01
398,Darren O'Day,NYY,10.2,26.9%,66.7%,47.1%,52.0%,81.3%,73.0%,50.8%,27.3,2021.0,2021-01-01
399,Jakob Junis,KCR,39.1,26.9%,60.7%,44.8%,54.4%,85.1%,76.5%,53.1%,19.5,2021.0,2021-01-01
400,Sean Manaea,OAK,179.1,26.9%,69.7%,51.4%,57.0%,81.6%,76.1%,57.3%,21.4,2021.0,2021-01-01
401,Bryan Shaw,CLE,77.1,26.9%,71.0%,48.0%,55.2%,85.7%,76.8%,48.0%,24.7,2021.0,2021-01-01
402,Dennis Santana,- - -,54.2,26.8%,68.4%,46.1%,50.4%,85.1%,74.2%,46.3%,27.3,2021.0,2021-01-01
403,Jason Adam,CHC,10.2,26.8%,64.2%,43.1%,42.4%,80.3%,67.0%,43.6%,25.3,2021.0,2021-01-01
404,Drew Rasmussen,- - -,76.0,26.8%,65.4%,47.0%,59.1%,83.0%,76.5%,52.2%,23.0,2021.0,2021-01-01
405,Shawn Morimando,MIA,10.1,26.8%,67.6%,47.7%,61.5%,89.9%,82.1%,51.3%,21.2,2021.0,2021-01-01
406,Joe Kelly,LAD,44.0,26.8%,55.3%,41.9%,42.2%,85.1%,72.1%,52.8%,30.0,2021.0,2021-01-01
407,JT Brubaker,PIT,124.1,26.8%,66.9%,47.1%,44.1%,86.0%,74.2%,50.6%,22.3,2021.0,2021-01-01
408,Hunter Strickland,- - -,58.2,26.8%,69.4%,48.9%,61.9%,79.9%,75.2%,52.0%,29.4,2021.0,2021-01-01
409,Tyler Duffey,MIN,62.1,26.8%,62.2%,43.4%,59.1%,87.0%,77.9%,47.1%,23.0,2021.0,2021-01-01
410,Elieser Hernandez,MIA,51.2,26.7%,69.0%,51.2%,54.3%,85.0%,78.3%,57.9%,23.4,2021.0,2021-01-01
411,Aaron Bummer,CHW,56.1,26.7%,58.0%,42.3%,33.6%,85.5%,69.0%,49.7%,25.4,2021.0,2021-01-01
412,Sam Coonrod,PHI,42.1,26.7%,68.5%,49.6%,64.0%,81.3%,77.1%,54.8%,24.9,2021.0,2021-01-01
413,Daniel Ponce de Leon,STL,33.1,26.7%,68.6%,46.6%,68.5%,86.0%,80.7%,47.5%,24.3,2021.0,2021-01-01
414,Javy Guerra,SDP,3.2,26.7%,77.8%,54.5%,62.5%,92.9%,86.1%,54.5%,26.2,2021.0,2021-01-01
415,David Paulino,PHI,2.0,26.7%,70.6%,50.0%,100.0%,91.7%,93.8%,53.1%,18.9,2021.0,2021-01-01
416,Alec Mills,CHC,119.0,26.7%,63.0%,45.4%,65.1%,90.6%,83.4%,51.7%,22.8,2021.0,2021-01-01
417,Blake Snell,SDP,128.2,26.7%,64.5%,44.2%,44.5%,83.3%,70.8%,46.4%,24.5,2021.0,2021-01-01
418,Tanner Rainey,WSN,31.2,26.6%,68.9%,47.7%,40.4%,76.3%,66.2%,49.8%,25.5,2021.0,2021-01-01
419,Cal Quantrill,CLE,149.2,26.6%,68.3%,46.6%,66.7%,85.3%,79.8%,47.9%,23.0,2021.0,2021-01-01
420,Jay Jackson,SFG,21.2,26.6%,63.0%,44.5%,45.3%,81.8%,70.7%,49.1%,27.3,2021.0,2021-01-01
421,David Hess,- - -,20.0,26.6%,72.1%,49.3%,65.3%,85.6%,80.1%,49.9%,22.4,2021.0,2021-01-01
422,J.A. Happ,- - -,152.1,26.6%,70.1%,47.6%,69.0%,88.6%,83.0%,48.3%,22.6,2021.0,2021-01-01
423,Luis Patino,TBR,77.1,26.6%,73.0%,51.1%,58.1%,84.0%,77.6%,52.7%,22.0,2021.0,2021-01-01
424,Taylor Clarke,ARI,43.1,26.6%,74.9%,51.1%,68.7%,82.5%,79.0%,50.7%,27.1,2021.0,2021-01-01
425,Nick Margevicius,SEA,12.0,26.6%,64.2%,46.1%,75.8%,87.2%,84.0%,51.9%,22.0,2021.0,2021-01-01
426,Juan Minaya,MIN,40.0,26.6%,74.2%,48.4%,56.8%,85.7%,77.1%,45.8%,22.3,2021.0,2021-01-01
427,Lance Lynn,CHW,157.0,26.6%,72.4%,50.2%,54.5%,83.1%,75.7%,51.5%,25.6,2021.0,2021-01-01
428,Jake Petricka,LAA,6.0,26.6%,57.1%,39.3%,52.4%,84.4%,71.7%,41.5%,25.2,2021.0,2021-01-01
429,Adam Cimber,- - -,71.2,26.6%,68.0%,50.6%,71.1%,83.7%,80.9%,58.1%,23.5,2021.0,2021-01-01
430,Adrian Sampson,CHC,35.1,26.6%,71.4%,49.5%,59.7%,88.6%,81.0%,51.1%,24.7,2021.0,2021-01-01
431,Randy Dobnak,MIN,50.2,26.6%,67.5%,46.9%,56.9%,94.9%,84.1%,49.8%,21.7,2021.0,2021-01-01
432,James Kaprielian,OAK,119.1,26.5%,65.3%,45.6%,60.8%,82.5%,76.1%,49.2%,23.5,2021.0,2021-01-01
433,Austin Voth,WSN,57.1,26.5%,69.3%,48.0%,56.3%,83.9%,76.3%,50.1%,25.5,2021.0,2021-01-01
434,Will Vest,SEA,35.0,26.5%,68.5%,46.9%,68.7%,82.2%,78.2%,48.5%,23.9,2021.0,2021-01-01
435,Braxton Garrett,MIA,34.0,26.5%,63.2%,44.2%,61.4%,86.4%,78.7%,48.2%,23.6,2021.0,2021-01-01
436,Ryan Meisinger,CHC,7.1,26.5%,70.8%,45.9%,45.5%,84.8%,72.1%,43.9%,23.4,2021.0,2021-01-01
437,Aaron Loup,NYM,56.2,26.5%,62.1%,46.5%,52.6%,83.1%,75.5%,56.1%,23.8,2021.0,2021-01-01
438,Nick Nelson,NYY,14.1,26.5%,66.0%,44.4%,49.0%,83.2%,72.0%,45.3%,24.6,2021.0,2021-01-01
439,Dylan Bundy,LAA,90.2,26.5%,60.3%,44.4%,55.3%,87.7%,78.6%,52.9%,21.2,2021.0,2021-01-01
440,Trevor Megill,CHC,23.2,26.5%,66.2%,47.0%,50.8%,87.3%,77.3%,51.5%,24.8,2021.0,2021-01-01
441,Julian Merryweather,TOR,13.0,26.4%,63.1%,48.4%,52.2%,85.4%,78.1%,59.9%,24.9,2021.0,2021-01-01
442,Mitch Keller,PIT,100.2,26.4%,64.1%,45.6%,62.9%,89.3%,81.8%,51.1%,22.5,2021.0,2021-01-01
443,Shawn Armstrong,- - -,36.0,26.4%,70.5%,49.8%,52.9%,79.3%,72.7%,53.0%,23.8,2021.0,2021-01-01
444,Sam Hentges,CLE,68.2,26.4%,66.7%,45.2%,50.8%,89.3%,77.4%,46.7%,22.1,2021.0,2021-01-01
445,Ranger Suarez,PHI,106.0,26.4%,65.8%,46.3%,54.0%,83.6%,75.2%,50.4%,22.3,2021.0,2021-01-01
446,Griffin Jax,MIN,82.0,26.3%,68.7%,48.1%,62.4%,86.4%,80.0%,51.5%,21.9,2021.0,2021-01-01
447,Nick Ramirez,SDP,20.1,26.3%,68.5%,48.1%,55.0%,89.2%,80.1%,51.6%,22.3,2021.0,2021-01-01
448,Alex Blandino,CIN,3.2,26.3%,64.7%,44.4%,70.0%,95.5%,87.5%,47.2%,21.0,2021.0,2021-01-01
449,Yoan Lopez,ARI,12.1,26.3%,67.3%,45.6%,40.0%,85.3%,71.4%,47.0%,25.2,2021.0,2021-01-01
450,Adrian Morejon,SDP,4.2,26.3%,69.0%,48.8%,60.0%,72.4%,69.2%,52.5%,23.0,2021.0,2021-01-01
451,Anthony DeSclafani,SFG,167.2,26.3%,68.7%,48.7%,54.6%,85.1%,77.4%,52.9%,22.9,2021.0,2021-01-01
452,Zac Gallen,ARI,121.1,26.3%,61.7%,43.8%,59.7%,87.5%,79.1%,49.5%,24.5,2021.0,2021-01-01
453,Buck Farmer,DET,35.1,26.3%,66.8%,44.9%,62.1%,82.1%,75.8%,46.0%,25.1,2021.0,2021-01-01
454,Steven Brault,PIT,27.2,26.3%,71.6%,48.4%,61.2%,88.5%,80.9%,48.8%,22.9,2021.0,2021-01-01
455,Anthony Bender,MIA,61.1,26.2%,53.5%,40.5%,41.0%,84.9%,71.3%,52.2%,24.8,2021.0,2021-01-01
456,Kyle Finnegan,WSN,66.0,26.2%,65.2%,47.4%,55.9%,84.6%,77.3%,54.3%,30.4,2021.0,2021-01-01
457,Jordan Zimmermann,MIL,5.2,26.2%,75.0%,50.0%,81.8%,100.0%,95.1%,48.8%,21.4,2021.0,2021-01-01
458,Chris Ellis,- - -,29.1,26.2%,65.5%,46.5%,62.3%,84.0%,78.1%,51.7%,22.2,2021.0,2021-01-01
459,Jeremy Beasley,TOR,9.1,26.2%,71.4%,47.0%,46.4%,69.2%,62.4%,46.0%,22.7,2021.0,2021-01-01
460,Darien Nunez,LAD,7.2,26.2%,74.2%,49.6%,64.7%,67.4%,66.7%,48.8%,23.2,2021.0,2021-01-01
461,Kyle Zimmer,KCR,54.0,26.1%,64.2%,43.5%,57.9%,85.3%,76.4%,45.5%,25.3,2021.0,2021-01-01
462,Austin Gomber,COL,115.1,26.1%,64.5%,46.1%,49.1%,85.2%,75.4%,52.0%,22.0,2021.0,2021-01-01
463,Matt Harvey,BAL,127.2,26.1%,65.5%,47.8%,63.4%,89.7%,83.2%,55.1%,22.3,2021.0,2021-01-01
464,Chris Flexen,SEA,179.2,26.1%,70.9%,49.6%,65.7%,88.4%,82.7%,52.3%,23.3,2021.0,2021-01-01
465,Tyler Chatwood,- - -,32.0,26.1%,60.6%,40.9%,46.6%,86.4%,71.9%,43.0%,23.1,2021.0,2021-01-01
466,Merrill Kelly,ARI,158.0,26.1%,67.0%,48.6%,58.9%,88.9%,81.7%,55.0%,23.8,2021.0,2021-01-01
467,Matt Wisler,- - -,48.2,26.1%,58.9%,43.6%,45.8%,77.3%,68.5%,53.2%,23.1,2021.0,2021-01-01
468,Rowan Wick,CHC,23.0,26.1%,58.0%,41.5%,44.4%,84.8%,71.7%,48.3%,23.0,2021.0,2021-01-01
469,Jose De Leon,CIN,18.1,26.1%,61.8%,45.2%,42.9%,75.7%,66.9%,53.6%,23.0,2021.0,2021-01-01
470,Shohei Ohtani,LAA,130.1,26.1%,67.4%,47.9%,46.2%,82.5%,73.2%,52.9%,26.1,2021.0,2021-01-01
471,Jose Quijada,LAA,25.2,26.1%,64.9%,44.9%,47.8%,80.3%,70.5%,48.5%,26.2,2021.0,2021-01-01
472,Glenn Otto,TEX,23.1,26.0%,68.8%,50.4%,64.0%,86.9%,81.9%,57.1%,26.1,2021.0,2021-01-01
473,Sonny Gray,CIN,135.1,26.0%,60.7%,42.9%,50.7%,86.5%,75.3%,48.6%,23.4,2021.0,2021-01-01
474,Spenser Watkins,BAL,54.2,26.0%,66.3%,45.8%,70.1%,90.4%,84.5%,49.2%,21.5,2021.0,2021-01-01
475,Gregory Soto,DET,63.2,26.0%,63.0%,45.0%,42.7%,81.4%,70.5%,51.4%,24.9,2021.0,2021-01-01
476,Madison Bumgarner,ARI,146.1,26.0%,65.8%,48.6%,60.7%,86.0%,80.2%,56.9%,23.1,2021.0,2021-01-01
477,Spencer Turnbull,DET,50.0,26.0%,69.1%,49.2%,55.9%,85.1%,78.0%,53.8%,22.5,2021.0,2021-01-01
478,Tylor Megill,NYM,89.2,26.0%,70.4%,49.7%,56.9%,81.5%,75.5%,53.4%,23.9,2021.0,2021-01-01
479,Yacksel Rios,- - -,27.1,26.0%,62.3%,43.7%,50.8%,85.6%,75.0%,48.7%,24.3,2021.0,2021-01-01
480,Jose Alvarez,SFG,64.2,26.0%,65.2%,47.1%,61.2%,87.1%,80.5%,53.9%,23.7,2021.0,2021-01-01
481,David Peterson,NYM,66.2,25.9%,66.3%,46.2%,56.6%,83.6%,76.1%,50.2%,21.5,2021.0,2021-01-01
482,Hyeon-jong Yang,TEX,35.1,25.9%,72.9%,49.7%,65.8%,86.7%,81.3%,50.5%,23.4,2021.0,2021-01-01
483,Louis Head,TBR,35.0,25.9%,75.4%,50.9%,42.9%,86.1%,75.2%,50.5%,23.5,2021.0,2021-01-01
484,Jaime Barria,LAA,56.2,25.9%,67.0%,46.2%,64.2%,90.8%,83.3%,49.5%,23.4,2021.0,2021-01-01
485,Kyle Freeland,COL,120.2,25.9%,64.4%,45.3%,60.7%,89.1%,81.1%,50.5%,24.1,2021.0,2021-01-01
486,Logan Gilbert,SEA,119.1,25.9%,73.1%,50.7%,57.5%,81.0%,75.3%,52.6%,22.4,2021.0,2021-01-01
487,Yusmeiro Petit,OAK,78.0,25.9%,74.5%,51.6%,72.0%,82.6%,80.1%,52.9%,24.5,2021.0,2021-01-01
488,Chris Rodriguez,LAA,29.2,25.9%,57.6%,41.6%,53.0%,86.1%,75.7%,49.5%,23.3,2021.0,2021-01-01
489,Kevin Ginkel,ARI,28.1,25.9%,65.4%,44.8%,48.0%,88.5%,76.3%,47.8%,23.3,2021.0,2021-01-01
490,Ryan Borucki,TOR,23.2,25.8%,57.2%,42.2%,43.5%,84.7%,72.6%,52.2%,23.0,2021.0,2021-01-01
491,DJ Johnson,- - -,4.1,25.8%,66.7%,47.8%,62.5%,66.7%,65.6%,53.7%,20.8,2021.0,2021-01-01
492,Justin Topa,MIL,3.1,25.8%,62.3%,48.8%,87.5%,97.0%,95.1%,63.1%,26.2,2021.0,2021-01-01
493,Angel Zerpa,KCR,5.0,25.8%,59.5%,44.1%,75.0%,95.5%,90.0%,54.4%,22.1,2021.0,2021-01-01
494,Lance McCullers Jr.,HOU,162.1,25.8%,57.4%,41.5%,42.0%,85.5%,71.9%,49.6%,23.6,2021.0,2021-01-01
495,Andre Jackson,LAD,11.2,25.8%,70.6%,48.7%,52.0%,79.2%,72.2%,51.3%,23.1,2021.0,2021-01-01
496,Anthony Bass,MIA,61.1,25.8%,62.8%,44.9%,41.2%,85.9%,73.5%,51.8%,24.4,2021.0,2021-01-01
497,Sam Selman,- - -,25.0,25.7%,68.4%,47.6%,80.6%,83.8%,83.0%,51.2%,23.5,2021.0,2021-01-01
498,Adam Plutko,BAL,56.1,25.7%,73.6%,47.5%,66.2%,83.8%,78.6%,45.6%,22.5,2021.0,2021-01-01
499,Yimi Garcia,- - -,57.2,25.7%,69.7%,50.3%,64.5%,77.7%,74.7%,55.9%,26.0,2021.0,2021-01-01
500,Jerad Eickhoff,NYM,19.2,25.7%,72.5%,49.0%,60.9%,91.5%,83.4%,49.9%,21.9,2021.0,2021-01-01
501,Albert Abreu,NYY,36.2,25.7%,65.6%,44.2%,58.0%,82.1%,74.6%,46.6%,24.8,2021.0,2021-01-01
502,Jose Urena,DET,100.2,25.6%,67.9%,46.3%,64.4%,86.8%,80.5%,48.9%,21.9,2021.0,2021-01-01
503,Tarik Skubal,DET,149.1,25.6%,67.2%,48.5%,56.7%,82.3%,76.2%,55.1%,20.0,2021.0,2021-01-01
504,Charlie Morton,ATL,185.2,25.6%,63.4%,45.7%,42.3%,84.0%,73.0%,53.1%,22.0,2021.0,2021-01-01
505,Chase De Jong,PIT,43.2,25.6%,67.2%,46.8%,54.6%,88.7%,79.6%,51.1%,24.9,2021.0,2021-01-01
506,Austin Davis,- - -,26.1,25.6%,64.8%,43.8%,55.4%,85.9%,76.3%,46.3%,21.4,2021.0,2021-01-01
507,Sean Newcomb,ATL,32.1,25.6%,66.5%,45.3%,55.1%,83.3%,75.1%,48.3%,21.5,2021.0,2021-01-01
508,Tyler Mahle,CIN,180.0,25.6%,64.6%,45.1%,57.2%,81.6%,74.7%,49.9%,23.1,2021.0,2021-01-01
509,Jovani Moran,MIN,8.0,25.6%,79.2%,49.4%,43.5%,75.4%,66.3%,44.4%,23.9,2021.0,2021-01-01
510,Matt Moore,PHI,73.0,25.5%,67.6%,47.1%,67.9%,85.0%,80.5%,51.2%,22.3,2021.0,2021-01-01
511,John Means,BAL,146.2,25.5%,70.5%,50.3%,67.4%,79.0%,76.3%,55.1%,20.4,2021.0,2021-01-01
512,Kyle Cody,TEX,11.1,25.5%,68.5%,48.3%,64.0%,80.3%,76.2%,53.1%,24.7,2021.0,2021-01-01
513,Adam Wainwright,STL,206.1,25.5%,59.3%,43.4%,59.5%,89.6%,81.3%,53.0%,22.4,2021.0,2021-01-01
514,Derek Holland,DET,49.2,25.5%,63.9%,47.3%,59.8%,82.5%,77.2%,56.8%,21.7,2021.0,2021-01-01
515,Daniel Norris,- - -,57.0,25.5%,67.9%,45.1%,44.4%,88.1%,74.9%,46.4%,24.9,2021.0,2021-01-01
516,Brad Peacock,BOS,5.1,25.5%,67.5%,43.2%,64.3%,92.6%,82.9%,42.1%,20.9,2021.0,2021-01-01
517,Ryan Helsley,STL,47.1,25.4%,67.0%,45.5%,50.0%,85.0%,74.9%,48.2%,27.7,2021.0,2021-01-01
