#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Jacob deGrom,NYM,36.1,40.3%,73.9%,56.8%,40.0%,73.3%,61.2%,49.0%,20.5,5,8
2,Drew Rasmussen,TBR,34.1,39.4%,68.8%,53.9%,55.8%,85.1%,74.2%,49.3%,24.6,5,8
3,Julio Urias,LAD,30.0,39.3%,74.0%,58.3%,57.8%,86.2%,77.5%,54.6%,26.1,5,8
4,Justin Verlander,HOU,28.0,38.9%,70.4%,53.4%,65.6%,86.7%,78.4%,45.9%,24.6,5,8
5,Triston McKenzie,CLE,38.2,38.8%,68.9%,54.4%,55.6%,83.3%,73.7%,51.6%,22.4,5,8
6,Aaron Nola,PHI,32.0,37.8%,58.1%,48.8%,56.1%,84.7%,74.6%,54.3%,26.1,5,8
7,Max Scherzer,NYM,40.2,37.3%,69.2%,53.5%,51.3%,85.6%,73.9%,50.7%,21.3,5,8
8,Kyle Wright,ATL,32.0,37.2%,65.4%,52.2%,54.1%,89.9%,78.0%,53.4%,22.0,5,8
9,Corey Kluber,TBR,29.2,37.1%,68.0%,53.9%,55.6%,84.1%,75.1%,54.4%,21.4,5,8
10,Jose Urquidy,HOU,31.2,36.7%,70.3%,53.0%,64.1%,87.3%,79.1%,48.5%,21.1,5,8
11,Jeffrey Springs,TBR,27.2,36.6%,63.4%,50.0%,58.2%,81.8%,73.1%,50.0%,24.8,5,8
12,Shane Bieber,CLE,33.1,36.0%,64.5%,50.8%,43.9%,89.4%,74.0%,52.1%,21.2,5,8
13,Zac Gallen,ARI,40.0,35.8%,57.1%,45.9%,61.1%,86.6%,76.2%,47.7%,22.7,5,8
14,Kevin Gausman,TOR,36.2,35.6%,74.1%,56.0%,57.0%,80.3%,73.3%,53.0%,25.6,5,8
15,Blake Snell,SDP,32.0,35.1%,68.5%,51.7%,56.2%,78.7%,71.0%,49.7%,24.6,5,8
16,Joe Ryan,MIN,32.2,35.1%,72.2%,54.5%,57.4%,80.8%,73.6%,52.4%,23.3,5,8
17,Cristian Javier,HOU,32.0,34.6%,69.5%,52.9%,55.7%,83.0%,74.5%,52.3%,23.2,5,8
18,Marco Gonzales,SEA,33.2,34.6%,66.5%,51.1%,77.8%,85.9%,83.3%,51.7%,20.6,5,8
19,Charlie Morton,ATL,30.1,34.1%,58.7%,46.1%,45.9%,82.6%,68.6%,48.6%,22.8,5,8
20,Robbie Ray,SEA,33.0,33.8%,63.6%,46.8%,54.0%,82.8%,71.0%,43.5%,22.3,5,8
21,Patrick Sandoval,LAA,32.1,33.5%,64.9%,49.7%,55.3%,81.5%,73.0%,51.6%,25.6,5,8
22,Cole Irvin,OAK,38.1,33.2%,71.4%,54.0%,65.5%,84.3%,79.1%,54.6%,19.4,5,8
23,Sandy Alcantara,MIA,36.1,33.0%,68.8%,54.2%,63.2%,82.9%,78.0%,59.1%,20.5,5,8
24,Logan Webb,SFG,35.0,32.6%,60.6%,46.7%,59.8%,87.9%,78.2%,50.4%,21.2,5,8
25,Domingo German,NYY,34.2,32.2%,66.1%,50.6%,60.3%,90.5%,81.7%,54.4%,21.9,5,8
26,Drew Smyly,CHC,30.0,32.1%,68.6%,52.9%,63.0%,83.0%,77.8%,57.0%,20.3,5,8
27,Brandon Woodruff,MIL,30.0,32.0%,69.5%,52.2%,64.3%,83.1%,77.8%,53.9%,23.3,5,8
28,Alex Wood,SFG,30.0,31.9%,68.7%,50.5%,55.4%,83.0%,74.3%,50.5%,21.5,5,8
29,Jordan Lyles,BAL,34.0,31.9%,65.3%,48.3%,60.6%,91.9%,81.4%,49.1%,22.2,5,8
30,George Kirby,SEA,29.1,31.6%,70.0%,54.2%,72.7%,85.5%,82.5%,58.7%,22.8,5,8
