#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Carlos Rodon,SFG,36.0,38.0%,64.8%,51.7%,59.4%,79.3%,72.1%,51.0%,23.1,3,2022-06-01
2,Zac Gallen,ARI,25.2,37.3%,56.5%,45.9%,64.3%,90.1%,78.5%,44.9%,24.9,3,2022-06-01
3,Aaron Nola,PHI,43.0,37.0%,64.7%,51.9%,61.9%,85.5%,77.7%,53.8%,26.2,3,2022-06-01
4,Kyle Hendricks,CHC,27.2,36.8%,62.9%,49.3%,56.8%,89.0%,76.4%,47.9%,21.2,3,2022-06-01
5,Jose Quintana,PIT,30.0,36.5%,69.5%,50.7%,56.0%,84.1%,72.6%,43.0%,23.9,3,2022-06-01
6,Alex Wood,SFG,30.1,36.0%,59.8%,48.1%,62.9%,86.8%,78.0%,50.7%,20.0,3,2022-06-01
7,Ross Stripling,TOR,28.1,35.4%,68.5%,52.9%,65.7%,88.8%,81.5%,52.9%,21.7,3,2022-06-01
8,Triston McKenzie,CLE,29.1,35.3%,71.9%,53.0%,54.9%,85.3%,74.8%,48.3%,22.2,3,2022-06-01
9,JT Brubaker,PIT,34.1,34.4%,64.7%,49.6%,49.0%,90.3%,76.0%,50.1%,20.5,3,2022-06-01
10,Patrick Corbin,WSN,27.1,34.4%,61.1%,48.3%,59.0%,90.1%,79.5%,52.1%,23.5,3,2022-06-01
11,Max Fried,ATL,33.1,34.2%,67.8%,50.2%,53.8%,88.4%,76.1%,47.6%,23.4,3,2022-06-01
12,Pablo Lopez,MIA,28.2,34.1%,68.3%,50.2%,56.0%,85.2%,74.7%,47.0%,25.2,3,2022-06-01
13,Taijuan Walker,NYM,37.2,33.9%,65.6%,49.4%,60.4%,87.2%,77.8%,48.9%,20.8,3,2022-06-01
14,Luis Garcia,HOU,27.2,33.9%,71.8%,51.6%,42.7%,81.7%,68.1%,46.8%,24.9,3,2022-06-01
15,Shane Bieber,CLE,37.1,33.9%,60.8%,48.4%,32.6%,86.1%,68.8%,53.8%,20.2,3,2022-06-01
16,Julio Urias,LAD,28.2,33.6%,69.9%,52.8%,46.5%,80.6%,70.3%,52.8%,24.3,3,2022-06-01
17,Cal Quantrill,CLE,31.0,33.6%,66.5%,49.9%,74.4%,86.1%,82.1%,49.5%,20.5,3,2022-06-01
18,Yu Darvish,SDP,35.2,33.5%,62.5%,48.8%,57.5%,82.7%,74.6%,53.0%,24.3,3,2022-06-01
19,Carlos Carrasco,NYM,29.2,33.5%,68.4%,49.6%,58.9%,84.8%,75.4%,46.2%,23.1,3,2022-06-01
20,Marco Gonzales,SEA,31.0,33.1%,64.7%,47.2%,76.1%,84.2%,81.1%,44.7%,21.1,3,2022-06-01
21,Logan Webb,SFG,30.1,33.0%,56.8%,43.7%,61.5%,84.5%,75.0%,45.1%,20.4,3,2022-06-01
22,Tyler Anderson,LAD,28.1,32.9%,68.7%,51.7%,56.9%,91.0%,80.8%,52.6%,22.9,3,2022-06-01
23,Zach Plesac,CLE,30.0,32.8%,71.5%,51.4%,61.7%,85.9%,77.9%,48.0%,22.3,3,2022-06-01
24,Jose Berrios,TOR,28.2,32.7%,69.5%,52.2%,53.1%,91.5%,80.2%,52.9%,20.7,3,2022-06-01
25,Tarik Skubal,DET,32.1,32.6%,64.5%,49.1%,45.1%,88.1%,74.3%,51.7%,21.6,3,2022-06-01
26,Corbin Burnes,MIL,28.2,32.5%,61.5%,45.2%,46.3%,79.1%,65.8%,43.6%,25.8,3,2022-06-01
27,Corey Kluber,TBR,28.1,32.2%,64.5%,49.9%,62.1%,89.3%,81.3%,54.7%,22.2,3,2022-06-01
28,Dane Dunning,TEX,33.2,32.2%,63.9%,46.1%,64.5%,89.7%,79.8%,44.0%,21.6,3,2022-06-01
29,Jeffrey Springs,TBR,26.2,32.1%,66.2%,48.8%,53.3%,81.9%,72.3%,49.0%,25.1,3,2022-06-01
30,Justin Verlander,HOU,39.2,32.0%,70.0%,53.8%,63.3%,82.4%,77.6%,57.4%,25.6,3,2022-06-01
