#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,43.0,42.5%,72.2%,57.9%,61.2%,85.7%,77.0%,52.0%,20.2,6,2022-09-01
2,Marco Gonzales,SEA,36.1,39.6%,66.3%,52.7%,68.2%,88.1%,80.5%,49.0%,19.7,6,2022-09-01
3,Kevin Gausman,TOR,34.1,38.9%,70.8%,55.2%,48.0%,84.9%,72.1%,50.8%,25.7,6,2022-09-01
4,Triston McKenzie,CLE,38.2,38.6%,70.7%,56.0%,48.5%,83.8%,72.6%,54.2%,20.5,6,2022-09-01
5,Clayton Kershaw,LAD,41.0,36.7%,68.6%,53.6%,42.6%,80.7%,68.4%,52.9%,20.8,6,2022-09-01
6,Ross Stripling,TOR,33.1,36.1%,67.2%,52.6%,64.6%,84.3%,78.0%,53.0%,20.9,6,2022-09-01
7,Corbin Burnes,MIL,43.2,35.9%,62.7%,47.7%,49.6%,84.7%,69.9%,44.1%,25.2,6,2022-09-01
8,Jose Quintana,STL,33.1,34.2%,66.0%,48.1%,66.3%,85.2%,77.6%,43.6%,22.4,6,2022-09-01
9,Zac Gallen,ARI,38.1,34.0%,62.7%,49.1%,58.2%,86.5%,77.2%,52.6%,23.5,6,2022-09-01
10,Jordan Montgomery,STL,33.0,33.8%,69.0%,51.9%,69.7%,81.2%,77.5%,51.3%,25.7,6,2022-09-01
11,Gerrit Cole,NYY,36.0,33.8%,61.2%,45.9%,34.8%,81.7%,62.4%,44.1%,22.3,6,2022-09-01
12,Shane Bieber,CLE,48.0,33.5%,68.1%,50.9%,47.7%,86.4%,73.7%,50.3%,19.4,6,2022-09-01
13,Michael Wacha,BOS,32.1,33.3%,68.9%,52.4%,64.9%,85.9%,79.7%,53.6%,21.2,6,2022-09-01
14,Dean Kremer,BAL,42.0,33.2%,67.7%,51.2%,66.0%,91.7%,83.7%,52.1%,22.9,6,2022-09-01
15,Lance Lynn,CHW,37.1,33.1%,74.5%,55.4%,52.7%,81.2%,73.3%,53.9%,24.4,6,2022-09-01
16,Aaron Nola,PHI,34.1,32.8%,61.4%,48.8%,42.1%,79.0%,68.1%,56.0%,24.7,6,2022-09-01
17,Dylan Cease,CHW,37.0,32.6%,66.4%,48.0%,61.5%,85.3%,76.5%,45.3%,23.0,6,2022-09-01
18,Lance McCullers Jr.,HOU,31.2,32.5%,58.5%,44.5%,47.1%,88.8%,72.4%,46.1%,23.7,6,2022-09-01
19,Tyler Alexander,DET,33.0,32.3%,68.4%,51.5%,71.1%,90.7%,84.9%,53.1%,22.9,6,2022-09-01
20,Rich Hill,BOS,34.2,32.2%,65.1%,48.8%,66.3%,84.2%,78.4%,50.5%,18.9,6,2022-09-01
21,Jeffrey Springs,TBR,34.1,32.1%,63.4%,48.8%,54.4%,79.1%,71.5%,53.1%,24.4,6,2022-09-01
22,Jameson Taillon,NYY,36.2,31.9%,64.0%,48.2%,50.6%,88.1%,75.9%,50.9%,22.7,6,2022-09-01
23,Cal Quantrill,CLE,37.1,31.6%,70.3%,49.8%,67.3%,90.7%,82.9%,47.1%,20.6,6,2022-09-01
24,Yu Darvish,SDP,39.0,31.5%,66.3%,52.0%,63.2%,84.6%,79.3%,58.8%,26.5,6,2022-09-01
25,Charlie Morton,ATL,31.2,31.5%,59.5%,44.8%,43.3%,89.0%,72.1%,47.5%,22.7,6,2022-09-01
26,Brayan Bello,BOS,31.1,31.4%,62.6%,45.6%,52.2%,85.7%,73.2%,45.6%,24.7,6,2022-09-01
27,Lucas Giolito,CHW,33.2,31.4%,66.1%,48.3%,46.7%,86.2%,73.1%,48.8%,24.5,6,2022-09-01
28,Johnny Cueto,CHW,34.2,31.3%,75.2%,53.7%,70.2%,87.6%,82.6%,50.9%,21.9,6,2022-09-01
29,Blake Snell,SDP,35.0,31.1%,65.4%,46.2%,41.3%,80.2%,65.6%,44.1%,23.8,6,2022-09-01
30,Logan Gilbert,SEA,36.0,30.7%,69.0%,50.1%,61.6%,81.8%,75.7%,50.6%,20.9,6,2022-09-01
