#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Corey Kluber,TBR,32.0,32.0%,65.7%,51.2%,59.1%,84.3%,77.5%,56.8%,23.6,4,2022-07-01
32,Logan Gilbert,SEA,28.1,31.9%,71.9%,53.6%,55.1%,84.8%,76.7%,54.2%,21.1,4,2022-07-01
33,Jose Quintana,PIT,27.0,31.8%,66.7%,47.4%,57.7%,95.5%,81.4%,44.7%,23.8,4,2022-07-01
34,Dylan Cease,CHW,35.2,31.8%,62.5%,45.0%,37.0%,83.1%,64.6%,43.0%,22.5,4,2022-07-01
35,Tyler Wells,BAL,25.0,31.5%,66.3%,47.8%,66.7%,78.1%,74.1%,46.8%,24.3,4,2022-07-01
36,Pablo Lopez,MIA,31.0,31.3%,66.8%,48.0%,59.6%,82.2%,74.4%,47.1%,25.1,4,2022-07-01
37,Robbie Ray,SEA,25.0,30.9%,74.4%,53.3%,55.9%,81.0%,74.0%,51.5%,22.4,4,2022-07-01
38,Spencer Strider,ATL,26.2,30.7%,69.8%,50.3%,53.5%,77.8%,70.4%,50.1%,21.7,4,2022-07-01
39,Adrian Sampson,CHC,32.2,30.6%,68.0%,48.1%,62.8%,90.7%,81.2%,46.7%,24.0,4,2022-07-01
40,James Kaprielian,OAK,28.0,30.5%,66.8%,49.4%,64.5%,85.0%,78.9%,52.0%,23.2,4,2022-07-01
41,Carlos Rodon,SFG,37.0,30.5%,66.4%,49.4%,50.6%,76.3%,68.8%,52.7%,23.3,4,2022-07-01
42,Max Fried,ATL,38.0,30.4%,68.3%,49.5%,66.7%,87.9%,81.4%,50.3%,24.5,4,2022-07-01
43,Alex Cobb,SFG,36.0,30.1%,55.5%,42.6%,64.7%,89.5%,80.6%,49.3%,22.5,4,2022-07-01
44,Josiah Gray,WSN,26.2,30.1%,61.3%,44.7%,46.8%,80.4%,68.4%,46.8%,24.2,4,2022-07-01
45,Triston McKenzie,CLE,33.2,30.0%,67.5%,48.5%,58.3%,86.1%,77.4%,49.4%,21.4,4,2022-07-01
46,Taijuan Walker,NYM,30.2,29.6%,59.3%,44.2%,70.3%,88.9%,82.6%,49.3%,19.1,4,2022-07-01
47,Johnny Cueto,CHW,34.0,29.5%,64.1%,46.8%,83.8%,91.3%,88.9%,50.0%,20.8,4,2022-07-01
48,Brandon Woodruff,MIL,30.0,29.5%,61.7%,45.5%,43.2%,78.4%,67.0%,49.7%,24.2,4,2022-07-01
49,Zac Gallen,ARI,29.2,29.1%,63.7%,46.4%,67.6%,87.2%,81.1%,50.0%,23.3,4,2022-07-01
50,Aaron Ashby,MIL,25.2,29.0%,57.5%,43.1%,49.3%,81.7%,70.7%,49.7%,20.5,4,2022-07-01
51,Charlie Morton,ATL,30.0,28.7%,63.3%,46.1%,42.3%,82.8%,70.2%,50.1%,21.0,4,2022-07-01
52,Julio Urias,LAD,28.0,28.7%,64.5%,48.3%,71.4%,88.1%,83.6%,54.5%,24.2,4,2022-07-01
53,Brad Keller,KCR,28.2,28.4%,66.0%,47.6%,54.7%,92.3%,81.3%,51.1%,21.5,4,2022-07-01
54,Blake Snell,SDP,25.2,28.3%,67.9%,47.2%,42.5%,81.1%,69.0%,47.6%,25.2,4,2022-07-01
55,Mitch Keller,PIT,31.0,28.2%,62.1%,45.8%,58.3%,89.6%,80.4%,52.1%,20.4,4,2022-07-01
56,Logan Webb,SFG,38.1,28.1%,65.9%,47.8%,57.7%,87.9%,79.4%,52.1%,21.3,4,2022-07-01
57,Madison Bumgarner,ARI,31.0,27.6%,67.9%,49.6%,76.2%,90.3%,86.7%,54.6%,22.2,4,2022-07-01
58,Corbin Burnes,MIL,31.1,27.6%,64.2%,44.8%,40.3%,79.7%,66.8%,46.9%,26.1,4,2022-07-01
59,Joe Ryan,MIN,26.2,27.1%,69.8%,50.7%,54.9%,87.0%,79.3%,55.2%,21.0,4,2022-07-01
60,Reid Detmers,LAA,24.0,27.1%,67.4%,47.5%,45.1%,82.3%,71.8%,50.7%,21.1,4,2022-07-01
