#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Kevin Gausman,TOR,24.2,51.4%,71.3%,61.1%,47.8%,79.5%,65.7%,48.4%,25.4,1,4
2,Max Fried,ATL,24.0,37.2%,67.7%,51.5%,75.0%,80.7%,78.5%,46.8%,23.7,1,4
3,Walker Buehler,LAD,24.2,36.9%,67.4%,52.3%,60.6%,85.5%,76.8%,50.7%,21.5,1,4
4,Nathan Eovaldi,BOS,28.2,35.4%,71.3%,55.4%,53.6%,85.6%,76.5%,55.6%,22.4,1,4
5,Logan Webb,SFG,30.1,35.0%,62.1%,49.0%,65.8%,84.0%,77.7%,51.7%,20.9,1,4
6,Dylan Cease,CHW,22.0,34.7%,71.4%,51.8%,62.7%,74.2%,70.1%,46.5%,23.5,1,4
7,Pablo Lopez,MIA,23.1,34.7%,59.9%,47.4%,56.7%,78.3%,70.5%,50.6%,22.4,1,4
8,Clayton Kershaw,LAD,23.0,34.7%,61.6%,47.1%,59.0%,82.8%,73.4%,46.2%,20.5,1,4
9,Joe Musgrove,SDP,25.0,34.4%,60.2%,48.8%,50.0%,85.2%,74.3%,55.8%,22.4,1,4
10,Kyle Wright,ATL,24.0,34.3%,59.7%,47.8%,43.1%,82.5%,69.2%,53.1%,21.6,1,4
11,Shane McClanahan,TBR,27.0,34.2%,64.3%,49.4%,37.7%,75.9%,62.9%,50.6%,20.6,1,4
12,Eric Lauer,MIL,23.1,34.1%,65.5%,50.8%,61.0%,78.3%,72.9%,53.2%,22.4,1,4
13,Brad Keller,KCR,24.2,34.1%,69.4%,50.8%,68.3%,88.1%,81.1%,47.1%,19.6,1,4
14,Frankie Montas,OAK,29.2,34.0%,70.3%,50.9%,51.8%,84.6%,72.8%,46.5%,24.4,1,4
15,Carlos Rodon,SFG,23.0,34.0%,68.5%,50.5%,56.7%,75.0%,68.6%,47.9%,24.4,1,4
16,Sean Manaea,SDP,30.0,33.0%,66.9%,51.6%,59.7%,84.1%,77.1%,54.7%,20.0,1,4
17,Aaron Nola,PHI,27.2,32.8%,61.3%,48.4%,66.1%,82.3%,77.3%,54.9%,25.6,1,4
18,Shane Bieber,CLE,29.1,32.8%,68.1%,49.8%,48.0%,84.8%,72.3%,48.2%,18.9,1,4
19,Justin Verlander,HOU,26.0,32.4%,70.7%,54.5%,70.2%,83.6%,80.2%,57.7%,24.2,1,4
20,Corbin Burnes,MIL,25.2,32.3%,63.6%,46.3%,38.6%,74.1%,60.4%,44.8%,25.1,1,4
21,Max Scherzer,NYM,25.0,31.9%,67.5%,49.9%,55.0%,79.1%,71.4%,50.4%,21.4,1,4
22,Dylan Bundy,MIN,21.1,31.8%,64.8%,50.8%,57.1%,81.9%,75.3%,57.6%,20.2,1,4
23,Tyler Mahle,CIN,22.1,31.4%,62.4%,45.5%,60.6%,82.2%,74.1%,45.5%,23.3,1,4
24,Jesus Luzardo,MIA,20.1,31.3%,55.2%,42.7%,48.2%,80.0%,67.8%,47.7%,19.9,1,4
25,Chris Flexen,SEA,24.0,30.6%,72.0%,49.6%,56.1%,89.4%,78.2%,45.8%,22.1,1,4
26,Alek Manoah,TOR,25.0,30.2%,72.8%,52.8%,49.0%,83.5%,74.2%,53.1%,25.0,1,4
27,Dane Dunning,TEX,26.0,30.0%,55.8%,42.6%,63.1%,84.5%,76.8%,48.9%,22.2,1,4
28,Merrill Kelly,ARI,28.1,30.0%,62.6%,46.9%,62.9%,86.3%,79.1%,51.7%,22.5,1,4
29,Carlos Carrasco,NYM,22.0,29.5%,67.2%,50.2%,48.8%,79.8%,71.6%,54.8%,22.3,1,4
30,Logan Gilbert,SEA,22.1,28.6%,70.7%,49.5%,69.8%,82.8%,79.0%,49.5%,19.8,1,4
