#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
31,Lance Lynn,CHW,31.2,40.9%, ,21.8%, , ,16.8%,8.7%,5.7%, , ,6.1%, , , ,4,2022-07-01
32,Tony Gonsolin,LAD,30.2,40.8%, , ,29.2%, , ,17.9%,12.1%, , , , , , ,4,2022-07-01
33,Pablo Lopez,MIA,31.0,40.8%, ,7.3%, , ,5.8%, ,11.5%, , ,34.6%, , , ,4,2022-07-01
34,Austin Gomber,COL,27.1,38.7%, , , , , ,19.5%, ,24.7%, ,17.1%, , , ,4,2022-07-01
35,Clayton Kershaw,LAD,32.1,38.3%, , , , ,0.2%,44.6%,16.6%, , ,0.2%, , , ,4,2022-07-01
36,Brandon Woodruff,MIL,30.0,38.1%, , , , ,24.2%,8.6%,10.2%, , ,18.8%, , , ,4,2022-07-01
37,Max Fried,ATL,38.0,37.3%, , , , ,11.1%,20.1%,18.6%, , ,12.8%, , , ,4,2022-07-01
38,Chris Flexen,SEA,27.2,37.0%, ,33.4%, , , ,16.0%,1.3%, , ,12.2%, , , ,4,2022-07-01
39,Madison Bumgarner,ARI,31.0,36.1%, ,32.1%, , , , ,18.5%, , ,13.3%, , , ,4,2022-07-01
40,Jose Quintana,PIT,27.0,35.4%, , , , ,13.5%, ,30.2%, , ,20.8%, , , ,4,2022-07-01
41,Dylan Cease,CHW,35.2,34.4%, , , , , ,52.7%, ,11.1%, ,1.8%, , , ,4,2022-07-01
42,Marco Gonzales,SEA,31.1,34.3%, ,16.7%, , , , ,14.7%, , ,34.3%, , , ,4,2022-07-01
43,Kutter Crawford,BOS,28.0,31.9%, ,32.7%, , , ,7.6%,21.4%, , ,6.4%, , , ,4,2022-07-01
44,Alek Manoah,TOR,31.1,31.6%, , , , ,25.5%,25.3%, , , ,17.5%, , , ,4,2022-07-01
45,German Marquez,COL,31.2,31.5%, , , , ,27.6%,12.1%, ,26.1%, ,2.7%, , , ,4,2022-07-01
46,Shane McClanahan,TBR,30.2,31.0%, , , , , ,13.7%,23.9%, , ,31.3%, , , ,4,2022-07-01
47,Carlos Carrasco,NYM,30.0,30.3%, , , , ,15.4%,25.4%,2.8%, , ,26.2%, , , ,4,2022-07-01
48,Adrian Sampson,CHC,32.2,30.0%, ,5.0%, , ,27.8%,17.9%, , , ,19.3%, , , ,4,2022-07-01
49,Robbie Ray,SEA,25.0,29.7%, , , , ,34.4%,33.7%, ,1.3%, ,0.9%, , , ,4,2022-07-01
50,Taijuan Walker,NYM,30.2,29.6%, ,6.9%,26.4%, ,13.0%,17.2%,6.9%, , , , , , ,4,2022-07-01
51,Charlie Morton,ATL,30.0,29.5%, ,14.3%, , ,8.9%, ,38.4%, , ,8.9%, , , ,4,2022-07-01
52,Miles Mikolas,STL,37.2,29.4%, , , , ,20.5%,27.1%,19.9%, , ,3.0%, , , ,4,2022-07-01
53,Braxton Garrett,MIA,30.0,28.4%, , , , ,22.9%,31.2%,7.8%, , ,9.6%, , , ,4,2022-07-01
54,Sonny Gray,MIN,24.1,28.2%, ,7.8%, , ,23.6%,13.6%,26.8%, , , , , , ,4,2022-07-01
55,Sandy Alcantara,MIA,34.0,27.4%, , , , ,24.9%,17.0%,0.8%, , ,29.9%, , , ,4,2022-07-01
56,Merrill Kelly,ARI,41.1,27.3%, ,19.6%, , ,18.8%,0.9%,13.3%, , ,20.1%, , , ,4,2022-07-01
57,Mitch Keller,PIT,31.0,25.6%, , , , ,26.1%,27.0%,12.8%, , ,8.5%, , , ,4,2022-07-01
58,Jose Berrios,TOR,36.0,24.0%, , , , ,23.6%, ,36.1%, , ,16.3%, , , ,4,2022-07-01
59,Shohei Ohtani,LAA,25.1,21.8%, ,11.4%,13.2%, ,0.3%,45.1%,8.4%, , , , , , ,4,2022-07-01
60,Glenn Otto,TEX,29.2,21.6%, , , , ,22.9%,23.6%, ,19.9%, ,11.9%, , , ,4,2022-07-01
