#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
31,Jeffrey Springs,TBR,26.2,39.2%, , , , ,0.9%,30.3%, , , ,29.6%, , , ,3,6
32,Tyler Anderson,LAD,28.1,38.7%, ,17.1%, , ,7.1%, ,3.0%, , ,34.0%, , , ,3,6
33,Pablo Lopez,MIA,28.2,38.6%, ,14.2%, , ,7.3%, ,2.8%, , ,37.1%, , , ,3,6
34,Zack Wheeler,PHI,29.2,38.5%, , , , ,15.4%,27.4%,14.2%, , ,4.5%, , , ,3,6
35,Marco Gonzales,SEA,31.0,38.0%, ,15.8%, , , , ,14.6%, , ,31.6%, , , ,3,6
36,Michael Wacha,BOS,29.2,37.7%, ,14.2%, , ,12.1%, ,5.5%, , ,30.5%, , , ,3,6
37,Madison Bumgarner,ARI,31.0,35.3%, ,35.3%, , , , ,17.1%, , ,12.3%, , , ,3,6
38,Alek Manoah,TOR,38.2,35.2%, , , , ,30.3%,26.7%, , , ,7.8%, , , ,3,6
39,Shohei Ohtani,LAA,29.2,34.7%, ,3.7%,17.8%, , ,32.4%,11.4%, , , , , , ,3,6
40,Jordan Lyles,BAL,28.2,34.1%, , , , ,15.3%,24.7%,12.1%, , ,13.8%, , , ,3,6
41,Shane Bieber,CLE,37.1,34.0%, ,11.6%, , , ,32.5%, ,18.4%, ,3.5%, , , ,3,6
42,Merrill Kelly,ARI,30.0,33.5%, ,11.9%, , ,16.9%, ,14.4%, , ,23.2%, , , ,3,6
43,Rich Hill,BOS,27.0,33.2%, ,16.4%, , ,0.2%,7.3%,37.7%, , ,2.8%, , , ,3,6
44,Cole Irvin,OAK,35.1,33.1%, ,0.8%, , ,24.0%, ,17.7%, , ,24.4%, , , ,3,6
45,Carlos Carrasco,NYM,29.2,33.0%, , , , ,14.0%,26.0%,5.6%, , ,21.4%, , , ,3,6
46,Aaron Nola,PHI,43.0,32.7%, ,5.4%, , ,21.3%, , ,26.2%, ,14.5%, , , ,3,6
47,Ross Stripling,TOR,28.1,31.7%, , , , ,7.4%,26.9%, ,9.0%, ,25.0%, , , ,3,6
48,Charlie Morton,ATL,30.2,31.3%, ,10.8%, , ,14.4%, ,35.1%, , ,8.4%, , , ,3,6
49,Shane McClanahan,TBR,33.0,31.2%, , , , , ,15.2%,25.9%, , ,27.8%, , , ,3,6
50,Frankie Montas,OAK,31.0,31.1%, ,14.3%,21.2%, ,19.2%,14.3%, , , , , , , ,3,6
51,Jameson Taillon,NYY,33.1,29.5%, ,13.9%, , ,12.8%,18.5%,15.1%, , ,10.1%, , , ,3,6
52,Jose Berrios,TOR,28.2,29.3%, , , , ,26.4%, ,32.7%, , ,11.5%, , , ,3,6
53,Max Fried,ATL,33.1,29.1%, , , , ,16.1%,25.0%,17.9%, , ,11.8%, , , ,3,6
54,Robbie Ray,SEA,37.0,28.4%, , , , ,30.8%,35.2%, ,4.7%, ,0.9%, , , ,3,6
55,Tarik Skubal,DET,32.1,28.4%, , , , ,18.0%,31.1%, ,7.1%, ,15.4%, , , ,3,6
56,Kyle Freeland,COL,33.0,28.2%, , , , ,20.4%,22.2%,14.2%, , ,15.1%, , , ,3,6
57,Luis Castillo,CIN,30.1,28.1%, , , , ,21.9%,25.1%, , , ,25.0%, , , ,3,6
58,Taijuan Walker,NYM,37.2,25.7%, ,5.3%,32.4%, ,9.1%,20.9%,6.5%, , , , , , ,3,6
59,Patrick Corbin,WSN,27.1,25.5%, , , , ,32.9%,35.2%, , , ,6.3%, , , ,3,6
60,Miles Mikolas,STL,34.0,25.1%, , , , ,24.4%,25.0%,20.1%, , ,5.0%, , , ,3,6
