#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
1,Carlos Rodon,SFG,27.0,65.6%, , , , , ,29.5%,4.9%, , , , , , ,2,2022-05-01
2,Yusei Kikuchi,TOR,26.2,60.0%, ,0.2%, , , ,29.5%, , , ,10.2%, , , ,2,2022-05-01
3,Triston McKenzie,CLE,34.0,56.9%, , , , , ,19.7%,23.4%, , , , , , ,2,2022-05-01
4,Robbie Ray,SEA,30.1,54.0%, , , , , ,44.9%, ,1.0%, , , , , ,2,2022-05-01
5,Logan Gilbert,SEA,36.2,53.1%, , , , , ,27.1%, ,11.2%, ,8.5%, , , ,2,2022-05-01
6,Kevin Gausman,TOR,36.1,50.5%, , ,38.6%, , ,9.2%, , , ,1.7%, , , ,2,2022-05-01
7,Tyler Mahle,CIN,31.1,50.5%, ,8.7%,26.5%, , ,14.4%, , , , , , , ,2,2022-05-01
8,Nick Pivetta,BOS,38.1,49.7%, , , , , ,16.9%, ,29.3%, ,4.0%, , , ,2,2022-05-01
9,Ian Anderson,ATL,28.1,48.9%, , , , , , ,23.2%, , ,28.0%, , , ,2,2022-05-01
10,Gerrit Cole,NYY,33.2,48.4%, ,12.8%, , , ,24.3%, ,6.9%, ,7.6%, , , ,2,2022-05-01
11,Lucas Giolito,CHW,28.1,47.7%, , , , , ,24.2%,4.1%, , ,24.0%, , , ,2,2022-05-01
12,Justin Verlander,HOU,31.2,47.5%, , , , , ,32.2%,18.1%, , ,2.2%, , , ,2,2022-05-01
13,Carlos Carrasco,NYM,30.0,46.5%, , , , ,4.9%,19.9%,4.7%, , ,24.1%, , , ,2,2022-05-01
14,Luis Severino,NYY,29.0,46.5%, ,6.6%, , , ,20.3%, , , ,26.6%, , , ,2,2022-05-01
15,Zach Plesac,CLE,28.0,46.0%, , , , , ,24.1%,8.8%, , ,21.0%, , , ,2,2022-05-01
16,Zac Gallen,ARI,35.1,45.0%, ,14.5%, , ,0.2%,3.5%, ,16.6%, ,20.1%, , , ,2,2022-05-01
17,Dylan Cease,CHW,31.2,44.7%, , , , ,3.4%,32.0%, ,14.9%, ,5.0%, , , ,2,2022-05-01
18,Josiah Gray,WSN,31.1,44.6%, , , , ,1.3%,30.5%,21.2%, , ,2.4%, , , ,2,2022-05-01
19,Nathan Eovaldi,BOS,28.2,41.6%, ,7.8%,19.9%, , ,14.5%,16.1%, , , , , , ,2,2022-05-01
20,Shane McClanahan,TBR,31.1,40.9%, , , , , ,15.1%,23.7%, , ,20.3%, , , ,2,2022-05-01
21,Marco Gonzales,SEA,36.2,40.9%, ,17.8%, , , , ,10.0%, , ,31.3%, , , ,2,2022-05-01
22,Alek Manoah,TOR,31.0,40.8%, , , , ,17.1%,30.7%, , , ,11.4%, , , ,2,2022-05-01
23,Zack Wheeler,PHI,32.2,39.9%, , , , ,17.2%,32.7%,9.6%, , ,0.6%, , , ,2,2022-05-01
24,Julio Urias,LAD,35.0,39.8%, , , , ,1.9%, ,37.5%, , ,20.8%, , , ,2,2022-05-01
25,Tyler Wells,BAL,30.2,38.5%, , , , , ,24.6%,16.8%, , ,20.1%, , , ,2,2022-05-01
26,Nestor Cortes,NYY,32.1,38.3%, ,40.3%, , ,2.2%,15.4%, , , ,3.8%, , , ,2,2022-05-01
27,Shane Bieber,CLE,24.1,37.6%, ,10.8%, , , ,30.3%, ,17.1%, ,4.2%, , , ,2,2022-05-01
28,German Marquez,COL,29.0,36.3%, , , , ,13.8%,29.3%, ,17.0%, ,3.6%, , , ,2,2022-05-01
29,Pablo Lopez,MIA,35.2,35.4%, ,15.0%, , ,7.5%, ,3.9%, , ,38.2%, , , ,2,2022-05-01
30,Charlie Morton,ATL,31.1,35.0%, ,9.9%, , ,8.8%, ,35.2%, , ,11.0%, , , ,2,2022-05-01
