#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
31,Jameson Taillon,NYY,31.2,39.6%, ,7.4%, , ,11.9%,18.3%,15.2%, , ,7.6%, , , ,5,8
32,Tyler Anderson,LAD,37.1,39.5%, ,24.5%, , ,5.4%, ,0.2%, , ,30.4%, , , ,5,8
33,George Kirby,SEA,29.1,39.4%, , , , ,23.0%,16.6%,14.0%, , ,6.9%, , , ,5,8
34,Jose Quintana,STL,29.1,39.1%, , , , ,23.4%, ,27.1%, , ,10.4%, , , ,5,8
35,Mike Clevinger,SDP,32.0,38.8%, ,14.8%, , ,21.0%,16.6%,2.7%, , ,6.0%, , , ,5,8
36,Mike Minor,CIN,33.0,38.1%, , , , ,0.7%,22.2%, ,14.4%, ,24.6%, , , ,5,8
37,Spenser Watkins,BAL,30.2,37.9%, ,32.2%, , , ,18.8%,8.8%, , ,2.4%, , , ,5,8
38,Austin Voth,BAL,28.0,37.6%, ,22.4%, , , ,7.2%,32.0%, , ,0.7%, , , ,5,8
39,Kutter Crawford,BOS,29.2,36.7%, ,33.4%, , , ,3.9%,18.9%, , ,7.1%, , , ,5,8
40,Alek Manoah,TOR,29.2,35.9%, , , , ,25.9%,29.4%, , , ,8.8%, , , ,5,8
41,Ryan Feltner,COL,30.0,34.7%, , , , ,19.7%,26.1%,11.8%, , ,7.7%, , , ,5,8
42,Miles Mikolas,STL,36.0,34.6%, , , , ,16.8%,24.0%,22.1%, , ,2.3%, , , ,5,8
43,Marco Gonzales,SEA,33.2,33.6%, ,23.0%, , , , ,17.5%, , ,25.8%, , , ,5,8
44,Charlie Morton,ATL,30.1,33.5%, ,9.7%, , ,8.9%, ,42.1%, , ,5.8%, , , ,5,8
45,Aaron Nola,PHI,32.0,32.6%, ,8.8%, , ,17.1%, , ,27.4%, ,14.1%, , , ,5,8
46,Jordan Lyles,BAL,34.0,32.2%, ,6.9%, , ,18.3%,22.2%,15.2%, , ,5.2%, , , ,5,8
47,Shane Bieber,CLE,33.1,31.9%, ,24.4%, , , ,24.2%, ,17.9%, ,1.7%, , , ,5,8
48,Jordan Montgomery,STL,30.2,31.4%, ,2.2%, , ,28.1%, ,19.5%, , ,18.8%, , , ,5,8
49,Jeffrey Springs,TBR,27.2,31.3%, , , , ,11.1%,25.2%, , , ,32.4%, , , ,5,8
50,Merrill Kelly,ARI,32.1,30.8%, ,10.6%, , ,27.4%, ,11.4%, , ,19.8%, , , ,5,8
51,Nick Lodolo,CIN,28.2,30.5%, , , , ,29.2%, ,33.1%, , ,7.3%, , , ,5,8
52,Joe Musgrove,SDP,34.0,30.2%, ,20.3%, , ,6.0%,19.5%,19.5%, , ,4.5%, , , ,5,8
53,Luis Castillo,SEA,31.2,29.9%, , , , ,31.2%,18.5%, , , ,20.4%, , , ,5,8
54,Domingo German,NYY,34.2,29.3%, , , , ,11.6%, ,35.9%, , ,23.1%, , , ,5,8
55,Dean Kremer,BAL,32.0,29.1%, ,31.8%, , ,11.5%, ,14.2%, , ,13.5%, , , ,5,8
56,Robbie Ray,SEA,33.0,29.0%, , , , ,31.1%,39.1%, ,0.8%, , , , , ,5,8
57,German Marquez,COL,31.0,27.9%, , , , ,28.9%,16.8%, ,24.8%, ,1.6%, , , ,5,8
58,Sandy Alcantara,MIA,36.1,25.4%, , , , ,26.4%,23.2%,0.2%, , ,24.8%, , , ,5,8
59,Tyler Alexander,DET,30.2,25.2%, ,28.8%, , ,15.1%,12.9%, , , ,18.0%, , , ,5,8
60,Johnny Cueto,CHW,35.2,24.0%, ,16.2%, , ,24.2%,14.5%,0.6%, , ,20.6%, , , ,5,8
