#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
61,Cal Quantrill,CLE,37.1,0.9%, ,35.2%, , ,45.7%, ,6.3%, , ,11.9%, , , ,6,2022-09-01
62,Corbin Burnes,MIL,43.2,0.6%, ,53.8%, , ,5.3%,11.3%,16.5%, , ,12.5%, , , ,6,2022-09-01
63,Alex Cobb,SFG,38.2,0.2%, , ,41.1%, ,38.2%, , ,20.5%, , , , , ,6,2022-09-01
64,Lance McCullers Jr.,HOU,31.2, , ,6.0%, , ,21.7%,30.4%, ,24.5%, ,17.3%, , , ,6,2022-09-01
65,Brady Singer,KCR,31.2, , , , , ,55.5%,38.8%, , , ,5.7%, , , ,6,2022-09-01
