#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
61,Yu Darvish,SDP,33.1,23.4%, ,33.6%,9.2%, ,11.7%,17.8%,3.7%,0.6%, , , , , ,5,2022-08-01
62,Patrick Sandoval,LAA,32.1,21.1%, , , , ,13.4%,34.1%,7.7%, , ,23.7%, , , ,5,2022-08-01
63,Anibal Sanchez,WSN,30.2,21.1%, ,22.6%, , ,22.0%,5.7%,5.2%, , ,23.5%, , , ,5,2022-08-01
64,Edward Cabrera,MIA,28.1,19.7%, , , , ,13.2%,15.8%,19.4%, , ,32.0%, , , ,5,2022-08-01
65,Jesus Luzardo,MIA,36.1,19.5%, , , , ,24.0%, ,26.4%, , ,30.1%, , , ,5,2022-08-01
66,Kyle Gibson,PHI,31.1,11.3%, ,25.5%, , ,22.6%,18.6%,9.5%, , ,12.5%, , , ,5,2022-08-01
67,Kyle Wright,ATL,32.0,10.5%, , , , ,30.2%,11.7%,36.5%, , ,11.0%, , , ,5,2022-08-01
68,Chris Bassitt,NYM,33.1,9.5%, ,14.7%, , ,41.2%,13.7%,16.7%, , ,4.2%, , , ,5,2022-08-01
69,Martin Perez,TEX,34.0,9.2%, ,28.2%, , ,33.6%,2.9%,1.4%, , ,24.7%, , , ,5,2022-08-01
70,Adam Wainwright,STL,39.2,7.9%, ,27.7%, , ,23.7%, ,38.0%, , ,1.8%, , , ,5,2022-08-01
71,Jose Urena,COL,29.0,6.9%, , , , ,51.8%,24.9%, , , ,16.5%, , , ,5,2022-08-01
72,Noah Syndergaard,PHI,30.2,5.5%, , , , ,39.8%,27.1%,13.8%, , ,13.8%, , , ,5,2022-08-01
73,Marcus Stroman,CHC,34.0,4.2%, ,6.3%,11.6%, ,47.8%,29.6%,0.6%, , , , , , ,5,2022-08-01
74,Cal Quantrill,CLE,38.0,3.9%, ,33.0%, , ,45.5%, ,6.7%, , ,10.9%, , , ,5,2022-08-01
75,Framber Valdez,HOU,35.1,3.4%, ,11.3%, , ,49.8%, ,26.6%, , ,8.9%, , , ,5,2022-08-01
76,Logan Webb,SFG,35.0,2.8%, , , , ,33.9%,29.3%, , , ,33.9%, , , ,5,2022-08-01
77,Corey Kluber,TBR,29.2,1.9%, ,33.2%, , ,19.3%, ,27.8%, , ,17.9%, , , ,5,2022-08-01
78,Corbin Burnes,MIL,33.2,0.7%, ,56.9%, , ,5.8%,4.3%,20.2%, , ,12.0%, , , ,5,2022-08-01
79,Brady Singer,KCR,37.0,0.2%, , , , ,54.4%,39.5%, , , ,6.0%, , , ,5,2022-08-01
80,Alex Cobb,SFG,29.0, , , ,42.6%, ,43.4%, , ,14.0%, , , , , ,5,2022-08-01
81,Drew Smyly,CHC,30.0, , ,10.5%, , ,45.5%, , ,44.0%, , , , , ,5,2022-08-01
82,Zach Davies,ARI,28.1, , ,3.0%, , ,62.7%,2.1%,3.8%, , ,28.4%, , , ,5,2022-08-01
83,Alex Wood,SFG,30.0, , , , , ,44.8%,38.5%, , , ,16.8%, , , ,5,2022-08-01
