#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
31,Walker Buehler,LAD,24.2,34.7%, ,22.0%, , ,7.2%,13.5%, ,13.8%, ,8.8%, , , ,1,2022-04-01
32,Zack Greinke,KCR,22.0,34.2%, ,2.7%, , ,3.9%,19.3%,22.0%, , ,17.9%, , , ,1,2022-04-01
33,Aaron Nola,PHI,27.2,33.2%, ,7.4%, , ,16.5%, , ,25.5%, ,17.4%, , , ,1,2022-04-01
34,Max Fried,ATL,24.0,32.8%, , , , ,11.3%,20.9%,23.8%, , ,11.0%, , , ,1,2022-04-01
35,Sandy Alcantara,MIA,25.1,32.8%, , , , ,22.3%,23.7%, , , ,21.2%, , , ,1,2022-04-01
36,Yu Darvish,SDP,26.1,32.1%, ,30.0%,9.5%, ,4.8%,18.7%,3.7%,1.2%, , , , , ,1,2022-04-01
37,Tarik Skubal,DET,20.2,30.1%, , , , ,22.0%,25.5%, ,9.6%, ,12.8%, , , ,1,2022-04-01
38,Merrill Kelly,ARI,28.1,28.2%, ,21.2%, , ,14.0%, ,14.5%, , ,22.1%, , , ,1,2022-04-01
39,Kyle Hendricks,CHC,24.2,27.2%, , , , ,33.5%, ,10.0%, , ,29.4%, , , ,1,2022-04-01
40,Kyle Wright,ATL,24.0,25.8%, , , , ,19.7%,5.3%,33.6%, , ,15.6%, , , ,1,2022-04-01
41,Joe Musgrove,SDP,25.0,25.7%, ,13.2%, , ,5.8%,30.4%,13.2%, , ,11.7%, , , ,1,2022-04-01
42,Madison Bumgarner,ARI,23.0,25.1%, ,51.4%, , ,1.0%, ,14.7%, , ,7.8%, , , ,1,2022-04-01
43,Cole Irvin,OAK,27.2,24.8%, ,10.4%, , ,27.1%,0.2%,18.3%, , ,19.0%, , , ,1,2022-04-01
44,Frankie Montas,OAK,29.2,24.8%, ,7.2%,30.9%, ,21.3%,15.8%, , , , , , , ,1,2022-04-01
45,Chris Bassitt,NYM,24.0,19.6%, ,19.6%, , ,25.1%,20.2%,10.2%, , ,5.2%, , , ,1,2022-04-01
46,Miles Mikolas,STL,29.2,17.7%, , , , ,24.2%,29.8%,20.6%, , ,7.6%, , , ,1,2022-04-01
47,Martin Perez,TEX,21.0,7.7%, ,18.8%, , ,33.9%, ,14.8%, , ,24.8%, , , ,1,2022-04-01
48,Adam Wainwright,STL,27.0,7.5%, ,22.7%, , ,28.5%, ,27.6%, , ,10.8%, , , ,1,2022-04-01
49,Kyle Gibson,PHI,27.2,5.4%, ,18.6%, , ,42.0%,22.0%,2.0%, , ,10.0%, , , ,1,2022-04-01
50,Cal Quantrill,CLE,22.0,3.4%, ,40.8%, , ,45.1%, ,2.5%, , ,8.2%, , , ,1,2022-04-01
51,Chad Kuhl,COL,23.2,2.9%, , , , ,43.6%,39.1%, ,9.0%, ,5.4%, , , ,1,2022-04-01
52,Logan Webb,SFG,30.1,2.7%, , , , ,32.7%,27.8%, , , ,36.7%, , , ,1,2022-04-01
53,Sean Manaea,SDP,30.0, , , , , ,61.4%,12.3%,2.9%, , ,23.4%, , , ,1,2022-04-01
54,Corbin Burnes,MIL,25.2, , ,60.1%, , ,7.9%,6.6%,17.6%, , ,7.9%, , , ,1,2022-04-01
55,Dane Dunning,TEX,26.0, , ,8.9%, , ,38.4%,32.2%, , , ,20.5%, , , ,1,2022-04-01
