#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
61,Kyle Freeland,COL,29.0,21.5%, , , , ,21.3%,20.5%,22.1%, , ,14.7%, , , ,4,2022-07-01
62,Kyle Wright,ATL,30.2,21.4%, , , , ,19.6%,5.4%,40.6%, , ,12.9%, , , ,4,2022-07-01
63,Yu Darvish,SDP,34.0,18.8%, ,37.0%,7.3%, ,12.1%,19.4%,4.4%,1.0%, , , , , ,4,2022-07-01
64,Kyle Gibson,PHI,27.1,18.3%, ,22.8%, , ,22.8%,18.5%,9.6%, , ,8.0%, , , ,4,2022-07-01
65,Chris Bassitt,NYM,25.1,15.6%, ,12.1%, , ,29.0%,20.3%,15.9%, , ,7.2%, , , ,4,2022-07-01
66,Adam Wainwright,STL,32.1,14.2%, ,23.7%, , ,30.6%, ,26.9%, , ,3.8%, , , ,4,2022-07-01
67,Johnny Cueto,CHW,34.0,13.3%, ,20.3%, , ,26.1%,15.7%,0.2%, , ,24.3%, , , ,4,2022-07-01
68,Zach Thompson,PIT,27.0,12.0%, ,40.9%, , ,22.3%, ,15.3%, , ,9.5%, , , ,4,2022-07-01
69,Patrick Sandoval,LAA,24.2,11.0%, , , , ,27.2%,24.4%,8.2%, , ,29.3%, , , ,4,2022-07-01
70,Jose Urena,COL,27.0,10.1%, , , , ,55.1%,18.7%, , , ,16.2%, , , ,4,2022-07-01
71,Martin Perez,TEX,31.2,7.0%, ,20.9%, , ,33.2%,2.4%,2.2%, , ,34.2%, , , ,4,2022-07-01
72,Jordan Montgomery,NYY,29.1,4.8%, ,2.2%, , ,49.1%, ,24.9%, , ,18.9%, , , ,4,2022-07-01
73,Aaron Ashby,MIL,25.2,4.4%, , , , ,32.5%,29.2%,13.7%, , ,20.3%, , , ,4,2022-07-01
74,Logan Webb,SFG,38.1,2.6%, , , , ,31.4%,32.6%, , , ,33.4%, , , ,4,2022-07-01
75,Framber Valdez,HOU,33.2,2.0%, ,12.4%, , ,48.7%, ,32.0%, , ,4.9%, , , ,4,2022-07-01
76,Corey Kluber,TBR,32.0,1.3%, ,31.7%, , ,32.9%, ,26.4%, , ,7.8%, , , ,4,2022-07-01
77,Brady Singer,KCR,30.2,0.8%, , , , ,54.3%,36.8%, , , ,8.1%, , , ,4,2022-07-01
78,Alex Cobb,SFG,36.0, , , ,45.5%, ,43.9%, , ,10.6%, , , , , ,4,2022-07-01
79,Sean Manaea,SDP,25.0, , , , , ,64.9%,14.0%, , , ,21.1%, , , ,4,2022-07-01
80,Corbin Burnes,MIL,31.1, , ,54.3%, , ,7.2%,7.4%,18.9%, , ,12.2%, , , ,4,2022-07-01
