#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
61,Adrian Houser,MIL,30.0,-1.7, , , , ,-1.3,1.8,-2.5, , ,-0.6, , ,3,2022-06-01
62,Kyle Hendricks,CHC,27.2,-1.8, , , , ,1.2, ,0.0, , ,-1.3, , ,3,2022-06-01
63,Eric Lauer,MIL,27.2,-1.8, ,-4.0, , , ,1.2,-0.8, , ,-0.1, , ,3,2022-06-01
64,Michael Wacha,BOS,29.2,-1.8, ,0.3, , ,1.3, ,-0.5, , ,0.9, , ,3,2022-06-01
65,JT Brubaker,PIT,34.1,-2.0, , , , ,-5.0,-1.3,0.6, , ,-1.2, , ,3,2022-06-01
66,Zach Plesac,CLE,30.0,-2.0, , , , , ,2.2,-1.4, , ,5.5, , ,3,2022-06-01
67,German Marquez,COL,34.0,-2.0, , , , ,-0.3,-3.0, ,1.3, ,0.0, , ,3,2022-06-01
68,Jordan Lyles,BAL,28.2,-2.1, , , , ,-0.7,-0.5,-0.5, , ,-2.4, , ,3,2022-06-01
69,Dylan Cease,CHW,27.1,-2.2, , , , , ,8.4, ,-0.2, ,-1.4, , ,3,2022-06-01
70,Paul Blackburn,OAK,26.1,-2.4, ,-2.7, , ,-2.3,0.8,-0.7, , ,0.9, , ,3,2022-06-01
71,Hunter Greene,CIN,29.2,-2.5, , , , , ,3.3, , , ,-1.4, , ,3,2022-06-01
72,Charlie Morton,ATL,30.2,-2.7, ,-0.3, , ,1.5, ,4.3, , ,-1.4, , ,3,2022-06-01
73,Kyle Wright,ATL,38.1,-3.6, , , , ,2.2,-0.2,4.2, , ,2.1, , ,3,2022-06-01
74,Jameson Taillon,NYY,33.1,-3.6, ,0.0, , ,1.0,0.5,0.7, , ,-2.0, , ,3,2022-06-01
75,Chris Flexen,SEA,33.0,-3.7, ,1.2, , , ,1.3,0.0, , ,0.2, , ,3,2022-06-01
76,Triston McKenzie,CLE,29.1,-3.8, , , , , ,-5.7,1.5, , , , , ,3,2022-06-01
77,Ranger Suarez,PHI,31.0,-4.1, ,0.1, , ,4.4,0.7,-0.4, , ,0.9, , ,3,2022-06-01
78,Luis Garcia,HOU,27.2,-4.9, ,3.7, , , ,1.6,0.8, , ,0.2, , ,3,2022-06-01
79,Jose Berrios,TOR,28.2,-5.3, , , , ,0.6, ,-0.7, , ,1.0, , ,3,2022-06-01
80,Madison Bumgarner,ARI,31.0,-5.4, ,-2.2, , , , ,0.3, , ,-0.5, , ,3,2022-06-01
81,Lucas Giolito,CHW,27.0,-5.7, , , , , ,-0.7,-0.4, , ,-3.3, , ,3,2022-06-01
82,Carlos Carrasco,NYM,29.2,-5.8, , , , ,0.1,-0.6,-0.4, , ,-1.9, , ,3,2022-06-01
83,Ian Anderson,ATL,28.2,-9.0, , , , , , ,-1.1, , ,3.4, , ,3,2022-06-01
84,Zach Davies,ARI,31.2, , ,-1.4, , ,2.0,-0.1,-0.3, , ,4.5, , ,3,2022-06-01
85,Alex Wood,SFG,30.1, , , , , ,1.0,-0.4, , , ,0.8, , ,3,2022-06-01
86,Sean Manaea,SDP,29.0, , , , , ,1.0,3.1, , , ,-1.1, , ,3,2022-06-01
87,Corbin Burnes,MIL,28.2, , ,3.0, , ,-0.9,0.3,-3.1, , ,0.7, , ,3,2022-06-01
88,Dane Dunning,TEX,33.2, , ,-0.3, , ,-4.8,2.0, , , ,0.7, , ,3,2022-06-01
89,Graham Ashcraft,CIN,33.0, , ,1.4, , ,-2.1,-1.2, , , ,-0.6, , ,3,2022-06-01
