#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
31,Cal Quantrill,CLE,22.0,0.1, ,0.5, , ,2.3, ,0.4, , ,0.3, , ,1,2022-04-01
32,Miles Mikolas,STL,29.2,-0.1, , , , ,3.7,2.9,-0.7, , ,1.0, , ,1,2022-04-01
33,Madison Bumgarner,ARI,23.0,-0.1, ,3.2, , ,-1.3, ,-1.5, , ,2.4, , ,1,2022-04-01
34,Eric Lauer,MIL,23.1,-0.1, ,1.1, , , ,3.2,-0.7, , ,0.3, , ,1,2022-04-01
35,Frankie Montas,OAK,29.2,-0.2, ,0.0,5.6, ,-1.8,1.4, , , , , , ,1,2022-04-01
36,Adam Wainwright,STL,27.0,-0.2, ,-2.5, , ,0.3, ,0.8, , ,-0.8, , ,1,2022-04-01
37,Shane Bieber,CLE,29.1,-0.4, ,0.1, , , ,1.3, ,3.0, ,0.4, , ,1,2022-04-01
38,Martin Perez,TEX,21.0,-0.5, ,1.1, , ,1.9, ,-0.7, , ,2.1, , ,1,2022-04-01
39,Chris Flexen,SEA,24.0,-0.6, ,3.8, , , ,0.0,-0.1, , ,-1.3, , ,1,2022-04-01
40,Luis Garcia,HOU,21.2,-0.6, ,-0.5, , , ,-1.1,1.7, , ,1.2, , ,1,2022-04-01
41,Logan Webb,SFG,30.1,-0.6, , , , ,-1.8,-0.2, , , ,3.6, , ,1,2022-04-01
42,Max Fried,ATL,24.0,-0.8, , , , ,2.9,1.1,1.4, , ,0.6, , ,1,2022-04-01
43,Jesus Luzardo,MIA,20.1,-1.7, , , , ,0.0, ,3.2, , ,0.3, , ,1,2022-04-01
44,Gerrit Cole,NYY,24.0,-1.9, ,3.1, , , ,-0.8, ,0.3, ,0.9, , ,1,2022-04-01
45,Walker Buehler,LAD,24.2,-2.1, ,0.9, , ,-0.8,0.8, ,2.2, ,1.5, , ,1,2022-04-01
46,Zach Plesac,CLE,21.1,-2.2, , , , ,-1.1,0.7,-0.2, , ,1.0, , ,1,2022-04-01
47,Tarik Skubal,DET,20.2,-2.3, , , , ,0.7,2.1, ,0.3, ,0.6, , ,1,2022-04-01
48,Jose Berrios,TOR,24.0,-3.9, , , , ,0.3, ,0.2, , ,-1.1, , ,1,2022-04-01
49,German Marquez,COL,21.0,-4.2, , , , ,1.1,0.3, ,-1.3, ,0.4, , ,1,2022-04-01
50,Shane McClanahan,TBR,27.0,-4.4, , , , , ,1.5,2.4, , ,4.1, , ,1,2022-04-01
51,Elieser Hernandez,MIA,20.1,-5.8, , , , , ,1.4, , , ,-0.2, , ,1,2022-04-01
52,Joan Adon,WSN,23.1,-5.8, , , , ,0.1,0.0,-1.9, , ,0.1, , ,1,2022-04-01
53,Sean Manaea,SDP,30.0, , , , , ,3.7,1.5,-0.6, , ,1.3, , ,1,2022-04-01
54,Corbin Burnes,MIL,25.2, , ,5.2, , ,-0.9,-1.0,3.5, , ,-0.1, , ,1,2022-04-01
55,Dane Dunning,TEX,26.0, , ,-0.1, , ,0.6,-0.7, , , ,-0.5, , ,1,2022-04-01
