#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
31,Alex Cobb,SFG,38.2,0.0, , ,0.1, ,0.5, , ,3.3, , , , ,6,2022-09-01
32,German Marquez,COL,35.0,-0.1, , , , ,-1.0,0.0, ,-0.3, ,-1.7, , ,6,2022-09-01
33,Chris Bassitt,NYM,33.1,-0.2, ,2.5, , ,3.4,-2.6,1.3, , ,-1.0, , ,6,2022-09-01
34,Mitch Keller,PIT,35.0,-0.5, , , , ,3.3,5.3,-1.0, , ,-1.0, , ,6,2022-09-01
35,Corbin Burnes,MIL,43.2,-0.5, ,4.8, , ,0.5,2.8,1.6, , ,-1.1, , ,6,2022-09-01
36,Dean Kremer,BAL,42.0,-0.6, ,4.8, , ,-1.7, ,-0.9, , ,-0.7, , ,6,2022-09-01
37,Shohei Ohtani,LAA,38.0,-0.6, ,2.7,-0.2, ,0.9,11.3,0.2, , , , , ,6,2022-09-01
38,Tyler Alexander,DET,33.0,-0.9, ,2.4, , ,-2.7,-0.4, , , ,-2.3, , ,6,2022-09-01
39,Miles Mikolas,STL,34.0,-1.2, , , , ,2.2,3.9,-0.6, , ,-1.4, , ,6,2022-09-01
40,Ross Stripling,TOR,33.1,-1.3, , , , ,0.1,2.1, ,-0.5, ,3.7, , ,6,2022-09-01
41,Jameson Taillon,NYY,36.2,-1.3, ,-0.4, , ,-1.5,2.7,3.0, , ,-1.6, , ,6,2022-09-01
42,Nick Pivetta,BOS,32.1,-1.5, , , , , ,-0.2, ,-4.0, ,-1.9, , ,6,2022-09-01
43,Sandy Alcantara,MIA,43.0,-1.5, , , , ,-1.7,-0.3, , , ,7.1, , ,6,2022-09-01
44,Cal Quantrill,CLE,37.1,-1.6, ,3.1, , ,-0.3, ,-1.4, , ,1.3, , ,6,2022-09-01
45,Martin Perez,TEX,37.1,-1.8, ,0.7, , ,2.5,0.1,0.6, , ,3.0, , ,6,2022-09-01
46,Glenn Otto,TEX,36.0,-2.0, , , , ,-1.0,2.1, ,-1.6, ,0.3, , ,6,2022-09-01
47,Jeffrey Springs,TBR,34.1,-2.1, , , , ,1.9,-1.9, , , ,8.5, , ,6,2022-09-01
48,Eduardo Rodriguez,DET,41.0,-2.1, ,3.3, , ,1.2,-1.9, , , ,-3.3, , ,6,2022-09-01
49,Ranger Suarez,PHI,31.2,-2.3, ,1.1, , ,-1.4,0.4,-1.4, , ,-0.6, , ,6,2022-09-01
50,Lucas Giolito,CHW,33.2,-2.3, , , , , ,2.7,-0.3, , ,3.7, , ,6,2022-09-01
51,Gerrit Cole,NYY,36.0,-2.4, ,-2.3, , , ,3.6, ,0.4, ,-0.3, , ,6,2022-09-01
52,Marcus Stroman,CHC,37.0,-2.5, ,1.7,0.3, ,1.3,2.4, , , , , , ,6,2022-09-01
53,Bryse Wilson,PIT,33.1,-2.5, , , , ,2.2,-0.9,1.9, , ,0.2, , ,6,2022-09-01
54,Robbie Ray,SEA,33.1,-2.6, , , , ,-1.8,2.2, ,-2.2, ,-0.9, , ,6,2022-09-01
55,Taijuan Walker,NYM,34.2,-2.9, ,0.8,4.1, ,1.7,-2.2,0.3, , , , , ,6,2022-09-01
56,Brayan Bello,BOS,31.1,-3.1, , , , ,-1.7,1.5,-0.1, , ,2.4, , ,6,2022-09-01
57,Charlie Morton,ATL,31.2,-3.4, ,-2.6, , ,0.3, ,0.0, , ,-0.6, , ,6,2022-09-01
58,Jon Heasley,KCR,33.1,-3.5, , , , ,0.0,0.5,-0.5, , ,1.0, , ,6,2022-09-01
59,Rich Hill,BOS,34.2,-4.5, ,0.7, , , ,0.7,1.4, , ,0.6, , ,6,2022-09-01
60,Jordan Montgomery,STL,33.0,-4.8, ,0.0, , ,0.5, ,-0.2, , ,2.0, , ,6,2022-09-01
